Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-09-12,SAFARI,EQ,555.95,588.8,588.8,548.0,568.8,561.55,568.2,1345,76423465000.0,81,1004,0.7465
2019-09-13,SAFARI,EQ,561.55,568.0,568.0,477.7,567.0,561.1,534.95,2363,126407600000.0,186,1975,0.8358
2019-09-16,SAFARI,EQ,561.1,545.25,562.0,545.25,562.0,558.5,556.19,504,28032100000.0,117,425,0.8433
2019-09-17,SAFARI,EQ,558.5,575.0,575.0,545.25,564.8,562.0,561.32,1098,61633210000.0,275,869,0.7914
2019-09-18,SAFARI,EQ,562.0,570.0,570.0,548.05,568.0,566.5,558.41,305,17031529999.999998,80,229,0.7508
2019-09-19,SAFARI,EQ,566.5,561.0,564.6,549.0,564.0,558.9,558.82,270,15088090000.0,88,223,0.8259000000000001
2019-09-20,SAFARI,EQ,558.9,550.0,575.0,550.0,565.0,566.15,567.93,3809,216325775000.0,431,3070,0.8059999999999999
2019-09-23,SAFARI,EQ,566.15,579.95,579.95,546.8,566.0,567.25,564.32,3515,198360015000.0,389,3079,0.876
2019-09-24,SAFARI,EQ,567.25,580.0,599.95,565.5,587.0,589.4,589.5,3314,195360035000.0,330,2921,0.8814000000000001
2019-09-25,SAFARI,EQ,589.4,589.4,591.0,564.05,571.0,579.65,585.28,863,50509495000.0,73,671,0.7775
2019-09-26,SAFARI,EQ,579.65,589.9,619.0,573.8,598.95,594.15,592.47,11152,660719960000.0,607,9922,0.8897
2019-09-27,SAFARI,EQ,594.15,589.5,624.15,573.0,624.0,611.5,597.42,3844,229649060000.0,503,3121,0.8119
2019-09-30,SAFARI,EQ,611.5,633.95,633.95,585.0,599.8,591.0,600.65,2865,172086865000.0,174,2329,0.8129000000000001
2019-10-01,SAFARI,EQ,591.0,590.0,601.95,570.15,575.0,579.05,583.33,1422,82948815000.0,208,1194,0.8397
2019-10-03,SAFARI,EQ,579.05,572.0,619.0,572.0,575.0,584.7,595.15,3890,231512329999.99997,615,2804,0.7208
2019-10-04,SAFARI,EQ,584.7,585.0,596.65,565.0,570.0,570.5,575.08,2453,141066680000.0,306,1181,0.4815
2019-10-07,SAFARI,EQ,570.5,570.05,590.0,570.05,589.9,583.45,581.29,926,53827165000.0,294,595,0.6425
2019-10-09,SAFARI,EQ,583.45,594.0,600.0,572.35,600.0,590.15,586.57,942,55254694999.99999,169,671,0.7123
2019-10-10,SAFARI,EQ,590.15,580.05,593.0,568.15,570.05,571.3,582.25,8880,517034525000.0,148,8593,0.9677
2019-10-11,SAFARI,EQ,571.3,570.0,584.5,567.95,574.0,574.65,570.9,2284,130394539999.99998,130,1899,0.8314
2019-10-14,SAFARI,EQ,574.65,591.9,603.0,570.1,577.05,587.4,588.04,2282,134191335000.00002,357,1580,0.6924
2019-10-15,SAFARI,EQ,587.4,561.0,588.0,560.05,573.15,579.25,575.08,1762,101328395000.0,157,1254,0.7117
2019-10-16,SAFARI,EQ,579.25,580.0,595.0,575.1,580.0,582.35,584.47,1383,80831925000.0,220,1011,0.731
2019-10-17,SAFARI,EQ,582.35,575.15,593.55,575.0,575.0,578.05,583.98,1055,61609390000.0,119,789,0.7479000000000001
2019-10-18,SAFARI,EQ,578.05,580.0,591.7,572.0,572.0,575.7,583.41,949,55365880000.00001,154,544,0.5732
2019-10-22,SAFARI,EQ,575.7,591.05,594.15,572.1,580.1,584.1,585.13,4683,274017865000.0,591,4005,0.8552
2019-10-23,SAFARI,EQ,584.1,571.1,590.0,571.1,581.05,583.7,584.95,892,52177270000.0,170,582,0.6525
2019-10-24,SAFARI,EQ,583.7,589.3,592.0,565.25,565.25,571.3,580.16,2869,166446630000.0,221,2003,0.6981999999999999
2019-10-25,SAFARI,EQ,571.3,575.0,582.65,535.3,540.0,555.6,566.99,1214,68832810000.0,272,939,0.7735
2019-10-27,SAFARI,EQ,555.6,597.85,597.85,556.0,575.15,579.7,584.96,1579,92364670000.0,191,737,0.4668
2019-10-29,SAFARI,EQ,579.7,561.55,587.95,555.0,555.0,561.45,570.04,1053,60025594999.99999,258,629,0.5972999999999999
2019-10-30,SAFARI,EQ,561.45,570.0,576.7,557.0,572.95,562.1,562.17,2659,149480945000.0,253,2154,0.8101
2019-10-31,SAFARI,EQ,562.1,562.0,581.05,554.95,577.7,574.15,567.32,2761,156636345000.0,394,1815,0.6574
2019-11-01,SAFARI,EQ,574.15,562.05,577.7,554.45,567.75,563.4,565.23,1190,67262255000.00001,205,556,0.4672
2019-11-04,SAFARI,EQ,563.4,574.0,574.0,560.25,561.0,561.05,564.74,726,41000475000.0,113,517,0.7121
2019-11-05,SAFARI,EQ,561.05,579.0,579.0,561.2,575.0,574.05,568.98,1772,100823485000.0,181,1326,0.7483
2019-11-06,SAFARI,EQ,574.05,574.05,574.85,563.3,563.7,564.7,568.12,1132,64311044999.99999,155,604,0.5336
2019-11-07,SAFARI,EQ,564.7,564.25,574.95,551.0,559.0,555.3,563.31,1256,70751405000.0,161,1007,0.8018000000000001
2019-11-08,SAFARI,EQ,555.3,568.9,573.0,551.0,551.5,552.4,560.48,4156,232936160000.0,641,2985,0.7182
2019-11-11,SAFARI,EQ,552.4,560.0,581.0,530.05,570.0,558.65,562.73,5948,334712350000.0,530,3416,0.5743
2019-11-13,SAFARI,EQ,558.65,558.65,569.9,546.0,555.0,553.2,555.2,2937,163063270000.0,286,2046,0.6966
2019-11-14,SAFARI,EQ,553.2,550.0,571.0,550.0,570.0,567.5,561.38,4627,259750904999.99997,323,3093,0.6685
2019-11-15,SAFARI,EQ,567.5,576.0,576.0,561.05,568.8,565.8,568.08,2058,116911225000.0,192,1351,0.6565000000000001
2019-11-18,SAFARI,EQ,565.8,560.05,575.0,560.0,573.0,571.6,560.09,436067,24423743635000.0,396,434373,0.9961
2019-11-19,SAFARI,EQ,571.6,578.0,598.0,572.15,575.0,575.3,583.83,4847,282982670000.0,353,2648,0.5463
2019-11-20,SAFARI,EQ,575.3,587.0,587.2,571.15,575.0,577.45,582.5,2610,152032195000.0,190,2099,0.8042
2019-11-21,SAFARI,EQ,577.45,570.1,588.7,570.1,576.0,579.55,579.83,3935,228163875000.0,468,2650,0.6734
2019-11-22,SAFARI,EQ,579.55,561.0,590.0,541.4,555.0,554.5,555.37,58755,3263104885000.0,1187,42610,0.7252
2019-11-25,SAFARI,EQ,554.5,566.0,574.0,548.0,562.0,561.25,562.06,88873,4995169740000.0,2950,48758,0.5486
2019-11-26,SAFARI,EQ,561.25,574.9,574.9,552.25,561.0,560.4,560.61,39307,2203590395000.0,2247,23118,0.5881000000000001
2019-11-27,SAFARI,EQ,560.4,561.05,568.7,561.0,565.0,565.5,564.75,14245,804484870000.0,610,10960,0.7694
2019-11-28,SAFARI,EQ,565.5,561.1,575.0,561.0,565.0,566.0,569.73,21483,1223947225000.0,926,17957,0.8359000000000001
2019-11-29,SAFARI,EQ,566.0,574.5,580.0,562.05,568.15,569.6,567.83,31019,1761344375000.0,659,20852,0.6722
2019-12-02,SAFARI,EQ,569.6,579.75,593.65,565.95,570.25,579.75,576.56,59525,3431963535000.0,1552,39643,0.6659999999999999
2019-12-03,SAFARI,EQ,579.75,580.25,585.0,570.0,576.95,575.45,575.54,16501,949705110000.0,797,13658,0.8277
2019-12-04,SAFARI,EQ,575.45,575.0,584.85,572.0,582.8,582.25,579.93,3603,208948410000.0,399,1933,0.5365
2019-12-05,SAFARI,EQ,582.25,579.95,586.0,579.95,585.0,583.5,583.4,3237,188847560000.0,226,1829,0.5650000000000001
2019-12-06,SAFARI,EQ,583.5,588.8,588.8,572.2,580.0,577.05,576.34,9050,521585290000.00006,243,8370,0.9248999999999999
2019-12-09,SAFARI,EQ,577.05,584.25,584.25,570.0,579.75,576.1,576.3,8651,498559275000.0,323,6537,0.7556
2019-12-10,SAFARI,EQ,576.1,579.65,579.7,566.55,570.0,571.9,570.43,43028,2454436110000.0,1126,39099,0.9087000000000001
2019-12-11,SAFARI,EQ,571.9,574.85,599.95,573.05,589.6,590.3,587.39,10112,593970985000.0,599,8097,0.8007
2019-12-12,SAFARI,EQ,590.3,589.0,602.0,580.05,591.0,593.1,598.17,8544,511072665000.00006,392,7614,0.8912000000000001
2019-12-13,SAFARI,EQ,593.1,590.05,605.0,586.0,605.0,600.45,595.17,10846,645524950000.0,865,7370,0.6795
2019-12-16,SAFARI,EQ,600.45,611.45,650.0,595.0,622.0,621.95,624.67,19207,1199803595000.0,2109,8458,0.4404
2019-12-17,SAFARI,EQ,621.95,639.0,656.2,622.85,632.5,638.55,642.08,11659,748603405000.0,1354,5700,0.4889
2019-12-18,SAFARI,EQ,638.55,647.95,654.0,621.6,626.1,632.45,635.5,13465,855703455000.0001,1417,5861,0.4353
2019-12-19,SAFARI,EQ,632.45,630.0,639.7,611.2,621.0,622.15,623.38,4632,288750785000.0,527,2474,0.5341
2019-12-20,SAFARI,EQ,622.15,612.05,630.95,612.05,614.0,616.25,620.25,2540,157543765000.0,232,1334,0.5252
2019-12-23,SAFARI,EQ,616.25,614.0,640.0,612.05,618.0,619.25,624.59,7921,494734650000.0,715,4549,0.5743
2019-12-24,SAFARI,EQ,619.25,620.0,640.0,620.0,640.0,632.25,623.84,2969,185219120000.0,315,1831,0.6167
2019-12-26,SAFARI,EQ,632.25,635.5,635.5,625.0,627.0,625.7,627.75,8528,535348765000.00006,313,4744,0.5563
2019-12-27,SAFARI,EQ,625.7,625.9,634.8,620.0,622.05,622.65,625.99,7162,448332725000.0,426,3393,0.47380000000000005
2019-12-30,SAFARI,EQ,622.65,629.9,635.0,625.25,630.0,632.3,631.01,2388,150685570000.0,440,839,0.35130000000000006
2019-12-31,SAFARI,EQ,632.3,626.95,632.0,618.0,618.65,619.3,624.22,125044,7805510955000.0,568,102109,0.8166
2020-01-01,SAFARI,EQ,619.3,619.3,629.55,615.25,629.0,627.1,624.14,3322,207337980000.0,402,1145,0.3447
2020-01-02,SAFARI,EQ,627.1,621.0,635.0,615.2,615.2,620.5,625.06,7573,473358820000.0,351,4082,0.539
2020-01-03,SAFARI,EQ,620.5,620.65,629.9,615.2,626.0,623.0,621.82,4337,269684925000.0,553,2043,0.4711
2020-01-06,SAFARI,EQ,623.0,634.6,634.6,600.0,600.0,600.9,607.25,6691,406309800000.0,611,4208,0.6289
2020-01-07,SAFARI,EQ,600.9,601.0,619.45,600.25,606.0,604.75,609.01,4148,252616125000.0,461,2245,0.5412
2020-01-08,SAFARI,EQ,604.75,600.3,605.55,595.0,600.0,600.3,600.8,2978,178919475000.0,247,1833,0.6154999999999999
2020-01-09,SAFARI,EQ,600.3,610.0,616.75,600.55,606.0,604.5,607.29,4356,264537145000.00003,328,3029,0.6954000000000001
2020-01-10,SAFARI,EQ,604.5,612.0,614.35,601.05,603.5,601.75,604.49,2682,162125515000.0,246,1736,0.6473000000000001
2020-01-13,SAFARI,EQ,601.75,603.5,623.95,602.0,620.0,616.85,618.45,6671,412567380000.0,528,3745,0.5614
2020-01-14,SAFARI,EQ,616.85,624.0,628.0,617.1,622.0,623.55,622.74,4792,298417170000.0,445,2348,0.49
2020-01-15,SAFARI,EQ,623.55,620.0,632.0,618.15,632.0,628.1,628.33,5595,351552835000.0,368,3626,0.6481
2020-01-16,SAFARI,EQ,628.1,635.55,636.5,611.95,619.0,617.65,624.17,9033,563812520000.0,573,4261,0.4717
2020-01-17,SAFARI,EQ,617.65,629.0,629.0,616.25,618.2,622.85,625.18,6585,411682055000.0,489,3724,0.5655
2020-01-20,SAFARI,EQ,622.85,622.85,622.85,618.45,621.5,621.05,621.85,2998,186430125000.0,320,2124,0.7084999999999999
2020-01-21,SAFARI,EQ,621.05,629.0,629.95,621.0,626.0,626.8,626.02,5732,358833300000.0,263,3122,0.5447
2020-01-22,SAFARI,EQ,626.8,640.0,640.0,614.45,628.8,625.6,623.32,3520,219407395000.00003,353,2196,0.6239
2020-01-23,SAFARI,EQ,625.6,620.0,627.0,620.0,622.0,624.15,622.81,2848,177375690000.0,297,1655,0.5811000000000001
2020-01-24,SAFARI,EQ,624.15,622.05,629.95,618.0,618.0,620.1,621.86,4336,269638254999.99997,698,2153,0.4965
2020-01-27,SAFARI,EQ,620.1,625.0,649.0,616.0,617.1,618.45,628.7,23630,1485625475000.0,1667,11339,0.47990000000000005
2020-01-28,SAFARI,EQ,618.45,620.1,633.7,619.55,622.85,621.05,622.53,7312,455195925000.0,739,5599,0.7656999999999999
2020-01-29,SAFARI,EQ,621.05,628.9,630.0,622.0,626.0,626.75,627.21,3745,234888354999.99997,328,2061,0.5503
2020-01-30,SAFARI,EQ,626.75,633.7,633.75,622.0,625.0,624.5,626.25,3436,215179040000.0,278,1865,0.5428000000000001
2020-01-31,SAFARI,EQ,624.5,625.0,645.0,623.0,631.0,636.4,632.43,7839,495760195000.0,649,4265,0.5441
2020-02-01,SAFARI,EQ,636.4,636.4,644.0,620.0,625.0,628.6,629.63,4442,279681920000.0,469,2082,0.4687
2020-02-03,SAFARI,EQ,628.6,615.55,637.9,599.75,608.0,617.7,612.5,7749,474623845000.0,602,3573,0.4611
2020-02-04,SAFARI,EQ,617.7,621.85,629.0,617.35,622.0,625.5,624.18,4498,280755885000.0,386,2907,0.6463
2020-02-05,SAFARI,EQ,625.5,626.8,698.0,620.0,674.05,664.25,666.47,146347,9753633615000.0,3307,84534,0.5776
2020-02-06,SAFARI,EQ,664.25,670.0,688.0,651.0,679.0,678.05,671.33,10586,710665295000.0,910,7640,0.7217
2020-02-07,SAFARI,EQ,678.05,673.0,692.0,667.9,676.05,682.5,682.76,7025,479640165000.00006,632,4435,0.6313000000000001
2020-02-10,SAFARI,EQ,682.5,697.0,697.0,651.1,662.05,663.5,669.78,11463,767765955000.0,2233,7455,0.6504000000000001
2020-02-11,SAFARI,EQ,663.5,663.5,680.0,659.75,662.0,666.35,672.54,5741,386102360000.0,447,3306,0.5759000000000001
2020-02-12,SAFARI,EQ,666.35,670.0,670.0,658.0,663.85,661.0,663.11,4007,265707204999.99997,330,2872,0.7167
2020-02-13,SAFARI,EQ,661.0,661.0,675.0,640.0,652.0,649.1,651.81,4029,262615320000.00003,374,2778,0.6895
2020-02-14,SAFARI,EQ,649.1,649.15,665.9,640.0,654.0,654.5,654.42,4355,284999690000.0,519,2552,0.5860000000000001
2020-02-17,SAFARI,EQ,654.5,663.95,669.95,635.0,647.5,646.7,651.71,7737,504231615000.00006,968,5318,0.6873
2020-02-18,SAFARI,EQ,646.7,646.7,646.7,631.0,631.6,635.6,636.38,6705,426693709999.99994,687,3590,0.5354
2020-02-19,SAFARI,EQ,635.6,640.0,662.0,633.15,638.8,642.9,643.56,8619,554682530000.0,690,5983,0.6942
2020-02-20,SAFARI,EQ,642.9,642.9,647.8,618.05,637.0,629.75,625.71,116700,7302067150000.0,1059,107933,0.9248999999999999
2020-02-24,SAFARI,EQ,629.75,631.2,639.9,610.15,620.0,619.3,628.58,19115,1201533920000.0,850,15482,0.8099
2020-02-25,SAFARI,EQ,619.3,621.0,630.0,620.0,625.0,622.4,626.1,4284,268221200000.0,339,3070,0.7166
2020-02-26,SAFARI,EQ,622.4,622.65,628.95,605.25,623.5,615.8,616.17,6458,397923500000.0,576,4424,0.685
2020-02-27,SAFARI,EQ,615.8,613.15,618.35,589.0,605.0,598.0,600.66,4956,297685745000.0,510,3351,0.6762
2020-02-28,SAFARI,EQ,598.0,552.1,582.4,552.1,578.6,577.4,574.76,9284,533607725000.0,701,6617,0.7127
2020-03-02,SAFARI,EQ,577.4,578.05,630.0,565.0,630.0,580.4,581.7,10348,601939815000.0,830,6693,0.6468
2020-03-03,SAFARI,EQ,580.4,567.0,595.0,567.0,589.45,580.55,582.44,6395,372468545000.0,489,4216,0.6593000000000001
2020-03-04,SAFARI,EQ,580.55,575.05,582.95,558.55,580.0,573.65,568.28,35300,2006020550000.0,677,32280,0.9144
2020-03-05,SAFARI,EQ,573.65,564.0,593.5,560.5,584.0,586.6,583.03,6236,363579140000.0,745,3847,0.6169
2020-03-06,SAFARI,EQ,586.6,566.0,577.0,558.0,565.4,565.65,568.22,4245,241208304999.99997,441,2482,0.5847
2020-03-09,SAFARI,EQ,565.65,565.4,565.4,550.0,550.05,550.85,551.76,8593,474127675000.0,521,7070,0.8228
2020-03-11,SAFARI,EQ,550.85,550.0,561.7,540.0,540.0,543.2,550.72,20388,1122801375000.0,787,17942,0.88
2020-03-12,SAFARI,EQ,543.2,520.0,546.9,457.55,537.0,535.25,491.9,25456,1252173450000.0,1377,20686,0.8126000000000001
2020-03-13,SAFARI,EQ,535.25,476.0,520.0,431.0,495.0,496.3,492.29,5211,256533000000.0,578,2911,0.5586
2020-03-16,SAFARI,EQ,496.3,485.0,524.7,476.0,482.0,495.65,484.12,11394,551610245000.0,762,9776,0.858
2020-03-17,SAFARI,EQ,495.65,514.95,514.95,401.55,480.0,480.05,479.11,6198,296950960000.0,507,4136,0.6673
2020-03-18,SAFARI,EQ,480.05,499.95,511.0,466.1,467.0,480.05,480.05,3517,168833995000.0,273,2982,0.8479000000000001
2020-03-19,SAFARI,EQ,480.05,427.0,479.1,395.55,408.0,410.75,413.53,11963,494711720000.0,1111,5933,0.49590000000000006
2020-03-20,SAFARI,EQ,410.75,401.0,424.7,395.1,395.1,400.85,403.82,4889,197426770000.0,493,2775,0.5676
2020-03-23,SAFARI,EQ,400.85,384.05,395.0,320.7,320.7,321.75,336.48,6958,234124815000.0,845,5123,0.7363
2020-03-24,SAFARI,EQ,321.75,321.0,351.05,289.6,344.0,335.75,321.4,8269,265767560000.0,756,4427,0.5354
2020-03-25,SAFARI,EQ,335.75,350.0,369.0,320.0,369.0,365.45,350.56,5252,184111740000.0,487,3522,0.6706000000000001
2020-03-26,SAFARI,EQ,365.45,365.45,401.95,365.45,400.0,398.75,391.93,3369,132040900000.0,365,2223,0.6598
2020-03-27,SAFARI,EQ,398.75,436.95,438.6,378.05,392.0,391.2,411.13,4561,187514955000.0,525,2830,0.6204999999999999
2020-03-30,SAFARI,EQ,391.2,373.0,395.0,360.0,377.9,376.75,378.52,2919,110490289999.99998,290,1495,0.5122
2020-03-31,SAFARI,EQ,376.75,384.75,409.95,361.0,402.1,401.55,395.26,3131,123755050000.0,264,2341,0.7477
2020-04-01,SAFARI,EQ,401.55,401.55,424.95,392.05,416.0,416.55,405.69,3925,159231365000.0,188,3095,0.7885
2020-04-03,SAFARI,EQ,416.55,416.55,430.0,381.3,411.0,407.15,411.86,1849,76152620000.0,198,1105,0.5976
2020-04-07,SAFARI,EQ,407.15,416.0,438.8,382.25,420.0,414.45,420.27,3437,144447190000.0,322,3045,0.8859
2020-04-08,SAFARI,EQ,414.45,410.0,449.0,386.15,390.0,402.05,420.63,2747,115546710000.00002,388,1994,0.7259000000000001
2020-04-09,SAFARI,EQ,402.05,430.0,430.0,402.1,425.0,424.65,417.72,2385,99626825000.0,194,2015,0.8449
2020-04-13,SAFARI,EQ,424.65,415.0,424.65,401.25,403.1,405.6,412.35,3940,162465050000.0,213,3545,0.8997
2020-04-15,SAFARI,EQ,405.6,404.0,420.0,391.05,403.9,399.5,407.14,4775,194410670000.0,435,3821,0.8002
2020-04-16,SAFARI,EQ,399.5,404.35,410.0,400.0,409.75,405.75,404.09,2622,105951685000.00002,213,2217,0.8455
2020-04-17,SAFARI,EQ,405.75,409.75,429.9,405.0,410.0,408.3,412.82,4512,186264485000.0,325,3510,0.7779
2020-04-20,SAFARI,EQ,408.3,424.9,429.0,401.0,410.0,408.3,410.75,1878,77138645000.0,239,1474,0.7848999999999999
2020-04-21,SAFARI,EQ,408.3,417.0,417.0,380.25,394.0,398.2,398.27,1240,49384965000.0,267,865,0.6976000000000001
2020-04-22,SAFARI,EQ,398.2,409.2,409.2,386.0,394.0,394.0,394.64,2689,106118964999.99998,236,1710,0.6359
2020-04-23,SAFARI,EQ,394.0,408.95,408.95,385.05,389.0,389.7,394.26,3539,139529435000.0,342,2356,0.6657
2020-04-24,SAFARI,EQ,389.7,396.0,396.0,374.0,375.0,374.95,380.13,3032,115255775000.0,378,2022,0.6668999999999999
2020-04-27,SAFARI,EQ,374.95,400.0,400.0,358.0,374.0,365.35,369.09,3513,129661630000.0,495,2341,0.6664
2020-04-28,SAFARI,EQ,365.35,374.1,384.0,361.55,365.7,373.25,373.85,2880,107670139999.99998,233,2313,0.8031
2020-04-29,SAFARI,EQ,373.25,370.15,389.9,370.15,380.0,379.1,377.8,2736,103366430000.0,293,1799,0.6575
2020-04-30,SAFARI,EQ,379.1,384.0,389.95,380.0,389.0,383.3,382.65,2343,89655330000.0,206,2159,0.9215000000000001
2020-05-04,SAFARI,EQ,383.3,385.0,387.9,362.0,365.0,368.3,376.63,2999,112952285000.00002,413,2262,0.7543000000000001
2020-05-05,SAFARI,EQ,368.3,370.3,376.55,354.0,358.0,356.35,363.58,2113,76824455000.0,317,1539,0.7283
2020-05-06,SAFARI,EQ,356.35,355.05,362.95,334.0,340.3,336.0,341.99,5223,178619075000.0,593,4252,0.8140999999999999
2020-05-07,SAFARI,EQ,336.0,339.8,345.95,322.05,340.0,341.8,334.91,82362,2758421585000.0,748,80034,0.9717
2020-05-08,SAFARI,EQ,341.8,347.9,362.0,340.05,340.15,340.15,347.96,4076,141826995000.0,282,3341,0.8197
2020-05-11,SAFARI,EQ,340.15,349.0,349.0,333.0,339.8,338.7,342.84,3230,110737460000.00002,293,2330,0.7214
2020-05-12,SAFARI,EQ,338.7,333.0,341.9,325.0,340.0,339.55,336.2,2447,82268590000.0,260,1827,0.7465999999999999
2020-05-13,SAFARI,EQ,339.55,342.0,355.0,332.0,340.0,337.2,339.64,26344,894743740000.0,460,19603,0.7441
2020-05-14,SAFARI,EQ,337.2,336.25,340.0,330.0,335.15,331.95,336.05,2729,91707300000.0,291,1583,0.5801
2020-05-15,SAFARI,EQ,331.95,327.05,338.95,327.0,337.0,335.9,334.17,2326,77728810000.0,149,2059,0.8852
2020-05-18,SAFARI,EQ,335.9,345.8,345.8,330.0,340.0,337.9,339.85,19197,652401925000.0,1357,14318,0.7458
2020-05-19,SAFARI,EQ,337.9,337.9,351.0,329.0,339.15,339.75,339.93,3450,117274755000.0,554,2255,0.6536
2020-05-20,SAFARI,EQ,339.75,343.95,345.0,335.75,340.0,339.65,339.12,1960,66467625000.0,267,1361,0.6944
2020-05-21,SAFARI,EQ,339.65,340.5,341.1,336.3,340.0,339.65,339.91,7539,256256704999.99997,317,6591,0.8743000000000001
2020-05-22,SAFARI,EQ,339.65,341.95,341.95,326.75,335.5,329.75,334.12,3712,124024180000.0,440,2104,0.5668
2020-05-26,SAFARI,EQ,329.75,335.5,339.0,324.95,329.0,327.9,330.67,2480,82006310000.0,396,1666,0.6718000000000001
2020-05-27,SAFARI,EQ,327.9,323.5,339.0,323.5,333.0,333.1,334.08,6391,213508050000.0,355,4624,0.7234999999999999
2020-05-28,SAFARI,EQ,333.1,333.1,335.0,320.25,324.75,323.3,326.63,10715,349979865000.0,992,7141,0.6664
2020-05-29,SAFARI,EQ,323.3,326.0,326.0,314.0,317.1,318.45,319.79,13295,425159759999.99994,999,9174,0.6900000000000001
2020-06-01,SAFARI,EQ,318.45,330.0,350.25,325.0,350.25,350.25,347.38,30671,1065440105000.0001,1410,26511,0.8644
2020-06-02,SAFARI,EQ,350.25,360.25,385.25,358.0,385.25,385.25,379.43,19138,726157490000.0,985,10283,0.5373
2020-06-03,SAFARI,EQ,385.25,423.75,423.75,410.05,423.75,423.75,422.83,10079,426173940000.00006,443,8658,0.8590000000000001
2020-06-04,SAFARI,EQ,423.75,463.0,463.0,382.4,402.0,401.45,409.29,118132,4835070295000.0,6328,49097,0.4156
2020-06-05,SAFARI,EQ,401.45,405.0,419.35,400.0,403.7,403.35,406.87,29753,1210566410000.0,1607,14490,0.48700000000000004
2020-06-08,SAFARI,EQ,403.35,410.0,415.9,390.0,392.0,395.85,403.09,17634,710801495000.0,1273,10402,0.5899
2020-06-09,SAFARI,EQ,395.85,400.0,400.0,370.1,390.25,384.45,383.41,12943,496253645000.0,1441,6243,0.4823
2020-06-10,SAFARI,EQ,384.45,381.45,385.0,370.0,384.95,379.5,376.08,8857,333094115000.0,930,4927,0.5563
2020-06-11,SAFARI,EQ,379.5,379.95,395.0,353.95,367.1,364.7,369.38,16424,606673550000.0,1377,8159,0.4968
2020-06-12,SAFARI,EQ,364.7,338.55,375.0,338.55,374.7,366.45,353.07,14001,494329959999.99994,1575,6825,0.4875
2020-06-15,SAFARI,EQ,366.45,380.0,380.0,356.0,364.7,363.7,366.73,14238,522152075000.0,1246,5931,0.41659999999999997
2020-06-16,SAFARI,EQ,363.7,369.8,369.9,350.05,359.0,363.65,359.73,12562,451891134999.99994,1063,7967,0.6342
2020-06-17,SAFARI,EQ,363.65,358.0,365.9,356.1,360.2,362.4,361.76,8558,309595765000.0,637,4560,0.5328
2020-06-18,SAFARI,EQ,362.4,364.95,368.0,356.2,362.0,361.3,362.5,9475,343470380000.0,792,6571,0.6935
2020-06-19,SAFARI,EQ,361.3,368.0,380.0,362.5,370.0,369.6,372.44,15937,593552460000.0,1122,8885,0.5575
2020-06-22,SAFARI,EQ,369.6,370.0,380.0,370.0,379.6,374.25,375.52,13251,497595590000.00006,1060,7153,0.5398
2020-06-23,SAFARI,EQ,374.25,376.4,381.0,366.9,376.65,377.0,374.82,7868,294907785000.0,726,2634,0.5901
2020-06-24,SAFARI,EQ,377.0,380.0,389.05,368.0,368.15,369.25,378.7,10268,388852655000.0,1003,5746,0.5596
2020-06-25,SAFARI,EQ,369.25,367.0,376.0,359.2,371.5,372.25,368.23,4787,176271130000.0,685,2033,0.4247
2020-06-26,SAFARI,EQ,372.25,368.15,390.8,365.8,382.2,384.35,383.5,14238,546024255000.0,1358,7649,0.5372
2020-06-29,SAFARI,EQ,384.35,384.0,387.4,366.35,377.95,372.05,372.66,5327,198517785000.0,677,3020,0.5669
2020-06-30,SAFARI,EQ,372.05,372.2,376.0,364.0,368.3,366.0,368.3,4902,180542830000.0,400,3152,0.643
2020-07-01,SAFARI,EQ,366.0,371.8,377.0,363.0,372.95,371.25,368.78,8062,297308660000.0,807,2858,0.35450000000000004
2020-07-02,SAFARI,EQ,371.25,373.0,377.8,370.0,373.0,374.1,374.07,7150,267462890000.0,389,4366,0.6106
2020-07-03,SAFARI,EQ,374.1,379.95,386.0,375.0,379.0,379.65,381.89,8995,343511200000.0,685,5582,0.6206
2020-07-06,SAFARI,EQ,379.65,388.0,388.0,379.05,382.3,381.35,381.99,4097,156500225000.0,562,2508,0.6122
2020-07-07,SAFARI,EQ,381.35,380.0,385.0,369.0,382.9,378.25,372.88,11973,446444484999.99994,881,7705,0.6435
2020-07-08,SAFARI,EQ,378.25,382.0,385.0,369.95,372.5,372.8,375.28,12275,460653980000.0,965,8633,0.7033
