Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-01-24,SANGHVIMOV,EQ,798.0,870.0,898.0,836.0,895.0,875.9,864.05,8387,724680030000.0,,3569.0,0.4255
2007-01-25,SANGHVIMOV,EQ,875.9,880.0,930.0,745.5,845.0,858.45,870.17,8165,710490725000.0,,4000.0,0.48990000000000006
2007-01-29,SANGHVIMOV,EQ,858.45,920.0,920.0,860.0,876.6,881.6,881.33,3720,327855215000.0,,3123.0,0.8395
2007-01-31,SANGHVIMOV,EQ,881.6,900.0,905.0,875.0,887.0,891.35,889.53,3969,353054380000.0,,3030.0,0.7634000000000001
2007-02-01,SANGHVIMOV,EQ,891.35,840.0,840.0,785.0,797.0,801.1,806.0,7690,619815990000.0,,6357.0,0.8267
2007-02-02,SANGHVIMOV,EQ,801.1,800.0,834.9,760.0,790.0,787.95,777.71,3403,264654629999.99997,,2153.0,0.6327
2007-02-05,SANGHVIMOV,EQ,787.95,794.0,795.0,740.0,758.0,753.1,765.78,3334,255311904999.99997,,2906.0,0.8715999999999999
2007-02-06,SANGHVIMOV,EQ,753.1,800.0,800.0,757.0,757.0,758.0,763.38,3039,231992145000.00003,,2694.0,0.8865000000000001
2007-02-07,SANGHVIMOV,EQ,758.0,768.0,778.9,758.0,766.0,761.4,765.4,2693,206122790000.0,,2340.0,0.8689
2007-02-08,SANGHVIMOV,EQ,761.4,750.0,772.85,747.5,755.0,753.35,756.63,697,52737335000.0,,646.0,0.9268000000000001
2007-02-09,SANGHVIMOV,EQ,753.35,755.0,769.5,743.0,743.0,745.7,750.12,1484,111317850000.0,,1388.0,0.9353
2007-02-12,SANGHVIMOV,EQ,745.7,715.0,746.0,655.5,710.0,709.55,711.54,745,53009750000.0,,584.0,0.7839
2007-02-13,SANGHVIMOV,EQ,709.55,690.0,703.0,680.0,698.0,692.7,698.45,1369,95617435000.0,,992.0,0.7245999999999999
2007-02-14,SANGHVIMOV,EQ,692.7,745.5,745.5,660.05,710.0,708.85,693.03,736,51007245000.0,,704.0,0.9565000000000001
2007-02-15,SANGHVIMOV,EQ,708.85,799.0,799.0,705.05,725.5,725.5,727.59,334,24301455000.0,,228.0,0.6826000000000001
2007-02-19,SANGHVIMOV,EQ,725.5,754.0,754.0,720.0,720.0,728.1,732.51,306,22414750000.0,,306.0,1.0
2007-02-20,SANGHVIMOV,EQ,728.1,749.0,749.0,720.0,720.0,720.0,724.8,359,26020150000.0,,359.0,1.0
2007-02-21,SANGHVIMOV,EQ,720.0,730.0,740.0,724.0,730.0,731.1,731.07,2416,176626555000.0,,2272.0,0.9404000000000001
2007-02-22,SANGHVIMOV,EQ,731.1,730.0,740.0,700.0,700.0,704.4,735.93,2620,192812655000.0,,2422.0,0.9244
2007-02-23,SANGHVIMOV,EQ,704.4,745.0,745.0,656.0,706.05,713.2,702.18,898,63056105000.00001,,769.0,0.8563
2007-02-26,SANGHVIMOV,EQ,713.2,706.1,736.95,700.0,730.0,719.8,724.61,779,56446994999.99999,,678.0,0.8703000000000001
2007-02-27,SANGHVIMOV,EQ,719.8,730.0,759.8,730.0,735.0,737.8,750.84,3183,238993179999.99997,,2825.0,0.8875000000000001
2007-02-28,SANGHVIMOV,EQ,737.8,595.0,749.95,595.0,748.0,732.65,713.66,864,61659855000.00001,,640.0,0.7406999999999999
2007-03-01,SANGHVIMOV,EQ,732.65,749.0,749.0,710.25,725.0,725.0,719.17,1480,106437160000.00002,,1469.0,0.9926
2007-03-02,SANGHVIMOV,EQ,725.0,777.0,777.0,700.0,700.0,708.95,714.37,2032,145159095000.0,,1849.0,0.9098999999999999
2007-03-05,SANGHVIMOV,EQ,708.95,690.0,764.9,680.1,690.0,690.05,695.62,916,63718985000.0,,591.0,0.6452
