Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,HOECHST,EQ,240.0,240.0,248.0,240.0,,248.0,245.33,300,7360000000.0,,,
1996-01-04,HOECHST,EQ,248.0,245.0,245.0,245.0,,245.0,245.0,100,2450000000.0,,,
1996-01-05,HOECHST,EQ,245.0,227.0,227.0,221.0,,221.0,224.25,200,4485000000.0,,,
1996-01-09,HOECHST,EQ,221.0,230.0,230.0,205.0,,206.35,211.42,600,12685000000.0,,,
1996-01-10,HOECHST,EQ,206.35,211.0,215.0,209.0,,215.0,211.01,400,8440500000.0,,,
1996-01-11,HOECHST,EQ,215.0,217.0,224.0,215.05,,221.35,218.72,350,7655250000.0,,,
1996-01-12,HOECHST,EQ,221.35,224.0,224.0,220.0,,220.0,221.59,350,7755750000.0,,,
1996-01-15,HOECHST,EQ,220.0,220.05,220.05,220.0,,220.0,220.01,300,6600250000.0,,,
1996-01-16,HOECHST,EQ,220.0,220.0,220.0,220.0,,220.0,220.0,100,2200000000.0,,,
1996-01-17,HOECHST,EQ,220.0,220.0,220.0,220.0,,220.0,220.0,250,5500000000.0,,,
1996-01-18,HOECHST,EQ,220.0,220.0,220.0,219.0,,219.0,219.5,200,4390000000.0,,,
1996-01-19,HOECHST,EQ,219.0,219.0,215.5,215.0,,215.25,215.17,350,7531000000.0,,,
1996-01-23,HOECHST,EQ,215.25,205.25,210.0,205.0,,205.75,206.42,450,9289000000.0,,,
1996-01-24,HOECHST,EQ,205.75,205.0,205.0,205.0,,205.0,205.0,50,1025000000.0,,,
1996-01-29,HOECHST,EQ,205.0,205.0,210.0,205.0,,210.0,207.5,100,2075000000.0,,,
1996-01-30,HOECHST,EQ,210.0,215.0,215.0,215.0,,215.0,215.0,150,3225000000.0,,,
1996-02-01,HOECHST,EQ,215.0,215.0,236.0,220.0,,236.0,226.29,350,7920000000.0,,,
1996-02-02,HOECHST,EQ,236.0,237.0,245.0,237.0,,245.0,242.75,200,4855000000.0,,,
1996-02-05,HOECHST,EQ,245.0,245.0,245.0,240.0,,240.0,244.29,700,17100000000.0,,,
1996-02-06,HOECHST,EQ,240.0,240.0,245.0,240.0,,245.0,241.67,150,3625000000.0,,,
1996-02-08,HOECHST,EQ,245.0,250.0,260.0,250.0,,260.0,256.67,150,3850000000.0,,,
1996-02-09,HOECHST,EQ,260.0,260.0,260.0,260.0,,260.0,260.0,200,5200000000.0,,,
1996-02-12,HOECHST,EQ,260.0,237.0,251.0,237.0,,251.0,248.44,350,8695500000.0,,,
1996-02-13,HOECHST,EQ,251.0,255.0,264.95,255.0,,257.5,257.49,200,5149750000.0,,,
1996-02-14,HOECHST,EQ,257.5,260.0,265.1,260.0,,265.0,263.04,250,6576000000.0,,,
1996-02-15,HOECHST,EQ,265.0,262.0,264.25,262.0,,264.25,263.13,100,2631250000.0,,,
1996-02-20,HOECHST,EQ,264.25,255.0,255.0,243.05,,243.05,249.03,100,2490250000.0,,,
1996-02-22,HOECHST,EQ,243.05,250.5,250.5,250.0,,250.0,250.25,100,2502500000.0,,,
1996-02-23,HOECHST,EQ,250.0,255.0,260.0,255.0,,259.5,258.17,300,7745000000.0,,,
1996-02-26,HOECHST,EQ,259.5,259.5,260.0,259.5,,260.0,259.83,150,3897500000.0,,,
1996-02-27,HOECHST,EQ,260.0,245.0,260.0,240.0,,260.0,251.46,650,16345000000.0,,,
1996-02-28,HOECHST,EQ,260.0,250.0,250.0,250.0,,250.0,250.0,100,2500000000.0,,,
1996-02-29,HOECHST,EQ,250.0,248.0,248.0,240.0,,240.0,242.17,350,8476000000.0,,,
1996-03-01,HOECHST,EQ,240.0,230.0,230.0,230.0,,230.0,230.0,50,1150000000.0,,,
1996-03-04,HOECHST,EQ,230.0,238.0,247.75,238.0,,242.25,241.67,750,18125250000.0,,,
1996-03-06,HOECHST,EQ,242.25,242.25,250.0,250.0,,250.0,250.0,100,2500000000.0,,,
1996-03-07,HOECHST,EQ,250.0,250.0,255.0,250.0,,255.0,252.25,200,5045000000.0,,,
1996-03-11,HOECHST,EQ,255.0,255.0,260.0,250.0,,250.0,253.33,150,3800000000.0,,,
1996-03-13,HOECHST,EQ,250.0,240.0,245.0,240.0,,244.75,243.8,500,12190000000.0,,,
1996-03-14,HOECHST,EQ,244.75,244.0,245.0,244.0,,245.0,244.5,200,4890000000.0,,,
