Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-03-27,SANWARIA,EQ,49.1,60.0,65.2,59.0,60.0,61.8,62.88,141103,887316830000.0001,,28584.0,0.20260000000000003
2006-03-28,SANWARIA,EQ,61.8,63.0,63.0,51.15,53.2,54.2,56.82,30376,172595390000.0,,8792.0,0.28940000000000005
2006-03-29,SANWARIA,EQ,54.2,55.0,57.7,48.05,51.35,51.2,51.76,21536,111473555000.0,,7852.0,0.36460000000000004
2006-03-30,SANWARIA,EQ,51.2,56.0,56.0,47.3,53.0,51.8,51.33,7412,38043665000.0,,2114.0,0.2852
2006-03-31,SANWARIA,EQ,51.8,53.0,54.0,48.25,49.0,49.5,50.99,13346,68044680000.00001,,5835.0,0.4372
2006-04-03,SANWARIA,EQ,49.5,52.0,52.75,49.25,49.25,49.85,50.28,4774,24004810000.0,,3108.0,0.6509999999999999
2006-04-04,SANWARIA,EQ,49.85,48.75,58.6,48.7,54.75,56.15,53.45,12850,68680410000.0,,8329.0,0.6482
2006-04-05,SANWARIA,EQ,56.15,55.8,56.0,52.6,55.2,54.8,54.74,4898,26811055000.0,,2920.0,0.5962
2006-04-07,SANWARIA,EQ,54.8,56.0,65.8,55.95,60.0,61.5,61.89,34637,214364229999.99997,,24332.0,0.7025
2006-04-10,SANWARIA,EQ,61.5,62.0,73.5,60.05,67.0,67.6,68.99,41003,282887645000.0,,16502.0,0.4025
2006-04-12,SANWARIA,EQ,67.6,70.0,74.0,65.5,66.4,67.0,70.14,19925,139756385000.0,,9628.0,0.4832
2006-04-13,SANWARIA,EQ,67.0,67.7,72.0,61.0,69.5,69.45,68.04,6603,44929020000.0,,4422.0,0.6697
2006-04-17,SANWARIA,EQ,69.45,70.2,83.3,67.05,79.5,79.2,78.52,25630,201240780000.0,,13884.0,0.5417000000000001
2006-04-18,SANWARIA,EQ,79.2,79.5,90.0,76.05,78.6,79.1,82.23,18161,149330825000.0,,11189.0,0.6161
2006-04-19,SANWARIA,EQ,79.1,82.0,89.9,76.1,89.3,88.35,86.25,34381,296546315000.0,,18424.0,0.5359
2006-04-20,SANWARIA,EQ,88.35,91.45,94.35,84.5,91.0,92.1,90.33,24040,217151460000.0,,14257.0,0.5931000000000001
2006-04-21,SANWARIA,EQ,92.1,90.5,101.35,88.1,93.1,94.0,94.33,38756,365578570000.0,,12423.0,0.32049999999999995
2006-04-24,SANWARIA,EQ,94.0,95.5,98.0,91.1,93.85,92.85,94.28,10623,100148935000.0,,4778.0,0.4498
2006-04-25,SANWARIA,EQ,92.85,93.0,93.7,88.5,88.5,89.1,90.67,5167,46851665000.0,,3308.0,0.6402
2006-04-26,SANWARIA,EQ,89.1,86.35,89.0,83.0,87.9,86.85,85.85,6991,60015930000.00001,,3216.0,0.46
2006-04-27,SANWARIA,EQ,86.85,87.0,89.75,78.55,86.0,82.35,82.66,5678,46933835000.0,,2248.0,0.39590000000000003
2006-04-28,SANWARIA,EQ,82.35,79.0,83.9,79.0,80.25,81.1,81.0,2308,18694030000.0,,1392.0,0.6031000000000001
2006-04-29,SANWARIA,EQ,81.1,89.0,89.0,82.0,85.0,83.65,83.49,1365,11395835000.0,,1008.0,0.7384999999999999
2006-05-02,SANWARIA,EQ,83.65,89.8,90.0,81.0,81.0,81.1,83.23,2127,17703635000.0,,1268.0,0.5961
2006-05-03,SANWARIA,EQ,81.1,81.05,83.5,80.0,80.0,80.45,81.06,3082,24981835000.0,,2005.0,0.6506000000000001
2006-05-04,SANWARIA,EQ,80.45,78.1,81.5,76.3,76.3,76.9,77.25,1162,8976570000.0,,789.0,0.679
2006-05-05,SANWARIA,EQ,76.9,76.5,81.0,76.5,79.55,79.5,79.13,2944,23296970000.0,,2190.0,0.7439
2006-05-08,SANWARIA,EQ,79.5,80.0,86.0,80.0,85.0,84.9,84.22,8135,68516069999.99999,,5633.0,0.6924
2006-05-09,SANWARIA,EQ,84.9,88.0,93.4,84.0,93.4,92.4,91.76,59954,550156865000.0,,45873.0,0.7651000000000001
2006-05-10,SANWARIA,EQ,92.4,99.0,99.0,86.0,87.8,87.6,94.6,84869,802864200000.0,,54458.0,0.6417
2006-05-11,SANWARIA,EQ,87.6,89.05,89.05,85.2,86.9,87.25,87.28,11546,100772735000.0,,7308.0,0.6329
2006-05-12,SANWARIA,EQ,87.25,87.9,93.9,84.25,85.5,85.55,87.92,14715,129372445000.0,,7589.0,0.5157
