Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-02,SECURKLOUD,EQ,113.8,111.0,118.5,108.15,111.05,109.8,109.5,121149,1326619010000.0,2456,95171,0.7856000000000001
2021-02-03,SECURKLOUD,EQ,109.8,112.0,114.75,104.35,111.9,110.95,110.22,95164,1048931094999.9999,2208,50682,0.5326
2021-02-04,SECURKLOUD,EQ,110.95,105.45,107.0,105.45,105.45,105.45,105.46,72475,764292575000.0,384,61071,0.8426
2021-02-05,SECURKLOUD,EQ,105.45,100.2,105.9,100.2,100.2,100.2,100.95,73732,744326145000.0,949,50676,0.6873
2021-02-08,SECURKLOUD,EQ,100.2,95.2,95.2,95.2,95.2,95.2,95.2,15566,148188320000.0,146,15439,0.9918000000000001
2021-02-09,SECURKLOUD,EQ,95.2,90.45,95.2,90.45,90.45,90.45,91.18,250766,2286509565000.0,2634,146466,0.5841
2021-02-10,SECURKLOUD,EQ,90.45,88.2,94.95,87.0,94.95,94.9,92.91,87171,809881590000.0,1422,58983,0.6766
2021-02-11,SECURKLOUD,EQ,94.9,98.55,99.6,97.05,99.6,99.6,99.4,85554,850410660000.0,852,70087,0.8192
2021-02-12,SECURKLOUD,EQ,99.6,104.55,104.55,100.2,103.9,102.45,103.33,145356,1501937225000.0,1931,77201,0.5311
2021-02-15,SECURKLOUD,EQ,102.45,105.0,105.0,97.35,97.35,97.35,99.54,36733,365656555000.0,464,26145,0.7118000000000001
2021-02-16,SECURKLOUD,EQ,97.35,94.05,95.95,92.5,92.5,92.5,93.1,121375,1130030945000.0,818,96646,0.7963
2021-02-17,SECURKLOUD,EQ,92.5,94.1,94.1,87.9,88.75,88.55,89.13,164903,1469821650000.0,2260,104136,0.6315
2021-02-18,SECURKLOUD,EQ,88.55,88.55,90.75,84.15,84.35,84.6,86.6,176330,1527022040000.0,1676,127503,0.7231000000000001
2021-02-19,SECURKLOUD,EQ,84.6,85.0,88.8,80.4,81.0,80.5,81.91,237061,1941796455000.0,1491,198471,0.8372
