Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-09-26,SELAN,EQ,80.7,85.0,85.0,80.65,82.5,82.05,82.6,13616,112463989999.99998,,6295,0.4623
2006-09-27,SELAN,EQ,82.05,81.6,86.0,79.05,80.0,80.0,82.65,25797,213208475000.0,,12493,0.4843
2006-09-28,SELAN,EQ,80.0,80.0,81.8,76.05,77.4,77.0,78.97,10827,85502420000.0,,5903,0.5452
2006-09-29,SELAN,EQ,77.0,76.0,80.85,76.0,79.65,79.55,79.44,9490,75393000000.0,,3793,0.3997
2006-10-03,SELAN,EQ,79.55,82.9,82.9,76.55,77.7,78.05,78.15,4851,37911035000.0,,2874,0.5925
2006-10-04,SELAN,EQ,78.05,81.0,82.2,77.25,77.3,78.15,80.08,12152,97318690000.0,,5378,0.4426
2006-10-05,SELAN,EQ,78.15,79.85,80.7,78.2,78.75,79.0,79.79,7931,63281280000.00001,,5579,0.7034
2006-10-06,SELAN,EQ,79.0,77.9,79.25,76.05,76.05,76.7,77.41,3945,30536475000.0,,2796,0.7087000000000001
2006-10-09,SELAN,EQ,76.7,77.0,77.5,75.2,75.25,75.95,76.57,6622,50702700000.0,,2640,0.3987
2006-10-10,SELAN,EQ,75.95,78.5,78.5,75.25,75.25,75.75,76.95,4487,34525355000.0,,1724,0.38420000000000004
2006-10-11,SELAN,EQ,75.75,75.25,75.6,73.5,74.3,74.25,74.79,4349,32527605000.0,,3115,0.7162999999999999
2006-10-12,SELAN,EQ,74.25,73.05,74.2,62.6,73.5,73.45,72.92,5558,40526840000.0,,3091,0.5561
2006-10-13,SELAN,EQ,73.45,63.0,79.9,63.0,75.0,74.95,75.89,13286,100822695000.0,,5552,0.4179
2006-10-16,SELAN,EQ,74.95,77.25,77.3,70.15,71.6,71.5,73.69,7965,58691690000.0,,4926,0.6185
2006-10-17,SELAN,EQ,71.5,71.1,76.9,71.1,74.85,74.55,75.08,13647,102459525000.0,,8055,0.5902000000000001
2006-10-18,SELAN,EQ,74.55,75.45,76.35,70.2,73.3,73.35,74.19,5505,40843625000.0,,2356,0.428
2006-10-19,SELAN,EQ,73.35,75.25,75.3,72.0,72.5,72.1,73.17,4622,33819765000.000004,,2673,0.5783
2006-10-20,SELAN,EQ,72.1,75.1,78.0,70.1,73.6,73.8,74.78,8113,60672800000.0,,3518,0.4336
2006-10-21,SELAN,EQ,73.8,76.85,80.0,74.0,77.3,76.95,77.07,9132,70381660000.0,,7472,0.8181999999999999
2006-10-23,SELAN,EQ,76.95,84.9,84.9,74.0,74.5,74.35,75.76,5953,45101635000.0,,3103,0.5212
2006-10-26,SELAN,EQ,74.35,75.8,76.8,74.05,74.95,74.45,74.92,7659,57381885000.0,,5180,0.6763
2006-10-27,SELAN,EQ,74.45,77.8,77.8,73.0,74.0,73.75,74.59,9921,73995930000.0,,8695,0.8764000000000001
2006-10-30,SELAN,EQ,73.75,83.0,83.0,74.6,78.85,78.45,79.58,46602,370858515000.0,,27902,0.5987
2006-10-31,SELAN,EQ,78.45,77.1,80.9,75.1,80.0,79.2,78.38,19790,155105135000.0,,15767,0.7967000000000001
2006-11-01,SELAN,EQ,79.2,79.9,79.9,77.05,77.1,77.75,78.27,6438,50392615000.0,,4292,0.6667000000000001
2006-11-02,SELAN,EQ,77.75,77.0,78.5,75.3,75.35,75.85,76.94,4218,32452490000.000004,,2738,0.6491
