Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SESHAPAPER,EQ,85.0,84.1,84.1,84.0,,84.0,84.03,300,2521000000.0,,,
1996-01-02,SESHAPAPER,EQ,84.0,83.0,84.0,81.5,,84.0,83.08,600,4985000000.0,,,
1996-01-03,SESHAPAPER,EQ,84.0,86.0,86.0,86.0,,86.0,86.0,100,860000000.0,,,
1996-01-04,SESHAPAPER,EQ,86.0,83.0,83.0,82.1,,82.1,82.55,200,1651000000.0,,,
1996-01-05,SESHAPAPER,EQ,82.1,82.75,82.75,82.75,,82.75,82.75,100,827500000.0,,,
1996-01-08,SESHAPAPER,EQ,82.75,80.0,80.0,80.0,,80.0,80.0,200,1600000000.0,,,
1996-01-09,SESHAPAPER,EQ,80.0,80.0,81.0,80.0,,81.0,80.14,1000,8014000000.0,,,
1996-01-10,SESHAPAPER,EQ,81.0,80.0,80.0,75.05,,75.55,78.59,3500,27507000000.0,,,
1996-01-11,SESHAPAPER,EQ,75.55,75.0,76.0,72.4,,72.4,75.3,800,6024000000.0,,,
1996-01-12,SESHAPAPER,EQ,72.4,72.4,76.0,72.05,,72.05,74.25,1600,11880000000.0,,,
1996-01-15,SESHAPAPER,EQ,72.05,72.0,72.25,72.0,,72.25,72.2,1000,7220000000.0,,,
1996-01-16,SESHAPAPER,EQ,72.25,70.0,70.0,67.75,,68.5,68.59,1300,8917000000.0,,,
1996-01-17,SESHAPAPER,EQ,68.5,70.0,70.0,70.0,,70.0,70.0,300,2100000000.0,,,
1996-01-23,SESHAPAPER,EQ,70.0,69.95,70.0,67.0,,69.35,69.5,1200,8339500000.0,,,
1996-01-24,SESHAPAPER,EQ,69.35,66.0,67.1,66.0,,67.0,66.35,600,3981000000.0,,,
1996-01-25,SESHAPAPER,EQ,67.0,67.0,65.25,65.0,,65.0,65.18,700,4562500000.0,,,
1996-01-29,SESHAPAPER,EQ,65.0,65.0,65.0,65.0,,65.0,65.0,200,1300000000.0,,,
1996-01-30,SESHAPAPER,EQ,65.0,65.0,64.5,62.5,,64.5,63.67,600,3820000000.0,,,
1996-01-31,SESHAPAPER,EQ,64.5,65.25,65.5,65.0,,65.0,65.24,5500,35880000000.0,,,
1996-02-01,SESHAPAPER,EQ,65.0,65.0,65.0,64.5,,65.0,64.68,1100,7115000000.0,,,
1996-02-02,SESHAPAPER,EQ,65.0,65.0,65.0,62.5,,64.7,64.81,1800,11665000000.0,,,
1996-02-05,SESHAPAPER,EQ,64.7,66.75,66.75,65.0,,66.75,66.63,3100,20654500000.0,,,
1996-02-06,SESHAPAPER,EQ,66.75,67.25,67.25,66.0,,66.0,66.62,3600,23981500000.0,,,
