Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-12-15,SHALBY,EQ,248.0,239.7,254.8,236.45,237.05,239.6,246.14,10353180,254831448410000.0,128600,2107094,0.20350000000000001
2017-12-18,SHALBY,EQ,239.6,237.05,237.9,220.0,220.0,221.8,227.48,1007116,22909759125000.0,21085,354735,0.3522
2017-12-19,SHALBY,EQ,221.8,222.2,224.45,213.1,215.1,216.3,217.07,864940,18775016245000.0,15484,298352,0.34490000000000004
2017-12-20,SHALBY,EQ,216.3,216.95,225.5,214.45,220.25,219.15,220.94,783452,17309772565000.0,11939,221229,0.2824
2017-12-21,SHALBY,EQ,219.15,220.0,223.95,220.0,221.4,221.95,221.68,331141,7340585580000.0,5289,153617,0.46390000000000003
2017-12-22,SHALBY,EQ,221.95,221.7,223.3,217.9,219.3,219.0,219.6,542966,11923746660000.0,5730,143970,0.2652
2017-12-26,SHALBY,EQ,219.0,219.5,220.0,216.3,217.0,218.1,217.98,514021,11204790100000.0,6297,122959,0.23920000000000002
2017-12-27,SHALBY,EQ,218.1,218.4,218.8,212.35,212.75,213.75,215.34,532979,11477126225000.0,6635,119052,0.22340000000000002
2017-12-28,SHALBY,EQ,213.75,213.65,215.7,209.9,215.0,214.35,212.55,615519,13083084550000.0,9320,151908,0.2468
2017-12-29,SHALBY,EQ,214.35,215.0,219.7,214.35,215.95,215.25,216.36,522673,11308557670000.0,5794,105642,0.2021
2018-01-01,SHALBY,EQ,215.25,217.0,236.9,217.0,229.4,228.2,230.32,1687684,38870315585000.0,21799,418311,0.2479
2018-01-02,SHALBY,EQ,228.2,230.15,240.85,230.15,236.5,235.75,235.4,937581,22070785855000.0,11832,294972,0.3146
2018-01-03,SHALBY,EQ,235.75,236.5,243.7,235.0,239.0,238.8,238.62,497297,11866427300000.0,7604,213807,0.4299
