Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SHREYANIND,EQ,70.0,68.5,70.0,68.5,,70.0,69.51,350,2433000000.0,,,
1996-01-02,SHREYANIND,EQ,70.0,70.0,70.95,70.0,,70.0,70.2,500,3509750000.0,,,
1996-01-03,SHREYANIND,EQ,70.0,64.5,64.5,64.5,,64.5,64.5,100,645000000.0,,,
1996-01-04,SHREYANIND,EQ,64.5,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-01-05,SHREYANIND,EQ,70.0,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-01-09,SHREYANIND,EQ,65.0,64.5,64.5,64.5,,64.5,64.5,50,322500000.0,,,
1996-01-10,SHREYANIND,EQ,64.5,65.5,65.5,65.5,,65.5,65.5,200,1310000000.0,,,
1996-01-16,SHREYANIND,EQ,65.5,64.0,64.0,64.0,,64.0,64.0,50,320000000.0,,,
1996-01-17,SHREYANIND,EQ,64.0,60.0,62.05,60.0,,62.05,60.68,150,910250000.0,,,
1996-01-18,SHREYANIND,EQ,62.05,59.5,59.5,59.5,,59.5,59.5,100,595000000.0,,,
1996-01-19,SHREYANIND,EQ,59.5,59.0,59.0,56.0,,56.5,57.25,500,2862500000.0,,,
1996-01-23,SHREYANIND,EQ,56.5,56.5,53.05,53.0,,53.0,53.02,150,795250000.0,,,
1996-01-24,SHREYANIND,EQ,53.0,53.0,53.0,53.0,,53.0,53.0,200,1060000000.0,,,
1996-01-29,SHREYANIND,EQ,53.0,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,
1996-01-31,SHREYANIND,EQ,55.0,51.95,55.0,51.95,,55.0,53.49,200,1069750000.0,,,
1996-02-01,SHREYANIND,EQ,55.0,54.05,57.75,54.05,,57.75,56.52,150,847750000.0,,,
1996-02-02,SHREYANIND,EQ,57.75,60.0,61.0,60.0,,61.0,60.5,200,1210000000.0,,,
1996-02-05,SHREYANIND,EQ,61.0,62.0,62.0,60.0,,60.0,60.82,250,1520500000.0,,,
1996-02-06,SHREYANIND,EQ,60.0,60.5,65.0,60.5,,65.0,62.11,2000,12422500000.0,,,
1996-02-08,SHREYANIND,EQ,65.0,63.75,63.75,63.75,,63.75,63.75,300,1912500000.0,,,
1996-02-09,SHREYANIND,EQ,63.75,64.0,64.0,63.5,,63.5,63.67,150,955000000.0,,,
1996-02-12,SHREYANIND,EQ,63.5,65.25,67.0,65.25,,67.0,65.83,150,987500000.0,,,
1996-02-13,SHREYANIND,EQ,67.0,67.0,70.0,67.0,,67.5,68.43,1050,7185000000.0,,,
1996-02-14,SHREYANIND,EQ,67.5,67.0,67.0,67.0,,67.0,67.0,100,670000000.0,,,
1996-02-15,SHREYANIND,EQ,67.0,67.0,70.0,67.0,,70.0,68.53,300,2056000000.0,,,
1996-02-16,SHREYANIND,EQ,70.0,69.0,69.0,67.0,,67.0,67.82,400,2712750000.0,,,
1996-02-19,SHREYANIND,EQ,67.0,66.0,66.95,66.0,,66.95,66.48,100,664750000.0,,,
1996-02-20,SHREYANIND,EQ,66.95,68.0,68.0,64.0,,65.25,66.13,500,3306250000.0,,,
1996-02-22,SHREYANIND,EQ,65.25,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-02-23,SHREYANIND,EQ,65.0,64.0,64.0,64.0,,64.0,64.0,50,320000000.0,,,
1996-02-26,SHREYANIND,EQ,64.0,67.0,67.05,67.0,,67.0,67.01,550,3685500000.0,,,
1996-02-27,SHREYANIND,EQ,67.0,67.0,67.0,67.0,,67.0,67.0,50,335000000.0,,,
1996-03-04,SHREYANIND,EQ,67.0,60.3,60.3,60.3,,60.3,60.3,100,603000000.0,,,
1996-03-06,SHREYANIND,EQ,60.3,60.0,61.0,59.0,,59.0,59.73,750,4480000000.0,,,
1996-03-07,SHREYANIND,EQ,59.0,56.0,56.0,56.0,,56.0,56.0,50,280000000.0,,,
1996-03-08,SHREYANIND,EQ,56.0,55.5,55.5,53.0,,53.0,55.0,450,2475000000.0,,,
1996-03-11,SHREYANIND,EQ,53.0,53.0,53.5,53.0,,53.5,53.17,150,797500000.0,,,
1996-03-12,SHREYANIND,EQ,53.5,53.5,55.0,55.0,,55.0,55.0,100,550000000.0,,,
1996-03-13,SHREYANIND,EQ,55.0,55.0,55.0,54.0,,54.0,54.6,250,1365000000.0,,,
1996-03-14,SHREYANIND,EQ,54.0,51.95,53.0,51.95,,53.0,52.49,200,1049750000.0,,,
1996-03-15,SHREYANIND,EQ,53.0,53.25,54.75,53.25,,54.75,54.13,1250,6766250000.0,,,
1996-03-19,SHREYANIND,EQ,54.75,53.0,53.0,52.1,,52.1,52.18,600,3130500000.0,,,
1996-03-25,SHREYANIND,EQ,52.1,52.0,52.0,52.0,,52.0,52.0,50,260000000.0,,,
1996-03-26,SHREYANIND,EQ,52.0,52.5,52.5,51.0,,52.0,52.0,350,1820000000.0,,,
1996-03-27,SHREYANIND,EQ,52.0,51.75,52.0,51.75,,52.0,51.92,150,778750000.0,,,
1996-03-28,SHREYANIND,EQ,52.0,50.5,51.0,50.5,,51.0,50.88,650,3307500000.0,,,
1996-03-29,SHREYANIND,EQ,51.0,51.0,51.5,50.0,,51.0,50.76,1450,7359500000.0,,,
1996-04-01,SHREYANIND,EQ,51.0,48.75,48.75,48.0,,48.0,48.44,1600,7750000000.0,,,
1996-04-02,SHREYANIND,EQ,48.0,46.0,48.5,46.0,,47.0,47.21,2800,13218000000.0,,,
1996-04-03,SHREYANIND,EQ,47.0,50.25,50.75,50.0,,50.75,50.14,800,4011250000.0,,,
1996-04-04,SHREYANIND,EQ,50.75,51.0,52.95,50.0,,52.0,51.71,1250,6464250000.0,,,
1996-04-08,SHREYANIND,EQ,52.0,51.0,55.0,51.0,,54.25,54.12,2550,13801250000.0,,,
1996-04-09,SHREYANIND,EQ,54.25,55.0,56.0,54.0,,54.4,55.14,2150,11854500000.0,,,
1996-04-10,SHREYANIND,EQ,54.4,54.0,54.0,53.6,,54.0,53.81,300,1614250000.0,,,
1996-04-11,SHREYANIND,EQ,54.0,53.0,53.5,51.6,,53.0,52.48,1000,5248250000.0,,,
1996-04-12,SHREYANIND,EQ,53.0,52.5,52.5,52.5,,52.5,52.5,100,525000000.0,,,
1996-04-15,SHREYANIND,EQ,52.5,52.5,52.5,52.0,,52.0,52.25,100,522500000.0,,,
1996-04-16,SHREYANIND,EQ,52.0,52.0,52.8,52.0,,52.5,52.12,1300,6775000000.0,,,
1996-04-17,SHREYANIND,EQ,52.5,53.5,54.0,52.0,,54.0,53.0,1200,6359750000.0,,,
1996-04-18,SHREYANIND,EQ,54.0,53.75,53.75,51.5,,51.5,53.3,250,1332500000.0,,,
1996-04-23,SHREYANIND,EQ,51.5,53.0,53.0,51.0,,51.0,52.82,550,2905000000.0,,,
1996-04-24,SHREYANIND,EQ,51.0,52.0,54.0,51.25,,51.25,52.94,700,3705750000.0,,,
1996-04-25,SHREYANIND,EQ,51.25,51.25,54.0,51.25,,52.5,52.9,1500,7935500000.0,,,
1996-04-26,SHREYANIND,EQ,52.5,50.5,51.0,50.5,,51.0,50.63,200,1012500000.0,,,
1996-04-29,SHREYANIND,EQ,51.0,49.0,49.0,48.05,,48.15,48.39,1000,4838500000.0,,,
1996-04-30,SHREYANIND,EQ,48.15,49.0,49.0,48.0,,48.0,48.09,800,3847500000.0,,,
1996-05-01,SHREYANIND,EQ,48.0,49.95,50.0,49.95,,50.0,49.99,300,1499750000.0,,,
1996-05-02,SHREYANIND,EQ,50.0,51.0,51.0,50.0,,50.0,50.43,350,1765000000.0,,,
1996-05-03,SHREYANIND,EQ,50.0,50.0,50.0,50.0,,50.0,50.0,100,500000000.0,,,
1996-05-06,SHREYANIND,EQ,50.0,48.05,52.0,48.05,,52.0,50.01,250,1250250000.0,,,
1996-05-07,SHREYANIND,EQ,52.0,50.0,50.0,48.0,,48.15,48.41,1150,5567500000.0,,,
1996-05-09,SHREYANIND,EQ,48.15,49.0,49.0,49.0,,49.0,49.0,100,490000000.0,,,
1996-05-10,SHREYANIND,EQ,49.0,49.0,51.0,48.0,,48.0,49.56,450,2230000000.0,,,
1996-05-13,SHREYANIND,EQ,48.0,48.5,48.75,48.5,,48.75,48.61,250,1215250000.0,,,
1996-05-15,SHREYANIND,EQ,48.75,46.0,46.0,46.0,,46.0,46.0,100,460000000.0,,,
1996-05-16,SHREYANIND,EQ,46.0,47.75,48.0,47.75,,48.0,47.88,200,957500000.0,,,
1996-05-17,SHREYANIND,EQ,48.0,47.0,47.75,46.75,,47.0,47.36,550,2605000000.0,,,
1996-05-20,SHREYANIND,EQ,47.0,47.0,47.0,45.1,,45.1,46.73,350,1635500000.0,,,
1996-05-21,SHREYANIND,EQ,45.1,46.0,46.0,45.5,,46.0,45.95,550,2527500000.0,,,
1996-05-22,SHREYANIND,EQ,46.0,46.0,45.6,45.6,,45.6,45.6,50,228000000.0,,,
1996-05-23,SHREYANIND,EQ,45.6,45.5,47.0,45.5,,47.0,46.32,250,1158000000.0,,,
1996-05-24,SHREYANIND,EQ,47.0,46.5,46.5,44.0,,44.0,45.33,300,1360000000.0,,,
1996-05-27,SHREYANIND,EQ,44.0,46.0,46.0,44.0,,44.95,44.67,750,3350500000.0,,,
1996-05-28,SHREYANIND,EQ,44.95,45.0,46.75,44.0,,44.25,45.25,500,2262500000.0,,,
1996-05-29,SHREYANIND,EQ,44.25,46.0,46.0,46.0,,46.0,46.0,100,460000000.0,,,
1996-05-31,SHREYANIND,EQ,46.0,45.9,46.0,45.9,,45.95,45.93,300,1378000000.0,,,
