Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SHREYASHIP,EQ,20.75,20.55,20.55,20.5,,20.5,20.52,800,1641500000.0,,,
1996-01-02,SHREYASHIP,EQ,20.5,20.05,20.25,20.0,,20.25,20.08,1100,2208500000.0,,,
1996-01-03,SHREYASHIP,EQ,20.25,21.5,21.5,20.0,,20.6,20.6,2100,4327000000.0,,,
1996-01-04,SHREYASHIP,EQ,20.6,20.95,21.5,20.95,,21.2,21.18,1100,2330000000.0,,,
1996-01-05,SHREYASHIP,EQ,21.2,21.0,21.5,21.0,,21.5,21.4,1200,2567500000.0,,,
1996-01-08,SHREYASHIP,EQ,21.5,21.5,21.8,21.25,,21.55,21.51,6000,12907500000.0,,,
1996-01-09,SHREYASHIP,EQ,21.55,20.75,20.8,20.6,,20.6,20.72,1800,3729500000.0,,,
1996-01-10,SHREYASHIP,EQ,20.6,20.75,20.75,20.25,,20.5,20.52,1500,3077500000.0,,,
1996-01-11,SHREYASHIP,EQ,20.5,20.5,20.5,20.25,,20.3,20.35,300,610500000.0,,,
1996-01-12,SHREYASHIP,EQ,20.3,20.3,20.3,19.0,,19.35,19.77,500,988500000.0,,,
1996-01-15,SHREYASHIP,EQ,19.35,20.0,20.0,19.25,,20.0,19.92,900,1792500000.0,,,
1996-01-16,SHREYASHIP,EQ,20.0,18.75,19.45,18.5,,19.25,18.61,4900,9118500000.0,,,
1996-01-17,SHREYASHIP,EQ,19.25,19.0,19.0,18.5,,18.5,18.6,1000,1860000000.0,,,
1996-01-18,SHREYASHIP,EQ,18.5,18.5,18.5,18.5,,18.5,18.5,200,370000000.0,,,
1996-01-19,SHREYASHIP,EQ,18.5,18.5,20.0,18.4,,19.9,19.35,8400,16257000000.0,,,
1996-01-22,SHREYASHIP,EQ,19.9,19.5,20.0,19.5,,19.85,19.61,800,1568500000.0,,,
1996-01-23,SHREYASHIP,EQ,19.85,19.5,19.5,19.0,,19.0,19.15,1300,2490000000.0,,,
1996-01-25,SHREYASHIP,EQ,19.0,18.0,18.6,18.0,,18.0,18.38,800,1470000000.0,,,
1996-01-29,SHREYASHIP,EQ,18.0,17.5,17.5,17.0,,17.0,17.42,600,1045000000.0,,,
1996-01-30,SHREYASHIP,EQ,17.0,17.0,17.4,17.0,,17.05,17.07,1700,2901500000.0,,,
1996-01-31,SHREYASHIP,EQ,17.05,18.0,18.75,17.9,,18.75,18.11,9500,17205500000.0,,,
1996-02-01,SHREYASHIP,EQ,18.75,18.5,18.5,18.25,,18.25,18.34,2800,5136000000.0,,,
1996-02-02,SHREYASHIP,EQ,18.25,18.25,19.5,18.5,,19.5,18.87,3400,6415500000.0,,,
1996-02-05,SHREYASHIP,EQ,19.5,19.5,19.25,18.75,,18.75,18.83,600,1130000000.0,,,
1996-02-06,SHREYASHIP,EQ,18.75,18.75,19.0,18.0,,18.45,18.51,1900,3517500000.0,,,
1996-02-07,SHREYASHIP,EQ,18.45,18.45,18.5,18.4,,18.4,18.45,400,738000000.0,,,
1996-02-08,SHREYASHIP,EQ,18.4,18.4,19.0,18.25,,18.25,18.73,800,1498000000.0,,,
1996-02-09,SHREYASHIP,EQ,18.25,19.0,19.0,18.75,,18.75,18.79,1200,2255000000.0,,,
1996-02-12,SHREYASHIP,EQ,18.75,19.5,19.5,19.0,,19.0,19.19,1300,2495000000.0,,,
1996-02-13,SHREYASHIP,EQ,19.0,19.0,19.5,18.75,,18.75,18.97,900,1707500000.0,,,
1996-02-14,SHREYASHIP,EQ,18.75,19.75,20.0,19.5,,19.6,19.75,2100,4147500000.0,,,
1996-02-15,SHREYASHIP,EQ,19.6,20.0,20.0,19.5,,19.55,19.79,1700,3365000000.0,,,
1996-02-16,SHREYASHIP,EQ,19.55,19.5,20.0,19.25,,20.0,19.56,400,782500000.0,,,
1996-02-19,SHREYASHIP,EQ,20.0,18.0,18.6,18.0,,18.6,18.39,900,1655500000.0,,,
1996-02-20,SHREYASHIP,EQ,18.6,18.9,19.0,18.0,,18.75,18.4,3700,6809500000.0,,,
1996-02-22,SHREYASHIP,EQ,18.75,18.65,18.65,18.0,,18.0,18.05,1300,2346500000.0,,,
1996-02-23,SHREYASHIP,EQ,18.0,19.25,19.25,18.0,,18.0,18.26,2400,4382500000.0,,,
1996-02-26,SHREYASHIP,EQ,18.0,18.4,18.4,18.4,,18.4,18.4,700,1288000000.0,,,
