Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-04-04,SHRIRAMCIT,EQ,31.55,38.0,39.8,35.05,35.05,35.65,38.29,55178,211302275000.0,,11670,0.2115
2005-04-05,SHRIRAMCIT,EQ,35.65,38.0,38.0,34.6,34.7,35.15,36.04,14858,53550350000.0,,10173,0.6847
2005-04-06,SHRIRAMCIT,EQ,35.15,35.0,35.35,34.65,34.95,35.0,35.09,8030,28173850000.0,,7980,0.9938
2005-04-07,SHRIRAMCIT,EQ,35.0,34.35,35.85,34.3,34.45,34.55,34.54,4975,17183870000.0,,4785,0.9618000000000001
2005-04-08,SHRIRAMCIT,EQ,34.55,34.15,34.5,33.6,33.65,33.65,33.96,2484,8435389999.999999,,2249,0.9054000000000001
2005-04-11,SHRIRAMCIT,EQ,33.65,33.3,34.45,33.15,33.45,33.35,33.35,9433,31462400000.0,,9142,0.9692000000000001
2005-04-12,SHRIRAMCIT,EQ,33.35,33.5,33.5,32.9,33.05,33.15,33.12,1929,6389200000.0,,1530,0.7931999999999999
2005-04-13,SHRIRAMCIT,EQ,33.15,33.95,35.4,33.5,34.25,34.45,34.35,7879,27061940000.000004,,6575,0.8345
2005-04-15,SHRIRAMCIT,EQ,34.45,34.7,34.75,33.4,34.1,34.05,34.36,1760,6048000000.0,,1105,0.6278
2005-04-18,SHRIRAMCIT,EQ,34.05,34.0,34.4,34.0,34.15,34.2,34.2,915,3129175000.0,,400,0.4372
2005-04-19,SHRIRAMCIT,EQ,34.2,35.4,36.75,34.5,34.6,35.3,35.58,27980,99547180000.0,,19500,0.6969
2005-04-20,SHRIRAMCIT,EQ,35.3,34.9,36.65,34.3,35.15,35.4,34.99,16896,59119025000.0,,14666,0.868
2005-04-21,SHRIRAMCIT,EQ,35.4,35.7,35.7,35.3,35.5,35.5,35.54,3975,14128450000.0,,3475,0.8742000000000001
2005-04-22,SHRIRAMCIT,EQ,35.5,34.6,36.45,34.6,35.1,35.1,35.25,2075,7314875000.0,,1975,0.9518000000000001
2005-04-25,SHRIRAMCIT,EQ,35.1,35.95,36.15,35.1,35.95,35.85,35.89,5999,21532390000.0,,4998,0.8331000000000001
2005-04-26,SHRIRAMCIT,EQ,35.85,35.0,36.0,35.0,35.25,35.25,35.75,5308,18977140000.0,,5005,0.9429000000000001
2005-04-27,SHRIRAMCIT,EQ,35.25,35.0,36.0,35.0,36.0,36.0,35.68,3479,12412265000.0,,3479,1.0
2005-04-28,SHRIRAMCIT,EQ,36.0,35.5,36.4,35.3,35.75,35.75,36.1,5971,21553475000.0,,5381,0.9012000000000001
2005-04-29,SHRIRAMCIT,EQ,35.75,35.5,35.95,35.05,35.05,35.15,35.35,1844,6517845000.0,,1595,0.865
2005-05-02,SHRIRAMCIT,EQ,35.15,35.5,35.9,35.45,35.55,35.7,35.52,2800,9946625000.0,,2525,0.9018
2005-05-03,SHRIRAMCIT,EQ,35.7,35.5,36.0,35.45,35.5,35.5,35.56,3274,11642695000.0,,3274,1.0
2005-05-04,SHRIRAMCIT,EQ,35.5,35.95,35.95,35.25,35.25,35.25,35.33,1922,6790225000.0,,1900,0.9886
2005-05-05,SHRIRAMCIT,EQ,35.25,35.3,36.15,35.3,35.75,35.75,35.57,11515,40957250000.0,,11365,0.9870000000000001
2005-05-06,SHRIRAMCIT,EQ,35.75,35.9,35.95,35.5,35.5,35.5,35.72,1420,5072000000.0,,1370,0.9648000000000001
2005-05-09,SHRIRAMCIT,EQ,35.5,35.25,36.5,35.25,36.15,36.1,35.61,2370,8439075000.0,,2200,0.9283
2005-05-10,SHRIRAMCIT,EQ,36.1,35.4,35.65,35.4,35.6,35.65,35.44,4020,14245050000.0,,3720,0.9254000000000001
2005-05-11,SHRIRAMCIT,EQ,35.65,35.9,35.9,35.65,35.7,35.7,35.85,11140,39941400000.0,,10735,0.9636
2005-05-12,SHRIRAMCIT,EQ,35.7,36.35,36.5,35.5,35.5,35.5,35.92,4125,14816275000.0,,2825,0.6848000000000001
2005-05-13,SHRIRAMCIT,EQ,35.5,36.2,36.5,35.6,36.5,36.4,36.14,7981,28840084999.999996,,5020,0.629
2005-05-16,SHRIRAMCIT,EQ,36.4,37.0,37.0,36.4,36.8,36.8,36.62,3407,12477920000.0,,2176,0.6386999999999999
2005-05-17,SHRIRAMCIT,EQ,36.8,36.2,36.9,36.2,36.2,36.25,36.41,3775,13743375000.0,,3475,0.9205
2005-05-18,SHRIRAMCIT,EQ,36.25,36.05,36.4,36.0,36.4,36.35,36.25,1625,5889875000.0,,1500,0.9231
