Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-01-28,SIL,EQ,3.85,5.1,5.1,5.1,5.1,5.1,5.1,1,509999.99999999994,,1,1.0
2004-01-29,SIL,EQ,5.1,6.15,6.15,6.15,6.15,6.15,6.15,2,1230000.0,,1,0.5
2004-01-30,SIL,EQ,6.15,7.4,7.4,6.05,6.35,6.4,6.88,20403,14035640000.0,,14649,0.718
2004-02-03,SIL,EQ,6.4,6.4,6.4,5.8,6.35,6.05,6.09,12501,7608655000.0,,12500,0.9999
2004-02-04,SIL,EQ,6.05,6.0,6.1,5.4,6.0,6.0,5.84,10500,6134500000.0,,6400,0.6095
2004-02-05,SIL,EQ,6.0,5.75,6.25,5.75,5.85,5.9,6.05,39044,23603210000.0,,36561,0.9364
2004-02-06,SIL,EQ,5.9,5.6,6.0,5.5,5.95,5.95,5.78,3602,2081650000.0,,3600,0.9994
2004-02-09,SIL,EQ,5.95,5.55,5.95,5.55,5.75,5.75,5.89,1012,595660000.0,,1012,1.0
2004-02-10,SIL,EQ,5.75,6.0,6.0,5.3,5.3,5.3,5.5,11068,6091440000.0,,8700,0.7859999999999999
2004-02-11,SIL,EQ,5.3,5.7,5.75,5.25,5.25,5.3,5.53,5375,2970475000.0,,5375,1.0
2004-02-12,SIL,EQ,5.3,5.05,5.2,4.9,5.2,5.2,4.97,5013,2493545000.0,,5013,1.0
2004-02-13,SIL,EQ,5.2,5.65,5.85,5.2,5.85,5.85,5.58,10100,5640500000.0,,9100,0.9009999999999999
2004-02-16,SIL,EQ,5.85,5.9,6.75,5.9,6.6,6.6,6.57,9992,6561470000.0,,8192,0.8199
2004-02-17,SIL,EQ,6.6,7.05,7.05,6.4,6.5,6.5,6.52,7300,4757750000.0,,7000,0.9589
2004-02-18,SIL,EQ,6.5,6.9,6.9,6.35,6.35,6.4,6.42,13302,8545564999.999999,,13210,0.9931000000000001
2004-02-19,SIL,EQ,6.4,7.0,7.0,5.85,5.85,5.9,6.2,14690,9107950000.0,,11890,0.8094
