Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-03,SILGO,EQ,44.85,47.95,53.8,47.95,53.8,53.8,52.87,124657,659094580000.0,846,63354,0.5082
2021-03-04,SILGO,EQ,53.8,56.0,64.55,56.0,60.0,63.75,63.77,485381,3095145050000.0,2889,200476,0.413
2021-03-05,SILGO,EQ,63.75,61.9,61.9,52.15,53.1,54.65,55.18,291107,1606440130000.0,2519,156355,0.5371
2021-03-08,SILGO,EQ,54.65,52.0,54.9,45.7,49.6,50.45,51.23,97878,501382695000.0,1159,46864,0.47880000000000006
2021-03-09,SILGO,EQ,50.45,50.0,54.85,50.0,50.25,51.3,52.99,51374,272247840000.0,704,18057,0.3515
2021-03-10,SILGO,EQ,51.3,52.0,54.25,50.1,50.3,50.3,51.3,25772,132218339999.99998,319,10130,0.3931
2021-03-12,SILGO,EQ,50.3,51.95,52.0,46.5,47.0,48.15,49.01,31420,153976825000.0,361,14913,0.4746
2021-03-15,SILGO,EQ,48.15,48.2,49.8,45.8,46.95,46.6,47.33,26351,124732039999.99998,335,12287,0.46630000000000005
2021-03-16,SILGO,EQ,46.6,49.25,49.6,45.0,46.65,46.0,46.64,22816,106412475000.0,244,10322,0.4524
2021-03-17,SILGO,EQ,46.0,47.05,47.8,41.45,43.6,43.75,44.5,33896,150822350000.0,383,23586,0.6958
2021-03-18,SILGO,EQ,43.75,44.1,45.0,43.0,43.5,43.7,43.81,5687,24915960000.0,114,3514,0.6179
2021-03-19,SILGO,EQ,43.7,39.6,43.7,39.6,41.0,41.5,40.97,18601,76200550000.0,320,8846,0.4756
2021-03-22,SILGO,EQ,41.5,41.5,41.5,36.85,38.5,39.0,39.06,28095,109745514999.99998,411,16783,0.5974
2021-03-23,SILGO,EQ,39.0,44.45,46.8,42.0,46.8,46.8,46.17,106679,492515380000.0,857,41803,0.39189999999999997
2021-03-24,SILGO,EQ,46.8,55.45,56.15,52.5,56.15,55.7,55.67,381867,2126030745000.0,2553,177345,0.4644
2021-03-25,SILGO,EQ,55.7,57.0,66.7,53.05,53.6,55.2,60.92,888946,5415766690000.0,8989,215675,0.2426
2021-03-26,SILGO,EQ,55.2,55.3,58.0,46.8,48.5,50.8,53.9,186703,1006244194999.9999,2508,68048,0.36450000000000005
2021-03-30,SILGO,EQ,50.8,49.0,49.95,46.5,47.0,46.95,48.31,67665,326903005000.0,1145,37814,0.5588000000000001
2021-03-31,SILGO,EQ,46.95,48.9,56.3,47.0,56.3,56.3,55.2,270522,1493233865000.0,2491,109997,0.40659999999999996
2021-04-01,SILGO,EQ,56.3,59.0,65.0,54.5,55.4,55.65,60.12,456570,2744874915000.0,5067,168440,0.3689
2021-04-05,SILGO,EQ,55.65,57.4,57.9,52.0,53.0,53.15,53.59,96223,515640230000.0,1178,31690,0.3293
2021-04-06,SILGO,EQ,53.15,54.95,54.95,48.6,49.0,50.75,51.41,65127,334840025000.0,670,37283,0.5725
2021-04-07,SILGO,EQ,50.75,51.5,59.85,50.1,54.3,54.25,56.02,351672,1969909260000.0002,3832,93319,0.26539999999999997
2021-04-08,SILGO,EQ,54.25,55.8,56.75,53.4,54.0,53.9,54.8,64191,351772015000.0,829,28968,0.45130000000000003
2021-04-09,SILGO,EQ,53.9,54.7,54.7,50.35,52.7,53.0,52.3,115581,604542315000.0,558,93290,0.8070999999999999
2021-04-12,SILGO,EQ,53.0,52.8,53.4,49.4,50.55,50.5,51.39,32642,167745315000.0,504,19216,0.5887
2021-04-13,SILGO,EQ,50.5,50.9,54.0,50.65,53.1,52.65,51.76,133378,690324315000.0,426,116656,0.8745999999999999
