Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SPLLTD,EQ,310.0,315.0,330.0,315.0,,330.0,327.5,1000,32750000000.0,,,
1996-01-02,SPLLTD,EQ,330.0,330.0,314.0,314.0,,314.0,314.0,100,3140000000.0,,,
1996-01-03,SPLLTD,EQ,314.0,330.0,330.0,308.0,,308.0,327.25,800,26180000000.0,,,
1996-01-04,SPLLTD,EQ,308.0,300.0,300.0,300.0,,300.0,300.0,100,3000000000.0,,,
1996-01-08,SPLLTD,EQ,300.0,300.0,300.0,298.0,,298.0,299.0,200,5980000000.0,,,
1996-01-09,SPLLTD,EQ,298.0,298.0,314.95,290.0,,290.0,308.77,1000,30876500000.0,,,
1996-01-10,SPLLTD,EQ,290.0,290.0,290.0,290.0,,290.0,290.0,200,5800000000.0,,,
1996-01-12,SPLLTD,EQ,290.0,279.5,280.0,279.5,,280.0,279.83,300,8395000000.0,,,
1996-01-15,SPLLTD,EQ,280.0,291.0,300.0,291.0,,300.0,295.33,300,8860000000.0,,,
1996-01-16,SPLLTD,EQ,300.0,300.0,300.0,300.0,,300.0,300.0,100,3000000000.0,,,
1996-01-17,SPLLTD,EQ,300.0,300.0,295.0,280.0,,295.0,283.75,400,11350000000.0,,,
1996-01-18,SPLLTD,EQ,295.0,300.0,300.0,300.0,,300.0,300.0,100,3000000000.0,,,
1996-01-19,SPLLTD,EQ,300.0,300.0,281.0,275.0,,275.0,278.67,300,8360000000.0,,,
1996-01-22,SPLLTD,EQ,275.0,275.0,275.0,270.0,,270.0,274.0,500,13700000000.0,,,
1996-01-30,SPLLTD,EQ,270.0,270.0,270.0,270.0,,270.0,270.0,100,2700000000.0,,,
1996-01-31,SPLLTD,EQ,270.0,270.0,297.0,265.0,,274.0,272.99,1000,27299000000.0,,,
1996-02-02,SPLLTD,EQ,274.0,275.0,275.0,275.0,,275.0,275.0,100,2750000000.0,,,
1996-02-05,SPLLTD,EQ,275.0,298.0,302.5,275.0,,285.85,298.98,2500,74745000000.0,,,
1996-02-06,SPLLTD,EQ,285.85,285.85,303.0,295.0,,299.0,301.28,2300,69295000000.0,,,
1996-02-07,SPLLTD,EQ,299.0,300.0,300.0,300.0,,300.0,300.0,200,6000000000.0,,,
1996-02-08,SPLLTD,EQ,300.0,300.0,300.0,300.0,,300.0,300.0,100,3000000000.0,,,
1996-02-09,SPLLTD,EQ,300.0,302.0,302.0,299.0,,300.0,300.88,800,24070000000.0,,,
1996-02-12,SPLLTD,EQ,300.0,305.0,310.0,305.0,,310.0,305.38,1300,39700000000.0,,,
1996-02-13,SPLLTD,EQ,310.0,305.0,310.0,304.0,,310.0,305.43,700,21380000000.0,,,
1996-02-14,SPLLTD,EQ,310.0,310.0,325.0,310.0,,324.0,319.94,4900,156770000000.0,,,
1996-02-15,SPLLTD,EQ,324.0,324.0,323.0,319.0,,320.85,319.76,1700,54360000000.0,,,
1996-02-16,SPLLTD,EQ,320.85,320.0,320.0,310.0,,310.0,315.0,200,6300000000.0,,,
1996-02-19,SPLLTD,EQ,310.0,313.0,324.5,310.0,,324.5,319.93,2300,73585000000.0,,,
1996-02-20,SPLLTD,EQ,324.5,310.0,324.0,310.0,,324.0,323.56,3200,103540000000.0,,,
1996-02-22,SPLLTD,EQ,324.0,307.0,308.5,306.0,,308.5,308.17,1200,36980000000.0,,,
1996-02-23,SPLLTD,EQ,308.5,305.0,305.0,303.0,,304.0,304.0,300,9120000000.0,,,
1996-02-26,SPLLTD,EQ,304.0,310.0,310.0,300.0,,306.8,305.19,1400,42726000000.0,,,
1996-02-27,SPLLTD,EQ,306.8,301.0,307.0,301.0,,306.35,304.3,1000,30430000000.0,,,
1996-02-28,SPLLTD,EQ,306.35,306.35,303.5,300.3,,300.3,301.41,500,15070500000.0,,,
1996-02-29,SPLLTD,EQ,300.3,300.3,302.25,300.0,,300.0,300.83,1800,54149000000.0,,,
1996-03-01,SPLLTD,EQ,300.0,300.0,300.0,294.95,,297.35,297.29,1000,29729000000.0,,,
1996-03-04,SPLLTD,EQ,297.35,300.0,300.0,297.0,,297.0,298.5,200,5970000000.0,,,
1996-03-06,SPLLTD,EQ,297.0,297.0,326.7,280.0,,326.7,320.15,16300,521850500000.0,,,
1996-03-07,SPLLTD,EQ,326.7,324.5,324.5,324.5,,324.5,324.5,10000,324500000000.0,,,
1996-03-08,SPLLTD,EQ,324.5,324.5,324.95,292.0,,317.95,321.95,12000,386345500000.0,,,
1996-03-11,SPLLTD,EQ,317.95,310.0,310.0,290.0,,290.0,297.5,600,17850000000.0,,,
1996-03-13,SPLLTD,EQ,290.0,319.0,319.0,300.0,,304.7,310.45,13200,409790000000.0,,,
1996-03-14,SPLLTD,EQ,304.7,304.7,312.95,285.0,,290.0,294.09,1000,29409000000.0,,,
1996-03-15,SPLLTD,EQ,290.0,309.95,309.95,304.75,,304.75,307.35,200,6147000000.0,,,
1996-03-18,SPLLTD,EQ,304.75,299.0,303.0,294.0,,297.85,297.51,3600,107104000000.0,,,
1996-03-19,SPLLTD,EQ,297.85,297.85,300.0,290.0,,290.35,293.25,2200,64515000000.0,,,
1996-03-21,SPLLTD,EQ,290.35,290.35,304.0,304.0,,304.0,304.0,100,3040000000.0,,,
1996-03-25,SPLLTD,EQ,304.0,309.0,309.0,274.0,,274.0,283.75,400,11350000000.0,,,
1996-03-26,SPLLTD,EQ,274.0,298.0,298.0,288.0,,288.0,293.0,200,5860000000.0,,,
1996-03-27,SPLLTD,EQ,288.0,270.0,275.0,270.0,,275.0,272.5,200,5450000000.0,,,
1996-03-28,SPLLTD,EQ,275.0,275.0,275.0,270.1,,270.15,272.56,400,10902500000.0,,,
1996-03-29,SPLLTD,EQ,270.15,270.15,287.0,287.0,,287.0,287.0,100,2870000000.0,,,
1996-04-01,SPLLTD,EQ,287.0,288.0,315.0,281.0,,281.0,294.67,300,8840000000.0,,,
1996-04-02,SPLLTD,EQ,281.0,281.0,287.0,285.0,,287.0,286.0,200,5720000000.0,,,
1996-04-03,SPLLTD,EQ,287.0,288.0,288.0,284.0,,287.0,286.33,300,8590000000.0,,,
1996-04-04,SPLLTD,EQ,287.0,270.0,308.0,270.0,,285.85,281.07,1500,42160000000.0,,,
1996-04-08,SPLLTD,EQ,285.85,314.0,314.0,285.0,,299.9,296.84,5000,148420000000.0,,,
1996-04-09,SPLLTD,EQ,299.9,299.9,313.0,295.0,,295.0,299.59,1200,35950500000.0,,,
1996-04-10,SPLLTD,EQ,295.0,295.0,309.0,298.0,,299.0,300.43,700,21030000000.0,,,
1996-04-11,SPLLTD,EQ,299.0,299.0,307.0,291.0,,298.0,298.0,500,14900000000.0,,,
1996-04-12,SPLLTD,EQ,298.0,298.0,302.95,292.0,,302.95,296.05,900,26644500000.0,,,
1996-04-15,SPLLTD,EQ,302.95,302.95,306.0,300.0,,300.5,301.29,2100,63270500000.0,,,
1996-04-16,SPLLTD,EQ,300.5,300.5,304.95,300.0,,304.25,302.83,2200,66623500000.0,,,
1996-04-17,SPLLTD,EQ,304.25,304.25,320.0,300.0,,311.9,306.47,2300,70489000000.0,,,
1996-04-18,SPLLTD,EQ,311.9,311.9,310.0,300.0,,307.1,304.65,3700,112719000000.0,,,
1996-04-19,SPLLTD,EQ,307.1,307.1,319.95,305.0,,309.0,309.49,1400,43328500000.0,,,
1996-04-22,SPLLTD,EQ,309.0,309.0,310.0,302.0,,310.0,307.2,3000,92161000000.0,,,
1996-04-23,SPLLTD,EQ,310.0,310.0,307.5,305.0,,305.0,305.42,600,18325000000.0,,,
1996-04-24,SPLLTD,EQ,305.0,310.0,310.0,308.75,,310.0,309.74,16300,504875000000.0,,,
1996-04-25,SPLLTD,EQ,310.0,306.0,310.0,304.0,,305.0,307.11,3500,107490000000.0,,,
1996-04-26,SPLLTD,EQ,305.0,303.0,307.95,300.05,,307.95,303.01,800,24240500000.0,,,
1996-04-29,SPLLTD,EQ,307.95,307.95,314.0,303.0,,309.5,309.76,8000,247809500000.0,,,
1996-04-30,SPLLTD,EQ,309.5,309.5,310.0,302.0,,310.0,308.33,7000,215827500000.0,,,
1996-05-01,SPLLTD,EQ,310.0,310.0,315.0,307.0,,314.75,311.95,600,18717000000.0,,,
1996-05-02,SPLLTD,EQ,314.75,314.75,313.0,308.0,,310.0,311.11,900,28000000000.0,,,
1996-05-03,SPLLTD,EQ,310.0,310.0,310.0,303.0,,305.0,308.0,1000,30800000000.0,,,
1996-05-06,SPLLTD,EQ,305.0,305.0,310.0,304.0,,310.0,307.67,1300,39997500000.0,,,
1996-05-07,SPLLTD,EQ,310.0,310.0,325.0,305.0,,309.75,310.49,700,21734500000.0,,,
1996-05-08,SPLLTD,EQ,309.75,309.0,310.0,304.0,,308.45,308.45,1700,52436000000.0,,,
1996-05-09,SPLLTD,EQ,308.45,308.0,308.0,308.0,,308.0,308.0,200,6160000000.0,,,
1996-05-10,SPLLTD,EQ,308.0,308.0,314.0,305.0,,314.0,308.99,15400,475847500000.0,,,
1996-05-13,SPLLTD,EQ,314.0,319.0,319.0,309.0,,314.0,310.58,1400,43480500000.0,,,
1996-05-14,SPLLTD,EQ,314.0,314.0,312.0,307.0,,307.0,310.82,2200,68379500000.0,,,
1996-05-15,SPLLTD,EQ,307.0,307.0,309.0,309.0,,309.0,309.0,100,3090000000.0,,,
1996-05-16,SPLLTD,EQ,309.0,309.0,312.0,309.0,,310.0,310.3,1000,31030000000.0,,,
1996-05-17,SPLLTD,EQ,310.0,310.0,315.0,309.0,,312.2,312.12,2100,65544500000.0,,,
1996-05-20,SPLLTD,EQ,312.2,312.2,312.0,312.0,,312.0,312.0,100,3120000000.0,,,
1996-05-21,SPLLTD,EQ,312.0,308.0,310.0,305.0,,309.25,307.98,1100,33877500000.0,,,
1996-05-22,SPLLTD,EQ,309.25,310.0,313.0,306.5,,309.0,310.14,61800,1916645000000.0,,,
1996-05-23,SPLLTD,EQ,309.0,309.0,315.0,310.0,,311.5,311.73,4700,146515000000.0,,,
1996-05-24,SPLLTD,EQ,311.5,315.0,318.0,310.25,,317.8,314.98,14000,440971000000.0,,,
1996-05-27,SPLLTD,EQ,317.8,317.8,320.0,313.25,,316.8,313.84,6000,188303500000.0,,,
1996-05-28,SPLLTD,EQ,316.8,310.0,330.0,310.0,,329.45,320.18,18600,595526500000.0,,,
1996-05-29,SPLLTD,EQ,329.45,329.45,315.0,310.0,,314.0,312.4,1500,46860000000.0,,,
1996-05-30,SPLLTD,EQ,314.0,314.0,318.0,318.0,,318.0,318.0,400,12720000000.0,,,
1996-05-31,SPLLTD,EQ,318.0,318.0,318.0,310.0,,310.0,312.61,1800,56270000000.0,,,
1996-06-03,SPLLTD,EQ,310.0,310.0,319.0,311.0,,315.0,315.14,3400,107148000000.0,,,
1996-06-04,SPLLTD,EQ,315.0,312.0,315.0,310.0,,311.0,311.66,2700,84148000000.0,,,
1996-06-05,SPLLTD,EQ,311.0,310.05,315.0,310.05,,312.3,311.64,2100,65444000000.0,,,
1996-06-06,SPLLTD,EQ,312.3,311.0,313.0,310.0,,310.0,310.54,2000,62108000000.0,,,
1996-06-07,SPLLTD,EQ,310.0,311.0,313.0,310.0,,312.65,312.23,1500,46835000000.0,,,
1996-06-10,SPLLTD,EQ,312.65,310.0,311.95,310.0,,311.95,311.08,900,27997500000.0,,,
1996-06-11,SPLLTD,EQ,311.95,310.45,310.45,305.0,,305.0,308.38,900,27754500000.0,,,
1996-06-12,SPLLTD,EQ,305.0,310.0,310.0,305.55,,307.0,308.05,1200,36965500000.0,,,
1996-06-13,SPLLTD,EQ,307.0,305.0,307.0,305.0,,306.0,306.01,500,15300500000.0,,,
1996-06-14,SPLLTD,EQ,306.0,310.0,312.5,310.0,,310.05,310.82,4400,136761500000.0,,,
1996-06-17,SPLLTD,EQ,310.05,312.0,312.0,310.0,,310.0,310.21,1900,58940000000.0,,,
1996-06-18,SPLLTD,EQ,310.0,310.0,310.0,301.0,,309.75,307.24,700,21507000000.0,,,
1996-06-19,SPLLTD,EQ,309.75,301.0,310.0,301.0,,304.95,304.95,500,15247500000.0,,,
1996-06-20,SPLLTD,EQ,304.95,301.75,304.5,301.75,,303.5,302.71,600,18162500000.0,,,
1996-06-21,SPLLTD,EQ,303.5,309.0,309.0,300.0,,301.0,302.75,400,12110000000.0,,,
