Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-12-06,PIRAMYDRET,EQ,120.0,140.0,160.0,130.15,131.6,131.75,136.91,7459661,102127468525000.0,,832338,0.1116
2005-12-07,PIRAMYDRET,EQ,131.75,132.5,134.8,126.35,130.9,129.65,129.99,2711341,35244867435000.0,,211850,0.0781
2005-12-08,PIRAMYDRET,EQ,129.65,132.0,135.85,128.3,134.7,134.15,133.28,2429399,32377888489999.996,,164113,0.0676
2005-12-09,PIRAMYDRET,EQ,134.15,135.25,135.5,128.25,128.95,129.7,132.05,584146,7713459155000.0,,205183,0.35130000000000006
2005-12-12,PIRAMYDRET,EQ,129.7,130.0,132.9,127.15,127.15,127.9,129.77,445901,5786516855000.0,,85050,0.1907
2005-12-13,PIRAMYDRET,EQ,127.9,128.7,129.25,124.25,125.0,125.05,126.72,224490,2844843800000.0,,81085,0.36119999999999997
2005-12-14,PIRAMYDRET,EQ,125.05,126.0,126.6,121.85,122.4,122.4,123.8,172464,2135038960000.0002,,62540,0.3626
2005-12-15,PIRAMYDRET,EQ,122.4,123.0,125.35,117.5,118.35,118.2,121.65,272348,3313144285000.0,,128460,0.4717
2005-12-16,PIRAMYDRET,EQ,118.2,119.9,122.4,116.25,118.25,119.5,118.95,205944,2449755380000.0,,55806,0.271
2005-12-19,PIRAMYDRET,EQ,119.5,119.9,132.25,119.0,125.8,126.3,127.29,765206,9740487410000.0,,167373,0.2187
2005-12-20,PIRAMYDRET,EQ,126.3,123.75,127.5,121.25,121.6,121.8,123.61,186320,2303065480000.0,,63592,0.34130000000000005
2005-12-21,PIRAMYDRET,EQ,121.8,122.8,127.9,121.25,124.0,123.75,124.75,330747,4125956620000.0005,,68429,0.20690000000000003
2005-12-22,PIRAMYDRET,EQ,123.75,124.8,127.5,123.1,124.9,124.3,124.9,198434,2478398375000.0,,48796,0.2459
2005-12-23,PIRAMYDRET,EQ,124.3,125.35,127.0,123.05,125.0,124.95,124.78,245192,3059466120000.0,,119740,0.48840000000000006
2005-12-26,PIRAMYDRET,EQ,124.95,125.15,133.8,124.2,126.35,127.3,130.49,1216607,15874999050000.0,,208569,0.1714
2005-12-27,PIRAMYDRET,EQ,127.3,130.0,131.25,121.0,129.2,128.65,129.09,415650,5365578410000.0,,109797,0.26420000000000005
2005-12-28,PIRAMYDRET,EQ,128.65,129.0,132.4,127.95,130.9,130.25,130.55,290493,3792472375000.0,,79767,0.2746
2005-12-29,PIRAMYDRET,EQ,130.25,131.8,156.3,130.65,156.3,156.25,148.42,4654113,69075103795000.01,,756600,0.16260000000000002
2005-12-30,PIRAMYDRET,EQ,156.25,158.35,166.9,152.45,154.4,154.35,160.45,5479523,87916467905000.0,,523664,0.0956
2006-01-02,PIRAMYDRET,EQ,154.35,153.0,164.4,152.15,159.15,159.05,159.65,2652403,42346532150000.0,,225727,0.0851
2006-01-03,PIRAMYDRET,EQ,159.05,160.35,167.8,158.35,163.65,163.8,164.26,2374098,38997128910000.0,,241162,0.10160000000000001
2006-01-04,PIRAMYDRET,EQ,163.8,167.9,167.9,157.4,158.75,158.6,162.15,467602,7582035170000.0,,126997,0.2716
2006-01-05,PIRAMYDRET,EQ,158.6,155.1,171.95,153.5,166.6,166.3,165.94,2727686,45262224435000.0,,296045,0.1085
2006-01-06,PIRAMYDRET,EQ,166.3,164.0,169.7,158.75,160.0,160.45,164.27,652582,10719839085000.0,,187986,0.28809999999999997
2006-01-09,PIRAMYDRET,EQ,160.45,165.0,190.5,161.5,183.6,187.15,179.6,5316297,95482186390000.0,,536463,0.1009
2006-01-10,PIRAMYDRET,EQ,187.15,186.8,188.9,177.3,178.95,178.65,183.86,1626326,29901046585000.004,,303905,0.1869
2006-01-12,PIRAMYDRET,EQ,178.65,178.0,214.4,175.6,207.0,207.6,202.57,5455201,110505924434999.98,,459789,0.0843
2006-01-13,PIRAMYDRET,EQ,207.6,208.05,244.9,208.05,232.0,231.8,233.9,7033633,164515657325000.0,,402889,0.057300000000000004
2006-01-16,PIRAMYDRET,EQ,231.8,233.8,254.3,232.15,240.0,237.6,242.74,4081975,99086611000000.0,,380132,0.0931
2006-01-17,PIRAMYDRET,EQ,237.6,242.0,247.9,215.3,224.75,221.45,230.64,3736975,86187797950000.0,,389914,0.1043
2006-01-18,PIRAMYDRET,EQ,221.45,225.0,235.95,216.0,228.0,227.4,226.56,4815636,109102004655000.0,,210219,0.0437
2006-01-19,PIRAMYDRET,EQ,227.4,230.0,235.6,227.0,229.5,230.2,231.3,1815287,41988192190000.0,,173104,0.0954
2006-01-20,PIRAMYDRET,EQ,230.2,231.9,235.9,223.55,225.3,225.5,229.53,1506262,34573377830000.0,,130095,0.0864
2006-01-23,PIRAMYDRET,EQ,225.5,225.5,235.0,220.0,228.5,227.85,229.92,1226482,28199173980000.0,,115124,0.09390000000000001
2006-01-24,PIRAMYDRET,EQ,227.85,230.0,242.6,229.2,230.05,230.5,235.76,1646914,38828446680000.0,,248227,0.1507
2006-01-25,PIRAMYDRET,EQ,230.5,234.9,239.6,204.3,207.85,207.45,220.23,1475231,32489199689999.996,,417813,0.2832
2006-01-27,PIRAMYDRET,EQ,207.45,212.0,217.4,200.55,204.0,202.9,207.72,1314830,27311940664999.996,,258482,0.1966
2006-01-30,PIRAMYDRET,EQ,202.9,206.1,237.5,190.6,227.0,230.45,222.71,8919316,198645413500000.0,,490204,0.055
2006-01-31,PIRAMYDRET,EQ,230.45,228.0,232.0,215.35,218.75,217.9,223.53,3968274,88703988695000.0,,294735,0.0743
2006-02-01,PIRAMYDRET,EQ,217.9,220.0,227.0,209.1,212.0,211.4,218.25,2784371,60770213965000.0,,209596,0.0753
2006-02-02,PIRAMYDRET,EQ,211.4,213.8,221.9,210.0,213.85,212.85,215.77,1642469,35440366895000.0,,125736,0.0766
2006-02-03,PIRAMYDRET,EQ,212.85,213.0,216.7,203.7,210.0,207.8,211.3,1123757,23745235295000.0,,97267,0.0866
2006-02-06,PIRAMYDRET,EQ,207.8,210.0,217.7,208.1,212.15,211.45,213.23,913067,19468920140000.0,,92103,0.1009
2006-02-07,PIRAMYDRET,EQ,211.45,212.95,216.6,208.55,210.6,210.7,212.31,646872,13733674855000.002,,93591,0.14470000000000002
2006-02-08,PIRAMYDRET,EQ,210.7,211.45,222.0,208.0,216.0,215.0,216.88,2411958,52310318960000.0,,190906,0.0791
2006-02-10,PIRAMYDRET,EQ,215.0,217.0,217.6,211.1,212.0,211.7,214.19,784552,16804211680000.002,,107799,0.1374
2006-02-13,PIRAMYDRET,EQ,211.7,214.0,218.3,209.6,216.15,215.7,214.72,941165,20209078185000.0,,156432,0.16620000000000001
2006-02-14,PIRAMYDRET,EQ,215.7,216.25,224.7,213.05,215.0,214.7,219.07,1684504,36902125090000.0,,121428,0.0721
2006-02-15,PIRAMYDRET,EQ,214.7,217.0,219.95,213.0,213.0,214.2,216.16,477941,10331274780000.0,,59329,0.1241
2006-02-16,PIRAMYDRET,EQ,214.2,216.3,217.9,211.15,211.95,212.3,215.33,432706,9317470135000.0,,51761,0.11960000000000001
2006-02-17,PIRAMYDRET,EQ,212.3,214.65,215.3,203.05,204.05,204.1,209.34,369496,7735207630000.0,,93297,0.2525
2006-02-20,PIRAMYDRET,EQ,204.1,205.0,205.9,195.0,198.6,199.6,200.09,481423,9632954315000.0,,74064,0.15380000000000002
2006-02-21,PIRAMYDRET,EQ,199.6,195.55,208.75,195.55,202.0,201.9,204.31,526634,10759794925000.0,,56326,0.107
2006-02-22,PIRAMYDRET,EQ,201.9,203.85,203.9,196.0,197.5,197.35,199.38,318733,6354809075000.0,,47165,0.14800000000000002
2006-02-23,PIRAMYDRET,EQ,197.35,198.95,199.5,189.05,190.2,190.1,193.55,239141,4628483580000.0,,60731,0.254
2006-02-24,PIRAMYDRET,EQ,190.1,192.15,192.15,182.0,183.85,184.1,186.13,241252,4490327570000.0,,48334,0.2003
2006-02-27,PIRAMYDRET,EQ,184.1,185.7,187.85,180.1,181.0,181.15,183.69,164125,3014764640000.0,,50857,0.3099
2006-02-28,PIRAMYDRET,EQ,181.15,183.2,187.05,175.1,185.0,184.45,182.35,465563,8489473634999.999,,57711,0.12400000000000001
2006-03-01,PIRAMYDRET,EQ,184.45,185.5,187.9,180.15,180.6,182.4,184.24,292694,5392723240000.0,,55989,0.1913
2006-03-02,PIRAMYDRET,EQ,182.4,184.0,191.3,180.25,183.5,183.3,186.24,373129,6949051450000.0,,60939,0.16329999999999997
2006-03-03,PIRAMYDRET,EQ,183.3,182.0,186.0,180.6,181.0,181.35,183.14,182357,3339777075000.0,,33026,0.1811
2006-03-06,PIRAMYDRET,EQ,181.35,215.5,215.5,181.05,181.05,181.9,184.35,206990,3815781750000.0,,44757,0.2162
2006-03-07,PIRAMYDRET,EQ,181.9,183.55,192.9,182.55,188.5,188.25,188.79,509070,9610796035000.0,,87591,0.1721
2006-03-08,PIRAMYDRET,EQ,188.25,189.3,203.0,184.0,196.25,196.0,197.19,1257441,24795726440000.0,,182182,0.1449
2006-03-09,PIRAMYDRET,EQ,196.0,196.4,199.0,187.15,188.5,188.75,192.04,350006,6721377525000.0,,76846,0.21960000000000002
2006-03-10,PIRAMYDRET,EQ,188.75,189.55,191.35,182.3,182.55,183.8,186.94,194254,3631429325000.0,,42902,0.2209
2006-03-13,PIRAMYDRET,EQ,183.8,183.55,186.05,176.55,180.45,179.85,180.61,220104,3975393815000.0,,81006,0.368
2006-03-14,PIRAMYDRET,EQ,179.85,182.25,189.95,177.85,184.0,183.45,185.39,599530,11114487525000.0,,64685,0.1079
2006-03-16,PIRAMYDRET,EQ,183.45,185.5,194.4,183.55,189.0,188.35,190.21,782809,14889670215000.0,,78409,0.1002
