Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SPIC,EQ,47.85,48.2,48.7,48.05,,48.5,48.31,750,3623500000.0,,,
1996-01-02,SPIC,EQ,48.5,48.5,48.0,47.0,,47.45,47.6,8700,41408500000.0,,,
1996-01-03,SPIC,EQ,47.45,47.45,48.95,47.0,,47.3,47.4,5900,27965750000.0,,,
1996-01-04,SPIC,EQ,47.3,47.9,47.9,46.5,,46.8,46.76,3450,16132500000.0,,,
1996-01-05,SPIC,EQ,46.8,46.8,47.2,46.1,,46.5,46.66,3000,13999000000.0,,,
1996-01-08,SPIC,EQ,46.5,46.5,48.0,45.05,,47.25,46.63,11700,54553000000.0,,,
1996-01-09,SPIC,EQ,47.25,47.0,49.0,46.25,,48.25,46.81,16800,78644500000.0,,,
1996-01-10,SPIC,EQ,48.25,48.25,49.0,47.75,,48.7,48.67,16000,77869750000.0,,,
1996-01-11,SPIC,EQ,48.7,48.7,49.5,47.7,,48.2,48.25,3950,19058500000.0,,,
1996-01-12,SPIC,EQ,48.2,48.2,48.0,47.1,,47.7,47.55,4900,23297500000.0,,,
1996-01-15,SPIC,EQ,47.7,47.7,48.0,47.0,,47.15,47.35,5000,23674750000.0,,,
1996-01-16,SPIC,EQ,47.15,47.15,49.7,46.5,,49.55,48.54,31000,150485000000.0,,,
1996-01-17,SPIC,EQ,49.55,49.55,50.0,48.25,,49.65,49.05,16900,82894500000.0,,,
1996-01-18,SPIC,EQ,49.65,49.65,50.25,48.6,,49.95,49.74,42000,208928250000.0,,,
1996-01-19,SPIC,EQ,49.95,49.95,49.5,48.25,,48.8,49.0,2800,13719250000.0,,,
1996-01-22,SPIC,EQ,48.8,48.8,49.0,48.5,,48.6,48.54,9750,47328250000.0,,,
1996-01-23,SPIC,EQ,48.6,48.6,49.25,48.05,,48.5,48.43,9450,45766750000.0,,,
1996-01-24,SPIC,EQ,48.5,48.5,47.2,45.9,,46.0,46.61,3900,18176000000.0,,,
1996-01-25,SPIC,EQ,46.0,45.85,46.45,45.65,,45.65,46.09,2750,12675000000.0,,,
1996-01-29,SPIC,EQ,45.65,45.65,46.35,45.55,,45.7,45.98,3600,16551500000.0,,,
1996-01-30,SPIC,EQ,45.7,45.7,46.85,44.5,,45.5,45.7,3700,16909750000.0,,,
1996-01-31,SPIC,EQ,45.5,46.0,47.5,46.0,,47.05,46.78,1500,7017500000.0,,,
1996-02-01,SPIC,EQ,47.05,47.0,47.5,45.0,,45.95,46.17,3400,15699000000.0,,,
1996-02-02,SPIC,EQ,45.95,45.95,49.0,47.05,,47.3,47.58,3550,16890000000.0,,,
1996-02-05,SPIC,EQ,47.3,47.05,49.5,47.05,,48.2,48.13,2750,13234750000.0,,,
1996-02-06,SPIC,EQ,48.2,48.2,49.0,45.55,,46.5,47.88,16950,81155000000.0,,,
1996-02-07,SPIC,EQ,46.5,46.5,47.7,45.15,,46.0,46.04,42550,195916000000.0,,,
1996-02-08,SPIC,EQ,46.0,46.0,47.0,45.75,,46.05,46.13,85000,392095250000.0,,,
1996-02-09,SPIC,EQ,46.05,46.05,50.45,47.5,,48.6,48.63,13550,65897000000.0,,,
1996-02-12,SPIC,EQ,48.6,48.6,53.5,48.55,,51.25,51.75,29750,153966500000.0,,,
1996-02-13,SPIC,EQ,51.25,51.25,53.0,51.0,,51.85,51.66,24850,128369000000.0,,,
1996-02-14,SPIC,EQ,51.85,51.85,56.75,53.6,,55.0,55.08,22050,121460750000.0,,,
1996-02-15,SPIC,EQ,55.0,55.0,56.5,54.25,,54.45,55.2,20150,111235500000.0,,,
1996-02-16,SPIC,EQ,54.45,54.45,55.0,53.0,,53.3,53.39,8950,47786000000.0,,,
1996-02-19,SPIC,EQ,53.3,53.3,53.0,51.5,,52.55,52.76,12950,68327250000.0,,,
1996-02-20,SPIC,EQ,52.55,52.55,52.5,51.0,,51.3,51.47,16500,84919750000.0,,,
1996-02-22,SPIC,EQ,51.3,51.3,51.95,50.5,,50.75,50.89,3700,18829000000.0,,,
1996-02-23,SPIC,EQ,50.75,50.75,50.75,48.75,,50.0,49.54,2600,12879750000.0,,,
1996-02-26,SPIC,EQ,50.0,50.0,51.0,49.75,,49.9,50.16,4700,23576000000.0,,,
1996-02-27,SPIC,EQ,49.9,51.0,54.0,51.0,,51.45,51.18,13100,67047500000.0,,,
