Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2003-04-01,STCINDIA,EQ,91.9,75.4,75.4,72.6,72.6,72.6,73.25,335,2453750000.0,,275.0,0.8209000000000001
2003-04-02,STCINDIA,EQ,72.6,72.2,72.2,72.2,72.2,72.2,72.2,400,2888000000.0,,400.0,1.0
2003-04-03,STCINDIA,EQ,72.2,79.2,79.2,75.65,77.0,76.3,78.77,66,519905000.0,,50.0,0.7576
2003-04-04,STCINDIA,EQ,76.3,80.0,87.0,80.0,87.0,84.85,83.53,1567,13089245000.0,,1187.0,0.7575000000000001
2003-04-07,STCINDIA,EQ,84.85,92.25,97.2,91.05,96.95,96.55,93.87,1941,18220500000.0,,1510.0,0.7779
2003-04-08,STCINDIA,EQ,96.55,96.95,100.0,92.6,97.0,97.7,97.64,4492,43861075000.0,,2405.0,0.5354
2003-04-09,STCINDIA,EQ,97.7,99.0,99.0,93.15,95.75,94.9,96.5,1730,16694410000.0,,1160.0,0.6705
2003-04-10,STCINDIA,EQ,94.9,93.4,93.4,88.2,91.9,90.5,90.21,3653,32955125000.0,,3032.0,0.8300000000000001
2003-04-11,STCINDIA,EQ,90.5,83.55,93.05,83.55,91.6,91.25,89.92,3955,35564950000.0,,3610.0,0.9128000000000001
2003-04-15,STCINDIA,EQ,91.25,93.5,95.45,90.55,91.0,91.05,92.42,2192,20258065000.0,,1519.0,0.693
2003-04-16,STCINDIA,EQ,91.05,91.0,91.0,87.0,87.0,87.0,88.19,1093,9639060000.0,,1058.0,0.968
2003-04-17,STCINDIA,EQ,87.0,88.0,88.75,86.0,86.0,86.0,87.24,330,2878900000.0,,200.0,0.6061
2003-04-21,STCINDIA,EQ,86.0,88.85,93.0,88.85,90.9,90.6,90.43,733,6628364999.999999,,433.0,0.5907
2003-04-22,STCINDIA,EQ,90.6,91.65,91.65,89.5,89.6,89.6,90.26,1150,10380430000.0,,885.0,0.7696
2003-04-23,STCINDIA,EQ,89.6,88.15,89.75,87.25,87.5,87.5,88.04,410,3609650000.0,,400.0,0.9756
2003-04-24,STCINDIA,EQ,87.5,86.0,86.0,80.05,82.5,82.9,83.86,1898,15916765000.0,,1295.0,0.6823
2003-04-25,STCINDIA,EQ,82.9,81.55,84.0,81.25,83.8,83.55,82.97,661,5484080000.0,,494.0,0.7474
2003-04-28,STCINDIA,EQ,83.55,87.75,88.0,84.0,87.8,88.0,86.68,152,1317555000.0,,151.0,0.9934000000000001
2003-04-29,STCINDIA,EQ,88.0,88.25,89.0,85.15,86.0,86.55,87.91,880,7735750000.0,,648.0,0.7364
2003-04-30,STCINDIA,EQ,86.55,86.35,86.35,78.3,82.0,81.45,82.06,1963,16108370000.000002,,1000.0,0.5094
2003-05-02,STCINDIA,EQ,81.45,80.6,84.6,80.6,82.8,81.8,81.84,966,7905350000.0,,740.0,0.766
2003-05-05,STCINDIA,EQ,81.8,85.4,88.75,83.05,85.5,85.6,85.1,2788,23725235000.0,,2535.0,0.9093000000000001
2003-05-06,STCINDIA,EQ,85.6,86.95,88.0,85.3,85.5,87.25,86.95,1915,16651725000.0,,1395.0,0.7284999999999999
2003-05-07,STCINDIA,EQ,87.25,88.85,88.9,87.0,88.0,87.75,88.09,742,6535940000.0,,411.0,0.5539000000000001
2003-05-08,STCINDIA,EQ,87.75,88.0,88.6,87.0,88.6,87.9,87.56,610,5341425000.0,,530.0,0.8689
2003-05-09,STCINDIA,EQ,87.9,87.75,87.75,86.75,86.75,87.5,87.61,350,3066375000.0,,230.0,0.6570999999999999
2003-05-12,STCINDIA,EQ,87.5,88.5,88.5,85.75,85.75,85.75,86.0,120,1032050000.0,,60.0,0.5
2003-05-13,STCINDIA,EQ,85.75,87.8,87.8,85.1,85.1,85.9,86.33,577,4981475000.0,,418.0,0.7244
2003-05-14,STCINDIA,EQ,85.9,88.0,88.0,85.55,87.4,87.35,86.77,1901,16494870000.000002,,1801.0,0.9474
2003-05-15,STCINDIA,EQ,87.35,89.85,89.85,87.1,89.85,89.2,88.54,2115,18726175000.0,,1965.0,0.9291
2003-05-16,STCINDIA,EQ,89.2,88.0,88.95,86.4,87.25,86.7,87.31,1100,9604425000.0,,890.0,0.8090999999999999
2003-05-19,STCINDIA,EQ,86.7,87.0,87.5,85.5,86.95,86.25,86.05,1343,11556305000.0,,1150.0,0.8563
2003-05-20,STCINDIA,EQ,86.25,78.55,88.0,78.55,86.0,86.1,86.89,1330,11556770000.0,,1145.0,0.8609
2003-05-21,STCINDIA,EQ,86.1,86.0,88.0,86.0,86.15,86.6,86.77,985,8546725000.0,,865.0,0.8782
2003-05-22,STCINDIA,EQ,86.6,87.0,89.9,87.0,87.1,88.75,88.05,1521,13391970000.000002,,1386.0,0.9112
2003-05-23,STCINDIA,EQ,88.75,87.0,92.0,87.0,90.0,89.65,90.73,1350,12248260000.0,,1300.0,0.963
2003-05-26,STCINDIA,EQ,89.65,83.25,103.9,83.25,100.2,100.6,97.8,7408,72449830000.0,,4235.0,0.5717
2003-05-27,STCINDIA,EQ,100.6,105.0,105.0,98.0,102.0,101.05,101.91,12794,130377739999.99998,,11008.0,0.8604
2003-05-28,STCINDIA,EQ,101.05,101.05,101.8,98.05,100.0,99.15,99.58,3687,36716655000.0,,2651.0,0.7190000000000001
2003-05-29,STCINDIA,EQ,99.15,102.0,102.0,99.0,100.05,100.1,100.0,2845,28450025000.0,,1710.0,0.6011
2003-05-30,STCINDIA,EQ,100.1,100.05,104.35,100.0,104.0,103.75,102.69,7856,80671475000.0,,6556.0,0.8345
2003-06-02,STCINDIA,EQ,103.75,105.0,119.9,104.0,112.1,112.55,110.45,10960,121048905000.0,,8505.0,0.7759999999999999
2003-06-03,STCINDIA,EQ,112.55,114.95,115.45,105.5,107.2,108.0,111.89,9585,107243100000.0,,7385.0,0.7705
2003-06-04,STCINDIA,EQ,108.0,106.0,114.0,106.0,110.15,112.2,111.37,11418,127160289999.99998,,8195.0,0.7177
2003-06-05,STCINDIA,EQ,112.2,111.15,111.85,108.0,108.0,108.65,109.45,3956,43299225000.0,,3276.0,0.8281000000000001
2003-06-06,STCINDIA,EQ,108.65,116.5,116.5,102.65,103.9,103.6,104.97,3971,41684095000.0,,2928.0,0.7373000000000001
2003-06-09,STCINDIA,EQ,103.6,101.5,113.0,101.5,108.6,108.7,108.53,3987,43269865000.0,,2879.0,0.7221
2003-06-10,STCINDIA,EQ,108.7,110.0,110.7,106.8,108.9,108.4,109.26,2027,22146560000.0,,1761.0,0.8688
2003-06-11,STCINDIA,EQ,108.4,108.5,110.0,108.5,108.8,108.95,109.43,4501,49254485000.0,,4124.0,0.9162
2003-06-12,STCINDIA,EQ,108.95,109.0,110.0,108.0,110.0,109.95,109.46,6633,72607375000.0,,4910.0,0.7402
2003-06-13,STCINDIA,EQ,109.95,110.0,110.45,107.5,107.5,107.5,108.59,2550,27690005000.0,,1762.0,0.691
2003-06-16,STCINDIA,EQ,107.5,114.9,118.0,107.5,115.0,115.55,113.64,8117,92242330000.0,,6397.0,0.7881
2003-06-17,STCINDIA,EQ,115.55,115.25,118.0,115.25,117.0,116.9,116.31,10079,117233855000.0,,7755.0,0.7694
2003-06-18,STCINDIA,EQ,116.9,117.0,117.45,115.1,115.1,115.3,116.2,6533,75913505000.0,,6431.0,0.9844
2003-06-19,STCINDIA,EQ,115.3,115.0,115.0,113.25,113.35,113.25,113.99,4174,47579000000.0,,4145.0,0.9931000000000001
2003-06-20,STCINDIA,EQ,113.25,111.3,111.3,103.0,104.1,104.95,106.68,11136,118799100000.0,,9091.0,0.8164
2003-06-23,STCINDIA,EQ,104.95,109.0,109.0,104.0,104.0,104.0,105.4,2497,26317880000.0,,2045.0,0.8190000000000001
2003-06-24,STCINDIA,EQ,104.0,108.25,109.0,106.6,106.6,107.2,107.45,1775,19072585000.0,,1330.0,0.7493000000000001
2003-06-25,STCINDIA,EQ,107.2,109.0,110.0,106.2,108.5,109.0,108.69,3125,33966875000.0,,2250.0,0.72
2003-06-26,STCINDIA,EQ,109.0,108.1,114.9,108.1,113.5,112.95,112.35,8502,95523065000.0,,5942.0,0.6989
2003-06-27,STCINDIA,EQ,112.95,111.0,112.0,110.0,110.25,110.1,110.59,2175,24053560000.0,,1277.0,0.5871000000000001
2003-06-30,STCINDIA,EQ,110.1,113.25,114.9,112.25,113.0,113.0,113.38,3700,41949665000.0,,3498.0,0.9454000000000001
2003-07-01,STCINDIA,EQ,113.0,108.1,112.0,108.0,109.25,108.45,110.06,1039,11435085000.0,,613.0,0.59
2003-07-02,STCINDIA,EQ,108.45,110.0,111.5,109.05,109.25,109.25,109.92,1984,21808785000.0,,1759.0,0.8865999999999999
2003-07-03,STCINDIA,EQ,109.25,108.05,111.0,108.0,108.5,108.9,109.81,1989,21840775000.0,,1839.0,0.9246
2003-07-04,STCINDIA,EQ,108.9,112.0,122.0,112.0,120.9,119.15,118.81,14433,171481840000.0,,11209.0,0.7766
2003-07-07,STCINDIA,EQ,119.15,123.45,123.45,118.1,119.5,119.3,119.65,7372,88208370000.0,,5425.0,0.7359
2003-07-08,STCINDIA,EQ,119.3,119.9,122.0,118.5,120.2,119.15,119.58,4942,59095175000.0,,4242.0,0.8584
2003-07-09,STCINDIA,EQ,119.15,119.15,119.15,110.0,110.5,112.15,113.9,5152,58682560000.0,,4600.0,0.8929
2003-07-10,STCINDIA,EQ,112.15,111.95,113.0,109.0,111.0,110.6,110.45,2668,29468615000.000004,,1723.0,0.6458
2003-07-11,STCINDIA,EQ,110.6,109.05,113.0,109.05,110.25,109.3,110.49,1847,20408195000.0,,1555.0,0.8419
2003-07-14,STCINDIA,EQ,109.3,110.0,111.85,109.1,111.7,110.35,110.49,7324,80921440000.0,,1091.0,0.149
2003-07-15,STCINDIA,EQ,110.35,110.0,110.0,107.0,107.1,107.1,108.71,2500,27178709999.999996,,1325.0,0.53
2003-07-16,STCINDIA,EQ,107.1,107.0,108.0,105.5,106.8,106.15,106.92,1851,19791650000.0,,1700.0,0.9184000000000001
2003-07-17,STCINDIA,EQ,106.15,105.65,109.0,105.1,109.0,107.5,107.04,1096,11731630000.0,,946.0,0.8631000000000001
2003-07-18,STCINDIA,EQ,107.5,108.0,108.75,101.2,105.8,105.15,103.93,2141,22251280000.0,,1237.0,0.5778
2003-07-21,STCINDIA,EQ,105.15,104.0,107.75,101.0,101.0,101.0,104.5,1544,16135535000.0,,965.0,0.625
2003-07-22,STCINDIA,EQ,101.0,107.0,112.0,101.2,104.2,104.45,107.86,3727,40198195000.0,,1960.0,0.5259
2003-07-23,STCINDIA,EQ,104.45,105.0,108.65,103.55,103.55,105.2,106.58,3344,35641725000.0,,1540.0,0.46049999999999996
2003-07-24,STCINDIA,EQ,105.2,105.6,105.6,103.35,103.75,103.8,104.51,795,8308375000.0,,450.0,0.5660000000000001
2003-07-25,STCINDIA,EQ,103.8,104.5,105.6,104.5,105.6,105.6,105.42,125,1317800000.0,,105.0,0.84
2003-07-28,STCINDIA,EQ,105.6,105.3,105.35,97.1,100.0,99.65,101.46,4752,48212225000.0,,3556.0,0.7483
2003-07-29,STCINDIA,EQ,99.65,98.1,116.95,98.0,99.25,99.9,99.85,2234,22306805000.0,,1250.0,0.5595
2003-07-30,STCINDIA,EQ,99.9,101.0,101.9,97.9,99.8,100.2,99.5,6275,62439200000.0,,4475.0,0.7131000000000001
2003-07-31,STCINDIA,EQ,100.2,100.4,102.0,99.05,100.1,100.05,100.34,7074,70981565000.0,,6480.0,0.9159999999999999
2003-08-01,STCINDIA,EQ,100.05,100.0,101.0,98.3,99.0,98.4,99.53,1211,12053570000.0,,1173.0,0.9686
2003-08-04,STCINDIA,EQ,98.4,100.0,100.0,98.3,99.0,98.8,99.07,1227,12155730000.0,,1196.0,0.9747
2003-08-05,STCINDIA,EQ,98.8,98.5,101.5,98.0,99.95,99.9,98.58,1900,18729650000.0,,1730.0,0.9105
2003-08-06,STCINDIA,EQ,99.9,97.5,100.0,97.5,97.5,97.5,97.82,1025,10026650000.0,,975.0,0.9512
2003-08-07,STCINDIA,EQ,97.5,98.1,98.5,97.5,97.5,97.55,97.84,1000,9784250000.0,,975.0,0.975
2003-08-08,STCINDIA,EQ,97.55,98.65,101.0,98.65,101.0,101.0,100.68,2769,27876920000.0,,2619.0,0.9458
2003-08-11,STCINDIA,EQ,101.0,102.0,102.0,99.15,99.15,99.35,100.47,2912,29257280000.0,,2628.0,0.9025
2003-08-12,STCINDIA,EQ,99.35,98.25,100.9,98.25,98.5,98.5,98.89,1643,16248090000.0,,1353.0,0.8235
2003-08-13,STCINDIA,EQ,98.5,99.0,100.0,98.65,100.0,100.0,99.08,1060,10502275000.0,,865.0,0.816
2003-08-14,STCINDIA,EQ,100.0,98.65,100.0,98.25,98.5,98.5,98.74,2150,21229425000.0,,1450.0,0.6744
2003-08-18,STCINDIA,EQ,98.5,100.0,100.0,98.0,99.5,99.65,99.05,2627,26020225000.0,,1516.0,0.5771000000000001
2003-08-19,STCINDIA,EQ,99.65,99.05,101.0,99.0,99.0,99.0,99.33,3095,30742250000.0,,2050.0,0.6624
2003-08-20,STCINDIA,EQ,99.0,101.0,101.0,99.0,99.0,99.65,100.66,1358,13670304999.999998,,1275.0,0.9389000000000001
2003-08-21,STCINDIA,EQ,99.65,101.0,101.0,99.4,100.25,100.25,100.14,1230,12316875000.0,,1230.0,1.0
2003-08-22,STCINDIA,EQ,100.25,101.0,103.5,101.0,101.7,101.7,101.97,1425,14530460000.0,,1240.0,0.8702
2003-08-25,STCINDIA,EQ,101.7,100.25,100.25,97.5,100.0,98.4,99.06,635,6290500000.0,,560.0,0.8819
2003-08-26,STCINDIA,EQ,98.4,98.0,102.5,98.0,98.6,98.6,98.99,504,4988930000.0,,350.0,0.6944
2003-08-27,STCINDIA,EQ,98.6,98.05,103.0,98.05,98.1,98.35,99.62,1261,12561785000.0,,1227.0,0.973
2003-08-28,STCINDIA,EQ,98.35,98.0,99.95,97.55,99.0,99.0,98.19,1821,17880475000.0,,1546.0,0.8490000000000001
2003-08-29,STCINDIA,EQ,99.0,98.15,99.0,98.1,99.0,98.45,98.32,1235,12142350000.0,,1135.0,0.919
2003-09-01,STCINDIA,EQ,98.45,105.5,108.5,103.1,103.1,103.15,105.4,9774,103018355000.0,,8177.0,0.8366
2003-09-02,STCINDIA,EQ,103.15,110.0,110.0,104.25,104.3,104.6,104.82,7871,82504855000.0,,7271.0,0.9238
2003-09-03,STCINDIA,EQ,104.6,104.5,110.4,104.5,106.55,106.85,108.34,9896,107215670000.0,,8440.0,0.8529000000000001
2003-09-04,STCINDIA,EQ,106.85,107.5,107.5,102.6,106.5,105.3,103.5,6812,70504980000.0,,6486.0,0.9521
2003-09-05,STCINDIA,EQ,105.3,100.0,108.0,100.0,107.5,107.05,105.48,2567,27076020000.0,,2418.0,0.9420000000000001
2003-09-08,STCINDIA,EQ,107.05,108.5,121.0,108.0,117.2,118.7,114.06,9550,108922660000.00002,,8748.0,0.9159999999999999
2003-09-09,STCINDIA,EQ,118.7,119.0,119.0,113.6,115.05,115.35,115.28,2672,30802005000.0,,2385.0,0.8926000000000001
2003-09-10,STCINDIA,EQ,115.35,114.0,117.9,113.0,116.45,115.65,115.38,4871,56201419999.99999,,3919.0,0.8046
