Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-05-09,NUMERICPW,EQ,315.4,483.25,483.25,420.2,460.0,446.55,440.89,73443,3238000285000.0,,12468,0.1698
2006-05-10,NUMERICPW,EQ,446.55,450.1,491.25,441.0,491.25,491.25,465.47,40294,1875572070000.0,,15935,0.39549999999999996
2006-05-11,NUMERICPW,EQ,491.25,529.0,529.0,455.0,457.2,459.9,481.69,53267,2565828105000.0,,17530,0.32909999999999995
2006-05-12,NUMERICPW,EQ,459.9,451.0,472.95,448.0,452.75,454.85,460.85,8875,409006085000.0,,2673,0.3012
2006-05-15,NUMERICPW,EQ,454.85,459.95,465.0,440.1,443.9,442.6,452.92,9004,407812290000.0,,3300,0.3665
2006-05-16,NUMERICPW,EQ,442.6,430.0,437.0,400.15,413.1,418.6,416.44,5655,235497785000.0,,2891,0.5112
2006-05-17,NUMERICPW,EQ,418.6,425.0,447.0,418.6,434.9,432.55,436.66,9048,395086455000.0,,6437,0.7114
2006-05-18,NUMERICPW,EQ,432.55,420.0,433.0,389.35,391.95,392.4,408.73,5560,227256150000.0,,3998,0.7191
2006-05-19,NUMERICPW,EQ,392.4,410.0,410.0,360.0,360.25,364.65,379.34,2038,77309235000.0,,1300,0.6379
2006-05-22,NUMERICPW,EQ,364.65,365.0,369.0,328.5,337.95,333.0,336.99,4102,138233795000.0,,2903,0.7077
2006-05-23,NUMERICPW,EQ,333.0,317.1,349.65,317.05,349.65,349.65,336.55,2197,73939545000.0,,1614,0.7345999999999999
2006-05-24,NUMERICPW,EQ,349.65,350.0,367.15,350.0,360.0,359.95,361.68,1639,59279755000.00001,,1121,0.684
2006-05-25,NUMERICPW,EQ,359.95,350.0,361.25,345.0,350.5,351.7,351.16,364,12782055000.0,,272,0.7473000000000001
2006-05-26,NUMERICPW,EQ,351.7,369.0,369.3,350.0,352.0,352.0,362.54,879,31867425000.0,,475,0.5404
2006-05-29,NUMERICPW,EQ,352.0,364.0,369.6,360.0,369.6,368.75,367.94,1409,51843445000.0,,1281,0.9092
2006-05-30,NUMERICPW,EQ,368.75,374.0,387.2,374.0,387.2,386.6,384.31,1741,66908850000.0,,1023,0.5876
2006-05-31,NUMERICPW,EQ,386.6,368.0,384.85,367.3,367.3,367.3,368.37,1174,43246800000.0,,1062,0.9046
