Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-09-29,TALBROAUTO,EQ,61.35,64.3,64.3,59.15,61.7,60.95,61.65,2175,13408700000.0,,1135,0.5218
2006-10-03,TALBROAUTO,EQ,60.95,62.0,64.0,62.0,64.0,63.5,63.02,5251,33091265000.000004,,3097,0.5898
2006-10-04,TALBROAUTO,EQ,63.5,64.15,67.6,64.15,65.0,65.2,65.38,6648,43464080000.0,,5134,0.7723000000000001
2006-10-05,TALBROAUTO,EQ,65.2,65.2,65.5,64.15,64.65,64.7,64.88,7358,47736780000.0,,6076,0.8258
2006-10-06,TALBROAUTO,EQ,64.7,62.4,65.9,62.4,65.75,65.6,65.02,5643,36693245000.0,,4190,0.7425
2006-10-09,TALBROAUTO,EQ,65.6,64.2,66.4,64.2,66.0,65.4,65.75,2940,19329550000.0,,2246,0.7639
2006-10-10,TALBROAUTO,EQ,65.4,66.0,66.55,65.45,65.65,65.65,66.04,4533,29936600000.0,,3576,0.7889
2006-10-11,TALBROAUTO,EQ,65.65,66.0,66.0,64.5,65.0,64.9,64.94,2574,16716154999.999998,,1581,0.6142000000000001
2006-10-12,TALBROAUTO,EQ,64.9,65.95,67.45,64.3,66.1,66.2,66.37,5988,39744030000.0,,5320,0.8884000000000001
2006-10-13,TALBROAUTO,EQ,66.2,66.1,66.2,65.55,66.0,65.75,65.99,2331,15381240000.0,,2231,0.9571
2006-10-16,TALBROAUTO,EQ,65.75,65.6,67.35,65.5,65.55,65.55,65.68,3509,23048095000.0,,3260,0.929
2006-10-17,TALBROAUTO,EQ,65.55,65.6,65.6,65.0,65.0,65.05,65.15,5006,32614125000.0,,4490,0.8969
2006-10-18,TALBROAUTO,EQ,65.05,64.05,66.0,64.05,64.65,64.7,65.15,2631,17140195000.000002,,1961,0.7453000000000001
2006-10-19,TALBROAUTO,EQ,64.7,64.65,65.0,64.1,64.1,64.55,64.58,978,6315785000.0,,738,0.7545999999999999
2006-10-20,TALBROAUTO,EQ,64.55,64.0,65.4,64.0,65.2,64.7,64.69,1746,11295570000.0,,1436,0.8225
2006-10-21,TALBROAUTO,EQ,64.7,70.0,70.0,64.7,65.7,65.45,65.46,808,5289275000.0,,619,0.7661
2006-10-23,TALBROAUTO,EQ,65.45,65.9,65.9,64.0,64.8,64.8,64.66,449,2903375000.0,,419,0.9331999999999999
2006-10-26,TALBROAUTO,EQ,64.8,71.3,71.3,67.6,71.3,71.3,70.62,15173,107156500000.0,,12084,0.7964
2006-10-27,TALBROAUTO,EQ,71.3,76.0,78.45,75.0,76.1,77.05,77.63,102240,793696805000.0,,52607,0.5145000000000001
2006-10-30,TALBROAUTO,EQ,77.05,77.0,77.8,71.0,72.4,71.25,73.35,14680,107676310000.00002,,8463,0.5765
2006-10-31,TALBROAUTO,EQ,71.25,71.95,77.9,69.55,72.9,72.25,72.72,12240,89005320000.0,,6703,0.5476
2006-11-01,TALBROAUTO,EQ,72.25,72.8,73.8,68.5,69.4,69.4,70.53,8947,63100440000.0,,6413,0.7168000000000001
2006-11-02,TALBROAUTO,EQ,69.4,68.0,70.8,68.0,70.0,70.0,69.27,7594,52604350000.0,,5869,0.7728
2006-11-03,TALBROAUTO,EQ,70.0,68.0,72.0,67.2,68.1,68.6,69.61,5830,40580270000.0,,4914,0.8429000000000001
2006-11-06,TALBROAUTO,EQ,68.6,70.0,70.0,68.2,69.9,69.25,69.4,4627,32110909999.999996,,3965,0.8569
2006-11-07,TALBROAUTO,EQ,69.25,69.3,70.55,68.0,68.0,68.2,68.91,2295,15814325000.0,,2070,0.902
2006-11-08,TALBROAUTO,EQ,68.2,68.75,68.75,66.25,66.9,66.55,67.13,2747,18439985000.0,,2350,0.8555
2006-11-09,TALBROAUTO,EQ,66.55,67.0,68.0,66.3,67.0,67.1,67.21,4261,28637250000.0,,3103,0.7282
2006-11-10,TALBROAUTO,EQ,67.1,67.0,67.85,65.75,66.05,66.05,66.96,1532,10258300000.0,,1207,0.7879
2006-11-13,TALBROAUTO,EQ,66.05,66.05,67.5,66.05,66.9,66.8,66.65,2180,14528750000.0,,1845,0.8462999999999999
2006-11-14,TALBROAUTO,EQ,66.8,67.1,67.9,65.25,65.25,66.35,66.81,3971,26528815000.000004,,3450,0.8688
2006-11-15,TALBROAUTO,EQ,66.35,66.2,68.0,66.0,66.4,66.3,66.83,2850,19047245000.0,,2105,0.7386
2006-11-16,TALBROAUTO,EQ,66.3,65.5,66.0,65.5,65.75,65.8,65.56,2605,17077825000.0,,2580,0.9904000000000001
2006-11-17,TALBROAUTO,EQ,65.8,65.5,65.75,64.1,64.1,64.25,64.84,3742,24264375000.0,,2732,0.7301000000000001
2006-11-20,TALBROAUTO,EQ,64.25,63.0,64.45,62.35,63.35,63.05,63.0,1982,12487400000.0,,1465,0.7392000000000001
2006-11-21,TALBROAUTO,EQ,63.05,62.0,73.7,62.0,66.7,66.85,68.18,21308,145282735000.0,,3164,0.1485
2006-11-22,TALBROAUTO,EQ,66.85,70.1,71.6,65.55,65.55,66.75,68.73,18220,125224314999.99998,,7138,0.3918
2006-11-23,TALBROAUTO,EQ,66.75,69.9,71.9,65.55,65.6,65.6,67.13,2412,16192570000.000002,,1351,0.5601
2006-11-24,TALBROAUTO,EQ,65.6,66.75,68.0,65.5,65.75,66.35,66.53,2771,18434410000.0,,2164,0.7809
2006-11-27,TALBROAUTO,EQ,66.35,66.7,67.2,66.0,66.0,66.1,66.26,1987,13166215000.0,,1712,0.8616
2006-11-28,TALBROAUTO,EQ,66.1,56.25,68.1,56.25,66.0,65.75,65.2,3833,24992690000.0,,1892,0.4936
2006-11-29,TALBROAUTO,EQ,65.75,65.2,68.0,65.0,66.25,66.2,66.35,6499,43123510000.0,,4823,0.7421
2006-11-30,TALBROAUTO,EQ,66.2,65.0,67.4,65.0,66.7,66.4,66.58,3602,23982835000.0,,2747,0.7626000000000001
2006-12-01,TALBROAUTO,EQ,66.4,66.7,69.0,56.0,65.3,66.15,64.95,11539,74941540000.0,,5800,0.5025999999999999
2006-12-04,TALBROAUTO,EQ,66.15,66.0,69.0,66.0,66.6,66.9,67.45,15323,103357015000.0,,9317,0.608
2006-12-05,TALBROAUTO,EQ,66.9,67.1,69.0,66.65,67.0,67.1,67.33,14930,100518000000.0,,8557,0.5731
2006-12-06,TALBROAUTO,EQ,67.1,67.75,68.0,65.0,65.65,65.95,66.3,26062,172791475000.0,,16419,0.63
2006-12-07,TALBROAUTO,EQ,65.95,67.4,67.4,65.1,65.9,65.6,65.73,5484,36044290000.0,,3292,0.6003000000000001
2006-12-08,TALBROAUTO,EQ,65.6,65.2,67.0,64.5,64.75,65.1,65.8,6619,43551950000.0,,4905,0.741
2006-12-11,TALBROAUTO,EQ,65.1,65.75,65.75,62.1,62.5,62.95,63.46,3121,19806930000.0,,2479,0.7943000000000001
2006-12-12,TALBROAUTO,EQ,62.95,62.0,64.5,60.15,60.4,60.75,61.97,6804,42165335000.0,,4456,0.6548999999999999
2006-12-13,TALBROAUTO,EQ,60.75,60.0,60.0,57.85,59.5,59.75,59.13,9542,56417915000.0,,5242,0.5494
2006-12-14,TALBROAUTO,EQ,59.75,60.0,61.2,59.65,60.3,60.4,60.07,7111,42714375000.0,,6681,0.9395
2006-12-15,TALBROAUTO,EQ,60.4,60.25,61.65,59.8,60.3,59.95,60.2,4712,28367430000.0,,4195,0.8903
2006-12-18,TALBROAUTO,EQ,59.95,57.7,60.9,57.0,59.7,59.65,59.48,3621,21539200000.0,,2593,0.7161
2006-12-19,TALBROAUTO,EQ,59.65,58.65,59.95,58.55,59.0,58.95,59.13,3842,22719260000.0,,2985,0.7769
2006-12-20,TALBROAUTO,EQ,58.95,60.1,60.1,58.4,58.4,58.7,59.01,1226,7234635000.000001,,932,0.7602
2006-12-21,TALBROAUTO,EQ,58.7,59.0,59.85,58.4,58.65,58.75,59.25,5431,32176900000.0,,4428,0.8153
2006-12-22,TALBROAUTO,EQ,58.75,59.0,59.3,58.15,58.2,58.3,58.8,7808,45907800000.0,,7056,0.9037000000000001
2006-12-26,TALBROAUTO,EQ,58.3,59.0,60.5,58.5,58.7,58.8,59.29,9850,58400869999.99999,,7940,0.8061
2006-12-27,TALBROAUTO,EQ,58.8,58.65,59.35,58.5,58.65,58.65,58.9,6424,37838385000.0,,5988,0.9320999999999999
2006-12-28,TALBROAUTO,EQ,58.65,59.3,68.0,58.5,62.9,61.9,64.23,56063,360108280000.0,,28505,0.5084000000000001
2006-12-29,TALBROAUTO,EQ,61.9,63.0,64.0,62.3,63.5,62.95,63.7,24904,158640865000.0,,20975,0.8422000000000001
2007-01-02,TALBROAUTO,EQ,62.95,63.0,65.0,61.6,62.75,61.75,62.92,10715,67422315000.0,,7470,0.6972
2007-01-03,TALBROAUTO,EQ,61.75,63.9,64.0,61.7,61.75,62.05,62.47,8627,53892625000.0,,6646,0.7704000000000001
2007-01-04,TALBROAUTO,EQ,62.05,63.45,63.45,60.05,62.4,61.95,61.77,9814,60621980000.00001,,6224,0.6342
2007-01-05,TALBROAUTO,EQ,61.95,62.8,63.45,62.0,62.9,62.9,62.8,8375,52597885000.0,,5681,0.6783
2007-01-08,TALBROAUTO,EQ,62.9,62.1,63.0,62.0,62.55,62.65,62.72,6149,38565290000.0,,5303,0.8623999999999999
2007-01-09,TALBROAUTO,EQ,62.65,61.1,64.5,61.1,62.5,62.15,63.15,10591,66880200000.0,,6415,0.6057
2007-01-10,TALBROAUTO,EQ,62.15,61.25,61.5,59.15,61.0,59.8,60.33,4977,30024190000.000004,,3604,0.7241
2007-01-11,TALBROAUTO,EQ,59.8,60.8,60.8,59.4,60.05,59.95,60.02,5862,35181190000.0,,4946,0.8437000000000001
2007-01-12,TALBROAUTO,EQ,59.95,60.0,61.9,59.9,60.9,60.8,60.51,20136,121837320000.0,,17675,0.8778
2007-01-15,TALBROAUTO,EQ,60.8,60.9,61.55,59.25,59.95,59.8,60.22,15304,92153850000.0,,13440,0.8782
2007-01-16,TALBROAUTO,EQ,59.8,60.0,60.25,59.0,60.25,59.65,59.84,7860,47037950000.0,,7199,0.9159
2007-01-17,TALBROAUTO,EQ,59.65,60.25,60.25,59.0,59.5,59.65,59.95,14864,89103520000.0,,14288,0.9612
2007-01-18,TALBROAUTO,EQ,59.65,61.25,62.0,58.75,59.0,59.0,60.54,35381,214210420000.00003,,30512,0.8623999999999999
2007-01-19,TALBROAUTO,EQ,59.0,59.8,59.8,57.85,57.85,58.0,58.57,17200,100743140000.0,,15960,0.9279000000000001
2007-01-22,TALBROAUTO,EQ,58.0,58.25,60.0,58.25,59.0,59.1,59.11,25117,148478440000.0,,23961,0.9540000000000001
2007-01-23,TALBROAUTO,EQ,59.1,60.4,64.0,59.0,61.75,61.8,61.99,87463,542222080000.0,,57102,0.6529
2007-01-24,TALBROAUTO,EQ,61.8,64.0,64.0,61.05,61.85,61.75,62.37,21148,131904605000.0,,17570,0.8308
2007-01-25,TALBROAUTO,EQ,61.75,63.5,65.6,62.05,62.45,62.7,63.88,38710,247275070000.00003,,12000,0.31
2007-01-29,TALBROAUTO,EQ,62.7,64.9,65.0,62.15,64.1,64.1,64.37,39064,251467235000.0,,24471,0.6264000000000001
