Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-12-29,TCIEXP,EQ,296.75,306.45,327.0,296.55,298.5,299.25,312.88,203934,6380788185000.0,5357,64866,0.3181
2016-12-30,TCIEXP,EQ,299.25,297.0,304.7,287.0,291.0,289.35,291.93,30651,894787550000.0,1012,15646,0.5105
2017-01-02,TCIEXP,EQ,289.35,285.0,302.45,281.5,294.0,295.35,292.09,28863,843052419999.9999,817,16250,0.563
2017-01-03,TCIEXP,EQ,295.35,298.9,304.5,291.0,296.9,296.05,299.13,20565,615165080000.0,654,9468,0.4604
2017-01-04,TCIEXP,EQ,296.05,296.5,300.0,291.25,291.85,292.45,294.13,29606,870789140000.0,374,25632,0.8658
2017-01-05,TCIEXP,EQ,292.45,293.2,295.5,291.5,291.5,293.0,293.01,11956,350318975000.0,274,9048,0.7568000000000001
2017-01-06,TCIEXP,EQ,293.0,291.2,298.1,291.2,293.8,293.1,294.49,10357,305002230000.0,399,7428,0.7172
2017-01-09,TCIEXP,EQ,293.1,291.0,294.0,289.05,290.15,290.7,291.26,6321,184104805000.0,164,5596,0.8853
2017-01-10,TCIEXP,EQ,290.7,290.1,295.0,289.5,290.7,290.45,291.98,15969,466269805000.0,266,13582,0.8505
2017-01-11,TCIEXP,EQ,290.45,287.0,292.95,285.0,287.0,287.7,289.79,11846,343290500000.0,309,9471,0.7995000000000001
2017-01-12,TCIEXP,EQ,287.7,287.0,289.8,285.0,287.95,286.7,287.14,10069,289119250000.0,342,6699,0.6653
2017-01-13,TCIEXP,EQ,286.7,284.0,293.0,284.0,290.6,291.75,288.84,8908,257302954999.99997,242,6143,0.6896
2017-01-16,TCIEXP,EQ,291.75,292.0,303.95,288.05,303.0,302.15,297.53,22916,681827225000.0,496,15087,0.6584000000000001
2017-01-17,TCIEXP,EQ,302.15,306.0,310.0,300.0,304.5,304.25,305.35,15434,471271630000.0,506,9101,0.5897
2017-01-18,TCIEXP,EQ,304.25,304.25,311.0,304.0,306.95,304.7,305.71,10728,327968480000.0,305,8638,0.8052
2017-01-19,TCIEXP,EQ,304.7,309.0,309.0,294.1,299.95,299.4,301.63,9311,280851005000.0,405,6780,0.7282
2017-01-20,TCIEXP,EQ,299.4,300.0,304.5,291.05,296.95,295.3,298.97,8791,262828100000.0,291,7074,0.8047
2017-01-23,TCIEXP,EQ,295.3,291.05,297.65,291.0,296.0,296.0,294.98,6033,177962390000.0,141,4806,0.7966
2017-01-24,TCIEXP,EQ,296.0,298.0,304.5,296.5,298.0,298.65,300.21,9205,276345225000.0,338,5599,0.6083
2017-01-25,TCIEXP,EQ,298.65,299.95,302.0,295.0,299.0,300.95,298.82,11996,358461135000.0,255,9692,0.8079000000000001
2017-01-27,TCIEXP,EQ,300.95,299.95,300.95,293.25,300.0,298.9,297.23,15656,465349709999.99994,310,12156,0.7764
2017-01-30,TCIEXP,EQ,298.9,293.1,301.85,293.1,293.3,294.8,296.27,6940,205610880000.0,167,5380,0.7752
2017-01-31,TCIEXP,EQ,294.8,293.95,313.2,280.0,303.5,304.6,301.46,49106,1480344470000.0,1274,19158,0.3901
2017-02-01,TCIEXP,EQ,304.6,300.1,308.45,291.0,300.0,299.95,300.58,14414,433262225000.0,497,9741,0.6758
2017-02-02,TCIEXP,EQ,299.95,302.0,303.95,296.0,298.35,298.9,299.54,13401,401413080000.0,349,9670,0.7216
2017-02-03,TCIEXP,EQ,298.9,297.95,309.75,294.0,301.0,301.45,300.62,19777,594535260000.0,592,11000,0.5562
2017-02-06,TCIEXP,EQ,301.45,301.1,316.85,296.0,308.05,310.95,310.65,36527,1134695770000.0,1038,25260,0.6915000000000001
2017-02-07,TCIEXP,EQ,310.95,309.05,315.0,305.05,311.0,312.75,311.0,21804,678109675000.0,606,16814,0.7711
2017-02-08,TCIEXP,EQ,312.75,311.75,315.75,307.0,313.75,311.65,311.96,8707,271622450000.0,267,6889,0.7912
2017-02-09,TCIEXP,EQ,311.65,311.0,311.0,303.1,310.9,307.7,306.49,14474,443609080000.0,360,10828,0.7481
2017-02-10,TCIEXP,EQ,307.7,306.0,308.95,301.2,307.0,307.55,305.73,16108,492475600000.0,420,12040,0.7475
2017-02-13,TCIEXP,EQ,307.55,304.0,307.35,301.0,301.3,302.55,303.11,12838,389129955000.0,302,10204,0.7948000000000001
2017-02-14,TCIEXP,EQ,302.55,302.0,306.5,297.15,301.0,300.35,300.56,14614,439232040000.00006,256,11763,0.8049
2017-02-15,TCIEXP,EQ,300.35,299.9,299.9,292.05,293.1,294.65,295.4,12853,379676410000.0,290,10497,0.8167
2017-02-16,TCIEXP,EQ,294.65,293.55,298.85,291.5,297.0,296.75,295.43,9239,272951300000.0,209,7940,0.8593999999999999
2017-02-17,TCIEXP,EQ,296.75,298.0,300.0,294.25,296.0,295.9,296.59,7612,225765690000.0,151,5792,0.7609
2017-02-20,TCIEXP,EQ,295.9,299.0,299.95,293.3,295.0,295.05,295.72,10613,313845390000.0,267,8985,0.8466
2017-02-21,TCIEXP,EQ,295.05,296.2,296.2,291.5,295.0,294.95,294.19,21642,636677335000.0,187,20019,0.925
