Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-06-27,TEJASNET,EQ,257.0,257.0,271.4,257.0,262.6,263.5,262.51,13384596,351353339730000.0,135236,4463295,0.3335
2017-06-28,TEJASNET,EQ,263.5,265.0,273.9,263.75,269.25,269.35,269.5,1421224,38301520225000.0,21194,548410,0.3859
2017-06-29,TEJASNET,EQ,269.35,269.95,279.5,267.0,278.25,275.45,271.59,817704,22207741860000.0,12564,313484,0.3834
2017-06-30,TEJASNET,EQ,275.45,279.0,312.0,276.0,302.95,302.5,297.11,2717341,80735186610000.0,40187,545242,0.20070000000000002
2017-07-03,TEJASNET,EQ,302.5,303.5,310.75,295.25,303.05,302.75,303.42,715808,21719131845000.0,10809,209305,0.2924
2017-07-04,TEJASNET,EQ,302.75,300.25,309.75,297.7,305.9,304.75,304.06,574673,17473607350000.0,12107,162328,0.28250000000000003
2017-07-05,TEJASNET,EQ,304.75,300.15,304.8,299.0,300.8,301.5,301.58,245988,7418593484999.999,4529,69792,0.2837
2017-07-06,TEJASNET,EQ,301.5,299.1,324.8,299.1,316.0,318.5,315.18,1424441,44895834810000.0,19712,314685,0.2209
2017-07-07,TEJASNET,EQ,318.5,317.9,365.75,312.1,345.3,346.85,344.31,3189181,109805467900000.0,46221,314515,0.0986
2017-07-10,TEJASNET,EQ,346.85,350.0,373.5,347.0,368.05,367.3,365.2,764396,27915852710000.004,10817,175339,0.22940000000000002
2017-07-11,TEJASNET,EQ,367.3,369.15,377.0,330.5,342.5,343.3,355.26,2079413,73872577650000.0,38163,345414,0.1661
2017-07-12,TEJASNET,EQ,343.3,345.05,346.05,319.0,338.0,339.7,336.49,1287537,43324853105000.0,27842,217603,0.16899999999999998
2017-07-13,TEJASNET,EQ,339.7,341.8,348.4,324.05,328.05,331.3,335.08,685743,22977783880000.0,13316,184867,0.2696
2017-07-14,TEJASNET,EQ,331.3,331.9,336.0,291.5,314.65,312.15,316.91,1166541,36968579295000.0,25814,446743,0.383
2017-07-17,TEJASNET,EQ,312.15,311.9,338.0,299.0,326.95,326.85,324.23,1034632,33545884710000.004,25577,187466,0.1812
2017-07-18,TEJASNET,EQ,326.85,326.9,341.4,321.25,326.0,327.7,331.99,732388,24314855440000.0,19691,141732,0.1935
2017-07-19,TEJASNET,EQ,327.7,328.9,352.8,325.1,347.5,349.2,341.43,1057372,36102028905000.0,28461,296145,0.2801
2017-07-20,TEJASNET,EQ,349.2,350.5,366.9,338.15,350.85,350.75,353.43,1025376,36239739515000.0,22226,264838,0.2583
2017-07-21,TEJASNET,EQ,350.75,351.1,354.2,338.6,346.75,348.3,347.37,491580,17076092194999.998,10141,116047,0.2361
2017-07-24,TEJASNET,EQ,348.3,345.0,348.1,334.9,339.4,339.2,340.99,241909,8248930095000.0,11244,89705,0.37079999999999996
2017-07-25,TEJASNET,EQ,339.2,340.1,344.9,332.0,333.1,335.7,339.27,205099,6958354430000.0,8624,68646,0.3347
2017-07-26,TEJASNET,EQ,335.7,338.0,338.9,322.0,324.95,329.05,333.58,416023,13877758215000.0,6431,305253,0.7337
2017-07-27,TEJASNET,EQ,329.05,331.8,333.0,320.0,331.0,327.15,326.3,165253,5392198425000.0,4336,55822,0.33780000000000004
2017-07-28,TEJASNET,EQ,327.15,327.0,343.0,323.0,333.5,334.15,333.22,257005,8563958195000.0,9930,87947,0.3422
2017-07-31,TEJASNET,EQ,334.15,337.0,345.8,330.0,336.0,336.75,339.66,148384,5040063105000.0,3821,41180,0.2775
2017-08-01,TEJASNET,EQ,336.75,337.15,342.9,328.75,330.0,331.15,335.94,87577,2942069335000.0,2538,24244,0.2768
2017-08-02,TEJASNET,EQ,331.15,333.7,333.7,327.5,331.0,330.9,330.42,60574,2001488700000.0,1817,23299,0.3846
2017-08-03,TEJASNET,EQ,330.9,331.0,355.0,331.0,338.05,340.25,343.19,1037797,35615763910000.0,19969,314914,0.3034
2017-08-04,TEJASNET,EQ,340.25,341.45,359.5,341.45,347.0,349.65,351.1,636449,22345436715000.0,13948,303110,0.47630000000000006
2017-08-07,TEJASNET,EQ,349.65,348.0,351.0,332.65,337.0,337.55,340.17,162797,5537847595000.0,4770,78400,0.4816
2017-08-08,TEJASNET,EQ,337.55,337.85,344.7,324.2,330.55,332.45,331.69,150621,4995894610000.0,4277,69036,0.4583
2017-08-09,TEJASNET,EQ,332.45,330.0,331.05,319.4,325.0,325.05,324.89,111095,3609419895000.0005,2488,51870,0.4669
2017-08-10,TEJASNET,EQ,325.05,329.9,329.9,299.0,325.0,318.15,317.86,172024,5468038340000.0,3416,107404,0.6244
2017-08-11,TEJASNET,EQ,318.15,312.0,338.8,305.0,325.05,330.8,324.29,219783,7127418180000.0,6878,111452,0.5071
2017-08-14,TEJASNET,EQ,330.8,332.0,334.4,322.25,325.7,325.6,330.33,113518,3749817400000.0,2782,75696,0.6668000000000001
2017-08-16,TEJASNET,EQ,325.6,326.15,332.7,323.05,325.5,326.8,327.89,106916,3505675085000.0,2960,54332,0.5082
2017-08-17,TEJASNET,EQ,326.8,328.0,354.8,327.2,343.05,342.85,345.43,513794,17748060695000.0,17428,254587,0.4955
2017-08-18,TEJASNET,EQ,342.85,340.0,340.45,332.1,333.0,334.15,335.7,73556,2469295965000.0,2348,25924,0.35240000000000005
2017-08-21,TEJASNET,EQ,334.15,335.2,344.5,325.25,325.5,327.05,335.85,92036,3091025290000.0,2826,34057,0.37
2017-08-22,TEJASNET,EQ,327.05,332.65,335.0,325.1,327.0,327.4,328.72,60472,1987855255000.0,2002,17579,0.2907
2017-08-23,TEJASNET,EQ,327.4,329.95,332.0,324.1,325.0,325.9,328.61,61931,2035092420000.0,3570,24513,0.3958
2017-08-24,TEJASNET,EQ,325.9,330.7,335.45,328.3,331.45,329.75,332.14,96728,3212686425000.0,3337,43876,0.4536
2017-08-28,TEJASNET,EQ,329.75,335.0,336.3,329.05,330.5,330.6,333.12,59175,1971225595000.0,2420,28322,0.4786
2017-08-29,TEJASNET,EQ,330.6,328.0,336.4,323.6,335.0,331.1,330.15,102147,3372362115000.0,2690,55198,0.5404
2017-08-30,TEJASNET,EQ,331.1,336.7,343.0,332.45,340.0,340.3,339.0,171176,5802946495000.0,5624,101149,0.5909000000000001
2017-08-31,TEJASNET,EQ,340.3,340.0,359.0,336.0,347.0,348.4,349.87,249643,8734273505000.0,4778,146272,0.5859000000000001
2017-09-01,TEJASNET,EQ,348.4,343.0,351.55,341.0,341.35,341.7,345.09,74775,2580384690000.0,3872,36041,0.48200000000000004
2017-09-04,TEJASNET,EQ,341.7,342.8,348.5,333.7,337.3,337.75,341.36,86429,2950366710000.0,2735,39071,0.4521
2017-09-05,TEJASNET,EQ,337.75,340.95,347.4,336.2,340.0,339.35,342.26,103520,3543025095000.0005,2429,34069,0.32909999999999995
2017-09-06,TEJASNET,EQ,339.35,336.0,340.7,333.0,333.0,334.7,336.78,66883,2252516135000.0,2800,35337,0.5283
2017-09-07,TEJASNET,EQ,334.7,338.0,339.0,330.0,330.85,331.45,333.75,68414,2283290065000.0,2555,37557,0.549
2017-09-08,TEJASNET,EQ,331.45,333.95,339.8,333.15,338.4,337.5,337.28,140726,4746423695000.0,2664,110703,0.7867000000000001
2017-09-11,TEJASNET,EQ,337.5,339.8,352.25,339.2,346.1,347.15,348.45,466158,16243441625000.0,9232,359387,0.7709999999999999
2017-09-12,TEJASNET,EQ,347.15,348.95,359.7,345.0,346.0,348.4,352.72,493143,17394078855000.002,14987,246526,0.4999
2017-09-13,TEJASNET,EQ,348.4,349.85,350.2,339.95,342.0,340.35,343.9,68174,2344520925000.0,1912,41483,0.6085
2017-09-14,TEJASNET,EQ,340.35,342.9,344.7,334.35,340.0,339.0,338.1,94592,3198110770000.0,3011,57110,0.6038
2017-09-15,TEJASNET,EQ,339.0,340.8,354.4,335.1,336.0,341.9,344.47,365840,12602011325000.0,13071,217494,0.5945
2017-09-18,TEJASNET,EQ,341.9,342.0,345.65,335.1,335.25,335.95,340.32,107732,3666386310000.0,4050,48807,0.45299999999999996
2017-09-19,TEJASNET,EQ,335.95,337.95,340.3,334.75,335.5,335.3,336.74,78916,2657394120000.0,2693,42261,0.5355
2017-09-20,TEJASNET,EQ,335.3,335.65,338.6,330.0,330.9,330.45,333.06,56980,1897768455000.0,1979,34216,0.6005
2017-09-21,TEJASNET,EQ,330.45,333.8,334.8,326.5,327.0,327.35,329.8,52295,1724664305000.0,2322,24239,0.4635
2017-09-22,TEJASNET,EQ,327.35,329.95,329.95,312.5,314.5,316.8,317.69,117264,3725407035000.0,4282,74967,0.6393
2017-09-25,TEJASNET,EQ,316.8,310.05,315.5,301.1,302.5,302.8,303.34,490930,14891683265000.0,3115,452090,0.9209
2017-09-26,TEJASNET,EQ,302.8,302.6,323.0,302.6,322.5,321.85,314.76,124885,3930908700000.0,7613,62168,0.4978
2017-09-27,TEJASNET,EQ,321.85,325.9,330.0,283.2,309.9,309.9,319.03,177822,5672991075000.0,4956,85207,0.4792
2017-09-28,TEJASNET,EQ,309.9,310.0,311.1,295.85,299.85,300.5,302.32,92031,2782313005000.0,6032,54055,0.5874
2017-09-29,TEJASNET,EQ,300.5,304.95,304.95,295.0,297.85,296.6,299.71,274612,8230527370000.0,8306,185414,0.6752
2017-10-03,TEJASNET,EQ,296.6,300.0,302.6,288.0,292.55,291.7,292.36,136389,3987480510000.0,8875,94275,0.6912
2017-10-04,TEJASNET,EQ,291.7,295.0,315.5,292.0,305.0,305.9,307.05,159797,4906586855000.0,5213,49158,0.30760000000000004
2017-10-05,TEJASNET,EQ,305.9,308.2,311.8,298.05,305.45,309.1,305.3,91105,2781416695000.0,4244,31003,0.3403
2017-10-06,TEJASNET,EQ,309.1,314.0,314.0,301.1,302.8,304.5,306.01,136163,4166667775000.0,5595,70207,0.5156000000000001
2017-10-09,TEJASNET,EQ,304.5,302.6,309.85,301.0,301.1,302.2,305.0,74553,2273865480000.0,4973,28884,0.3874
2017-10-10,TEJASNET,EQ,302.2,301.1,308.8,301.1,305.5,305.75,304.92,72616,2214199795000.0,2885,24791,0.34140000000000004
2017-10-11,TEJASNET,EQ,305.75,307.0,307.3,295.55,298.3,299.15,303.02,43942,1331545205000.0,2264,17410,0.3962
2017-10-12,TEJASNET,EQ,299.15,298.7,301.45,295.4,296.1,297.55,298.62,58486,1746501950000.0,2452,25089,0.429
2017-10-13,TEJASNET,EQ,297.55,299.95,299.95,292.0,293.9,295.25,296.95,72082,2140442739999.9998,2377,30394,0.4217
2017-10-16,TEJASNET,EQ,295.25,297.0,310.8,295.95,302.15,303.05,298.24,459964,13717868819999.998,4458,387820,0.8432
2017-10-17,TEJASNET,EQ,303.05,305.7,310.0,301.0,303.5,304.35,305.78,56810,1737159850000.0,2217,24426,0.43
2017-10-18,TEJASNET,EQ,304.35,300.0,308.3,300.0,301.0,303.15,304.61,51052,1555092820000.0,1647,20411,0.3998
2017-10-19,TEJASNET,EQ,303.15,302.15,305.0,299.0,299.25,301.7,302.4,20277,613180520000.0,473,14784,0.7291
2017-10-23,TEJASNET,EQ,301.7,302.0,307.5,298.15,304.6,304.45,304.63,98952,3014341915000.0,2607,57901,0.5851
2017-10-24,TEJASNET,EQ,304.45,307.0,310.0,302.4,309.0,307.9,305.9,91421,2796575605000.0,2167,58473,0.6396000000000001
2017-10-25,TEJASNET,EQ,307.9,312.0,334.9,307.8,327.45,320.85,325.27,811042,26381085805000.0,22326,317736,0.3918
2017-10-26,TEJASNET,EQ,320.85,333.0,335.9,324.25,327.55,326.5,328.5,330564,10859186445000.0,8586,129593,0.392
2017-10-27,TEJASNET,EQ,326.5,326.0,332.5,320.1,325.0,324.75,325.44,182491,5938946925000.0,6486,94776,0.5193
2017-10-30,TEJASNET,EQ,324.75,320.05,331.0,320.0,321.55,322.5,325.58,71541,2329216430000.0,3046,34607,0.48369999999999996
2017-10-31,TEJASNET,EQ,322.5,322.15,329.5,320.1,326.25,326.15,325.86,100771,3283742935000.0,3779,59949,0.5949
2017-11-01,TEJASNET,EQ,326.15,322.0,390.0,322.0,376.0,374.55,375.25,1111507,41709395850000.0,21942,454700,0.40909999999999996
2017-11-02,TEJASNET,EQ,374.55,378.8,390.0,365.1,381.15,383.4,380.79,613202,23349849000000.0,15987,206718,0.3371
2017-11-03,TEJASNET,EQ,383.4,385.1,390.0,376.0,377.5,380.95,387.0,325787,12607871495000.0,8649,116898,0.3588
2017-11-06,TEJASNET,EQ,380.95,377.5,380.0,368.65,370.05,371.05,373.04,85286,3181483545000.0,3713,47026,0.5514
2017-11-07,TEJASNET,EQ,371.05,371.05,374.95,351.05,366.55,367.1,364.53,158038,5760983315000.0,6933,90857,0.5749000000000001
2017-11-08,TEJASNET,EQ,367.1,367.0,369.6,355.1,359.65,358.75,360.92,119858,4325857404999.9995,3054,86935,0.7253000000000001
2017-11-09,TEJASNET,EQ,358.75,357.1,367.7,353.0,361.0,360.0,356.9,132871,4742222845000.0,2867,96149,0.7236
2017-11-10,TEJASNET,EQ,360.0,360.0,405.0,357.0,385.0,384.65,388.1,478398,18566649965000.0,13162,148066,0.3095
2017-11-13,TEJASNET,EQ,384.65,395.0,408.9,387.65,394.5,396.45,395.89,312104,12355799755000.0,10013,128723,0.41240000000000004
2017-11-14,TEJASNET,EQ,396.45,399.4,400.0,388.65,390.0,392.55,394.23,146097,5759587435000.0,10923,75198,0.5147
2017-11-15,TEJASNET,EQ,392.55,391.95,410.0,381.1,389.95,391.55,396.13,265169,10504013600000.0,10906,99171,0.374
2017-11-16,TEJASNET,EQ,391.55,392.2,424.0,387.3,412.0,412.85,412.98,577915,23866533730000.0,19061,218248,0.3776
2017-11-17,TEJASNET,EQ,412.85,414.7,429.0,408.1,410.35,412.2,420.86,424713,17874584310000.0,14793,128647,0.3029
2017-11-20,TEJASNET,EQ,412.2,412.2,423.8,401.0,401.9,405.65,414.69,322448,13371460435000.0,13450,167351,0.519
2017-11-21,TEJASNET,EQ,405.65,404.9,412.9,397.0,399.5,400.6,405.72,135281,5488671645000.0,5812,55578,0.4108
2017-11-22,TEJASNET,EQ,400.6,402.0,405.0,392.25,397.0,397.9,398.62,89309,3560006350000.0,6078,51719,0.5791
2017-11-23,TEJASNET,EQ,397.9,400.0,422.4,397.15,404.75,404.7,407.0,241365,9823667785000.0,6509,148426,0.6149
2017-11-24,TEJASNET,EQ,404.7,406.0,406.7,393.0,395.7,395.85,399.62,138947,5552616555000.0,8500,91719,0.6601
