Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-02-13,THOMASCOTT,EQ,28.65,34.25,34.25,23.15,29.0,29.0,29.56,4519,13358204999.999998,49,1774,0.3926
2012-02-14,THOMASCOTT,EQ,29.0,25.4,33.8,25.4,28.55,28.55,29.27,1566,4583315000.0,40,1098,0.7011000000000001
2012-02-15,THOMASCOTT,EQ,28.55,27.0,29.75,26.3,29.0,29.0,27.34,177,483900000.0,5,177,1.0
2012-02-16,THOMASCOTT,EQ,29.0,25.85,29.15,25.8,28.6,28.6,26.37,538,1418865000.0,14,458,0.8513
2012-02-17,THOMASCOTT,EQ,28.6,26.05,28.95,26.05,26.8,26.8,26.65,2292,6108275000.0,39,1584,0.6911
2012-02-21,THOMASCOTT,EQ,26.8,26.8,27.8,24.1,27.45,27.45,27.24,420,1144205000.0,11,408,0.9714
2012-02-22,THOMASCOTT,EQ,27.45,29.3,29.6,24.5,25.15,25.6,28.44,1371,3898985000.0,31,975,0.7112
2012-02-23,THOMASCOTT,EQ,25.6,24.0,28.25,24.0,26.95,26.95,26.45,432,1142605000.0,18,289,0.669
2012-02-24,THOMASCOTT,EQ,26.95,28.0,28.7,25.3,28.7,27.9,27.38,216,591470000.0,14,174,0.8056000000000001
2012-02-27,THOMASCOTT,EQ,27.9,26.0,26.05,23.4,23.4,24.3,24.98,864,2158425000.0,16,812,0.9398000000000001
2012-02-28,THOMASCOTT,EQ,24.3,26.0,27.0,24.2,26.7,26.05,25.63,227,581735000.0,12,128,0.5639000000000001
2012-02-29,THOMASCOTT,EQ,26.05,28.0,28.0,24.8,24.8,24.95,26.64,443,1180210000.0,22,423,0.9549
2012-03-01,THOMASCOTT,EQ,24.95,24.0,27.45,23.1,25.75,25.45,25.28,489,1236190000.0,12,221,0.45189999999999997
2012-03-02,THOMASCOTT,EQ,25.45,25.0,27.1,25.0,25.2,25.2,25.92,372,964050000.0,10,286,0.7687999999999999
2012-03-05,THOMASCOTT,EQ,25.2,24.0,26.3,22.0,23.5,24.0,23.52,1633,3841115000.0,31,975,0.5971000000000001
2012-03-06,THOMASCOTT,EQ,24.0,25.75,25.85,21.35,22.15,22.2,22.89,558,1277130000.0,15,203,0.3638
2012-03-07,THOMASCOTT,EQ,22.2,25.2,25.2,23.5,25.15,24.0,24.57,1140,2800550000.0,5,170,0.1491
2012-03-09,THOMASCOTT,EQ,24.0,24.0,28.0,22.65,25.55,25.25,25.72,4013,10322515000.0,52,1665,0.41490000000000005
2012-03-12,THOMASCOTT,EQ,25.25,24.0,24.95,23.35,23.35,23.45,23.84,1420,3385165000.0,17,690,0.48590000000000005
2012-03-13,THOMASCOTT,EQ,23.45,23.35,28.0,23.35,25.8,24.15,24.75,6927,17143590000.0,92,758,0.1094
2012-03-14,THOMASCOTT,EQ,24.15,24.5,26.4,24.15,24.15,24.15,25.42,197,500805000.0,11,197,1.0
2012-03-15,THOMASCOTT,EQ,24.15,24.2,26.4,24.2,24.25,24.25,25.29,927,2344160000.0,10,627,0.6764
2012-03-16,THOMASCOTT,EQ,24.25,22.8,26.4,22.8,25.9,23.55,23.99,1363,3269670000.0,25,823,0.6038
2012-03-19,THOMASCOTT,EQ,23.55,23.5,24.9,23.5,23.5,23.5,23.69,251,594665000.0,7,175,0.6972
2012-03-20,THOMASCOTT,EQ,23.5,25.5,25.95,22.55,25.95,25.95,25.53,672,1715565000.0000002,10,395,0.5878
2012-03-21,THOMASCOTT,EQ,25.95,26.4,27.05,24.0,26.5,26.0,26.48,1343,3555685000.0,23,1028,0.7655
2012-03-22,THOMASCOTT,EQ,26.0,24.55,25.7,24.2,24.2,24.2,24.26,741,1797670000.0,10,490,0.6613
