Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-10-14,TIJARIA,EQ,60.0,61.0,67.75,16.5,17.75,18.6,43.94,59965008,263499546280000.03,517144,6176796,0.10300000000000001
2011-10-17,TIJARIA,EQ,18.6,18.1,19.0,15.05,16.1,15.5,16.46,4906230,8076012825000.0,22261,1570677,0.3201
2011-10-18,TIJARIA,EQ,15.5,16.0,18.35,15.1,18.0,17.8,17.33,5102999,8843718145000.0,22684,863019,0.1691
2011-10-19,TIJARIA,EQ,17.8,18.5,19.2,17.25,17.6,17.65,18.14,2566089,4655536375000.0,11368,791027,0.30829999999999996
2011-10-20,TIJARIA,EQ,17.65,17.5,17.7,16.25,16.6,16.55,16.69,983321,1641038010000.0,4641,441020,0.4485
2011-10-21,TIJARIA,EQ,16.55,16.7,17.05,16.05,16.6,16.55,16.57,812817,1346886375000.0,4244,296568,0.3649
2011-10-24,TIJARIA,EQ,16.55,16.8,17.0,14.8,15.05,15.05,15.84,805621,1276374910000.0,4505,295954,0.3674
2011-10-24,TIJARIA,EQ,16.55,16.8,17.0,14.8,15.05,15.05,15.84,805621,1276374910000.0,4505,295954,0.3674
2011-10-25,TIJARIA,EQ,15.05,15.4,15.4,13.1,13.3,13.4,13.72,875776,1201589860000.0,4653,270518,0.3089
2011-10-26,TIJARIA,EQ,13.4,12.9,13.9,12.9,13.7,13.55,13.46,113247,152446685000.0,737,53954,0.4764
2011-10-28,TIJARIA,EQ,13.55,13.55,14.25,13.35,13.5,13.55,13.52,400702,541931180000.0,1900,222232,0.5546
2011-10-31,TIJARIA,EQ,13.55,13.15,13.6,13.15,13.2,13.25,13.25,192942,255658520000.00003,966,124499,0.6453
2011-11-01,TIJARIA,EQ,13.25,13.0,13.1,12.1,12.3,12.25,12.55,383266,481120590000.00006,2080,203970,0.5322
2011-11-02,TIJARIA,EQ,12.25,12.3,12.3,11.3,11.3,11.4,11.51,460205,529667375000.0,2251,252614,0.5489
2011-11-03,TIJARIA,EQ,11.4,11.4,12.2,10.5,11.9,12.05,11.58,388873,450434520000.0,2322,169346,0.4355
2011-11-04,TIJARIA,EQ,12.05,12.05,12.45,11.75,12.3,12.25,12.2,232684,283779700000.0,1461,131435,0.5649000000000001
2011-11-08,TIJARIA,EQ,12.25,12.0,12.95,12.0,12.95,12.8,12.64,298333,377187500000.0,1477,165283,0.554
2011-11-09,TIJARIA,EQ,12.8,12.9,14.1,12.8,14.1,14.1,13.7,538923,738409500000.0,2575,295909,0.5491
2011-11-11,TIJARIA,EQ,14.1,14.35,15.55,14.2,15.55,15.55,15.21,720242,1095445380000.0001,3297,247083,0.3431
2011-11-14,TIJARIA,EQ,15.55,16.35,16.35,16.35,16.35,16.35,16.35,104711,171202485000.0,314,75190,0.7181000000000001
