Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-11-20,TIPSINDLTD,EQ,325.0,370.0,370.0,326.9,330.6,333.55,337.36,180057,6074431820000.0,,,
2000-11-21,TIPSINDLTD,EQ,333.55,328.0,332.7,318.0,324.75,325.35,326.14,43683,1424657125000.0,,,
2000-11-22,TIPSINDLTD,EQ,325.35,329.9,339.0,310.0,313.0,311.2,317.8,39473,1254455110000.0,,,
2000-11-23,TIPSINDLTD,EQ,311.2,308.0,308.0,286.3,305.0,301.0,299.25,66766,1997963360000.0002,,,
2000-11-24,TIPSINDLTD,EQ,301.0,302.95,317.8,297.5,300.2,303.45,307.24,94692,2909353050000.0,,,
2000-11-27,TIPSINDLTD,EQ,303.45,305.0,312.0,295.55,309.9,309.95,306.63,59861,1835520260000.0002,,,
2000-11-28,TIPSINDLTD,EQ,309.95,308.0,311.5,300.0,311.5,306.45,307.07,531122,16309320055000.002,,,
2000-11-29,TIPSINDLTD,EQ,306.45,307.0,331.0,305.0,331.0,331.0,312.34,394584,12324247190000.0,,,
2000-11-30,TIPSINDLTD,EQ,331.0,341.0,357.5,341.0,357.5,357.5,357.17,70298,2510830500000.0,,,
2000-12-01,TIPSINDLTD,EQ,357.5,364.85,379.0,342.25,360.0,363.8,364.25,865533,31527111220000.0,,,
2000-12-04,TIPSINDLTD,EQ,363.8,373.85,373.85,347.15,352.5,353.25,357.83,245696,8791820045000.0,,,
2000-12-05,TIPSINDLTD,EQ,353.25,356.8,371.0,356.35,364.0,359.7,363.48,252086,9162900200000.0,,,
2000-12-06,TIPSINDLTD,EQ,359.7,378.2,385.0,355.6,359.9,357.95,370.98,205859,7636917215000.001,,,
2000-12-07,TIPSINDLTD,EQ,357.95,358.95,386.6,350.1,386.6,386.6,378.35,479235,18131913605000.0,,,
2000-12-08,TIPSINDLTD,EQ,386.6,399.0,416.0,392.0,400.0,400.6,405.88,607926,24674496080000.0,,,
2000-12-11,TIPSINDLTD,EQ,400.6,409.7,417.0,397.15,408.5,412.35,409.93,464420,19038101355000.0,,,
2000-12-12,TIPSINDLTD,EQ,412.35,413.0,418.0,390.0,397.0,397.45,405.32,346043,14025928065000.0,,,
2000-12-13,TIPSINDLTD,EQ,397.45,402.0,428.4,400.6,424.0,423.85,418.15,582369,24351745305000.0,,,
2000-12-14,TIPSINDLTD,EQ,423.85,420.0,425.0,401.05,404.0,404.4,413.89,622574,25767734580000.0,,,
2000-12-15,TIPSINDLTD,EQ,404.4,394.25,399.0,372.05,372.05,372.05,375.39,403485,15146229005000.002,,,
2000-12-18,TIPSINDLTD,EQ,372.05,351.3,354.35,342.3,342.3,347.15,344.63,418484,14422268385000.0,,,
2000-12-19,TIPSINDLTD,EQ,347.15,337.0,362.8,319.4,323.5,320.55,332.35,562345,18689542310000.0,,,
2000-12-20,TIPSINDLTD,EQ,320.55,310.0,330.0,308.1,321.8,320.65,315.57,629105,19852383460000.0,,,
2000-12-21,TIPSINDLTD,EQ,320.65,305.0,315.0,296.0,301.65,301.55,305.62,202585,6191484010000.0,,,
2000-12-22,TIPSINDLTD,EQ,301.55,302.0,308.0,277.45,277.45,277.5,284.59,302055,8596288859999.999,,,
2000-12-26,TIPSINDLTD,EQ,277.5,264.9,266.0,255.3,255.3,255.3,256.72,394577,10129739030000.0,,,
2000-12-27,TIPSINDLTD,EQ,255.3,252.0,265.9,241.1,245.0,247.7,257.71,103678,2671898345000.0,,,
2000-12-28,TIPSINDLTD,EQ,247.7,249.95,267.0,246.25,262.1,261.0,259.99,138771,3607930729999.9995,,,
2000-12-29,TIPSINDLTD,EQ,261.0,261.95,265.9,248.05,256.9,257.7,259.61,308755,8015550084999.999,,,
2001-01-01,TIPSINDLTD,EQ,257.7,258.0,278.35,257.05,277.0,277.75,273.0,343538,9378475835000.0,,,
2001-01-02,TIPSINDLTD,EQ,277.75,279.0,285.0,262.55,275.0,269.4,274.56,324002,8895791290000.0,,,
2001-01-03,TIPSINDLTD,EQ,269.4,264.9,273.9,261.1,265.0,264.3,264.76,538520,14257886460000.0,,,
2001-01-04,TIPSINDLTD,EQ,264.3,272.7,279.9,250.25,252.0,260.25,269.87,653954,17648502900000.0,,,
2001-01-05,TIPSINDLTD,EQ,260.25,252.0,262.0,252.0,257.5,257.4,257.5,219920,5663046365000.0,,,
2001-01-08,TIPSINDLTD,EQ,257.4,259.7,259.7,236.85,236.85,236.85,248.05,99744,2474168675000.0,,,
2001-01-09,TIPSINDLTD,EQ,236.85,217.9,217.9,217.9,217.9,217.9,217.9,15892,346286680000.0,,,
2001-01-10,TIPSINDLTD,EQ,217.9,201.15,222.2,201.0,203.85,202.4,207.98,318808,6630592190000.0,,,
2001-01-11,TIPSINDLTD,EQ,202.4,206.0,208.5,187.0,189.0,189.55,196.1,150985,2960743725000.0,,,
2001-01-12,TIPSINDLTD,EQ,189.55,194.0,196.8,176.15,182.0,182.65,186.6,237141,4425021885000.0,,,
2001-01-15,TIPSINDLTD,EQ,182.65,181.25,183.75,170.25,172.5,173.1,176.54,143247,2528949415000.0,,,
2001-01-16,TIPSINDLTD,EQ,173.1,170.0,178.85,163.0,167.55,167.75,170.63,249563,4258332175000.0,,,
2001-01-17,TIPSINDLTD,EQ,167.75,172.95,181.2,172.9,181.2,181.2,176.92,50220,888495825000.0,,,
2001-01-18,TIPSINDLTD,EQ,181.2,187.0,193.0,181.2,185.05,185.75,185.42,516655,9579791095000.0,,,
2001-01-19,TIPSINDLTD,EQ,185.75,185.25,193.0,181.1,187.1,187.25,188.18,227824,4287135140000.0,,,
