Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-12-28,TMRVL,EQ,180.35,185.0,216.4,184.95,216.4,214.65,204.67,959981,19647997845000.0,15816,260094,0.27090000000000003
2016-12-29,TMRVL,EQ,214.65,219.0,222.0,196.0,197.8,197.65,207.8,502457,10441188775000.0,9903,198786,0.3956
2016-12-30,TMRVL,EQ,197.65,197.0,206.85,191.75,195.0,195.65,199.65,290910,5807913800000.0,5092,103679,0.3564
2017-01-02,TMRVL,EQ,195.65,201.7,201.9,193.95,195.1,195.15,197.37,98967,1953320635000.0002,1855,44073,0.44530000000000003
2017-01-03,TMRVL,EQ,195.15,195.5,197.35,186.1,187.55,187.25,190.84,135278,2581644685000.0,1605,86406,0.6386999999999999
2017-01-04,TMRVL,EQ,187.25,186.8,192.4,185.9,189.0,188.55,188.63,80954,1527003965000.0,1069,46717,0.5771000000000001
2017-01-05,TMRVL,EQ,188.55,188.1,194.0,187.3,190.0,190.55,190.18,135960,2585717395000.0,1162,99645,0.7329000000000001
2017-01-06,TMRVL,EQ,190.55,191.1,199.9,190.4,192.1,192.95,194.24,114422,2222505100000.0,1751,48349,0.4225
2017-01-09,TMRVL,EQ,192.95,194.0,194.85,189.0,191.1,190.9,191.21,61521,1176329900000.0,673,40300,0.6551
2017-01-10,TMRVL,EQ,190.9,190.0,194.5,190.0,192.95,191.75,192.31,30735,591053540000.0,554,15797,0.514
2017-01-11,TMRVL,EQ,191.75,193.95,194.3,191.05,191.55,191.8,191.99,44827,860613644999.9999,495,33430,0.7458
2017-01-12,TMRVL,EQ,191.8,192.8,193.05,191.0,191.2,191.75,191.73,27886,534658859999.99994,312,22637,0.8118000000000001
2017-01-13,TMRVL,EQ,191.75,191.95,208.0,191.5,199.1,199.05,202.32,256687,5193279990000.0,3702,110649,0.4311
2017-01-16,TMRVL,EQ,199.05,199.95,206.0,195.95,203.0,201.85,200.87,74705,1500616755000.0,1193,34637,0.4637
2017-01-17,TMRVL,EQ,201.85,204.0,205.5,199.0,200.4,201.2,201.25,54795,1102723435000.0,864,38152,0.6962999999999999
2017-01-18,TMRVL,EQ,201.2,201.0,217.4,196.1,212.5,211.25,209.13,351529,7351619220000.0,6436,119550,0.3401
2017-01-19,TMRVL,EQ,211.25,211.95,217.4,202.0,202.75,204.45,210.17,142605,2997077765000.0,3059,69289,0.48590000000000005
2017-01-20,TMRVL,EQ,204.45,208.0,208.0,190.45,193.0,193.3,198.94,177730,3535717970000.0005,2196,130255,0.7329000000000001
2017-01-23,TMRVL,EQ,193.3,193.95,200.0,193.2,194.3,195.65,197.02,54821,1080070235000.0,1557,29901,0.5454
2017-01-24,TMRVL,EQ,195.65,198.0,200.0,193.3,193.5,194.9,196.48,47320,929761575000.0,816,33723,0.7127
2017-01-25,TMRVL,EQ,194.9,195.0,197.0,188.6,190.0,190.7,193.65,65019,1259076180000.0,866,54239,0.8342
2017-01-27,TMRVL,EQ,190.7,189.05,195.0,188.4,189.5,189.5,191.74,61864,1186195890000.0,803,50458,0.8156
2017-01-30,TMRVL,EQ,189.5,190.05,192.0,184.7,185.0,185.7,188.49,33511,631639660000.0,559,25851,0.7714
2017-01-31,TMRVL,EQ,185.7,186.1,188.85,177.25,178.05,178.4,180.2,130446,2350598225000.0,1674,95518,0.7322
2017-02-01,TMRVL,EQ,178.4,179.55,181.8,167.0,178.0,178.3,174.66,109921,1919826370000.0,2026,56739,0.5162
