Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-02-14,TNPL,EQ,0.0,120.0,120.0,120.0,,120.0,120.0,200,2400000000.0,,,
1996-02-19,TNPL,EQ,120.0,120.0,132.6,132.6,,132.6,132.6,600,7956000000.0,,,
1996-02-20,TNPL,EQ,132.6,132.6,187.85,187.0,,187.85,187.24,500,9362000000.0,,,
1996-02-26,TNPL,EQ,187.85,185.0,186.0,183.25,,183.25,184.97,2700,49942500000.0,,,
1996-02-27,TNPL,EQ,183.25,183.25,190.0,175.0,,187.0,179.33,2700,48419000000.0,,,
1996-02-28,TNPL,EQ,187.0,170.05,170.05,170.0,,170.0,170.03,300,5101000000.0,,,
1996-02-29,TNPL,EQ,170.0,170.0,165.0,153.0,,153.05,158.33,1300,20583000000.0,,,
1996-03-01,TNPL,EQ,153.05,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-03-04,TNPL,EQ,150.0,164.95,165.0,164.95,,165.0,164.98,600,9898500000.0,,,
1996-03-06,TNPL,EQ,165.0,165.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-03-11,TNPL,EQ,165.0,158.05,158.05,158.0,,158.0,158.03,200,3160500000.0,,,
1996-03-12,TNPL,EQ,158.0,158.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-03-14,TNPL,EQ,150.0,150.0,160.0,150.0,,160.0,155.0,200,3100000000.0,,,
1996-03-15,TNPL,EQ,160.0,174.0,174.0,174.0,,174.0,174.0,100,1740000000.0,,,
1996-03-18,TNPL,EQ,174.0,174.0,160.0,157.05,,157.45,158.28,300,4748500000.0,,,
1996-03-19,TNPL,EQ,157.45,159.8,159.95,159.8,,159.9,159.88,200,3197500000.0,,,
1996-03-21,TNPL,EQ,159.9,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-03-25,TNPL,EQ,150.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-03-26,TNPL,EQ,144.0,144.0,142.5,139.0,,142.5,140.75,200,2815000000.0,,,
1996-04-02,TNPL,EQ,142.5,143.0,146.5,142.0,,143.5,143.3,500,7165000000.0,,,
1996-04-03,TNPL,EQ,143.5,145.0,150.0,145.0,,150.0,148.33,300,4450000000.0,,,
1996-04-04,TNPL,EQ,150.0,149.0,156.0,149.0,,154.7,152.62,500,7631000000.0,,,
1996-04-16,TNPL,EQ,154.7,147.5,147.5,147.5,,147.5,147.5,100,1475000000.0,,,
1996-04-29,TNPL,EQ,147.5,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-04-30,TNPL,EQ,150.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-05-01,TNPL,EQ,150.0,150.0,162.0,162.0,,162.0,162.0,100,1620000000.0,,,
1996-05-06,TNPL,EQ,162.0,146.25,146.25,146.0,,146.1,146.08,300,4382500000.0,,,
1996-05-07,TNPL,EQ,146.1,133.0,133.0,133.0,,133.0,133.0,100,1330000000.0,,,
1996-05-10,TNPL,EQ,133.0,135.0,135.0,135.0,,135.0,135.0,100,1350000000.0,,,
1996-05-15,TNPL,EQ,135.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-05-27,TNPL,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-05-31,TNPL,EQ,140.0,139.95,140.0,139.95,,140.0,139.98,200,2799500000.0,,,
