Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-10-26,HUGHESTELE,EQ,12.0,12.0,12.95,10.5,11.8,11.6,11.46,2095309,2401147120000.0,,,
2000-10-27,HUGHESTELE,EQ,11.6,11.9,12.0,11.25,11.5,11.5,11.64,1043332,1214133875000.0,,,
2000-10-30,HUGHESTELE,EQ,11.5,11.55,11.6,10.4,10.9,10.75,11.12,783882,871809630000.0001,,,
2000-10-31,HUGHESTELE,EQ,10.75,10.55,10.85,10.0,10.05,10.1,10.33,795174,821635045000.0,,,
2000-11-01,HUGHESTELE,EQ,10.1,10.05,10.85,10.05,10.6,10.5,10.47,487343,510006700000.0,,,
2000-11-02,HUGHESTELE,EQ,10.5,10.5,10.7,10.3,10.6,10.65,10.54,251693,265205604999.99997,,,
2000-11-03,HUGHESTELE,EQ,10.65,10.65,10.7,10.35,10.35,10.45,10.51,336196,353277150000.0,,,
2000-11-06,HUGHESTELE,EQ,10.45,10.55,10.55,10.2,10.4,10.4,10.39,268387,278863770000.0,,,
2000-11-07,HUGHESTELE,EQ,10.4,10.4,10.45,10.2,10.4,10.25,10.31,345397,356031115000.0,,,
2000-11-08,HUGHESTELE,EQ,10.25,10.5,11.25,10.35,11.0,10.95,10.89,694457,756293250000.0,,,
2000-11-09,HUGHESTELE,EQ,10.95,11.0,11.5,10.95,11.35,11.4,11.21,422624,473709740000.00006,,,
2000-11-10,HUGHESTELE,EQ,11.4,11.3,11.55,10.95,11.35,11.2,11.26,544843,613461440000.0,,,
2000-11-13,HUGHESTELE,EQ,11.2,11.05,11.25,10.95,10.95,11.0,11.07,346402,383594190000.0,,,
2000-11-14,HUGHESTELE,EQ,11.0,11.05,11.25,11.0,11.0,11.05,11.1,340850,378337755000.0,,,
2000-11-15,HUGHESTELE,EQ,11.05,11.25,11.45,11.0,11.05,11.0,11.18,196901,220081004999.99997,,,
2000-11-16,HUGHESTELE,EQ,11.0,11.15,11.15,10.75,10.9,10.95,10.93,139338,152297655000.0,,,
2000-11-17,HUGHESTELE,EQ,10.95,11.0,11.0,10.55,10.8,10.75,10.72,150743,161553835000.0,,,
2000-11-20,HUGHESTELE,EQ,10.75,11.0,11.35,10.85,11.15,11.25,11.2,166751,186808820000.0,,,
2000-11-21,HUGHESTELE,EQ,11.25,11.0,11.3,11.0,11.3,11.2,11.17,185805,207457350000.0,,,
2000-11-22,HUGHESTELE,EQ,11.2,11.45,12.2,11.25,11.45,11.5,11.81,630646,744877915000.0,,,
2000-11-23,HUGHESTELE,EQ,11.5,11.75,11.75,11.35,11.6,11.6,11.64,192605,224201475000.0,,,
2000-11-24,HUGHESTELE,EQ,11.6,11.8,12.0,11.4,11.6,11.55,11.73,561846,659213080000.0,,,
2000-11-27,HUGHESTELE,EQ,11.55,11.65,11.85,11.55,11.7,11.75,11.76,179087,210568254999.99997,,,
2000-11-28,HUGHESTELE,EQ,11.75,11.65,11.8,11.55,11.55,11.65,11.67,325090,379366520000.0,,,
2000-11-29,HUGHESTELE,EQ,11.65,11.8,11.8,11.55,11.65,11.7,11.72,145511,170533635000.0,,,
2000-11-30,HUGHESTELE,EQ,11.7,11.75,11.75,11.6,11.75,11.75,11.72,147294,172632390000.0,,,
2000-12-01,HUGHESTELE,EQ,11.75,11.7,11.75,11.55,11.6,11.65,11.66,67777,79005170000.0,,,
2000-12-04,HUGHESTELE,EQ,11.65,11.6,11.75,11.6,11.7,11.6,11.66,93773,109381480000.0,,,
2000-12-05,HUGHESTELE,EQ,11.6,11.7,11.7,11.55,11.55,11.6,11.64,170572,198464170000.0,,,
2000-12-06,HUGHESTELE,EQ,11.6,11.9,12.4,11.4,11.45,11.45,11.63,275440,320242580000.0,,,
2000-12-07,HUGHESTELE,EQ,11.45,11.7,11.75,11.5,11.65,11.7,11.62,111415,129415214999.99998,,,
2000-12-08,HUGHESTELE,EQ,11.7,11.7,11.8,11.65,11.75,11.7,11.72,154295,180780000000.0,,,
2000-12-11,HUGHESTELE,EQ,11.7,11.8,11.8,11.65,11.8,11.7,11.74,203592,239046085000.0,,,
2000-12-12,HUGHESTELE,EQ,11.7,11.8,11.8,11.5,11.65,11.7,11.72,259423,304042380000.0,,,
2000-12-13,HUGHESTELE,EQ,11.7,11.95,11.95,11.5,11.85,11.8,11.75,249472,293085915000.0,,,
2000-12-14,HUGHESTELE,EQ,11.8,11.85,12.0,11.65,11.65,11.7,11.87,287897,341827970000.0,,,
2000-12-15,HUGHESTELE,EQ,11.7,11.8,11.9,11.6,11.65,11.75,11.74,129040,151517495000.0,,,
2000-12-18,HUGHESTELE,EQ,11.75,12.0,12.0,10.8,11.6,11.6,11.56,95732,110664480000.0,,,
2000-12-19,HUGHESTELE,EQ,11.6,11.7,11.7,11.05,11.1,11.1,11.38,296794,337730985000.0,,,
2000-12-20,HUGHESTELE,EQ,11.1,11.3,11.5,11.2,11.4,11.35,11.35,87714,99545790000.0,,,
2000-12-21,HUGHESTELE,EQ,11.35,11.65,11.65,11.0,11.35,11.25,11.18,101865,113920939999.99998,,,
2000-12-22,HUGHESTELE,EQ,11.25,11.05,11.35,10.8,10.9,10.9,11.01,169007,186055495000.0,,,
2000-12-26,HUGHESTELE,EQ,10.9,11.0,11.0,9.85,9.9,10.0,10.13,350653,355131340000.0,,,
2000-12-27,HUGHESTELE,EQ,10.0,10.2,10.85,10.2,10.8,10.75,10.6,84498,89567890000.0,,,
2000-12-28,HUGHESTELE,EQ,10.75,10.65,10.95,10.6,10.85,10.8,10.77,136087,146522415000.0,,,
2000-12-29,HUGHESTELE,EQ,10.8,10.75,10.95,10.7,10.8,10.85,10.76,314028,337964155000.0,,,
2001-01-01,HUGHESTELE,EQ,10.85,10.8,11.0,10.65,10.8,10.75,10.82,78982,85452570000.0,,,
2001-01-02,HUGHESTELE,EQ,10.75,10.75,10.9,10.5,10.9,10.75,10.66,120426,128382135000.00002,,,
2001-01-03,HUGHESTELE,EQ,10.75,10.35,11.4,10.35,10.95,11.0,11.05,137111,151459600000.0,,,
2001-01-04,HUGHESTELE,EQ,11.0,11.05,11.45,10.95,11.05,11.0,11.08,101782,112822685000.00002,,,
2001-01-05,HUGHESTELE,EQ,11.0,11.05,11.25,10.9,11.25,11.2,11.14,118110,131578950000.0,,,
2001-01-08,HUGHESTELE,EQ,11.2,11.0,11.25,10.95,11.15,11.1,11.14,110801,123470485000.00002,,,
2001-01-09,HUGHESTELE,EQ,11.1,11.45,11.45,10.95,11.15,11.0,11.06,123910,137024375000.0,,,
2001-01-10,HUGHESTELE,EQ,11.0,11.25,11.3,11.05,11.2,11.15,11.19,112407,125737305000.0,,,
2001-01-11,HUGHESTELE,EQ,11.15,11.05,11.15,10.8,10.8,10.85,10.96,127776,140079665000.0,,,
2001-01-12,HUGHESTELE,EQ,10.85,11.0,11.0,10.6,10.85,10.9,10.83,62371,67529680000.00001,,,
2001-01-15,HUGHESTELE,EQ,10.9,11.1,11.1,10.5,10.75,10.7,10.7,81915,87630925000.0,,,
2001-01-16,HUGHESTELE,EQ,10.7,10.75,10.75,10.45,10.55,10.55,10.57,159460,168512275000.0,,,
2001-01-17,HUGHESTELE,EQ,10.55,10.6,10.9,10.5,10.5,10.55,10.62,82812,87987670000.0,,,
2001-01-18,HUGHESTELE,EQ,10.55,10.3,10.8,10.25,10.8,10.75,10.68,52913,56536240000.0,,,
