Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-02-08,GBN,EQ,250.0,425.0,518.8,425.0,510.0,505.9,488.96,18379066,898662106275000.0,,1740290.0,0.0947
2007-02-09,GBN,EQ,505.9,515.0,533.95,481.5,487.1,490.8,514.02,4346638,223425193269999.97,,389339.0,0.08960000000000001
2007-02-12,GBN,EQ,490.8,485.0,521.8,426.6,490.0,493.5,485.51,6174817,299793363420000.0,,398029.0,0.0645
2007-02-13,GBN,EQ,493.5,500.0,525.0,470.1,515.0,507.75,511.53,3253414,166421849390000.0,,157272.0,0.0483
2007-02-14,GBN,EQ,507.75,517.0,519.8,494.2,505.5,500.85,506.94,1401357,71040151525000.0,,88922.0,0.0635
2007-02-15,GBN,EQ,500.85,491.15,601.05,408.15,601.05,601.05,565.85,3558747,201372560955000.0,,319692.0,0.0898
2007-02-19,GBN,EQ,601.05,644.0,714.4,625.55,645.0,642.45,674.05,6145372,414227173095000.0,,367213.0,0.059800000000000006
2007-02-20,GBN,EQ,642.45,655.0,683.85,626.5,666.0,663.45,657.52,4767393,313463438245000.0,,219656.0,0.0461
2007-02-21,GBN,EQ,663.45,680.0,720.25,658.0,712.4,701.75,688.01,6147414,422945480775000.0,,279906.0,0.0455
2007-02-22,GBN,EQ,701.75,718.0,723.8,680.15,683.0,694.1,708.45,3756042,266095329419999.97,,222400.0,0.0592
2007-02-23,GBN,EQ,694.1,695.0,695.0,624.7,624.7,629.9,655.23,2107977,138120042790000.02,,249524.0,0.1184
2007-02-26,GBN,EQ,629.9,630.0,630.0,568.3,602.0,601.8,594.44,2387822,141940549450000.0,,121115.0,0.0507
2007-02-27,GBN,EQ,601.8,605.35,626.9,587.0,596.5,608.2,611.35,2605565,159291138315000.0,,92930.0,0.0357
2007-02-28,GBN,EQ,608.2,552.0,608.95,547.95,591.0,581.5,586.42,1618730,94925138290000.0,,283222.0,0.17500000000000002
2007-03-01,GBN,EQ,581.5,585.0,602.0,528.1,561.0,575.35,564.14,1859478,104900121895000.0,,139263.0,0.07490000000000001
2007-03-02,GBN,EQ,575.35,570.05,585.0,536.35,540.0,549.4,568.81,1695110,96418753530000.0,,182602.0,0.1077
2007-03-05,GBN,EQ,549.4,539.0,539.0,494.5,501.0,499.95,510.33,944560,48203623040000.0,,92938.0,0.0984
2007-03-06,GBN,EQ,499.95,506.0,545.0,487.5,518.0,511.5,512.11,1756209,89936708240000.0,,133064.0,0.0758
2007-03-07,GBN,EQ,511.5,525.0,530.0,482.55,492.9,494.85,503.34,709263,35700291090000.0,,72478.0,0.10220000000000001
2007-03-08,GBN,EQ,494.85,501.0,524.0,472.8,522.0,516.25,500.11,844422,42230761360000.0,,63198.0,0.0748
2007-03-09,GBN,EQ,516.25,526.7,526.7,493.0,509.0,507.4,506.41,530590,26869407475000.0,,58653.0,0.11050000000000001
2007-03-12,GBN,EQ,507.4,507.5,558.15,497.0,558.15,554.0,538.04,1448401,77930169975000.0,,85433.0,0.059000000000000004
2007-03-13,GBN,EQ,554.0,567.9,606.2,552.2,592.0,596.15,584.41,2074573,121239888440000.02,,111607.0,0.0538
2007-03-14,GBN,EQ,596.15,579.7,584.8,544.3,544.3,554.7,565.43,1315809,74399707675000.0,,117198.0,0.0891
2007-03-15,GBN,EQ,554.7,562.95,594.8,555.15,564.9,563.45,581.53,1148107,66766392490000.0,,79662.0,0.0694
2007-03-16,GBN,EQ,563.45,566.0,580.75,537.8,548.8,550.15,556.7,771300,42938234450000.0,,41631.0,0.054000000000000006
2007-03-19,GBN,EQ,550.15,556.5,571.5,555.0,561.0,560.75,563.83,363958,20520879655000.0,,23681.0,0.0651
2007-03-20,GBN,EQ,560.75,566.75,574.8,555.75,557.5,558.15,565.44,260258,14716121019999.998,,34486.0,0.1325
2007-03-21,GBN,EQ,558.15,562.75,562.75,540.7,547.6,545.55,550.23,185944,10231121945000.0,,20951.0,0.1127
2007-03-22,GBN,EQ,545.55,552.1,583.0,552.1,567.0,568.3,569.23,463197,26366431905000.0,,49671.0,0.1072
2007-03-23,GBN,EQ,568.3,568.0,572.5,550.0,553.2,553.0,558.49,325217,18162911530000.0,,28174.0,0.0866
2007-03-26,GBN,EQ,553.0,555.0,560.0,537.15,548.0,542.7,550.79,218597,12040021330000.0,,28293.0,0.1294
2007-03-28,GBN,EQ,542.7,543.0,543.0,512.0,512.0,520.25,530.14,146665,7775338984999.999,,32213.0,0.21960000000000002
2007-03-29,GBN,EQ,520.25,519.0,546.8,516.0,541.0,537.2,536.75,394211,21159288000000.0,,32777.0,0.08310000000000001
2007-03-30,GBN,EQ,537.2,541.0,547.0,531.3,534.8,534.7,539.58,162220,8753063375000.0,,21322.0,0.13140000000000002
2007-04-02,GBN,EQ,534.7,525.0,525.0,504.65,508.0,508.8,513.76,98092,5039587030000.0,,25591.0,0.2609
2007-04-03,GBN,EQ,508.8,510.2,522.0,510.2,513.0,514.15,515.95,81602,4210232225000.0,,12891.0,0.158
2007-04-04,GBN,EQ,514.15,519.9,529.9,517.5,519.95,518.8,522.05,91814,4793176250000.0,,19660.0,0.2141
2007-04-05,GBN,EQ,518.8,520.0,570.7,515.0,570.7,570.7,552.07,744456,41099410325000.0,,93172.0,0.1252
2007-04-09,GBN,EQ,570.7,590.0,599.4,572.0,580.55,579.9,584.94,847735,49587552680000.0,,106419.0,0.1255
2007-04-10,GBN,EQ,579.9,581.0,583.75,562.25,567.6,566.5,572.15,224731,12858048625000.0,,26543.0,0.11810000000000001
2007-04-11,GBN,EQ,566.5,567.0,606.15,560.0,579.0,576.45,588.21,850105,50004207865000.0,,62881.0,0.07400000000000001
2007-04-12,GBN,EQ,576.45,561.5,584.0,560.0,574.7,567.35,571.7,245189,14017528030000.002,,22469.0,0.0916
2007-04-13,GBN,EQ,567.35,577.7,594.65,565.0,583.0,581.15,584.09,408842,23880052635000.0,,59874.0,0.1464
