Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-12-02,UMANGDAIRY,EQ,68.7,71.0,72.1,68.7,72.1,72.1,71.74,46626,334484155000.0,447,19512,0.41850000000000004
2015-12-03,UMANGDAIRY,EQ,72.1,72.8,73.4,68.5,71.0,70.3,70.49,41021,289144215000.0,258,20591,0.502
2015-12-04,UMANGDAIRY,EQ,70.3,69.95,77.3,68.5,77.3,77.3,75.7,39170,296511945000.0,396,22139,0.5652
2015-12-07,UMANGDAIRY,EQ,77.3,80.0,84.0,72.0,77.55,79.15,81.41,80270,653489030000.0,899,36391,0.4534
2015-12-08,UMANGDAIRY,EQ,79.15,76.2,81.9,75.05,79.7,78.4,78.72,24113,189818480000.0,434,12324,0.5111
2015-12-09,UMANGDAIRY,EQ,78.4,78.7,78.7,70.6,70.6,70.6,72.01,13462,96934120000.0,193,10393,0.772
2015-12-10,UMANGDAIRY,EQ,70.6,70.0,73.5,70.0,72.6,72.45,71.78,13760,98775115000.0,212,9688,0.7041
2015-12-11,UMANGDAIRY,EQ,72.45,72.9,72.9,69.2,71.0,70.7,71.11,18105,128741905000.0,211,12691,0.701
2015-12-14,UMANGDAIRY,EQ,70.7,68.1,70.5,64.5,70.0,69.4,67.95,14942,101523485000.0,187,9215,0.6167
2015-12-15,UMANGDAIRY,EQ,69.4,68.1,71.4,68.1,69.95,69.7,70.2,8536,59922435000.0,80,4149,0.48610000000000003
2015-12-16,UMANGDAIRY,EQ,69.7,71.85,72.05,67.5,68.0,68.7,69.11,23175,160173015000.0,172,11031,0.47600000000000003
2015-12-17,UMANGDAIRY,EQ,68.7,67.6,75.55,67.6,75.55,75.55,72.42,21425,155158190000.0,168,12582,0.5872999999999999
2015-12-18,UMANGDAIRY,EQ,75.55,76.95,77.85,70.1,74.55,74.8,75.37,35423,266965960000.0,384,14295,0.4036
2015-12-21,UMANGDAIRY,EQ,74.8,78.5,82.25,75.25,79.2,79.3,78.93,19890,156996615000.0,338,10625,0.5342
2015-12-22,UMANGDAIRY,EQ,79.3,81.5,83.7,77.0,80.05,80.0,81.35,43629,354925385000.0,486,23170,0.5311
2015-12-23,UMANGDAIRY,EQ,80.0,82.95,83.8,78.6,79.0,79.5,81.36,18726,152359170000.0,196,10263,0.5481
2015-12-24,UMANGDAIRY,EQ,79.5,77.1,82.0,77.1,78.9,78.75,79.75,16475,131393730000.0,168,13287,0.8065000000000001
2015-12-28,UMANGDAIRY,EQ,78.75,80.1,80.1,76.0,77.0,77.95,77.9,17365,135268570000.0,278,7934,0.4569
2015-12-29,UMANGDAIRY,EQ,77.95,79.0,79.2,76.05,77.0,76.85,77.6,21705,168428960000.0,193,14106,0.6498999999999999
2015-12-30,UMANGDAIRY,EQ,76.85,76.5,77.05,75.0,75.9,75.75,76.33,25637,195689920000.0,178,20026,0.7811
2015-12-31,UMANGDAIRY,EQ,75.75,75.0,76.15,72.7,74.0,74.4,74.56,15693,117006445000.0,180,12703,0.8095
2016-01-01,UMANGDAIRY,EQ,74.4,75.95,81.1,75.95,78.8,78.7,78.84,21005,165612970000.0,340,9296,0.4426
2016-01-04,UMANGDAIRY,EQ,78.7,76.35,79.0,75.1,77.0,76.65,77.21,13289,102602040000.0,170,10502,0.7903
2016-01-05,UMANGDAIRY,EQ,76.65,77.45,78.8,76.0,77.6,78.15,77.22,11878,91726535000.0,178,7696,0.6479
2016-01-06,UMANGDAIRY,EQ,78.15,78.7,82.5,77.0,77.75,77.5,79.54,14969,119065835000.00002,272,10054,0.6717000000000001
2016-01-07,UMANGDAIRY,EQ,77.5,75.0,75.0,72.5,73.5,73.6,73.92,9525,70412055000.0,162,6195,0.6504000000000001
2016-01-08,UMANGDAIRY,EQ,73.6,76.0,76.0,73.6,73.8,73.9,74.42,7729,57516750000.0,89,6646,0.8599
2016-01-11,UMANGDAIRY,EQ,73.9,72.65,73.25,70.7,72.0,72.25,72.27,9331,67432744999.99999,153,5581,0.5981000000000001
2016-01-12,UMANGDAIRY,EQ,72.25,72.65,74.5,70.55,71.1,71.35,71.53,8012,57308055000.00001,154,5232,0.653
2016-01-13,UMANGDAIRY,EQ,71.35,73.6,73.6,65.0,69.0,69.05,68.16,11232,76561775000.0,279,5873,0.5229
2016-01-14,UMANGDAIRY,EQ,69.05,68.85,70.95,67.15,67.5,67.75,68.22,5246,35790045000.0,113,4185,0.7978000000000001
2016-01-15,UMANGDAIRY,EQ,67.75,67.15,69.9,62.0,64.5,64.4,67.09,7505,50354515000.0,105,3834,0.5109
2016-01-18,UMANGDAIRY,EQ,64.4,61.55,62.9,59.0,59.0,60.4,61.12,10418,63671780000.00001,184,8934,0.8576
2016-01-19,UMANGDAIRY,EQ,60.4,64.5,66.9,60.0,65.3,65.2,62.34,12306,76709455000.0,218,8263,0.6715000000000001
2016-01-20,UMANGDAIRY,EQ,65.2,63.0,63.8,58.8,59.0,59.25,60.05,27054,162464930000.0,251,19447,0.7188
2016-01-21,UMANGDAIRY,EQ,59.25,60.0,64.5,60.0,61.5,61.4,61.83,6670,41237320000.0,99,4512,0.6765000000000001
2016-01-22,UMANGDAIRY,EQ,61.4,61.05,65.0,61.05,64.5,64.5,64.2,8162,52398105000.0,143,4337,0.5314
2016-01-25,UMANGDAIRY,EQ,64.5,66.75,69.0,64.0,66.95,66.65,66.37,10549,70017290000.0,162,7215,0.684
2016-01-27,UMANGDAIRY,EQ,66.65,66.5,69.35,66.15,68.5,68.0,67.47,4104,27688870000.0,117,2511,0.6118
2016-01-28,UMANGDAIRY,EQ,68.0,72.7,78.9,72.05,73.75,73.1,74.66,115984,865885935000.0,2097,30147,0.25989999999999996
2016-01-29,UMANGDAIRY,EQ,73.1,73.9,76.4,69.55,72.0,72.0,73.47,27841,204538965000.0,538,13982,0.5022
2016-02-01,UMANGDAIRY,EQ,72.0,72.95,72.95,66.1,67.1,67.8,68.95,17078,117748410000.00002,306,12561,0.7354999999999999
2016-02-02,UMANGDAIRY,EQ,67.8,67.0,71.0,64.65,66.0,65.95,67.01,20090,134627895000.0,444,6184,0.3078
2016-02-03,UMANGDAIRY,EQ,65.95,67.0,67.0,61.5,63.95,62.85,63.99,8557,54757315000.0,244,4661,0.5447
2016-02-04,UMANGDAIRY,EQ,62.85,63.15,63.65,60.0,61.85,61.15,61.99,15776,97801760000.0,339,9806,0.6215999999999999
2016-02-05,UMANGDAIRY,EQ,61.15,61.3,62.75,61.25,62.15,62.15,61.94,8859,54868325000.0,144,6999,0.79
2016-02-08,UMANGDAIRY,EQ,62.15,62.0,64.95,60.0,61.25,61.2,61.91,8689,53795205000.00001,154,3436,0.3954
2016-02-09,UMANGDAIRY,EQ,61.2,60.8,62.0,60.25,62.0,61.35,60.81,3020,18363575000.0,58,2732,0.9046
2016-02-10,UMANGDAIRY,EQ,61.35,60.0,61.95,59.5,61.6,61.1,60.55,3820,23129910000.0,95,2912,0.7623000000000001
2016-02-11,UMANGDAIRY,EQ,61.1,62.4,62.4,58.0,58.0,59.1,59.31,22862,135593930000.0,227,19789,0.8656
2016-02-12,UMANGDAIRY,EQ,59.1,58.3,59.7,55.0,57.9,59.05,57.17,8791,50260195000.0,180,5940,0.6757
2016-02-15,UMANGDAIRY,EQ,59.05,62.6,62.6,60.1,61.85,61.7,60.86,751,4570220000.0,29,550,0.7323999999999999
2016-02-16,UMANGDAIRY,EQ,61.7,60.2,62.5,56.7,58.0,57.55,59.14,4320,25548310000.0,155,2762,0.6394
