Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,UNITEDTEA,EQ,95.0,102.0,261.25,102.0,261.25,257.45,227.08,48363,1098211855000.0001,,11437,0.2365
2010-01-11,UNITEDTEA,EQ,257.45,287.3,308.95,275.0,307.0,301.85,299.09,112864,3375689310000.0,,12112,0.1073
2010-01-12,UNITEDTEA,EQ,301.85,309.7,309.7,263.25,277.0,275.2,293.65,56249,1651753890000.0,,9233,0.1641
2010-01-13,UNITEDTEA,EQ,275.2,265.0,299.1,265.0,299.1,288.15,282.45,38361,1083519235000.0,,4372,0.114
2010-01-14,UNITEDTEA,EQ,288.15,290.0,294.0,283.0,289.5,290.2,289.08,11492,332205385000.0,,1512,0.1316
2010-01-15,UNITEDTEA,EQ,290.2,292.0,292.0,265.0,270.1,269.1,279.06,9764,272475640000.0,,5158,0.5283
2010-01-18,UNITEDTEA,EQ,269.1,274.8,274.8,251.0,255.1,256.75,262.9,4538,119303150000.0,,2188,0.4822
2010-01-19,UNITEDTEA,EQ,256.75,262.85,262.85,241.5,249.95,245.0,248.58,5425,134856520000.0,,1972,0.36350000000000005
2010-01-20,UNITEDTEA,EQ,245.0,235.25,253.65,230.95,235.0,232.0,242.13,2645,64043190000.0,,1221,0.46159999999999995
2010-01-21,UNITEDTEA,EQ,232.0,239.95,239.95,211.2,212.0,213.9,220.15,19208,422855945000.0,,4899,0.255
2010-01-22,UNITEDTEA,EQ,213.9,200.0,218.3,197.2,204.0,202.35,203.34,5081,103316785000.0,,2263,0.4454
2010-01-25,UNITEDTEA,EQ,202.35,197.5,205.0,190.15,197.8,193.55,197.9,1148,22719240000.0,,632,0.5505
2010-01-27,UNITEDTEA,EQ,193.55,188.2,207.0,188.2,192.1,197.65,197.82,2631,52046000000.0,,967,0.3675
2010-01-28,UNITEDTEA,EQ,197.65,207.95,207.95,182.0,183.5,185.85,189.84,2221,42162445000.0,,804,0.36200000000000004
2010-01-29,UNITEDTEA,EQ,185.85,184.95,184.95,169.95,179.0,179.05,176.03,1333,23464900000.0,,732,0.5491
2010-02-01,UNITEDTEA,EQ,179.05,183.0,183.0,165.2,170.1,171.8,171.58,2207,37868250000.0,,1217,0.5514
2010-02-02,UNITEDTEA,EQ,171.8,177.95,177.95,168.15,176.5,171.95,171.55,2020,34652310000.0,,1335,0.6609
2010-02-03,UNITEDTEA,EQ,171.95,175.0,182.0,168.2,178.5,177.7,176.43,1987,35056790000.0,,827,0.41619999999999996
2010-02-04,UNITEDTEA,EQ,177.7,178.0,179.0,172.0,172.0,172.0,173.77,674,11712090000.0,,531,0.7878000000000001
2010-02-05,UNITEDTEA,EQ,172.0,174.0,174.0,162.2,165.0,164.15,166.29,1267,21069360000.0,,729,0.5754
2010-02-06,UNITEDTEA,EQ,164.15,163.0,163.0,163.0,163.0,163.0,163.0,30,489000000.0,,30,1.0
2010-02-08,UNITEDTEA,EQ,163.0,163.0,163.0,147.0,149.15,150.25,153.54,4515,69325215000.0,,1727,0.3825
2010-02-09,UNITEDTEA,EQ,150.25,147.0,152.0,146.0,147.0,146.75,147.45,535,7888585000.000001,,177,0.3308
2010-02-10,UNITEDTEA,EQ,146.75,145.5,157.7,134.2,153.0,152.7,152.04,1298,19734650000.0,,852,0.6564
2010-02-11,UNITEDTEA,EQ,152.7,152.8,157.7,145.1,157.7,155.15,151.92,6564,99717160000.0,,6271,0.9554
2010-02-15,UNITEDTEA,EQ,155.15,155.0,160.0,151.0,157.0,156.9,156.82,2594,40678560000.0,,2085,0.8038
2010-02-16,UNITEDTEA,EQ,156.9,164.0,164.0,143.0,144.05,148.05,153.39,12494,191640295000.0,,6129,0.49060000000000004
2010-02-17,UNITEDTEA,EQ,148.05,145.1,154.75,142.25,147.85,146.35,149.92,7931,118900330000.0,,2359,0.2974
2010-02-18,UNITEDTEA,EQ,146.35,146.0,147.45,143.55,146.0,144.05,145.39,665,9668190000.0,,540,0.812
2010-02-19,UNITEDTEA,EQ,144.05,143.5,143.5,139.1,139.1,139.65,140.66,580,8158250000.0,,505,0.8706999999999999
2010-02-22,UNITEDTEA,EQ,139.65,136.5,143.75,136.5,140.0,139.65,139.66,708,9887995000.0,,501,0.7076000000000001
2010-02-23,UNITEDTEA,EQ,139.65,138.0,139.75,133.1,134.0,134.1,135.18,965,13044600000.0,,779,0.8073
2010-02-24,UNITEDTEA,EQ,134.1,136.4,137.45,132.0,132.0,132.45,133.09,1477,19657635000.0,,1005,0.6804000000000001
2010-02-25,UNITEDTEA,EQ,132.45,134.75,140.0,127.2,130.1,130.05,132.98,2547,33870845000.0,,914,0.3589
2010-02-26,UNITEDTEA,EQ,130.05,130.0,134.75,125.0,130.15,130.25,129.45,775,10032415000.0,,307,0.3961
2010-03-02,UNITEDTEA,EQ,130.25,130.0,130.0,123.0,124.25,124.05,126.58,1105,13987190000.0,,769,0.6959000000000001
2010-03-03,UNITEDTEA,EQ,124.05,124.3,130.1,124.3,130.1,129.8,128.51,742,9535605000.0,,641,0.8639
