Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-06-12,UNITY,EQ,675.0,700.0,700.0,463.0,466.0,470.9,499.46,1636372,81730938725000.0,,126699,0.07740000000000001
2006-06-13,UNITY,EQ,470.9,467.0,472.8,385.1,390.1,393.45,422.29,1521631,64256266415000.0,,71956,0.04730000000000001
2006-06-14,UNITY,EQ,393.45,400.0,444.0,370.9,434.0,412.75,412.13,1319461,54378589104999.99,,62787,0.047599999999999996
2006-06-15,UNITY,EQ,412.75,435.0,483.7,428.0,455.0,460.6,455.07,1339620,60962203200000.0,,55136,0.0412
2006-06-16,UNITY,EQ,460.6,456.0,496.4,418.05,445.0,435.35,459.04,1306928,59993770685000.0,,75343,0.0576
2006-06-19,UNITY,EQ,435.35,400.0,474.0,380.0,462.75,464.1,444.68,979340,43549614550000.0,,72823,0.07440000000000001
2006-06-20,UNITY,EQ,464.1,430.0,461.85,430.0,440.1,448.7,449.5,537844,24176250235000.0,,30282,0.0563
2006-06-21,UNITY,EQ,448.7,455.0,470.0,443.0,451.6,454.5,459.78,423580,19475205065000.0,,22776,0.0538
2006-06-22,UNITY,EQ,454.5,455.0,476.9,449.0,451.0,456.85,467.65,305946,14307461280000.002,,29508,0.09640000000000001
2006-06-23,UNITY,EQ,456.85,449.0,457.0,435.0,451.65,451.95,449.91,129481,5825482450000.0,,25302,0.1954
2006-06-25,UNITY,EQ,451.95,458.0,458.0,446.1,449.0,450.75,452.64,11041,499757465000.00006,,2137,0.1936
2006-06-26,UNITY,EQ,450.75,455.0,457.7,424.0,431.0,429.45,438.21,78263,3429595354999.9995,,26051,0.3329
2006-06-27,UNITY,EQ,429.45,423.15,441.0,423.1,438.55,437.3,432.0,70861,3061195530000.0,,13840,0.19530000000000003
2006-06-28,UNITY,EQ,437.3,430.0,436.0,430.0,430.0,430.5,431.95,20113,868774235000.0,,5173,0.2572
2006-06-29,UNITY,EQ,430.5,436.0,446.0,428.0,429.0,430.05,434.28,26982,1171761115000.0,,8384,0.31070000000000003
2006-06-30,UNITY,EQ,430.05,437.0,444.0,427.1,428.15,430.05,433.25,33921,1469622405000.0,,12056,0.3554
2006-07-03,UNITY,EQ,430.05,434.0,435.2,430.0,430.0,430.2,431.49,11459,494445240000.00006,,5510,0.4808
2006-07-04,UNITY,EQ,430.2,435.0,435.0,429.5,430.0,430.1,431.15,10195,439557359999.99994,,4597,0.4509
2006-07-05,UNITY,EQ,430.1,430.0,434.45,424.0,424.85,428.25,430.59,9875,425209625000.0,,3796,0.38439999999999996
2006-07-06,UNITY,EQ,428.25,430.0,455.0,429.5,443.0,443.5,445.14,43237,1924636310000.0002,,9475,0.21910000000000002
2006-07-07,UNITY,EQ,443.5,447.0,449.0,429.5,430.0,430.15,436.16,22296,972459040000.0,,9420,0.4225
2006-07-10,UNITY,EQ,430.15,435.0,435.0,415.0,428.1,429.9,428.21,10732,459552420000.0,,6457,0.6017
2006-07-11,UNITY,EQ,429.9,430.0,432.5,420.0,420.5,422.2,426.65,5786,246856975000.0,,2135,0.369
2006-07-12,UNITY,EQ,422.2,401.0,421.45,401.0,415.05,416.1,415.91,11792,490440100000.0,,4865,0.41259999999999997
2006-07-13,UNITY,EQ,416.1,415.25,429.75,335.6,420.0,420.1,420.98,12161,511949955000.0,,2308,0.1898
2006-07-14,UNITY,EQ,420.1,411.05,418.0,407.55,411.0,411.8,413.35,6073,251027779999.99997,,1767,0.29100000000000004
2006-07-17,UNITY,EQ,411.8,407.0,413.0,392.15,394.75,394.45,403.96,8381,338556390000.0,,3248,0.3875
2006-07-18,UNITY,EQ,394.45,396.25,396.25,377.0,379.0,381.9,384.87,10265,395067600000.0,,3972,0.38689999999999997
2006-07-19,UNITY,EQ,381.9,383.0,385.2,352.0,352.0,355.35,368.33,9979,367554400000.0,,4957,0.49670000000000003
2006-07-20,UNITY,EQ,355.35,375.0,380.0,350.25,351.25,352.25,357.66,8880,317603780000.0,,3554,0.40020000000000006
2006-07-21,UNITY,EQ,352.25,355.05,355.05,331.0,345.0,337.3,338.12,10131,342545570000.0,,3685,0.36369999999999997
2006-07-24,UNITY,EQ,337.3,337.0,337.0,319.0,322.0,323.9,325.05,11659,378975790000.0,,4938,0.42350000000000004
2006-07-25,UNITY,EQ,323.9,329.0,373.9,329.0,345.15,352.1,357.4,63851,2282012120000.0,,10769,0.16870000000000002
2006-07-26,UNITY,EQ,352.1,354.4,356.9,341.5,341.5,343.3,350.27,28920,1012983355000.0001,,12572,0.4347
2006-07-27,UNITY,EQ,343.3,349.9,357.0,345.0,352.25,350.15,352.26,28951,1019821569999.9999,,12099,0.4179
2006-07-28,UNITY,EQ,350.15,354.25,354.25,336.4,338.5,338.9,345.52,13300,459547965000.00006,,7312,0.5498
2006-07-31,UNITY,EQ,338.9,348.0,354.95,340.0,340.95,341.4,348.08,24126,839782185000.0,,8078,0.3348
2006-08-01,UNITY,EQ,341.4,341.5,353.85,335.1,337.9,337.65,344.09,21048,724234505000.0,,8260,0.3924
2006-08-02,UNITY,EQ,337.65,340.0,343.45,335.25,337.0,337.8,339.13,10619,360118870000.0,,4011,0.37770000000000004
2006-08-03,UNITY,EQ,337.8,344.0,345.0,333.3,334.0,335.6,340.44,44909,1528877980000.0,,26792,0.5966
2006-08-04,UNITY,EQ,335.6,336.0,363.8,336.0,350.5,349.1,353.0,176806,6241227900000.0,,94007,0.5317000000000001
2006-08-07,UNITY,EQ,349.1,350.1,409.8,345.0,409.7,393.15,385.03,550993,21214777215000.0,,137167,0.2489
2006-08-08,UNITY,EQ,393.15,410.0,443.8,410.0,433.75,436.7,429.03,1235609,53011886060000.0,,69258,0.056100000000000004
2006-08-09,UNITY,EQ,436.7,439.0,439.0,423.15,425.55,430.85,430.14,330875,14232246330000.002,,23582,0.0713
2006-08-10,UNITY,EQ,430.85,427.8,448.7,425.55,428.0,431.1,438.92,335315,14717525640000.0,,41804,0.1247
2006-08-11,UNITY,EQ,431.1,435.0,442.0,426.05,428.0,428.25,434.03,89465,3883053890000.0,,16876,0.1886
2006-08-14,UNITY,EQ,428.25,434.0,488.0,425.1,466.3,469.3,468.47,791031,37057185120000.0,,81283,0.1028
2006-08-16,UNITY,EQ,469.3,479.05,489.0,451.1,454.0,455.45,473.47,443764,21010840885000.0,,77776,0.1753
2006-08-17,UNITY,EQ,455.45,455.0,464.9,433.2,435.5,437.2,443.78,218576,9700048325000.0,,34409,0.1574
2006-08-18,UNITY,EQ,437.2,440.0,457.5,404.4,442.0,441.45,446.65,251910,11251642600000.0,,21828,0.0866
2006-08-21,UNITY,EQ,441.45,444.8,448.8,437.5,440.0,440.1,441.92,72269,3193680265000.0,,10874,0.15050000000000002
2006-08-22,UNITY,EQ,440.1,444.65,448.85,428.25,431.0,433.15,440.69,54983,2423056075000.0,,13628,0.2479
2006-08-23,UNITY,EQ,433.15,430.0,442.0,413.1,420.55,418.0,427.89,63011,2696166145000.0,,17707,0.281
2006-08-24,UNITY,EQ,418.0,420.1,423.8,410.0,412.6,412.6,416.01,42129,1752627205000.0,,10677,0.2534
2006-08-25,UNITY,EQ,412.6,413.2,447.0,413.2,432.25,432.8,436.87,150648,6581292745000.0,,22758,0.15109999999999998
2006-08-28,UNITY,EQ,432.8,435.0,436.95,423.1,424.0,424.4,429.38,40925,1757253150000.0,,10977,0.2682
2006-08-29,UNITY,EQ,424.4,429.75,439.9,425.5,428.8,427.45,431.27,50347,2171291345000.0,,7028,0.1396
2006-08-30,UNITY,EQ,427.45,430.75,433.5,423.1,429.8,427.7,428.08,37750,1616011560000.0,,14997,0.3973
2006-08-31,UNITY,EQ,427.7,431.1,433.0,420.05,424.5,425.05,425.69,17878,761054570000.0,,6430,0.3597
2006-09-01,UNITY,EQ,425.05,405.55,448.5,405.55,441.5,441.45,438.64,137856,6046960270000.0,,37178,0.2697
2006-09-04,UNITY,EQ,441.45,443.0,479.7,442.0,470.0,470.2,466.6,438892,20478717465000.0,,76035,0.1732
2006-09-05,UNITY,EQ,470.2,474.65,492.15,463.0,467.5,472.75,480.75,479767,23064920030000.0,,82368,0.17170000000000002
2006-09-06,UNITY,EQ,472.75,474.0,488.9,467.05,469.6,471.15,478.94,343547,16453759025000.0,,83300,0.2425
2006-09-07,UNITY,EQ,471.15,473.0,478.0,465.1,467.1,468.0,471.76,140847,6644663685000.0,,23037,0.1636
