Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-10-11,USHABEL,EQ,78.0,56.85,59.8,51.0,52.6,52.8,54.21,37244,201910240000.0,,,
2000-10-12,USHABEL,EQ,52.8,51.9,54.8,50.5,54.15,53.95,52.89,43820,231771804999.99997,,,
2000-10-13,USHABEL,EQ,53.95,53.0,53.0,51.25,54.15,51.65,51.92,20615,107040489999.99998,,,
2000-10-16,USHABEL,EQ,51.65,55.5,55.8,52.05,52.25,52.7,54.35,31517,171286675000.0,,,
2000-10-17,USHABEL,EQ,52.7,52.25,53.4,51.25,51.4,51.95,52.11,14619,76173815000.0,,,
2000-10-18,USHABEL,EQ,51.95,52.0,52.5,50.45,50.65,51.05,51.39,14914,76649850000.0,,,
2000-10-19,USHABEL,EQ,51.05,51.5,52.5,48.25,52.0,52.35,50.89,20273,103173285000.0,,,
2000-10-20,USHABEL,EQ,52.35,52.05,53.0,46.5,46.5,47.6,49.89,31497,157139680000.0,,,
2000-10-23,USHABEL,EQ,47.6,48.0,48.0,41.1,43.35,42.85,44.45,25031,111260695000.0,,,
2000-10-24,USHABEL,EQ,42.85,42.5,46.3,41.35,45.0,43.95,44.39,32532,144410370000.0,,,
2000-10-25,USHABEL,EQ,43.95,45.95,46.95,44.0,45.5,45.05,44.95,19094,85824750000.0,,,
2000-10-26,USHABEL,EQ,45.05,45.45,46.2,44.2,46.15,45.6,45.36,4325,19616895000.0,,,
2000-10-27,USHABEL,EQ,45.6,46.0,47.0,45.15,46.55,46.2,46.27,7270,33635925000.0,,,
2000-10-30,USHABEL,EQ,46.2,46.2,46.95,45.0,46.05,46.2,46.17,7873,36353530000.0,,,
2000-10-31,USHABEL,EQ,46.2,45.95,48.0,45.05,48.0,46.15,45.72,12181,55689340000.0,,,
2000-11-01,USHABEL,EQ,46.15,49.0,53.0,48.25,53.0,52.35,50.96,25958,132274825000.0,,,
2000-11-02,USHABEL,EQ,52.35,53.0,58.85,53.0,58.5,58.5,56.18,52117,292810605000.0,,,
2000-11-03,USHABEL,EQ,58.5,62.5,64.3,59.0,60.7,60.35,60.8,280266,1704059660000.0002,,,
2000-11-06,USHABEL,EQ,60.35,61.2,62.7,58.05,58.15,58.25,60.19,75081,451899534999.99994,,,
2000-11-07,USHABEL,EQ,58.25,56.55,59.5,56.55,59.0,58.85,58.96,33945,200127145000.0,,,
2000-11-08,USHABEL,EQ,58.85,63.6,63.6,58.6,61.4,61.2,61.4,110034,675660760000.0,,,
2000-11-09,USHABEL,EQ,61.2,59.2,60.45,58.1,59.0,59.1,59.66,87580,522540025000.0,,,
2000-11-10,USHABEL,EQ,59.1,58.6,59.9,56.3,56.3,56.75,58.85,84673,498328820000.0,,,
2000-11-13,USHABEL,EQ,56.75,56.1,56.1,52.35,53.0,52.75,53.27,61029,325086395000.0,,,
2000-11-14,USHABEL,EQ,52.75,54.0,55.9,52.1,54.8,55.1,54.34,15916,86482520000.0,,,
2000-11-15,USHABEL,EQ,55.1,58.9,58.9,55.5,56.1,56.35,57.07,19547,111550795000.0,,,
2000-11-16,USHABEL,EQ,56.35,56.0,57.85,55.1,55.85,55.45,56.09,6158,34538840000.0,,,
2000-11-17,USHABEL,EQ,55.45,52.0,56.6,52.0,56.6,56.1,55.07,9061,49898890000.0,,,
2000-11-20,USHABEL,EQ,56.1,57.0,58.0,56.55,57.0,57.2,57.6,8365,48184675000.0,,,
2000-11-21,USHABEL,EQ,57.2,57.3,58.45,55.0,57.5,57.25,56.23,15453,86896485000.0,,,
2000-11-22,USHABEL,EQ,57.25,58.5,58.5,55.3,55.8,55.95,56.14,10963,61551330000.00001,,,
2000-11-23,USHABEL,EQ,55.95,55.5,55.5,53.0,53.0,53.05,53.69,13837,74289840000.0,,,
2000-11-24,USHABEL,EQ,53.05,53.5,54.8,53.0,54.3,53.9,53.6,15575,83477510000.0,,,
2000-11-27,USHABEL,EQ,53.9,55.0,55.0,53.9,54.65,54.7,54.71,12136,66390775000.0,,,
2000-11-28,USHABEL,EQ,54.7,53.1,56.4,53.1,54.1,54.4,54.9,15696,86167600000.0,,,
2000-11-29,USHABEL,EQ,54.4,54.7,55.8,54.7,55.05,55.2,55.13,13036,71861510000.0,,,
2000-11-30,USHABEL,EQ,55.2,57.0,57.0,54.75,54.8,55.05,55.12,53888,297021910000.0,,,
2000-12-01,USHABEL,EQ,55.05,55.0,59.45,54.5,58.55,58.15,57.27,184250,1055262250000.0,,,
2000-12-04,USHABEL,EQ,58.15,57.9,67.45,57.9,65.0,65.05,64.23,186372,1197085310000.0,,,
2000-12-05,USHABEL,EQ,65.05,66.9,68.0,62.5,64.0,64.2,64.65,66567,430347415000.00006,,,
2000-12-06,USHABEL,EQ,64.2,66.4,67.0,64.0,64.5,64.35,65.04,113050,735320055000.0,,,
2000-12-07,USHABEL,EQ,64.35,62.15,64.75,61.0,61.6,61.4,62.78,89192,559980945000.0,,,
2000-12-08,USHABEL,EQ,61.4,61.2,64.0,60.05,61.0,60.7,61.19,98323,601657715000.0,,,
2000-12-11,USHABEL,EQ,60.7,60.5,62.5,60.0,61.8,61.4,61.86,69319,428785750000.0,,,
2000-12-12,USHABEL,EQ,61.4,62.8,67.4,60.5,64.55,64.9,61.36,584786,3588514350000.0,,,
2000-12-13,USHABEL,EQ,64.9,66.75,68.0,65.0,66.0,65.55,66.38,61398,407576195000.0,,,
