Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-15,VAISHALI,EQ,44.5,46.7,46.7,46.7,46.7,46.7,46.7,19050,88963500000.0,14,19050,1.0
2020-01-16,VAISHALI,EQ,46.7,49.0,49.0,47.5,48.0,48.1,48.47,47285,229180235000.0,248,31989,0.6765000000000001
2020-01-17,VAISHALI,EQ,48.1,50.4,50.4,48.15,48.6,48.8,49.36,13478,66521890000.0,187,3612,0.268
2020-01-20,VAISHALI,EQ,48.8,49.9,50.7,49.0,50.4,50.15,49.69,15439,76714780000.0,150,9798,0.6346
2020-01-21,VAISHALI,EQ,50.15,52.65,52.65,49.05,52.65,52.65,52.27,11620,60739869999.99999,81,7297,0.628
2020-01-22,VAISHALI,EQ,52.65,51.8,55.25,51.8,55.0,55.0,54.95,13987,76864225000.0,121,12454,0.8904000000000001
2020-01-23,VAISHALI,EQ,55.0,55.05,57.75,53.0,54.75,54.55,56.22,18226,102459335000.0,137,9821,0.5388000000000001
2020-01-24,VAISHALI,EQ,54.55,57.1,57.1,52.15,52.15,52.25,53.36,20534,109577825000.0,134,11373,0.5539000000000001
2020-01-27,VAISHALI,EQ,52.25,53.75,53.75,49.95,49.95,50.45,50.76,19177,97333225000.0,108,11473,0.5982999999999999
2020-01-28,VAISHALI,EQ,50.45,50.45,52.65,48.25,48.25,48.4,49.57,11829,58640030000.00001,31,7624,0.6445000000000001
2020-01-29,VAISHALI,EQ,48.4,49.5,49.5,48.0,48.5,48.25,48.6,8347,40564435000.0,46,4486,0.5374
2020-01-30,VAISHALI,EQ,48.25,48.75,48.75,46.15,46.15,46.15,46.92,9834,46143785000.0,43,2831,0.2879
2020-01-31,VAISHALI,EQ,46.15,47.3,48.25,46.15,48.0,47.95,47.52,11326,53820494999.99999,48,4740,0.41850000000000004
2020-02-01,VAISHALI,EQ,47.95,48.0,50.3,48.0,49.0,49.45,49.64,4271,21202425000.0,22,1221,0.2859
2020-02-03,VAISHALI,EQ,49.45,49.0,50.25,49.0,49.15,49.2,50.08,3896,19510720000.0,15,896,0.23
2020-02-04,VAISHALI,EQ,49.2,50.2,51.25,50.0,50.0,50.05,50.42,7577,38200595000.0,19,1377,0.18170000000000003
2020-02-05,VAISHALI,EQ,50.05,52.4,52.4,50.05,51.9,51.8,51.92,4801,24927325000.0,20,1562,0.32530000000000003
2020-02-06,VAISHALI,EQ,51.8,52.4,52.4,50.9,51.95,50.95,51.63,6869,35463780000.0,23,3317,0.4829
2020-02-07,VAISHALI,EQ,50.95,50.0,52.0,50.0,50.5,50.5,51.7,3442,17796455000.0,27,417,0.12119999999999999
2020-02-10,VAISHALI,EQ,50.5,51.65,51.7,50.25,50.55,51.7,51.62,6883,35531810000.0,24,1181,0.1716
2020-02-11,VAISHALI,EQ,51.7,51.8,55.0,51.1,53.45,53.4,51.98,10250,53277605000.00001,44,3193,0.3115
2020-02-12,VAISHALI,EQ,53.4,56.0,56.0,51.0,53.7,53.45,55.04,4262,23459755000.0,25,976,0.22899999999999998
2020-02-13,VAISHALI,EQ,53.45,51.05,54.0,51.0,53.4,52.2,53.64,3683,19756015000.0,20,237,0.0643
2020-02-14,VAISHALI,EQ,52.2,54.75,54.75,50.0,50.0,50.0,51.86,8877,46034120000.0,22,3745,0.4219
2020-02-17,VAISHALI,EQ,50.0,54.0,54.0,50.0,51.5,51.9,51.89,10576,54878015000.0,35,3198,0.3024
2020-02-18,VAISHALI,EQ,51.9,51.5,53.4,51.5,52.3,52.35,52.46,29778,156209560000.0,46,920,0.0309
2020-02-19,VAISHALI,EQ,52.35,53.75,53.75,51.95,52.3,52.35,52.39,35312,185013855000.0,46,22113,0.6262
2020-02-20,VAISHALI,EQ,52.35,52.0,52.35,51.0,51.3,52.05,52.01,10221,53159225000.0,34,1705,0.1668
2020-02-24,VAISHALI,EQ,52.05,54.0,54.0,52.0,52.45,52.45,52.53,19185,100774955000.0,24,14185,0.7394
2020-02-25,VAISHALI,EQ,52.45,53.0,57.65,52.5,53.7,52.9,53.6,44034,236027135000.0,129,24139,0.5482
2020-02-26,VAISHALI,EQ,52.9,53.0,54.0,52.0,54.0,53.8,53.09,9605,50988605000.0,66,3179,0.331
2020-02-27,VAISHALI,EQ,53.8,54.8,54.8,51.75,53.0,51.85,52.75,6050,31915265000.000004,35,1478,0.2443
2020-02-28,VAISHALI,EQ,51.85,56.7,56.7,47.2,49.0,50.8,50.61,15070,76266040000.0,234,8210,0.5448
2020-03-02,VAISHALI,EQ,50.8,55.85,55.85,52.0,52.3,52.2,52.85,24925,131739155000.0,109,10503,0.4214
2020-03-03,VAISHALI,EQ,52.2,47.75,54.0,47.75,50.55,51.4,51.77,7136,36943330000.0,146,2952,0.41369999999999996
2020-03-04,VAISHALI,EQ,51.4,51.5,51.5,50.0,51.45,51.05,50.82,19969,101472895000.0,42,12873,0.6446
2020-03-05,VAISHALI,EQ,51.05,53.0,53.0,50.0,51.65,50.25,51.41,29643,152399060000.0,90,29182,0.9844
2020-03-06,VAISHALI,EQ,50.25,50.0,52.0,48.0,52.0,50.75,50.23,22760,114327114999.99998,99,22475,0.9875
2020-03-09,VAISHALI,EQ,50.75,48.0,51.5,45.7,51.25,51.0,50.18,37661,188967580000.0,279,11743,0.3118
2020-03-11,VAISHALI,EQ,51.0,53.4,53.4,49.5,51.75,49.9,50.88,1029,5235900000.0,85,797,0.7745000000000001
2020-03-12,VAISHALI,EQ,49.9,49.5,49.95,45.0,49.0,47.9,46.59,1471,6853885000.000001,120,1205,0.8192
2020-03-13,VAISHALI,EQ,47.9,51.5,52.0,46.0,51.0,51.0,48.63,209,1016400000.0,7,204,0.9761
2020-03-16,VAISHALI,EQ,51.0,52.0,52.0,45.9,49.0,49.0,46.9,1636,7672860000.000001,120,440,0.26890000000000003
2020-03-17,VAISHALI,EQ,49.0,52.0,52.0,44.1,49.9,48.95,47.8,25129,120123195000.0,329,23312,0.9277
2020-03-18,VAISHALI,EQ,48.95,52.0,52.0,44.1,46.9,46.65,46.8,15047,70422040000.0,112,10857,0.7215
2020-03-19,VAISHALI,EQ,46.65,44.0,50.45,42.0,45.5,44.15,45.25,7146,32334545000.0,161,3897,0.5453
2020-03-20,VAISHALI,EQ,44.15,45.0,47.9,39.75,47.0,45.25,46.11,6007,27696959999.999996,66,2928,0.48740000000000006
2020-03-23,VAISHALI,EQ,45.25,49.55,49.55,41.0,47.3,45.7,44.01,2700,11882615000.0,71,1662,0.6156
2020-03-24,VAISHALI,EQ,45.7,42.25,48.9,41.15,42.8,42.8,42.7,1507,6434255000.0,120,745,0.4944
2020-03-25,VAISHALI,EQ,42.8,44.0,44.0,39.05,42.9,40.55,40.06,483,1935115000.0000002,45,247,0.5114
2020-03-26,VAISHALI,EQ,40.55,44.0,44.0,36.6,44.0,42.0,39.98,1949,7792714999.999999,173,699,0.3586
2020-03-27,VAISHALI,EQ,42.0,42.0,46.2,40.3,44.9,44.9,43.94,642,2820725000.0,59,406,0.6324000000000001
2020-03-30,VAISHALI,EQ,44.9,44.0,44.0,40.45,40.45,40.45,41.21,504,2076955000.0,40,431,0.8552
2020-03-31,VAISHALI,EQ,40.45,36.5,43.95,36.45,39.75,40.05,37.75,45013,169921705000.0,300,25925,0.5759000000000001
2020-04-01,VAISHALI,EQ,40.05,43.0,43.7,37.0,40.0,40.1,38.38,11816,45350545000.0,175,5737,0.4855
2020-04-03,VAISHALI,EQ,40.1,38.5,40.0,38.0,40.0,40.0,38.92,1687,6566570000.0,21,1191,0.706
2020-04-07,VAISHALI,EQ,40.0,43.9,43.9,37.0,39.25,39.0,40.83,11184,45662850000.0,145,6573,0.5877
2020-04-08,VAISHALI,EQ,39.0,40.0,41.6,37.5,41.0,39.4,39.42,10821,42653860000.0,419,5518,0.5099
2020-04-09,VAISHALI,EQ,39.4,41.8,45.9,39.05,44.8,43.65,41.98,15357,64466565000.0,245,9220,0.6004
2020-04-13,VAISHALI,EQ,43.65,49.0,49.0,38.1,43.05,41.9,43.67,42499,185599395000.0,1178,13056,0.3072
2020-04-15,VAISHALI,EQ,41.9,44.6,44.6,41.0,42.75,42.25,42.26,8853,37414215000.0,269,1890,0.21350000000000002
2020-04-16,VAISHALI,EQ,42.25,44.4,47.0,41.0,46.95,46.35,44.32,30983,137308895000.0,579,15614,0.504
2020-04-17,VAISHALI,EQ,46.35,50.0,51.3,46.0,49.25,47.5,47.37,43357,205375045000.0,376,12923,0.2981
2020-04-20,VAISHALI,EQ,47.5,52.0,52.0,46.05,48.15,47.85,47.53,23813,113173670000.0,606,10241,0.4301
2020-04-21,VAISHALI,EQ,47.85,47.95,49.4,44.55,47.9,46.9,47.96,48558,232893685000.0,547,20636,0.425
2020-04-22,VAISHALI,EQ,46.9,48.0,48.85,45.0,47.8,47.65,46.84,12071,56546015000.0,429,3439,0.2849
2020-04-23,VAISHALI,EQ,47.65,50.0,50.0,45.6,47.8,47.8,46.81,16237,76009045000.0,336,6185,0.3809
2020-04-24,VAISHALI,EQ,47.8,48.0,48.0,45.0,46.6,46.3,46.46,5609,26059315000.0,104,2784,0.4963
2020-04-27,VAISHALI,EQ,46.3,46.35,47.95,46.05,47.9,47.55,47.27,15924,75277645000.0,354,7293,0.45799999999999996
2020-04-28,VAISHALI,EQ,47.55,48.0,48.5,46.7,48.0,47.9,47.65,6362,30314680000.0,71,4205,0.6609999999999999
2020-04-29,VAISHALI,EQ,47.9,48.5,51.0,47.0,49.5,49.45,49.36,17290,85337950000.0,326,10453,0.6046
2020-04-30,VAISHALI,EQ,49.45,51.95,51.95,47.0,49.9,49.5,49.74,43255,215143815000.0,440,25646,0.5929
2020-05-04,VAISHALI,EQ,49.5,49.1,50.4,47.6,49.0,48.6,48.71,17245,83993500000.0,181,8905,0.5164
2020-05-05,VAISHALI,EQ,48.6,49.0,52.0,43.95,51.0,48.8,48.18,7363,35472855000.0,282,2807,0.3812
2020-05-06,VAISHALI,EQ,48.8,50.9,50.9,45.2,48.4,46.65,47.66,19411,92510510000.0,204,5647,0.2909
2020-05-07,VAISHALI,EQ,46.65,49.0,49.0,45.7,47.95,47.25,47.36,8566,40569095000.0,144,3527,0.4117
2020-05-08,VAISHALI,EQ,47.25,48.2,48.2,45.15,47.0,46.3,46.46,1783,8283855000.0,99,528,0.2961
2020-05-11,VAISHALI,EQ,46.3,47.8,47.8,45.1,47.2,45.75,46.41,8682,40289655000.0,63,3362,0.3872
2020-05-12,VAISHALI,EQ,45.75,47.4,47.4,43.25,46.8,45.7,46.36,12516,58024765000.0,92,4483,0.3582
2020-05-13,VAISHALI,EQ,45.7,49.5,50.0,45.1,46.6,45.55,46.5,11534,53638515000.0,131,3780,0.32770000000000005
2020-05-14,VAISHALI,EQ,45.55,47.8,47.8,46.0,46.7,46.25,46.56,7443,34653315000.0,44,4017,0.5397
2020-05-15,VAISHALI,EQ,46.25,47.9,47.9,44.2,47.3,46.05,45.75,8531,39028165000.0,145,5110,0.599
2020-05-18,VAISHALI,EQ,46.05,47.7,47.7,46.0,46.9,46.95,46.56,4286,19955200000.0,114,4194,0.9784999999999999
2020-05-19,VAISHALI,EQ,46.95,47.7,47.7,43.25,46.9,45.15,45.71,3359,15352545000.000002,94,499,0.1486
2020-05-20,VAISHALI,EQ,45.15,47.6,47.6,43.75,46.45,44.75,45.72,4226,19320380000.0,137,1306,0.309
2020-05-21,VAISHALI,EQ,44.75,45.9,53.4,45.9,49.8,49.1,50.42,32897,165876440000.0,581,13869,0.4216
2020-05-22,VAISHALI,EQ,49.1,51.0,51.0,47.4,48.5,47.9,48.67,12164,59199544999.99999,260,1534,0.1261
2020-05-26,VAISHALI,EQ,47.9,50.9,50.9,47.1,49.85,49.8,49.44,6407,31677945000.0,152,3725,0.5814
2020-05-27,VAISHALI,EQ,49.8,49.0,49.85,48.0,49.5,49.15,48.96,9584,46925160000.0,177,4140,0.43200000000000005
2020-05-28,VAISHALI,EQ,49.15,50.0,50.0,48.0,48.95,48.7,48.89,41446,202637535000.0,132,37388,0.9020999999999999
2020-05-29,VAISHALI,EQ,48.7,48.3,50.5,47.5,47.55,48.85,48.95,12074,59098165000.0,258,5286,0.4378
2020-06-01,VAISHALI,EQ,48.85,53.9,53.9,46.4,48.5,48.0,48.34,9315,45024940000.0,240,4738,0.5086
2020-06-02,VAISHALI,EQ,48.0,49.0,49.6,45.25,46.5,46.4,46.42,36154,167827635000.0,149,33833,0.9358
2020-06-03,VAISHALI,EQ,46.4,47.95,47.95,45.2,46.0,46.15,46.18,4067,18780040000.0,156,1666,0.4096
2020-06-04,VAISHALI,EQ,46.15,47.75,47.75,45.0,46.95,46.35,46.37,9965,46206705000.0,189,4565,0.4581
2020-06-05,VAISHALI,EQ,46.35,47.3,47.3,45.2,47.0,46.6,46.42,4026,18688670000.0,101,3557,0.8835
2020-06-08,VAISHALI,EQ,46.6,50.0,50.0,45.5,46.85,45.95,46.04,4840,22284915000.0,114,3246,0.6707
2020-06-09,VAISHALI,EQ,45.95,45.5,47.4,45.05,47.0,46.0,45.82,15018,68814925000.0,198,7947,0.5292
2020-06-10,VAISHALI,EQ,46.0,47.9,47.9,45.5,45.8,45.8,45.82,8935,40936510000.0,162,4930,0.5518
2020-06-11,VAISHALI,EQ,45.8,46.2,47.0,45.0,46.0,45.15,45.74,1866,8535235000.000001,58,1319,0.7069
2020-06-12,VAISHALI,EQ,45.15,46.5,46.5,37.0,46.0,45.75,42.4,24738,104900220000.0,194,1346,0.054400000000000004
2020-06-15,VAISHALI,EQ,45.75,47.5,47.5,43.25,45.5,45.0,45.4,1584,7190989999.999999,80,602,0.3801
2020-06-16,VAISHALI,EQ,45.0,47.0,47.0,44.2,45.95,45.65,45.6,3359,15316545000.000002,107,1443,0.42960000000000004
2020-06-17,VAISHALI,EQ,45.65,47.7,50.0,46.0,46.4,46.5,47.01,10837,50947730000.0,137,6710,0.6192000000000001
2020-06-18,VAISHALI,EQ,46.5,47.7,47.7,45.25,46.95,46.45,46.79,27831,130211550000.0,323,15759,0.5662
2020-06-19,VAISHALI,EQ,46.45,48.0,50.0,47.0,48.1,47.45,48.58,21777,105799914999.99998,345,11346,0.521
2020-06-22,VAISHALI,EQ,47.45,47.7,50.0,45.4,49.25,48.15,47.69,38527,183727975000.0,489,17022,0.4418
