Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-07-06,VARROC,EQ,967.0,1015.0,1061.65,1000.0,1025.15,1037.35,1026.76,14543041,1493225418060000.0,434159,6409603,0.44070000000000004
2018-07-09,VARROC,EQ,1037.35,1030.4,1047.9,1021.6,1042.5,1041.1,1035.7,1221862,126547821895000.0,57252,536261,0.4389
2018-07-10,VARROC,EQ,1041.1,1045.0,1047.0,1034.0,1040.5,1038.45,1039.92,336269,34969279955000.0,13584,205468,0.611
2018-07-11,VARROC,EQ,1038.45,1028.05,1042.0,1015.25,1018.0,1026.0,1033.26,139819,14446909440000.0,11292,88483,0.6328
2018-07-12,VARROC,EQ,1026.0,1025.0,1050.5,1025.0,1047.15,1042.65,1036.35,249829,25891111680000.0,15997,184534,0.7386
2018-07-13,VARROC,EQ,1042.65,1044.5,1058.9,1016.25,1036.5,1035.25,1040.46,171676,17862152820000.0,9216,69531,0.405
2018-07-16,VARROC,EQ,1035.25,1035.0,1035.25,1018.05,1020.05,1022.45,1022.3,123918,12668103745000.0,9365,80709,0.6513
2018-07-17,VARROC,EQ,1022.45,1022.45,1039.7,984.2,1035.0,1034.45,1015.14,207463,21060357055000.0,13985,128409,0.6189
2018-07-18,VARROC,EQ,1034.45,1040.0,1040.0,1011.0,1021.0,1016.6,1018.56,72488,7383306265000.001,8013,48508,0.6692
2018-07-19,VARROC,EQ,1016.6,1011.25,1019.9,981.5,982.0,993.55,997.64,86703,8649849930000.0,7564,59438,0.6855
2018-07-20,VARROC,EQ,993.55,977.15,985.2,960.0,960.1,964.65,973.34,90859,8843644945000.0,8580,45673,0.5027
2018-07-23,VARROC,EQ,964.65,975.0,976.55,941.5,945.5,950.0,960.02,71292,6844196055000.0,5959,38056,0.5338
2018-07-24,VARROC,EQ,950.0,943.25,955.0,940.0,940.0,945.85,946.46,59016,5585639835000.0,6538,40261,0.6822
2018-07-25,VARROC,EQ,945.85,942.0,951.95,940.0,947.05,946.75,945.79,66954,6332437385000.0,4535,48265,0.7209000000000001
2018-07-26,VARROC,EQ,946.75,945.0,980.1,931.1,977.0,974.8,957.46,92091,8817309105000.0,8589,46000,0.49950000000000006
2018-07-27,VARROC,EQ,974.8,980.0,980.05,958.0,975.05,972.3,968.91,32501,3149060555000.0,3236,19705,0.6063000000000001
2018-07-30,VARROC,EQ,972.3,970.0,1033.0,967.15,997.9,996.8,1002.68,114013,11431845680000.0,10320,57921,0.508
2018-07-31,VARROC,EQ,996.8,983.1,1014.95,983.1,1004.0,1008.2,1002.37,32170,3224624990000.0,2707,19424,0.6038
2018-08-01,VARROC,EQ,1008.2,999.5,1008.0,995.1,1000.0,999.75,1000.37,19116,1912313220000.0,1976,12148,0.6355
2018-08-02,VARROC,EQ,999.75,992.0,999.6,972.5,975.8,974.65,982.44,16905,1660812815000.0,1288,11756,0.6954000000000001
2018-08-03,VARROC,EQ,974.65,980.0,996.0,977.05,980.1,982.65,987.66,28114,2776710175000.0,1638,18792,0.6684
2018-08-06,VARROC,EQ,982.65,971.0,1004.0,971.0,999.0,991.85,989.93,46310,4584376285000.0,3754,33324,0.7195999999999999
2018-08-07,VARROC,EQ,991.85,1000.0,1007.0,982.0,990.0,989.9,995.16,30497,3034945090000.0,2210,18243,0.5982000000000001
2018-08-08,VARROC,EQ,989.9,993.95,994.05,973.25,987.0,982.65,980.43,27031,2650198220000.0,2460,14207,0.5256000000000001
2018-08-09,VARROC,EQ,982.65,984.0,993.9,976.25,977.15,979.95,981.14,16651,1633696460000.0,1351,10858,0.6520999999999999
2018-08-10,VARROC,EQ,979.95,985.0,991.9,970.1,975.0,972.25,980.46,12768,1251855090000.0,1197,4840,0.3791
2018-08-13,VARROC,EQ,972.25,967.0,978.95,960.0,961.85,962.55,966.71,8846,855147644999.9999,839,4154,0.4696
2018-08-14,VARROC,EQ,962.55,963.75,992.4,960.55,967.0,968.3,975.08,19533,1904630295000.0,1948,9740,0.4986
2018-08-16,VARROC,EQ,968.3,964.05,978.9,960.05,965.0,968.75,967.29,10254,991855905000.0001,694,6013,0.5864
2018-08-17,VARROC,EQ,968.75,968.75,999.0,965.3,976.0,978.3,984.92,297459,29297469750000.0,2879,265944,0.8941
2018-08-20,VARROC,EQ,978.3,980.0,998.0,979.95,992.0,991.3,991.96,24167,2397279060000.0,1864,15286,0.6325000000000001
2018-08-21,VARROC,EQ,991.3,991.5,1024.9,989.0,1018.0,1012.1,1003.29,97605,9792580920000.0,3061,80199,0.8217
2018-08-23,VARROC,EQ,1012.1,1012.0,1098.85,1005.0,1081.0,1087.3,1065.62,268534,28615653425000.0,17287,120608,0.4491
2018-08-24,VARROC,EQ,1087.3,1088.0,1114.75,1060.2,1072.0,1069.35,1087.86,169131,18399146350000.0,8723,80798,0.4777
2018-08-27,VARROC,EQ,1069.35,1080.0,1100.0,1070.0,1072.1,1072.8,1083.95,81673,8852982550000.0,6664,42478,0.5201
2018-08-28,VARROC,EQ,1072.8,1079.9,1143.0,1070.25,1115.0,1111.2,1117.64,224603,25102467645000.0,12019,101230,0.4507
2018-08-29,VARROC,EQ,1111.2,1117.0,1149.0,1112.0,1116.95,1117.95,1131.07,68384,7734694650000.0,4447,33981,0.4969
2018-08-30,VARROC,EQ,1117.95,1126.0,1150.0,1111.05,1146.0,1144.55,1136.05,76327,8671111850000.0,5096,47907,0.6277
2018-08-31,VARROC,EQ,1144.55,1142.0,1170.1,1141.65,1156.0,1151.15,1158.6,80144,9285498060000.0,5968,42739,0.5333
2018-09-03,VARROC,EQ,1151.15,1163.25,1178.7,1150.0,1151.0,1151.95,1158.54,83900,9720108880000.0,4882,50404,0.6008
2018-09-04,VARROC,EQ,1151.95,1152.4,1175.05,1135.5,1150.0,1151.95,1153.83,86739,10008167435000.0,7372,47556,0.5483
2018-09-05,VARROC,EQ,1151.95,1151.0,1151.0,1085.0,1125.0,1125.8,1118.82,320809,35892727230000.0,16551,174667,0.5445000000000001
2018-09-06,VARROC,EQ,1125.8,1125.25,1134.95,1072.2,1095.1,1105.65,1104.23,89091,9837665075000.0,9047,37448,0.4203
2018-09-07,VARROC,EQ,1105.65,1095.0,1112.45,1061.0,1089.75,1089.6,1088.86,51356,5591937770000.0,3592,31200,0.6075
2018-09-10,VARROC,EQ,1089.6,1090.0,1090.05,1029.9,1035.0,1034.0,1046.13,84119,8799901095000.0,4019,63876,0.7594
2018-09-11,VARROC,EQ,1034.0,1035.25,1042.6,1022.75,1034.0,1036.8,1035.7,33900,3511031885000.0,2555,21515,0.6347
2018-09-12,VARROC,EQ,1036.8,1037.0,1050.0,993.35,1019.9,1017.45,1015.19,77150,7832199190000.001,4153,51976,0.6737000000000001
2018-09-14,VARROC,EQ,1017.45,1020.4,1060.0,1020.4,1058.0,1053.75,1042.91,47942,4999940135000.0,2620,25334,0.5284000000000001
2018-09-17,VARROC,EQ,1053.75,1050.0,1050.0,1025.25,1032.0,1030.05,1032.84,20012,2066926655000.0,990,16174,0.8081999999999999
2018-09-18,VARROC,EQ,1030.05,1028.05,1048.0,1005.0,1012.15,1011.4,1021.87,16680,1704478045000.0,1338,9230,0.5534
2018-09-19,VARROC,EQ,1011.4,1020.95,1020.95,980.0,989.0,988.65,994.15,33084,3289031655000.0,2321,22285,0.6736
