Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-22,VIKASMCORP,EQ,3.7,3.85,4.4,3.2,4.4,4.4,4.13,14226594,5873898845000.0,1364,13343930,0.938
2019-05-23,VIKASMCORP,EQ,4.4,4.9,4.95,4.3,4.4,4.45,4.64,1299544,602834540000.0,1478,962370,0.7404999999999999
2019-05-24,VIKASMCORP,EQ,4.45,4.45,4.7,4.15,4.25,4.35,4.42,997906,441236825000.0,556,872679,0.8745
2019-05-27,VIKASMCORP,EQ,4.35,4.05,4.7,3.9,4.2,4.25,4.28,3174724,1357897435000.0,698,2877338,0.9063
2019-05-28,VIKASMCORP,EQ,4.25,4.15,4.35,3.75,3.85,3.85,3.96,413072,163523045000.0,419,312505,0.7565000000000001
2019-05-29,VIKASMCORP,EQ,3.85,3.85,4.45,3.65,3.85,3.85,4.06,4246770,1723920305000.0,1374,3366339,0.7927
2019-05-30,VIKASMCORP,EQ,3.85,3.85,4.3,3.75,4.2,4.15,4.07,986652,401818445000.0,722,347939,0.35259999999999997
2019-05-31,VIKASMCORP,EQ,4.15,3.95,4.5,3.85,3.9,3.95,3.97,354998,141014655000.0,438,260721,0.7343999999999999
2019-06-03,VIKASMCORP,EQ,3.95,3.9,4.25,3.6,3.7,3.75,3.97,3582941,1422019675000.0,643,3121339,0.8712000000000001
2019-06-04,VIKASMCORP,EQ,3.75,3.65,3.75,3.6,3.65,3.65,3.65,285648,104174480000.0,312,236706,0.8287000000000001
2019-06-06,VIKASMCORP,EQ,3.65,3.6,3.75,3.45,3.5,3.5,3.55,236046,83744880000.0,237,184720,0.7826000000000001
2019-06-07,VIKASMCORP,EQ,3.5,3.65,3.65,2.85,3.1,3.05,3.16,1497303,472630970000.0,573,1372472,0.9166
2019-06-10,VIKASMCORP,EQ,3.05,3.35,3.45,2.9,3.3,3.35,3.33,1972207,657555715000.0,454,1733510,0.8790000000000001
2019-06-11,VIKASMCORP,EQ,3.35,3.5,3.85,3.05,3.8,3.8,3.56,677996,241447250000.0,568,553919,0.8170000000000001
2019-06-12,VIKASMCORP,EQ,3.8,3.55,3.9,3.45,3.7,3.7,3.66,366195,133955489999.99998,418,206230,0.5632
2019-06-13,VIKASMCORP,EQ,3.7,3.8,4.1,3.4,3.9,3.95,3.89,1504239,584550705000.0,988,784823,0.5217
2019-06-14,VIKASMCORP,EQ,3.95,3.7,3.95,3.7,3.75,3.8,3.79,361776,137123735000.00002,317,198194,0.5478000000000001
