Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,VIKASWSP,EQ,106.75,107.0,108.0,105.5,,107.4,107.12,2300,24638500000.0,,,
1996-01-02,VIKASWSP,EQ,107.4,107.4,107.5,106.0,,107.2,106.66,5200,55463000000.0,,,
1996-01-03,VIKASWSP,EQ,107.2,107.2,107.0,105.75,,106.55,106.38,2300,24468000000.0,,,
1996-01-04,VIKASWSP,EQ,106.55,106.55,106.9,103.3,,106.75,104.67,7200,75361000000.0,,,
1996-01-05,VIKASWSP,EQ,106.75,106.35,106.95,105.5,,106.45,106.31,4200,44649000000.0,,,
1996-01-08,VIKASWSP,EQ,106.45,107.0,107.0,105.85,,106.5,106.25,1700,18062500000.0,,,
1996-01-09,VIKASWSP,EQ,106.5,106.25,106.5,102.5,,102.6,103.77,4600,47735000000.0,,,
1996-01-10,VIKASWSP,EQ,102.6,102.0,104.0,102.0,,103.55,103.3,3200,33056000000.0,,,
1996-01-11,VIKASWSP,EQ,103.55,103.0,103.5,102.65,,103.2,103.07,1900,19583500000.0,,,
1996-01-12,VIKASWSP,EQ,103.2,103.5,104.0,102.75,,103.6,103.46,2300,23796000000.0,,,
1996-01-15,VIKASWSP,EQ,103.6,103.6,104.0,102.25,,102.55,102.8,4600,47289000000.0,,,
1996-01-16,VIKASWSP,EQ,102.55,102.55,103.75,102.1,,103.4,102.73,3200,32873500000.0,,,
1996-01-17,VIKASWSP,EQ,103.4,103.4,106.0,102.1,,102.4,103.39,4100,42389500000.0,,,
1996-01-18,VIKASWSP,EQ,102.4,102.4,103.0,101.0,,101.5,101.78,2300,23410000000.0,,,
1996-01-19,VIKASWSP,EQ,101.5,101.5,102.9,94.0,,102.3,101.37,6300,63862000000.0,,,
1996-01-22,VIKASWSP,EQ,102.3,102.3,102.2,101.5,,102.2,101.77,3100,31548500000.0,,,
1996-01-23,VIKASWSP,EQ,102.2,102.25,102.5,100.25,,102.25,101.49,8900,90330500000.0,,,
1996-01-24,VIKASWSP,EQ,102.25,101.5,102.45,100.55,,102.1,101.94,6400,65240500000.0,,,
1996-01-25,VIKASWSP,EQ,102.1,101.0,101.0,99.5,,100.15,100.21,3900,39083500000.0,,,
1996-01-29,VIKASWSP,EQ,100.15,102.0,102.0,98.0,,98.95,99.3,2500,24824500000.0,,,
1996-01-30,VIKASWSP,EQ,98.95,99.0,102.0,99.0,,100.4,100.49,7700,77380500000.0,,,
1996-01-31,VIKASWSP,EQ,100.4,100.25,102.0,99.5,,101.0,100.71,1400,14100000000.0,,,
1996-02-01,VIKASWSP,EQ,101.0,101.0,101.0,100.0,,101.0,100.49,2200,22108000000.0,,,
1996-02-02,VIKASWSP,EQ,101.0,103.0,105.25,102.5,,105.0,103.87,5200,54013000000.0,,,
1996-02-05,VIKASWSP,EQ,105.0,110.0,110.0,105.0,,105.5,107.2,1900,20367500000.0,,,
1996-02-06,VIKASWSP,EQ,105.5,106.5,110.0,105.5,,107.85,107.78,7700,82987000000.0,,,
1996-02-07,VIKASWSP,EQ,107.85,107.85,110.0,104.0,,108.75,106.94,15600,166820500000.0,,,
1996-02-08,VIKASWSP,EQ,108.75,107.5,110.75,106.75,,110.05,108.93,7300,79519000000.0,,,
1996-02-09,VIKASWSP,EQ,110.05,108.0,112.0,106.5,,108.1,109.8,6700,73567500000.0,,,
1996-02-12,VIKASWSP,EQ,108.1,110.0,116.9,108.1,,112.25,111.95,11900,133216000000.0,,,
1996-02-13,VIKASWSP,EQ,112.25,112.25,115.0,111.5,,113.45,113.84,6500,73994500000.0,,,
1996-02-14,VIKASWSP,EQ,113.45,113.45,122.0,114.0,,119.45,118.77,13100,155583000000.0,,,
1996-02-15,VIKASWSP,EQ,119.45,119.45,127.5,120.0,,123.7,123.44,15900,196271000000.0,,,
1996-02-16,VIKASWSP,EQ,123.7,123.7,124.0,120.0,,120.15,121.81,6700,81612000000.0,,,
1996-02-19,VIKASWSP,EQ,120.15,120.15,129.0,121.0,,125.7,125.33,34500,432380000000.0,,,
1996-02-20,VIKASWSP,EQ,125.7,125.7,130.0,125.6,,127.15,127.49,19400,247337000000.0,,,
1996-02-22,VIKASWSP,EQ,127.15,127.15,134.0,128.55,,129.4,129.67,15200,197091500000.0,,,
1996-02-23,VIKASWSP,EQ,129.4,129.4,129.9,125.05,,126.05,127.61,8600,109747000000.0,,,
1996-02-26,VIKASWSP,EQ,126.05,126.05,126.25,122.05,,123.25,123.54,7400,91420500000.0,,,
1996-02-27,VIKASWSP,EQ,123.25,123.25,123.0,115.0,,118.75,119.8,9500,113806000000.0,,,
1996-02-28,VIKASWSP,EQ,118.75,118.75,124.0,118.0,,122.1,120.69,23400,282419500000.0,,,
1996-02-29,VIKASWSP,EQ,122.1,122.1,121.95,119.0,,121.4,120.77,16800,202895000000.0,,,
1996-03-01,VIKASWSP,EQ,121.4,117.25,122.0,117.1,,121.1,119.22,11800,140684000000.0,,,
1996-03-04,VIKASWSP,EQ,121.1,122.0,123.0,119.25,,120.45,120.26,15600,187606500000.0,,,
1996-03-06,VIKASWSP,EQ,120.45,120.45,120.9,119.5,,120.6,120.12,4700,56457500000.0,,,
1996-03-07,VIKASWSP,EQ,120.6,120.0,122.95,120.0,,121.0,120.56,3500,42195500000.0,,,
1996-03-08,VIKASWSP,EQ,121.0,121.0,122.25,119.5,,121.75,121.21,5700,69092000000.0,,,
1996-03-11,VIKASWSP,EQ,121.75,121.75,123.0,120.0,,122.25,121.7,5800,70586000000.0,,,
1996-03-12,VIKASWSP,EQ,122.25,123.0,126.0,122.25,,124.05,124.48,12800,159339000000.0,,,
1996-03-13,VIKASWSP,EQ,124.05,124.05,124.0,122.0,,124.0,123.63,7100,87777500000.0,,,
1996-03-14,VIKASWSP,EQ,124.0,124.0,126.25,123.0,,126.0,124.54,8800,109599000000.0,,,
1996-03-15,VIKASWSP,EQ,126.0,125.0,126.75,125.0,,126.0,126.01,4000,50403000000.0,,,
1996-03-18,VIKASWSP,EQ,126.0,126.0,126.25,125.6,,126.0,125.91,3800,47845500000.0,,,
1996-03-19,VIKASWSP,EQ,126.0,126.0,129.0,124.25,,126.25,125.6,16200,203467500000.0,,,
1996-03-21,VIKASWSP,EQ,126.25,126.25,127.05,126.25,,126.4,126.58,2500,31644500000.0,,,
1996-03-22,VIKASWSP,EQ,126.4,126.4,126.4,124.75,,125.7,125.46,4900,61476500000.0,,,
1996-03-25,VIKASWSP,EQ,125.7,125.7,126.0,120.0,,124.25,124.11,2400,29785500000.0,,,
1996-03-26,VIKASWSP,EQ,124.25,124.25,133.85,124.1,,131.75,127.75,12500,159685500000.0,,,
1996-03-27,VIKASWSP,EQ,131.75,131.75,135.95,128.0,,134.6,132.35,13700,181319500000.0,,,
1996-03-28,VIKASWSP,EQ,134.6,134.6,139.75,137.25,,138.3,138.28,22500,311138500000.0,,,
1996-03-29,VIKASWSP,EQ,138.3,138.3,140.0,136.0,,139.05,139.27,33900,472126000000.0,,,
1996-04-01,VIKASWSP,EQ,139.05,139.05,139.5,138.0,,138.5,138.66,5300,73489500000.0,,,
1996-04-02,VIKASWSP,EQ,138.5,138.5,145.0,137.6,,143.45,141.14,14000,197593500000.0,,,
1996-04-03,VIKASWSP,EQ,143.45,143.45,144.0,141.0,,141.0,142.19,4500,63983500000.0,,,
