Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-08-06,MAXWELL,EQ,27.75,31.0,33.0,27.65,32.95,32.1,31.21,127349,397494005000.0,,14378,0.1129
2007-08-07,MAXWELL,EQ,32.1,33.75,34.5,31.5,32.5,32.15,33.24,100807,335058380000.0,,30483,0.3024
2007-08-08,MAXWELL,EQ,32.15,33.0,33.2,31.5,31.7,31.9,32.33,24186,78191890000.0,,13961,0.5772
2007-08-09,MAXWELL,EQ,31.9,30.55,31.95,30.55,30.95,31.3,31.4,6900,21669365000.0,,4300,0.6232
2007-08-10,MAXWELL,EQ,31.3,29.5,31.9,29.5,31.0,31.35,30.19,4955,14958620000.000002,,3566,0.7197
2007-08-13,MAXWELL,EQ,31.35,30.2,31.75,30.05,30.2,30.2,30.61,3951,12093035000.0,,2600,0.6581
2007-08-14,MAXWELL,EQ,30.2,28.7,30.8,28.7,30.45,30.5,30.09,11585,34857170000.0,,9383,0.8099
2007-08-16,MAXWELL,EQ,30.5,29.35,31.1,29.35,29.6,29.75,30.01,3249,9750775000.0,,2211,0.6805
2007-08-17,MAXWELL,EQ,29.75,28.7,29.5,27.5,29.5,27.95,27.93,3914,10932440000.0,,3615,0.9236
2007-08-20,MAXWELL,EQ,27.95,30.75,30.75,27.9,28.0,27.95,28.44,6289,17883120000.0,,4150,0.6598999999999999
2007-08-21,MAXWELL,EQ,27.95,27.05,29.9,26.35,26.5,27.1,27.34,4346,11882330000.0,,3937,0.9059
2007-08-22,MAXWELL,EQ,27.1,26.5,27.4,25.5,26.3,26.3,26.11,6048,15792495000.000002,,5666,0.9368000000000001
2007-08-23,MAXWELL,EQ,26.3,27.05,28.6,25.5,26.0,26.85,27.33,4640,12682450000.0,,3922,0.8453
2007-08-24,MAXWELL,EQ,26.85,27.0,27.5,26.4,27.45,27.4,27.18,925,2514500000.0,,625,0.6757
2007-08-27,MAXWELL,EQ,27.4,28.95,29.85,27.65,29.8,29.15,29.12,7449,21688045000.0,,6645,0.8921
2007-08-28,MAXWELL,EQ,29.15,29.0,30.0,28.5,29.65,29.3,29.23,2216,6477465000.0,,2210,0.9973000000000001
2007-08-29,MAXWELL,EQ,29.3,29.5,29.5,27.85,28.15,28.55,28.73,1031,2961800000.0,,648,0.6285000000000001
2007-08-30,MAXWELL,EQ,28.55,28.3,29.0,28.3,28.95,28.95,28.95,755,2185975000.0,,755,1.0
2007-08-31,MAXWELL,EQ,28.95,28.0,29.0,28.0,28.8,28.7,28.84,7803,22504350000.0,,5050,0.6472
2007-09-03,MAXWELL,EQ,28.7,28.5,30.5,28.3,29.0,29.4,29.63,5377,15932570000.000002,,2980,0.5542
2007-09-04,MAXWELL,EQ,29.4,29.0,30.75,29.0,30.5,30.1,30.02,5663,17000640000.0,,4150,0.7328
2007-09-05,MAXWELL,EQ,30.1,33.0,33.0,27.7,28.85,28.9,29.27,5066,14826700000.0,,3681,0.7266
2007-09-06,MAXWELL,EQ,28.9,28.5,28.85,28.3,28.5,28.65,28.51,4596,13102315000.0,,4407,0.9589
2007-09-07,MAXWELL,EQ,28.65,29.8,31.0,28.75,29.5,29.5,29.83,7361,21961330000.0,,4235,0.5753
2007-09-10,MAXWELL,EQ,29.5,30.0,30.0,29.0,29.75,29.75,29.55,3467,10245405000.0,,2559,0.7381000000000001
2007-09-11,MAXWELL,EQ,29.75,26.8,30.0,26.8,28.55,28.7,28.81,2699,7776910000.000001,,1409,0.522
2007-09-12,MAXWELL,EQ,28.7,29.0,29.85,28.65,29.45,29.05,29.16,7388,21543660000.0,,6560,0.8879000000000001
2007-09-13,MAXWELL,EQ,29.05,31.95,31.95,28.55,29.1,29.15,29.66,4247,12595195000.0,,3057,0.7198000000000001
2007-09-14,MAXWELL,EQ,29.15,28.45,29.4,28.45,28.55,28.65,28.89,5656,16338215000.0,,5305,0.9379000000000001
2007-09-17,MAXWELL,EQ,28.65,28.1,29.5,28.1,29.0,29.0,29.05,3772,10957225000.0,,3770,0.9995
2007-09-18,MAXWELL,EQ,29.0,29.5,29.9,28.5,29.4,29.4,28.83,853,2459220000.0,,752,0.8815999999999999
2007-09-19,MAXWELL,EQ,29.4,28.65,29.8,28.65,29.25,29.0,29.09,6105,17759825000.0,,4755,0.7789
2007-09-20,MAXWELL,EQ,29.0,28.55,29.4,28.15,29.4,28.95,28.86,13685,39496835000.0,,11261,0.8229000000000001
2007-09-21,MAXWELL,EQ,28.95,28.25,28.75,27.3,28.75,28.4,28.18,7013,19762905000.0,,4971,0.7088
2007-09-24,MAXWELL,EQ,28.4,29.4,29.4,26.2,27.0,26.65,27.35,22597,61791735000.0,,19195,0.8494
2007-09-25,MAXWELL,EQ,26.65,28.95,28.95,25.0,26.0,26.0,25.87,24934,64516460000.0,,18825,0.755
2007-09-26,MAXWELL,EQ,26.0,25.5,26.5,24.6,25.15,25.5,25.62,21561,55246305000.00001,,16425,0.7618
