Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,VSTIND,EQ,178.9,176.0,176.0,175.95,,175.95,175.99,200,3519750000.0,,,
1996-01-02,VSTIND,EQ,175.95,175.95,176.0,174.0,,175.0,174.64,700,12225000000.0,,,
1996-01-03,VSTIND,EQ,175.0,175.0,175.0,171.0,,171.0,173.2,1500,25980000000.0,,,
1996-01-04,VSTIND,EQ,171.0,167.5,167.5,167.5,,167.5,167.5,100,1675000000.0,,,
1996-01-05,VSTIND,EQ,167.5,167.5,171.0,167.5,,171.0,169.83,150,2547500000.0,,,
1996-01-08,VSTIND,EQ,171.0,171.0,167.5,167.5,,167.5,167.5,200,3350000000.0,,,
1996-01-09,VSTIND,EQ,167.5,167.5,167.5,155.0,,155.0,164.1,450,7384500000.0,,,
1996-01-10,VSTIND,EQ,155.0,160.0,160.0,160.0,,160.0,160.0,50,800000000.0,,,
1996-01-11,VSTIND,EQ,160.0,158.5,158.5,158.5,,158.5,158.5,150,2377500000.0,,,
1996-01-12,VSTIND,EQ,158.5,158.95,159.0,158.95,,159.0,158.99,250,3974750000.0,,,
1996-01-16,VSTIND,EQ,159.0,159.0,160.25,159.0,,159.0,159.97,5350,85586250000.0,,,
1996-01-17,VSTIND,EQ,159.0,158.0,158.0,158.0,,158.0,158.0,250,3950000000.0,,,
1996-01-18,VSTIND,EQ,158.0,150.0,157.0,150.0,,157.0,153.33,150,2300000000.0,,,
1996-01-19,VSTIND,EQ,157.0,152.0,152.0,142.0,,148.0,147.33,300,4420000000.0,,,
1996-01-22,VSTIND,EQ,148.0,148.0,148.0,148.0,,148.0,148.0,100,1480000000.0,,,
1996-01-23,VSTIND,EQ,148.0,148.0,155.0,148.0,,155.0,153.31,1300,19930000000.0,,,
1996-01-24,VSTIND,EQ,155.0,151.0,151.0,148.0,,148.0,149.4,250,3735000000.0,,,
1996-01-25,VSTIND,EQ,148.0,150.0,150.0,140.0,,140.0,145.0,150,2175000000.0,,,
1996-01-29,VSTIND,EQ,140.0,140.0,130.0,130.0,,130.0,130.0,50,650000000.0,,,
1996-01-30,VSTIND,EQ,130.0,140.0,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-02-01,VSTIND,EQ,140.0,146.0,148.0,145.0,,145.0,146.66,950,13932500000.0,,,
1996-02-02,VSTIND,EQ,145.0,149.0,149.0,147.0,,147.0,148.32,350,5191250000.0,,,
1996-02-05,VSTIND,EQ,147.0,152.0,157.5,151.0,,157.45,152.77,1350,20624000000.0,,,
1996-02-06,VSTIND,EQ,157.45,155.0,157.0,153.0,,153.0,155.0,450,6975000000.0,,,
1996-02-07,VSTIND,EQ,153.0,159.0,159.0,159.0,,159.0,159.0,2500,39750000000.0,,,
1996-02-08,VSTIND,EQ,159.0,155.0,160.0,155.0,,160.0,159.3,2550,40622500000.0,,,
1996-02-09,VSTIND,EQ,160.0,162.5,169.0,162.5,,169.0,164.25,600,9855000000.0,,,
1996-02-12,VSTIND,EQ,169.0,166.0,168.5,162.05,,162.05,165.52,150,2482750000.0,,,
1996-02-13,VSTIND,EQ,162.05,162.05,169.5,164.0,,164.0,165.36,700,11575000000.0,,,
1996-02-14,VSTIND,EQ,164.0,176.0,180.0,174.25,,180.0,177.18,800,14174500000.0,,,
1996-02-15,VSTIND,EQ,180.0,181.0,189.95,181.0,,186.05,184.68,1100,20314500000.0,,,
1996-02-16,VSTIND,EQ,186.05,185.0,189.0,175.0,,185.0,182.8,750,13710000000.0,,,
1996-02-19,VSTIND,EQ,185.0,180.0,184.0,178.0,,182.0,181.35,500,9067500000.0,,,
1996-02-20,VSTIND,EQ,182.0,180.0,180.0,175.0,,179.0,177.76,850,15110000000.0,,,
