Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,WATERBASE,EQ,10.0,10.0,10.0,10.0,,10.0,10.0,100,100000000.0,,,
1996-01-02,WATERBASE,EQ,10.0,10.0,10.5,10.0,,10.0,10.18,1000,1017500000.0,,,
1996-01-03,WATERBASE,EQ,10.0,10.0,10.1,10.0,,10.1,10.05,3100,3116000000.0,,,
1996-01-04,WATERBASE,EQ,10.1,10.4,10.4,10.0,,10.0,10.11,2100,2122500000.0,,,
1996-01-05,WATERBASE,EQ,10.0,10.0,10.25,10.0,,10.0,10.11,700,707500000.0,,,
1996-01-08,WATERBASE,EQ,10.0,10.0,10.0,10.0,,10.0,10.0,100,100000000.0,,,
1996-01-09,WATERBASE,EQ,10.0,9.8,9.8,9.05,,9.4,9.46,900,851000000.0,,,
1996-01-10,WATERBASE,EQ,9.4,9.4,10.0,9.4,,10.0,9.63,300,289000000.0,,,
1996-01-11,WATERBASE,EQ,10.0,10.0,10.0,9.75,,10.0,9.97,2900,2890000000.0,,,
1996-01-12,WATERBASE,EQ,10.0,10.0,10.0,10.0,,10.0,10.0,700,700000000.0,,,
1996-01-15,WATERBASE,EQ,10.0,10.0,10.1,10.0,,10.1,10.02,600,601000000.0,,,
1996-01-16,WATERBASE,EQ,10.1,9.65,9.65,9.2,,9.2,9.57,1100,1052500000.0,,,
1996-01-17,WATERBASE,EQ,9.2,10.0,10.0,9.65,,9.8,9.89,400,395500000.0,,,
1996-01-18,WATERBASE,EQ,9.8,9.95,9.95,9.05,,9.7,9.74,2500,2436000000.0,,,
1996-01-19,WATERBASE,EQ,9.7,9.35,9.85,9.15,,9.35,9.25,5100,4720000000.0,,,
1996-01-22,WATERBASE,EQ,9.35,9.35,9.35,8.95,,8.95,9.09,2300,2091000000.0,,,
1996-01-23,WATERBASE,EQ,8.95,8.95,8.75,8.4,,8.45,8.46,700,592500000.0,,,
1996-01-24,WATERBASE,EQ,8.45,8.5,8.5,8.5,,8.5,8.5,100,85000000.0,,,
1996-01-25,WATERBASE,EQ,8.5,8.5,8.5,8.5,,8.5,8.5,500,425000000.0,,,
1996-01-29,WATERBASE,EQ,8.5,8.5,8.5,7.65,,7.65,8.38,700,586500000.0,,,
1996-01-30,WATERBASE,EQ,7.65,8.0,8.4,8.0,,8.35,8.33,1200,999000000.0,,,
1996-01-31,WATERBASE,EQ,8.35,8.9,9.15,8.9,,8.9,9.04,1100,994000000.0,,,
1996-02-01,WATERBASE,EQ,8.9,9.35,9.35,8.2,,9.3,8.58,1600,1372500000.0,,,
1996-02-02,WATERBASE,EQ,9.3,9.3,9.35,9.3,,9.35,9.33,1500,1400000000.0,,,
1996-02-05,WATERBASE,EQ,9.35,9.35,9.75,9.0,,9.5,9.39,1100,1032500000.0,,,
1996-02-06,WATERBASE,EQ,9.5,9.5,9.5,9.1,,9.1,9.35,1200,1122000000.0,,,
1996-02-07,WATERBASE,EQ,9.1,9.1,9.8,8.5,,9.1,8.84,3300,2916500000.0,,,
1996-02-08,WATERBASE,EQ,9.1,9.1,9.1,8.25,,8.9,8.55,3900,3334000000.0,,,
1996-02-09,WATERBASE,EQ,8.9,8.9,9.0,8.4,,8.4,8.75,2800,2450000000.0,,,
1996-02-12,WATERBASE,EQ,8.4,8.4,9.0,8.4,,8.75,8.65,3200,2766500000.0,,,
1996-02-13,WATERBASE,EQ,8.75,8.75,8.7,8.45,,8.5,8.5,3400,2891500000.0,,,
1996-02-14,WATERBASE,EQ,8.5,8.75,8.75,8.0,,8.0,8.56,3900,3336500000.0,,,
1996-02-15,WATERBASE,EQ,8.0,8.0,8.75,8.25,,8.75,8.44,3600,3040000000.0,,,
1996-02-16,WATERBASE,EQ,8.75,8.5,8.5,8.3,,8.4,8.44,3400,2868000000.0,,,
1996-02-19,WATERBASE,EQ,8.4,8.4,9.2,8.5,,8.5,8.74,1300,1136500000.0,,,
1996-02-20,WATERBASE,EQ,8.5,8.5,9.25,8.5,,8.7,8.96,3400,3046500000.0,,,
1996-02-22,WATERBASE,EQ,8.7,9.1,9.1,8.55,,9.1,8.79,3000,2637000000.0,,,
1996-02-23,WATERBASE,EQ,9.1,9.0,9.0,8.5,,8.5,8.86,1000,886000000.0,,,
1996-02-26,WATERBASE,EQ,8.5,8.5,9.25,8.75,,9.0,9.01,2900,2612500000.0,,,
1996-02-27,WATERBASE,EQ,9.0,9.0,8.75,8.5,,8.5,8.53,800,682500000.0,,,
1996-02-28,WATERBASE,EQ,8.5,8.5,9.0,8.25,,8.9,8.47,1800,1524500000.0,,,
1996-02-29,WATERBASE,EQ,8.9,8.6,8.6,8.4,,8.6,8.48,800,678000000.0,,,
1996-03-01,WATERBASE,EQ,8.6,8.6,8.6,8.6,,8.6,8.6,200,172000000.0,,,
1996-03-04,WATERBASE,EQ,8.6,8.0,8.0,7.9,,8.0,7.99,700,559000000.0,,,
1996-03-06,WATERBASE,EQ,8.0,8.4,8.45,8.4,,8.45,8.43,1000,842500000.0,,,
1996-03-07,WATERBASE,EQ,8.45,8.0,8.0,8.0,,8.0,8.0,1800,1440000000.0,,,
1996-03-08,WATERBASE,EQ,8.0,8.0,8.0,7.6,,7.95,7.91,1600,1265500000.0,,,
1996-03-11,WATERBASE,EQ,7.95,8.5,8.5,7.25,,7.25,7.77,5700,4427000000.0,,,
