Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-02-24,WILLAMAGOR,EQ,110.0,120.0,120.0,100.0,,110.9,110.91,11000,122000000000.0,,,
1997-02-25,WILLAMAGOR,EQ,110.9,100.0,100.0,100.0,,100.0,100.0,1000,10000000000.0,,,
1997-03-12,WILLAMAGOR,EQ,100.0,96.0,96.0,96.0,,96.0,96.0,1400,13440000000.0,,,
1997-05-27,WILLAMAGOR,EQ,96.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,
1997-05-30,WILLAMAGOR,EQ,90.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,
1997-06-02,WILLAMAGOR,EQ,90.0,91.0,91.0,91.0,,91.0,91.0,100,910000000.0,,,
1997-08-04,WILLAMAGOR,EQ,91.0,91.0,91.0,91.0,,91.0,91.0,300,2730000000.0,,,
1997-08-05,WILLAMAGOR,EQ,91.0,88.0,88.0,87.0,,87.0,87.33,300,2620000000.0,,,
1997-08-06,WILLAMAGOR,EQ,87.0,89.5,90.0,89.5,,89.75,89.75,200,1795000000.0,,,
1997-08-07,WILLAMAGOR,EQ,89.75,89.0,89.0,86.0,,86.0,87.0,300,2610000000.0,,,
1997-08-08,WILLAMAGOR,EQ,86.0,85.0,85.0,85.0,,85.0,85.0,100,850000000.0,,,
1997-08-11,WILLAMAGOR,EQ,85.0,86.0,86.0,86.0,,86.0,86.0,300,2580000000.0,,,
1997-08-14,WILLAMAGOR,EQ,86.0,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1997-08-20,WILLAMAGOR,EQ,78.0,78.5,78.5,78.5,,78.5,78.5,600,4710000000.0,,,
1997-08-21,WILLAMAGOR,EQ,78.5,72.65,72.65,72.0,,72.0,72.33,200,1446500000.0,,,
1997-08-22,WILLAMAGOR,EQ,72.0,72.0,72.0,65.0,,65.0,67.33,300,2020000000.0,,,
1997-08-25,WILLAMAGOR,EQ,65.0,58.6,58.6,58.6,,58.6,58.6,300,1758000000.0,,,
1997-08-27,WILLAMAGOR,EQ,58.6,52.75,53.0,52.75,,53.0,52.88,200,1057500000.0,,,
1997-08-28,WILLAMAGOR,EQ,53.0,47.75,47.75,47.75,,47.75,47.75,200,955000000.0,,,
1997-08-29,WILLAMAGOR,EQ,47.75,44.05,44.5,44.05,,44.05,44.2,300,1326000000.0,,,
1997-09-01,WILLAMAGOR,EQ,44.05,44.05,44.05,44.05,,44.05,44.05,100,440500000.0,,,
1997-09-02,WILLAMAGOR,EQ,44.05,44.05,44.05,44.05,,44.05,44.05,100,440500000.0,,,
