Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-09-02,WINDMACHIN,EQ,27.9,28.1,28.95,28.05,28.95,28.6,28.58,8972,25640100000.0,46,5110,0.5695
2011-09-05,WINDMACHIN,EQ,28.6,27.8,28.5,27.0,28.45,28.05,27.35,7759,21221265000.0,54,6653,0.8575
2011-09-06,WINDMACHIN,EQ,28.05,27.2,27.5,26.7,26.7,26.7,27.13,4207,11412590000.0,18,2700,0.6418
2011-09-07,WINDMACHIN,EQ,26.7,26.7,27.2,26.7,26.95,26.95,26.83,9491,25460205000.0,34,7534,0.7938
2011-09-08,WINDMACHIN,EQ,26.95,27.0,29.45,26.85,28.4,28.1,28.56,19356,55287044999.99999,102,14526,0.7505
2011-09-09,WINDMACHIN,EQ,28.1,27.15,27.45,24.0,25.9,24.5,25.84,27158,70168060000.0,67,22700,0.8358
2011-09-12,WINDMACHIN,EQ,24.5,26.0,26.9,24.8,25.8,25.8,25.42,3823,9717440000.0,41,2441,0.6385000000000001
2011-09-13,WINDMACHIN,EQ,25.8,26.0,26.55,25.05,25.05,25.1,26.0,8317,21623010000.0,45,6668,0.8017000000000001
2011-09-14,WINDMACHIN,EQ,25.1,25.15,25.7,24.9,25.7,25.45,25.08,1606,4028490000.0,14,1505,0.9370999999999999
2011-09-15,WINDMACHIN,EQ,25.45,25.0,26.75,25.0,26.75,26.05,25.86,11194,28952800000.0,44,7448,0.6654000000000001
2011-09-16,WINDMACHIN,EQ,26.05,25.15,26.0,25.15,25.5,25.5,25.56,5812,14857710000.0,28,5812,1.0
2011-09-19,WINDMACHIN,EQ,25.5,25.35,25.4,22.5,23.75,23.7,24.07,25677,61813144999.99999,41,22804,0.8881
2011-09-20,WINDMACHIN,EQ,23.7,24.9,26.25,24.85,25.9,25.45,25.51,12932,32991855000.0,44,10892,0.8423
2011-09-21,WINDMACHIN,EQ,25.45,25.3,25.3,24.3,24.55,24.8,24.7,36851,91019645000.0,95,27252,0.7395
2011-09-22,WINDMACHIN,EQ,24.8,24.4,24.7,23.5,23.7,23.7,24.02,4040,9706070000.0,40,2223,0.5502
2011-09-23,WINDMACHIN,EQ,23.7,23.7,24.35,23.45,23.5,23.5,23.65,9214,21794750000.0,25,7697,0.8354
2011-09-26,WINDMACHIN,EQ,23.5,22.65,23.95,22.4,22.4,22.6,22.71,6890,15645795000.000002,34,6304,0.9148999999999999
2011-09-27,WINDMACHIN,EQ,22.6,22.5,23.85,22.5,23.85,23.85,23.51,2630,6182700000.0,7,2330,0.8859
2011-09-28,WINDMACHIN,EQ,23.85,24.8,24.85,23.4,23.4,23.7,24.5,6972,17080935000.0,43,4603,0.6602
2011-09-29,WINDMACHIN,EQ,23.7,23.4,24.35,23.05,23.15,23.15,23.4,6802,15918254999.999998,36,6406,0.9418000000000001
2011-09-30,WINDMACHIN,EQ,23.15,23.0,23.0,21.05,22.95,22.85,22.76,11722,26677930000.0,51,6900,0.5886
2011-10-03,WINDMACHIN,EQ,22.85,23.0,23.0,20.55,21.5,21.5,21.62,2474,5349025000.0,31,1544,0.6241
2011-10-04,WINDMACHIN,EQ,21.5,22.4,22.4,20.1,20.15,20.15,21.08,10966,23119045000.0,40,9020,0.8225
2011-10-05,WINDMACHIN,EQ,20.15,20.45,21.0,20.3,21.0,21.0,20.49,197,403675000.0,6,154,0.7817000000000001
2011-10-07,WINDMACHIN,EQ,21.0,21.1,22.0,21.1,21.3,21.35,21.77,7200,15671000000.0,34,4000,0.5556
2011-10-10,WINDMACHIN,EQ,21.35,21.0,21.2,20.25,20.55,20.55,20.89,4003,8361725000.0,18,3243,0.8101
2011-10-11,WINDMACHIN,EQ,20.55,20.4,21.4,18.3,21.0,21.05,20.81,11426,23772195000.0,58,8891,0.7781
2011-10-12,WINDMACHIN,EQ,21.05,21.4,21.95,20.7,21.5,21.1,21.24,6469,13739604999.999998,29,5279,0.816
2011-10-13,WINDMACHIN,EQ,21.1,21.4,21.9,21.35,21.7,21.45,21.53,2040,4392200000.0,11,1770,0.8676
2011-10-14,WINDMACHIN,EQ,21.45,21.15,21.3,20.5,20.7,20.7,20.91,20848,43598965000.0,58,19985,0.9586
2011-10-17,WINDMACHIN,EQ,20.7,21.0,21.45,20.75,21.45,21.4,21.15,2494,5274115000.0,16,1500,0.6014
2011-10-18,WINDMACHIN,EQ,21.4,20.5,21.0,20.1,20.1,20.2,20.53,16042,32938365000.000004,54,16016,0.9984000000000001
2011-10-19,WINDMACHIN,EQ,20.2,21.05,21.05,19.55,19.9,19.6,20.17,1470,2964480000.0,9,1270,0.8639
2011-10-20,WINDMACHIN,EQ,19.6,20.0,20.0,19.5,20.0,20.0,19.85,2672,5303090000.0,41,2470,0.9244
2011-10-21,WINDMACHIN,EQ,20.0,19.6,21.0,18.2,19.6,19.95,19.4,3624,7031439999.999999,34,2524,0.6965000000000001
2011-10-24,WINDMACHIN,EQ,19.95,20.0,20.0,17.3,17.3,18.0,18.65,3993,7448645000.0,41,1910,0.4783
2011-10-24,WINDMACHIN,EQ,19.95,20.0,20.0,17.3,17.3,18.0,18.65,3993,7448645000.0,41,1910,0.4783
2011-10-25,WINDMACHIN,EQ,18.0,19.0,19.0,17.4,18.7,18.7,18.73,1113,2084665000.0000002,16,854,0.7673000000000001
