Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-05-23,WONDERLA,EQ,192.85,206.2,207.95,191.0,193.0,193.7,199.34,1066598,21261362455000.0,12977,523318,0.49060000000000004
2014-05-26,WONDERLA,EQ,193.7,195.0,206.9,184.0,191.55,193.85,199.96,902637,18049200390000.0,9799,440678,0.4882
2014-05-27,WONDERLA,EQ,193.85,194.6,223.0,187.0,214.75,215.7,211.42,2749751,58134770865000.0,35472,780758,0.2839
2014-05-28,WONDERLA,EQ,215.7,216.8,226.0,208.65,210.0,209.9,216.53,1248363,27031252370000.0,16093,460412,0.3688
2014-05-29,WONDERLA,EQ,209.9,214.5,221.4,205.65,213.0,212.6,213.94,969082,20732182670000.0,14350,313069,0.32310000000000005
2014-05-30,WONDERLA,EQ,212.6,214.8,216.75,202.5,203.0,203.95,209.55,471776,9885844275000.0,7487,247787,0.5252
2014-06-02,WONDERLA,EQ,203.95,204.85,204.9,196.0,201.0,201.05,200.36,464566,9308094975000.0,6497,203652,0.43840000000000007
2014-06-03,WONDERLA,EQ,201.05,203.45,209.65,200.15,203.0,203.95,204.59,309009,6321969330000.0,4443,109117,0.3531
2014-06-04,WONDERLA,EQ,203.95,204.95,206.7,198.15,199.7,200.05,201.5,226793,4569972925000.0,3014,105808,0.46649999999999997
2014-06-05,WONDERLA,EQ,200.05,201.0,202.95,198.5,200.5,200.3,200.59,296875,5955062795000.0,2598,176871,0.5958
2014-06-06,WONDERLA,EQ,200.3,203.65,219.0,200.0,212.9,212.85,212.82,1463552,31147760900000.0,15801,489734,0.3346
2014-06-09,WONDERLA,EQ,212.85,214.45,222.5,213.0,215.3,216.15,217.39,615591,13382237160000.0,6959,302328,0.4911
2014-06-10,WONDERLA,EQ,216.15,217.0,217.9,210.5,214.05,213.9,213.84,359634,7690306459999.999,3195,216027,0.6007
2014-06-11,WONDERLA,EQ,213.9,215.4,220.0,204.3,209.85,209.6,213.52,506516,10815341575000.0,7131,268649,0.5304
2014-06-12,WONDERLA,EQ,209.6,209.5,215.9,206.2,211.4,210.3,211.48,275639,5829295315000.0,4530,161816,0.5871000000000001
2014-06-13,WONDERLA,EQ,210.3,212.4,214.9,202.3,204.0,204.15,207.3,259361,5376468045000.0,5282,149971,0.5782
2014-06-16,WONDERLA,EQ,204.15,205.65,205.65,194.4,197.45,198.4,198.32,249029,4938819010000.0,2811,134247,0.5391
2014-06-17,WONDERLA,EQ,198.4,201.4,206.2,199.0,203.85,204.2,203.42,227130,4620331260000.0,3169,99137,0.4365
2014-06-18,WONDERLA,EQ,204.2,205.0,208.75,200.1,204.55,204.0,205.02,212023,4346943015000.0,4124,128084,0.6041
2014-06-19,WONDERLA,EQ,204.0,205.0,206.65,200.05,200.7,202.15,203.11,125214,2543272360000.0,2998,71373,0.5700000000000001
2014-06-20,WONDERLA,EQ,202.15,202.0,203.7,200.0,202.85,201.95,201.91,125540,2534733720000.0,1642,86872,0.6920000000000001
2014-06-23,WONDERLA,EQ,201.95,202.6,203.6,200.0,202.6,202.15,201.93,81191,1639474610000.0,1326,55339,0.6816
2014-06-24,WONDERLA,EQ,202.15,203.0,207.4,201.85,202.1,202.3,204.14,103816,2119344555000.0,1472,42961,0.41380000000000006
2014-06-25,WONDERLA,EQ,202.3,203.4,205.0,200.6,201.8,201.65,202.62,56455,1143871540000.0,1160,34409,0.6095
2014-06-26,WONDERLA,EQ,201.65,202.7,205.0,200.2,200.6,200.8,202.72,92395,1873058235000.0002,1549,53644,0.5806
2014-06-27,WONDERLA,EQ,200.8,201.85,202.95,198.1,199.0,199.4,200.94,60656,1218793395000.0,1162,36144,0.5959000000000001
2014-06-30,WONDERLA,EQ,199.4,200.85,217.0,200.2,213.3,213.4,211.8,813777,17235589194999.998,11110,315737,0.38799999999999996
2014-07-01,WONDERLA,EQ,213.4,214.95,218.4,212.5,214.5,213.75,214.44,240257,5151956765000.0,3956,115663,0.4814
