Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-04-27,XPROINDIA,EQ,25.2,28.8,28.8,28.8,28.8,28.8,28.8,11,31680000.0,,11,1.0
2004-04-28,XPROINDIA,EQ,28.8,31.7,31.7,31.7,31.7,31.7,31.7,225,713250000.0,,225,1.0
2004-04-29,XPROINDIA,EQ,31.7,34.7,34.9,33.35,34.9,34.9,34.28,8269,28347995000.0,,6977,0.8438
2004-04-30,XPROINDIA,EQ,34.9,38.0,38.4,37.05,38.4,38.4,38.23,32769,125266255000.0,,20532,0.6265999999999999
2004-05-03,XPROINDIA,EQ,38.4,41.8,42.25,35.5,37.3,36.85,39.03,24754,96614765000.0,,11018,0.4451
2004-05-04,XPROINDIA,EQ,36.85,37.45,39.0,37.15,37.15,37.5,38.19,5397,20612055000.0,,4000,0.7412000000000001
2004-05-05,XPROINDIA,EQ,37.5,35.0,38.95,34.55,34.55,34.8,36.18,8498,30745915000.000004,,4973,0.5852
2004-05-06,XPROINDIA,EQ,34.8,35.2,36.75,35.2,35.5,35.75,36.09,6020,21725405000.0,,4530,0.7525000000000001
2004-05-07,XPROINDIA,EQ,35.75,33.25,36.5,33.25,36.4,36.3,35.8,5432,19444370000.0,,3670,0.6756000000000001
2004-05-10,XPROINDIA,EQ,36.3,36.4,36.85,35.5,36.55,36.0,35.81,3213,11504500000.0,,2148,0.6685
2004-05-11,XPROINDIA,EQ,36.0,36.25,36.7,35.05,35.05,35.2,35.55,4593,16326265000.0,,3678,0.8008
2004-05-12,XPROINDIA,EQ,35.2,36.4,36.4,35.0,35.5,35.5,35.48,6366,22587230000.0,,5147,0.8085
2004-05-13,XPROINDIA,EQ,35.5,32.25,36.0,32.25,34.95,35.15,35.04,2865,10039965000.0,,1840,0.6422
2004-05-14,XPROINDIA,EQ,35.15,36.25,36.25,33.0,33.05,33.1,34.17,4892,16715590000.0,,3737,0.7639
2004-05-17,XPROINDIA,EQ,33.1,28.0,33.9,28.0,33.9,33.25,31.28,1751,5477990000.0,,1263,0.7212999999999999
2004-05-18,XPROINDIA,EQ,33.25,32.1,34.9,32.1,34.5,34.5,34.15,2872,9806875000.0,,2321,0.8081
2004-05-19,XPROINDIA,EQ,34.5,33.35,36.0,33.35,35.5,35.5,34.87,2716,9470200000.0,,2250,0.8284
2004-05-20,XPROINDIA,EQ,35.5,36.35,36.4,34.9,34.9,34.95,35.45,1450,5139585000.0,,1400,0.9655
2004-05-21,XPROINDIA,EQ,34.95,34.3,36.3,34.3,36.3,35.15,35.38,2395,8472964999.999999,,2337,0.9758
2004-05-24,XPROINDIA,EQ,35.15,36.4,36.4,35.1,35.45,35.3,35.81,2535,9077245000.0,,2260,0.8915000000000001
2004-05-25,XPROINDIA,EQ,35.3,35.7,36.0,34.9,35.5,35.5,35.64,4911,17501755000.0,,4001,0.8147
2004-05-26,XPROINDIA,EQ,35.5,34.65,35.95,34.65,35.0,35.05,35.26,3851,13580085000.0,,3349,0.8695999999999999
2004-05-27,XPROINDIA,EQ,35.05,35.95,36.0,34.5,34.8,34.55,34.98,3238,11327620000.0,,2827,0.8731
2004-05-28,XPROINDIA,EQ,34.55,36.0,36.0,32.95,33.65,33.75,33.85,1942,6572714999.999999,,1276,0.6570999999999999
2004-05-31,XPROINDIA,EQ,33.75,33.1,34.5,32.6,32.6,33.35,33.33,381,1269970000.0,,381,1.0
2004-06-01,XPROINDIA,EQ,33.35,34.0,34.0,32.75,32.75,32.9,33.14,1679,5564095000.0,,1429,0.8511
2004-06-02,XPROINDIA,EQ,32.9,30.85,34.0,30.85,33.05,33.05,33.44,1233,4123065000.0,,1132,0.9181
2004-06-03,XPROINDIA,EQ,33.05,33.1,33.2,33.0,33.0,33.0,33.19,21712,72052870000.0,,21561,0.993
2004-06-04,XPROINDIA,EQ,33.0,33.05,34.0,32.5,33.15,33.55,33.37,3194,10659190000.0,,2652,0.8303
2004-06-07,XPROINDIA,EQ,33.55,34.25,34.25,32.4,33.9,33.9,33.57,1690,5672530000.0,,1417,0.8384999999999999
2004-06-08,XPROINDIA,EQ,33.9,33.45,34.3,33.4,34.3,34.05,33.81,4374,14786760000.0,,4324,0.9886
2004-06-09,XPROINDIA,EQ,34.05,34.65,34.65,33.25,34.25,33.55,34.13,3170,10817670000.0,,2582,0.8145
2004-06-10,XPROINDIA,EQ,33.55,34.25,36.65,33.6,36.05,35.9,35.44,11607,41132225000.0,,9409,0.8106
2004-06-11,XPROINDIA,EQ,35.9,36.0,36.15,34.9,35.2,35.6,35.79,5448,19497570000.0,,4072,0.7474
2004-06-14,XPROINDIA,EQ,35.6,34.0,35.05,34.0,34.3,34.3,34.67,1217,4219815000.0,,1125,0.9244
2004-06-15,XPROINDIA,EQ,34.3,35.0,35.0,34.0,34.6,34.6,34.41,1484,5106325000.0,,1363,0.9185
2004-06-16,XPROINDIA,EQ,34.6,34.25,34.65,34.25,34.55,34.4,34.43,4336,14926870000.000002,,2810,0.6481
2004-06-17,XPROINDIA,EQ,34.4,34.3,34.8,33.1,34.3,34.3,34.39,7158,24614015000.0,,4687,0.6548
2004-06-18,XPROINDIA,EQ,34.3,36.9,36.9,34.1,34.1,34.1,34.56,8619,29788745000.0,,6560,0.7611
2004-06-21,XPROINDIA,EQ,34.1,34.4,34.4,33.6,34.0,33.9,33.92,5488,18613535000.0,,4363,0.795
2004-06-22,XPROINDIA,EQ,33.9,35.35,35.35,33.8,34.15,34.0,33.99,6125,20818645000.0,,4624,0.7549
2004-06-23,XPROINDIA,EQ,34.0,33.1,33.9,33.0,33.9,33.7,33.44,7342,24550180000.0,,5560,0.7573000000000001
2004-06-24,XPROINDIA,EQ,33.7,32.05,33.8,32.05,33.8,33.8,33.4,4071,13597260000.0,,2971,0.7298
2004-06-25,XPROINDIA,EQ,33.8,33.5,34.6,33.25,34.6,34.45,34.07,10769,36685825000.0,,9277,0.8615
2004-06-28,XPROINDIA,EQ,34.45,33.0,33.25,31.05,32.35,32.1,32.14,29186,93792235000.0,,21937,0.7515999999999999
2004-06-29,XPROINDIA,EQ,32.1,30.45,31.0,30.15,30.8,30.65,30.6,3190,9761720000.0,,1851,0.5803
2004-06-30,XPROINDIA,EQ,30.65,30.0,30.6,29.65,29.9,30.2,30.06,1231,3700850000.0,,720,0.5849000000000001
2004-07-01,XPROINDIA,EQ,30.2,30.1,30.15,29.75,30.15,29.9,29.82,1792,5344250000.0,,1780,0.9933
2004-07-02,XPROINDIA,EQ,29.9,31.55,31.55,28.2,28.5,28.5,29.03,10980,31874775000.0,,10274,0.9357
2004-07-05,XPROINDIA,EQ,28.5,29.7,29.9,28.5,28.5,28.9,29.49,5095,15024985000.0,,2650,0.5201
2004-07-06,XPROINDIA,EQ,28.9,25.35,29.0,25.35,28.3,28.25,28.25,3231,9127655000.0,,3230,0.9997
2004-07-07,XPROINDIA,EQ,28.25,27.75,28.5,27.75,28.0,28.15,28.2,958,2701750000.0,,613,0.6399
2004-07-08,XPROINDIA,EQ,28.15,27.0,29.0,27.0,27.7,27.7,28.48,315,897275000.0,,300,0.9523999999999999
2004-07-09,XPROINDIA,EQ,27.7,27.15,28.5,27.0,27.55,27.1,27.14,715,1940455000.0,,713,0.9972
2004-07-12,XPROINDIA,EQ,27.1,22.0,29.2,22.0,27.25,27.2,27.25,1728,4709390000.0,,1620,0.9375
2004-07-13,XPROINDIA,EQ,27.2,27.1,29.0,27.1,27.55,27.75,28.28,964,2726150000.0,,763,0.7915000000000001
2004-07-14,XPROINDIA,EQ,27.75,27.9,28.4,27.4,27.75,27.75,27.81,3273,9101060000.0,,2912,0.8897
2004-07-15,XPROINDIA,EQ,27.75,28.9,29.2,28.25,28.5,28.5,28.6,3307,9458465000.0,,2356,0.7123999999999999
2004-07-16,XPROINDIA,EQ,28.5,29.0,30.35,28.8,29.5,29.5,29.77,5023,14955625000.0,,3600,0.7167
2004-07-19,XPROINDIA,EQ,29.5,29.5,30.25,29.1,30.25,30.05,29.91,3969,11870000000.0,,3254,0.8199
2004-07-20,XPROINDIA,EQ,30.05,29.9,29.9,29.5,29.5,29.8,29.66,4186,12415200000.0,,4136,0.9881000000000001
2004-07-21,XPROINDIA,EQ,29.8,29.5,29.95,29.3,29.55,29.65,29.56,4566,13497920000.000002,,4287,0.9389000000000001
2004-07-22,XPROINDIA,EQ,29.65,31.9,32.0,29.3,30.2,29.75,30.74,29157,89632975000.0,,18089,0.6204
2004-07-23,XPROINDIA,EQ,29.75,28.1,30.15,28.1,29.6,29.4,29.3,1956,5730975000.0,,1356,0.6933
2004-07-26,XPROINDIA,EQ,29.4,29.85,29.85,28.65,28.85,28.8,28.93,7272,21041375000.0,,5998,0.8248000000000001
2004-07-27,XPROINDIA,EQ,28.8,28.95,29.5,28.6,28.8,28.85,29.01,3684,10685450000.0,,1825,0.4954
2004-07-28,XPROINDIA,EQ,28.85,28.8,29.2,28.6,29.0,28.75,28.9,4392,12691270000.0,,3567,0.8122
2004-07-29,XPROINDIA,EQ,28.75,28.5,28.9,27.8,28.2,27.85,28.24,5311,14999220000.000002,,4902,0.923
2004-07-30,XPROINDIA,EQ,27.85,29.8,29.8,28.05,28.85,28.25,28.39,5539,15727965000.0,,4445,0.8025
2004-08-02,XPROINDIA,EQ,28.25,29.3,29.3,28.15,28.25,28.3,28.35,983,2786750000.0,,711,0.7232999999999999
2004-08-03,XPROINDIA,EQ,28.3,29.65,29.65,28.0,28.05,28.05,28.42,1985,5640595000.0,,1246,0.6277
2004-08-04,XPROINDIA,EQ,28.05,27.95,28.35,27.4,27.6,27.85,27.9,795,2217935000.0,,665,0.8365
2004-08-05,XPROINDIA,EQ,27.85,29.9,29.9,27.55,28.05,28.15,28.25,3166,8945270000.0,,2171,0.6857
2004-08-06,XPROINDIA,EQ,28.15,30.0,30.0,28.15,28.45,28.45,29.05,5665,16456550000.0,,4792,0.8459000000000001
2004-08-09,XPROINDIA,EQ,28.45,28.5,28.9,28.45,28.65,28.65,28.72,651,1869859999.9999998,,500,0.768
2004-08-10,XPROINDIA,EQ,28.65,30.0,30.0,28.65,28.65,28.7,28.85,750,2163985000.0,,643,0.8573000000000001
