Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-18,ZICOM,EQ,220.2,244.85,247.0,215.55,228.0,228.85,233.44,116786,2726252710000.0,,18303,0.1567
2006-04-19,ZICOM,EQ,228.85,225.0,234.95,225.0,234.0,230.05,230.16,32145,739856065000.0,,12491,0.3886
2006-04-20,ZICOM,EQ,230.05,233.9,233.9,225.05,228.0,226.85,227.85,1817,41399995000.0,,1020,0.5614
2006-06-12,ZICOM,EQ,137.0,130.15,139.85,130.15,131.0,131.0,133.72,3218,43029520000.0,,3178,0.9876
2006-06-13,ZICOM,EQ,131.0,125.0,125.0,125.0,125.0,125.0,125.0,7782,97275000000.0,,7680,0.9869
2006-06-14,ZICOM,EQ,125.0,120.1,121.0,118.75,118.75,118.75,120.24,785,9438975000.0,,785,1.0
2006-06-15,ZICOM,EQ,118.75,122.7,124.7,116.0,124.7,124.7,123.27,3603,44413960000.0,,3575,0.9922
2006-06-16,ZICOM,EQ,124.7,130.95,130.95,127.5,130.95,130.95,130.81,6082,79558915000.0,,3447,0.5668
2006-06-19,ZICOM,EQ,130.95,132.0,137.0,132.0,136.0,136.25,135.79,1336,18141805000.0,,1184,0.8862000000000001
2006-06-20,ZICOM,EQ,136.25,139.3,143.1,139.0,139.0,139.75,142.45,3114,44357450000.0,,2990,0.9601999999999999
2006-06-21,ZICOM,EQ,139.75,145.0,146.7,141.6,141.6,141.6,144.75,596,8626870000.0,,596,1.0
2006-06-22,ZICOM,EQ,141.6,148.65,148.7,148.65,148.7,148.7,148.65,105,1560850000.0,,105,1.0
2006-06-23,ZICOM,EQ,148.7,148.7,156.15,147.2,155.75,155.75,152.83,1926,29435755000.0,,1431,0.743
2006-06-25,ZICOM,EQ,155.75,160.0,160.0,151.0,151.0,151.1,151.48,240,3635500000.0,,230,0.9583
2006-06-26,ZICOM,EQ,151.1,145.1,149.8,144.0,144.0,144.05,146.21,318,4649420000.0,,184,0.5786
2006-06-27,ZICOM,EQ,144.05,149.8,149.8,136.85,142.0,141.2,139.28,880,12256460000.0,,640,0.7273000000000001
2006-06-28,ZICOM,EQ,141.2,136.1,147.25,136.1,147.25,147.25,139.47,220,3068350000.0,,210,0.9545
2006-06-29,ZICOM,EQ,147.25,144.6,144.6,140.0,140.0,140.0,141.14,1501,21185600000.0,,1431,0.9534
2006-06-30,ZICOM,EQ,140.0,146.95,147.0,142.0,146.0,144.95,146.64,21822,319990550000.0,,20509,0.9398000000000001
2006-07-03,ZICOM,EQ,144.95,146.0,146.0,140.05,142.0,142.0,140.56,5305,74568700000.0,,5200,0.9802
2006-07-04,ZICOM,EQ,142.0,143.6,143.7,143.6,143.7,143.7,143.65,95,1364650000.0,,50,0.5263
2006-07-05,ZICOM,EQ,143.7,143.95,150.5,143.95,150.5,150.5,147.91,500,7395500000.0,,400,0.8
2006-07-06,ZICOM,EQ,150.5,145.0,148.8,143.0,143.0,143.2,143.61,2391,34336800000.0,,2244,0.9385
2006-07-07,ZICOM,EQ,143.2,147.9,157.55,146.35,146.35,148.0,152.12,15014,228389679999.99997,,4292,0.2859
2006-07-10,ZICOM,EQ,148.0,157.55,157.55,134.25,145.3,146.4,147.81,826,12209325000.0,,510,0.6174000000000001
2006-07-11,ZICOM,EQ,146.4,143.85,145.0,143.85,145.0,145.0,144.99,1005,14571925000.0,,1005,1.0
2006-07-12,ZICOM,EQ,145.0,145.0,148.0,143.3,143.3,143.3,145.72,4711,68648690000.0,,4076,0.8652
2006-07-13,ZICOM,EQ,143.3,144.05,156.0,144.05,154.95,150.35,146.46,4256,62331469999.99999,,3888,0.9135
2006-07-14,ZICOM,EQ,150.35,150.0,150.95,145.3,148.25,148.4,148.67,1239,18420150000.0,,611,0.49310000000000004
2006-07-17,ZICOM,EQ,148.4,147.9,150.0,140.55,144.95,141.85,146.25,2433,35582865000.0,,1671,0.6868000000000001
2006-07-18,ZICOM,EQ,141.85,150.4,150.4,136.75,138.1,139.2,142.64,2419,34505300000.0,,1337,0.5527000000000001
2006-07-19,ZICOM,EQ,139.2,144.0,144.0,136.1,137.0,137.0,138.01,444,6127440000.0,,372,0.8378
2006-07-20,ZICOM,EQ,137.0,140.0,142.5,125.6,139.1,138.95,139.06,525,7300700000.0,,368,0.701
2006-07-21,ZICOM,EQ,138.95,137.0,140.0,137.0,140.0,139.9,139.79,4890,68356900000.0,,4760,0.9734
2006-07-24,ZICOM,EQ,139.9,127.6,142.0,127.6,140.1,141.0,140.0,4331,60633394999.99999,,4321,0.9977
2006-07-25,ZICOM,EQ,141.0,147.95,154.0,145.2,145.2,146.35,149.54,4791,71644705000.0,,2582,0.5389
2006-07-26,ZICOM,EQ,146.35,145.3,146.0,142.25,142.25,144.4,145.32,1400,20344350000.0,,1380,0.9856999999999999
2006-07-27,ZICOM,EQ,144.4,145.0,148.45,144.05,146.5,146.45,146.21,1126,16463460000.0,,628,0.5577000000000001
2006-07-28,ZICOM,EQ,146.45,146.1,156.9,142.3,150.0,149.7,148.81,2831,42126960000.0,,2383,0.8418000000000001
2006-07-31,ZICOM,EQ,149.7,148.0,155.9,147.2,153.95,153.6,153.3,2331,35733340000.0,,2325,0.9974
2006-08-01,ZICOM,EQ,153.6,142.0,152.0,142.0,146.2,146.35,146.77,503,7382405000.0,,183,0.3638
2006-08-02,ZICOM,EQ,146.35,144.15,148.0,144.15,148.0,148.0,147.74,75,1108075000.0,,75,1.0
2006-08-03,ZICOM,EQ,148.0,153.0,162.8,153.0,162.8,162.8,161.72,6665,107788460000.00002,,3692,0.5539000000000001
2006-08-04,ZICOM,EQ,162.8,170.0,174.0,162.1,165.15,165.35,169.08,14112,238602500000.0,,6193,0.4388
2006-08-07,ZICOM,EQ,165.35,172.0,176.0,168.5,169.05,170.55,172.85,7284,125906180000.0,,3178,0.4363
2006-08-08,ZICOM,EQ,170.55,172.0,183.75,171.0,178.0,179.8,178.65,7285,130149580000.0,,4394,0.6032000000000001
2006-08-09,ZICOM,EQ,179.8,180.0,182.0,175.0,181.0,179.15,179.53,4457,80018150000.0,,3019,0.6774
2006-08-10,ZICOM,EQ,179.15,183.0,184.8,177.1,181.0,182.1,182.25,5101,92966130000.0,,2863,0.5613
2006-08-11,ZICOM,EQ,182.1,182.0,191.25,175.0,187.0,186.55,178.61,56650,1011844760000.0,,46796,0.8261000000000001
2006-08-14,ZICOM,EQ,186.55,187.0,193.0,185.0,187.1,187.65,188.2,1371,25802800000.0,,812,0.5922999999999999
2006-08-16,ZICOM,EQ,187.65,177.25,195.8,177.25,190.2,191.95,192.23,8783,168836535000.0,,5629,0.6409
2006-08-17,ZICOM,EQ,191.95,191.0,194.0,185.25,185.9,185.65,187.54,1183,22185970000.0,,1014,0.8571
2006-08-18,ZICOM,EQ,185.65,187.9,192.5,180.0,187.0,186.85,189.84,15672,297516780000.0,,4629,0.2954
2006-08-21,ZICOM,EQ,186.85,190.0,193.3,184.6,186.0,187.1,188.81,4762,89909805000.0,,3560,0.7476
2006-08-22,ZICOM,EQ,187.1,189.4,189.4,178.05,178.05,180.55,183.5,2636,48370945000.0,,1702,0.6456999999999999
2006-08-23,ZICOM,EQ,180.55,178.6,180.0,176.0,176.0,176.0,177.61,1619,28754830000.0,,465,0.2872
2006-08-24,ZICOM,EQ,176.0,180.5,180.9,174.25,178.9,177.75,176.01,7705,135616670000.0,,7130,0.9254000000000001
2006-08-25,ZICOM,EQ,177.75,181.9,186.35,174.5,180.0,176.95,178.95,1516,27128655000.0,,839,0.5534
2006-08-28,ZICOM,EQ,176.95,182.5,184.0,175.0,181.0,180.3,179.93,3562,64091880000.00001,,2956,0.8299
2006-08-29,ZICOM,EQ,180.3,183.0,183.05,171.5,177.0,177.0,177.15,2684,47547665000.0,,1975,0.7358
2006-08-30,ZICOM,EQ,177.0,172.05,179.0,172.05,173.25,174.3,173.8,946,16441060000.0,,615,0.6501
2006-08-31,ZICOM,EQ,174.3,172.25,179.5,172.0,177.75,174.85,176.32,2906,51238645000.0,,2412,0.8300000000000001
2006-09-01,ZICOM,EQ,174.85,177.75,183.6,176.1,180.25,180.75,181.2,4862,88099020000.0,,3966,0.8157
2006-09-04,ZICOM,EQ,180.75,180.1,185.95,180.1,184.0,184.2,183.87,5603,103023115000.0,,3895,0.6951999999999999
2006-09-05,ZICOM,EQ,184.2,186.0,189.75,180.6,189.75,187.45,186.72,14910,278394060000.0,,14210,0.9531000000000001
2006-09-06,ZICOM,EQ,187.45,186.0,188.25,182.1,183.5,183.55,186.17,4292,79902400000.0,,4044,0.9422
2006-09-07,ZICOM,EQ,183.55,191.5,192.75,191.5,192.75,192.75,192.09,2902,55743950000.0,,2645,0.9114
2006-09-08,ZICOM,EQ,192.75,199.7,202.4,192.2,196.6,196.35,199.2,34320,683640240000.0,,18266,0.5322
2006-09-11,ZICOM,EQ,196.35,193.0,199.9,186.55,187.1,188.2,192.64,16248,312998470000.0,,13056,0.8035
2006-09-12,ZICOM,EQ,188.2,185.1,188.4,183.0,185.9,186.0,184.64,1511,27898600000.0,,1128,0.7465
2006-09-13,ZICOM,EQ,186.0,183.5,189.9,180.1,187.5,187.5,185.59,8393,155763600000.0,,6048,0.7206
2006-09-14,ZICOM,EQ,187.5,190.0,191.95,187.5,187.5,188.5,189.66,9382,177939880000.0,,6067,0.6467
2006-09-15,ZICOM,EQ,188.5,193.8,193.8,186.15,189.0,189.1,190.12,2645,50287800000.0,,2130,0.8053
2006-09-18,ZICOM,EQ,189.1,189.1,191.9,186.1,187.5,187.75,188.81,8777,165716515000.0,,1622,0.18480000000000002
2006-09-19,ZICOM,EQ,187.75,188.5,188.5,180.0,181.4,182.85,188.04,28144,529231675000.0,,27777,0.9870000000000001
