Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-19,ZOTA,EQ,198.5,204.0,236.9,200.0,204.0,204.5,204.28,39275,802322075000.0,198,24315,0.6191
2019-08-20,ZOTA,EQ,204.5,201.05,206.0,197.0,199.0,198.75,202.81,22100,448202395000.0,170,8385,0.37939999999999996
2019-08-21,ZOTA,EQ,198.75,203.9,203.9,197.0,197.0,197.35,199.22,13300,264959190000.0,122,1387,0.1043
2019-08-22,ZOTA,EQ,197.35,200.0,200.0,190.0,190.0,191.2,195.43,17356,339182855000.0,179,4392,0.2531
2019-08-23,ZOTA,EQ,191.2,194.2,194.45,188.0,188.05,188.85,189.27,146362,2770219380000.0,281,109570,0.7486
2019-08-26,ZOTA,EQ,188.85,189.05,192.85,187.0,187.0,187.15,187.88,86380,1622892305000.0,191,50933,0.5896
2019-08-27,ZOTA,EQ,187.15,187.0,190.65,187.0,189.9,188.35,188.11,85810,1614202920000.0,85,73027,0.851
2019-08-28,ZOTA,EQ,188.35,187.55,191.9,182.05,182.05,184.55,187.02,75233,1407044625000.0,141,54628,0.7261
2019-08-29,ZOTA,EQ,184.55,183.05,188.45,178.0,180.15,180.75,182.49,78425,1431161470000.0,216,53225,0.6787000000000001
2019-08-30,ZOTA,EQ,180.75,178.0,183.95,175.0,175.0,177.1,180.95,74241,1343427000000.0,236,51525,0.6940000000000001
2019-09-03,ZOTA,EQ,177.1,175.05,180.7,175.05,179.0,178.9,177.11,24134,427435484999.99994,253,1840,0.0762
2019-09-04,ZOTA,EQ,178.9,184.0,184.0,179.5,181.75,182.4,181.32,72742,1318989865000.0,157,52055,0.7156
2019-09-05,ZOTA,EQ,182.4,182.5,184.0,181.1,184.0,182.05,182.07,72344,1317149595000.0,154,51407,0.7106
2019-09-06,ZOTA,EQ,182.05,185.0,188.95,181.7,188.9,187.25,183.68,73814,1355827935000.0,206,52322,0.7088
