Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-12-12,ZUARI,EQ,308.85,311.2,311.2,299.95,300.1,302.0,302.98,6202,187909405000.0,883,5015,0.8086
2012-12-13,ZUARI,EQ,302.0,288.0,303.0,288.0,299.45,296.65,299.44,60544,1812959400000.0,798,55299,0.9134000000000001
2012-12-14,ZUARI,EQ,296.65,305.0,305.0,292.15,299.0,297.15,298.03,8304,247483660000.0,2200,4485,0.5401
2012-12-17,ZUARI,EQ,297.15,293.1,301.95,287.55,290.0,295.05,294.8,3969,117005305000.0,543,2331,0.5872999999999999
2012-12-18,ZUARI,EQ,295.05,261.25,295.95,261.25,293.7,289.85,288.32,6801,196083420000.0,1066,5417,0.7965000000000001
2012-12-19,ZUARI,EQ,289.85,285.2,298.0,284.8,292.0,291.0,288.57,3055,88157620000.0,1358,1977,0.6470999999999999
2012-12-20,ZUARI,EQ,291.0,266.0,307.0,266.0,285.0,283.6,288.16,10200,293918105000.0,1982,7826,0.7673000000000001
2012-12-21,ZUARI,EQ,283.6,270.2,293.0,267.0,270.5,280.25,277.12,9846,272852500000.0,2341,7526,0.7644
2012-12-24,ZUARI,EQ,280.25,251.55,283.55,251.55,276.8,272.3,273.84,5355,146639015000.0,1485,3303,0.6168
2012-12-26,ZUARI,EQ,272.3,267.0,279.0,267.0,271.5,273.2,275.42,3357,92456945000.0,2032,2692,0.8019
2012-12-27,ZUARI,EQ,273.2,269.0,281.0,262.0,281.0,272.9,271.36,12324,334426525000.0,1860,10436,0.8468000000000001
2012-12-28,ZUARI,EQ,272.9,273.0,284.0,272.0,278.5,277.0,277.16,4294,119012745000.0,1517,3320,0.7732
2012-12-31,ZUARI,EQ,277.0,273.5,283.0,265.05,283.0,271.3,271.32,16751,454487295000.0,2173,14764,0.8814000000000001
2013-01-01,ZUARI,EQ,271.3,273.5,295.0,273.5,284.0,283.45,281.35,2230,62741065000.0,1014,1557,0.6981999999999999
2013-01-02,ZUARI,EQ,283.45,280.0,288.0,272.0,279.0,277.6,278.51,10559,294077315000.0,2034,7484,0.7088
2013-01-03,ZUARI,EQ,277.6,274.0,280.0,269.0,272.55,273.95,273.72,14504,396998360000.0,675,9826,0.6775
2013-01-04,ZUARI,EQ,273.95,272.0,275.9,270.05,273.2,273.2,272.62,5266,143560720000.0,1342,3571,0.6781
2013-01-07,ZUARI,EQ,273.2,270.0,273.0,265.0,270.0,270.3,271.17,4997,135502170000.0,1149,3712,0.7428
2013-01-08,ZUARI,EQ,270.3,265.0,278.25,265.0,269.5,270.15,270.45,6945,187825460000.0,1366,4681,0.674
2013-01-09,ZUARI,EQ,270.15,266.1,271.85,266.0,266.0,267.0,267.73,2398,64201494999.99999,147,2045,0.8528
2013-01-10,ZUARI,EQ,267.0,232.55,269.5,232.55,262.9,262.05,263.08,3899,102575630000.0,595,2367,0.6071
2013-01-11,ZUARI,EQ,262.05,262.0,262.0,251.05,251.05,255.75,256.24,3563,91298245000.0,1280,3008,0.8442000000000001
2013-01-14,ZUARI,EQ,255.75,252.0,259.85,252.0,259.15,259.0,258.21,1817,46916350000.0,354,1540,0.8476
2013-01-15,ZUARI,EQ,259.0,255.0,259.85,240.25,259.85,256.75,254.02,6092,154749800000.0,1349,4386,0.72
2013-01-16,ZUARI,EQ,256.75,264.7,264.7,241.05,258.0,254.2,255.07,4535,115674360000.00002,1403,3547,0.7820999999999999
2013-01-17,ZUARI,EQ,254.2,253.55,262.0,245.5,260.0,260.1,256.12,7252,185734955000.0,3221,5912,0.8151999999999999
2013-01-18,ZUARI,EQ,260.1,255.0,268.6,251.2,255.1,261.75,262.81,5034,132300030000.0,2868,3864,0.7676000000000001
2013-01-21,ZUARI,EQ,261.75,262.1,265.0,256.75,259.1,262.6,263.26,1907,50204055000.0,1005,1389,0.7284
2013-01-22,ZUARI,EQ,262.6,265.9,265.9,254.0,264.95,261.6,261.13,4414,115261255000.0,1137,2198,0.498
2013-01-23,ZUARI,EQ,261.6,264.5,264.5,253.0,255.5,255.95,256.23,4902,125602010000.00002,2080,4236,0.8641
2013-01-24,ZUARI,EQ,255.95,258.5,259.5,239.5,245.15,252.25,244.54,30215,738885495000.0,1634,28880,0.9558
2013-01-25,ZUARI,EQ,252.25,252.9,252.95,240.25,243.2,244.65,245.0,6237,152807790000.0,2252,4933,0.7909
2013-01-28,ZUARI,EQ,244.65,249.0,249.0,236.3,241.8,240.4,241.05,2632,63444394999.99999,998,2035,0.7732
2013-01-29,ZUARI,EQ,240.4,236.0,245.0,235.2,242.5,243.75,243.54,2880,70138245000.0,1304,2400,0.8333
2013-01-30,ZUARI,EQ,243.75,240.05,251.1,236.25,243.4,247.8,244.01,2675,65273760000.0,1485,1735,0.6486
2013-01-31,ZUARI,EQ,247.8,241.1,259.0,228.8,232.1,239.3,236.84,33709,798363085000.0,2754,26676,0.7914
2013-02-01,ZUARI,EQ,239.3,236.0,240.0,227.35,237.0,238.7,236.41,3976,93998325000.0,2162,2297,0.5777
2013-02-04,ZUARI,EQ,238.7,233.45,237.7,226.5,226.6,229.85,231.14,3453,79813820000.0,886,2774,0.8034
2013-02-05,ZUARI,EQ,229.85,228.0,229.0,219.3,222.0,221.4,222.03,5247,116500685000.00002,1433,4131,0.7873000000000001
2013-02-06,ZUARI,EQ,221.4,216.0,225.75,210.35,214.5,221.0,219.39,17853,391671180000.0,1976,14634,0.8197
2013-02-07,ZUARI,EQ,221.0,207.05,225.0,207.0,211.05,217.9,213.02,18993,404587790000.0,2423,17145,0.9027
2013-02-08,ZUARI,EQ,217.9,214.05,217.35,204.0,206.0,207.8,208.83,9629,201078780000.0,2182,8251,0.8569
2013-02-11,ZUARI,EQ,207.8,208.75,208.75,198.0,200.5,201.6,200.48,15831,317373015000.0,1497,14441,0.9122
2013-02-12,ZUARI,EQ,201.6,203.0,203.0,191.3,203.0,197.55,198.5,2030,40294565000.0,1148,1674,0.8246
2013-02-13,ZUARI,EQ,197.55,196.0,201.15,192.1,198.9,198.4,198.19,4250,84229835000.0,1890,2824,0.6645000000000001
2013-02-14,ZUARI,EQ,198.4,198.05,203.3,189.35,196.5,198.65,196.12,7988,156658040000.0,1780,6496,0.8131999999999999
2013-02-15,ZUARI,EQ,198.65,191.0,199.0,185.0,192.2,196.4,191.37,19740,377764315000.0,1681,16217,0.8215000000000001
2013-02-18,ZUARI,EQ,196.4,190.0,197.0,188.05,196.95,194.75,192.84,4715,90924525000.0,2288,3181,0.6747
2013-02-19,ZUARI,EQ,194.75,190.9,197.9,188.0,194.95,194.85,194.66,9034,175854630000.0,2281,6790,0.7515999999999999
2013-02-20,ZUARI,EQ,194.85,192.0,197.0,192.0,195.0,194.95,194.92,4389,85550415000.0,2369,3226,0.735
2013-02-21,ZUARI,EQ,194.95,195.0,210.0,192.0,208.5,203.2,200.06,3364,67301294999.99999,1161,2699,0.8023
2013-02-22,ZUARI,EQ,203.2,210.0,210.0,192.5,194.5,194.85,196.7,5295,104153020000.0,730,4607,0.8701000000000001
2013-02-25,ZUARI,EQ,194.85,194.5,200.65,187.2,193.0,192.45,192.29,4789,92089530000.0,341,4098,0.8556999999999999
2013-02-26,ZUARI,EQ,192.45,194.85,195.0,185.25,190.0,190.55,189.98,2816,53499685000.0,1046,2322,0.8246
2013-02-27,ZUARI,EQ,190.55,186.35,190.95,181.2,190.65,189.8,189.06,1761,33293765000.000004,560,1308,0.7428
2013-02-28,ZUARI,EQ,189.8,190.0,192.5,183.75,188.1,187.35,187.49,137330,2574761680000.0,863,136082,0.9909
2013-03-01,ZUARI,EQ,187.35,189.05,190.0,183.9,184.4,184.75,185.49,590,10943915000.0,47,427,0.7237
2013-03-04,ZUARI,EQ,184.75,182.05,187.9,180.0,182.0,183.15,183.47,1729,31722270000.0,1141,1213,0.7016
2013-03-05,ZUARI,EQ,183.15,187.0,190.0,182.1,188.5,186.35,186.76,2076,38770830000.0,1038,1560,0.7514000000000001
2013-03-06,ZUARI,EQ,186.35,187.0,188.0,184.4,185.1,186.15,186.68,3988,74446285000.0,1256,3780,0.9478
2013-03-07,ZUARI,EQ,186.15,170.05,194.8,170.05,180.0,179.9,182.58,7859,143489740000.0,1451,6265,0.7972
2013-03-08,ZUARI,EQ,179.9,180.0,180.0,174.05,176.0,175.0,176.52,4679,82594040000.0,1013,3901,0.8337000000000001
2013-03-11,ZUARI,EQ,175.0,175.0,189.0,169.55,179.0,181.45,178.6,6473,115607175000.0,412,4781,0.7386
2013-03-12,ZUARI,EQ,181.45,183.0,183.0,172.5,173.0,178.0,176.73,4591,81136760000.0,1454,2859,0.6227
2013-03-13,ZUARI,EQ,178.0,178.0,179.7,169.0,172.5,175.65,175.3,3460,60652094999.99999,310,2607,0.7535
2013-03-14,ZUARI,EQ,175.65,175.65,185.0,162.0,167.55,169.85,169.21,5233,88547920000.0,1705,4011,0.7665000000000001
2013-03-15,ZUARI,EQ,169.85,169.85,170.0,164.75,166.0,166.65,167.75,2263,37960825000.0,314,1906,0.8422000000000001
2013-03-18,ZUARI,EQ,166.65,165.0,166.5,162.0,163.25,163.75,164.51,4892,80478620000.0,783,3990,0.8156
2013-03-19,ZUARI,EQ,163.75,163.1,168.0,161.05,162.35,164.9,164.02,2723,44661370000.0,774,2413,0.8862000000000001
2013-03-20,ZUARI,EQ,164.9,162.05,164.0,160.0,160.15,161.8,161.5,2925,47238485000.0,636,2446,0.8362
2013-03-21,ZUARI,EQ,161.8,162.0,162.45,153.7,162.0,158.85,158.8,13773,218716570000.00003,1496,11692,0.8489
2013-03-22,ZUARI,EQ,158.85,162.0,162.0,150.0,160.0,154.9,154.49,5467,84461130000.0,1581,3786,0.6925
2013-03-25,ZUARI,EQ,154.9,159.0,160.7,145.1,147.25,150.9,150.38,9228,138766230000.0,826,8347,0.9045000000000001
2013-03-26,ZUARI,EQ,150.9,121.1,151.0,121.1,145.1,148.0,147.33,8442,124376439999.99998,1434,6958,0.8242
2013-03-28,ZUARI,EQ,148.0,146.0,155.3,142.15,142.5,147.3,146.97,6458,94915715000.0,310,5495,0.8509000000000001
2013-04-01,ZUARI,EQ,147.3,145.0,155.3,142.0,155.0,152.85,146.48,9121,133604780000.0,1460,6329,0.6939000000000001
2013-04-02,ZUARI,EQ,152.85,155.0,168.0,150.5,167.0,165.5,154.09,171516,2642852805000.0,1161,170171,0.9922
2013-04-03,ZUARI,EQ,165.5,169.0,190.0,169.0,172.75,175.35,177.7,9074,161243600000.0,1636,4470,0.4926
2013-04-04,ZUARI,EQ,175.35,172.0,174.9,164.45,174.9,170.8,170.91,8593,146860490000.0,943,8194,0.9536
2013-04-05,ZUARI,EQ,170.8,169.5,175.55,167.5,172.4,172.05,171.19,2089,35762310000.0,892,1529,0.7319
2013-04-08,ZUARI,EQ,172.05,172.0,189.0,160.55,179.9,178.3,174.72,3621,63265100000.0,1128,2733,0.7548
2013-04-09,ZUARI,EQ,178.3,177.0,181.4,172.25,173.0,177.2,177.1,2615,46310350000.0,1111,2210,0.8451000000000001
2013-04-10,ZUARI,EQ,177.2,175.0,177.2,168.2,175.0,173.95,173.5,1252,21721875000.0,823,905,0.7228
2013-04-11,ZUARI,EQ,173.95,171.05,174.0,169.3,170.95,170.55,170.4,1920,32716259999.999996,835,1680,0.875
2013-04-12,ZUARI,EQ,170.55,166.35,174.0,166.35,172.5,172.5,172.16,1415,24361300000.0,712,1215,0.8587
2013-04-15,ZUARI,EQ,172.5,170.3,173.6,166.5,171.5,171.5,170.2,1292,21989830000.0,541,1098,0.8498000000000001
2013-04-16,ZUARI,EQ,171.5,172.0,174.5,167.05,174.0,172.9,172.17,1297,22330340000.0,76,1124,0.8666
2013-04-17,ZUARI,EQ,172.9,170.5,170.5,163.05,170.0,169.2,168.36,1866,31416875000.0,528,1432,0.7674
2013-04-18,ZUARI,EQ,169.2,162.0,174.0,162.0,163.0,166.9,166.01,2497,41453260000.0,585,1978,0.7922
2013-04-22,ZUARI,EQ,166.9,164.0,171.0,164.0,164.6,166.45,166.24,1588,26399305000.0,93,1393,0.8772
2013-04-23,ZUARI,EQ,166.45,166.45,169.5,161.05,169.5,167.95,166.11,1911,31742915000.000004,543,1139,0.596
2013-04-25,ZUARI,EQ,167.95,168.0,174.05,153.55,161.15,166.05,164.66,9533,156972615000.0,1273,5948,0.6239
2013-04-26,ZUARI,EQ,166.05,161.55,167.5,158.2,158.9,161.7,161.63,3423,55326590000.0,344,2450,0.7156999999999999
2013-04-29,ZUARI,EQ,161.7,159.8,161.5,155.05,155.7,159.0,157.45,3650,57469515000.0,1267,2073,0.5679
2013-04-30,ZUARI,EQ,159.0,158.45,162.0,152.7,155.5,157.25,157.21,2577,40513995000.0,232,1761,0.6834
2013-05-02,ZUARI,EQ,157.25,153.25,155.1,147.1,147.1,148.5,150.46,7293,109730550000.0,669,5870,0.8049
2013-05-03,ZUARI,EQ,148.5,148.5,149.6,140.4,149.5,148.25,145.79,2958,43124840000.0,516,2148,0.7262000000000001
2013-05-06,ZUARI,EQ,148.25,146.05,148.5,140.85,144.05,144.4,144.36,3201,46210305000.0,155,2718,0.8491
2013-05-07,ZUARI,EQ,144.4,148.0,148.0,140.7,140.9,142.6,142.97,5667,81023440000.0,539,4441,0.7837000000000001
2013-05-08,ZUARI,EQ,142.6,143.0,143.25,140.0,141.1,141.75,141.85,2298,32597565000.000004,156,1653,0.7193
2013-05-09,ZUARI,EQ,141.75,140.55,145.5,135.0,143.9,139.55,139.77,28071,392338150000.0,737,14703,0.5238
2013-05-10,ZUARI,EQ,139.55,139.15,144.0,130.5,143.0,137.1,135.74,32466,440704665000.00006,3858,23243,0.7159000000000001
2013-05-11,ZUARI,EQ,137.1,142.0,147.75,139.1,145.0,144.95,144.13,154,2219560000.0,25,98,0.6364
2013-05-13,ZUARI,EQ,144.95,146.0,146.0,133.3,138.1,138.1,139.01,10821,150417920000.0,598,8043,0.7433
2013-05-14,ZUARI,EQ,138.1,136.05,137.6,131.1,132.15,133.65,133.58,9070,121158464999.99998,928,5708,0.6293
2013-05-15,ZUARI,EQ,133.65,135.9,136.0,130.3,133.05,132.85,132.92,5377,71473695000.0,612,3709,0.6898000000000001
2013-05-16,ZUARI,EQ,132.85,134.0,135.5,130.15,132.45,132.6,133.0,5690,75678595000.0,647,3533,0.6209
2013-05-17,ZUARI,EQ,132.6,131.25,131.3,130.0,130.0,130.0,130.25,8670,112924939999.99998,469,7195,0.8299
2013-05-20,ZUARI,EQ,130.0,132.35,134.75,131.0,134.0,132.95,132.9,8465,112497500000.0,412,8062,0.9523999999999999
2013-05-21,ZUARI,EQ,132.95,131.05,133.85,128.3,132.85,129.9,130.88,5956,77951420000.0,320,4342,0.7290000000000001
2013-05-22,ZUARI,EQ,129.9,130.0,132.0,128.0,128.0,129.2,129.89,5458,70896445000.0,518,4138,0.7582
2013-05-23,ZUARI,EQ,129.2,128.95,130.0,125.2,126.2,126.1,126.87,1909,24219840000.0,308,1361,0.7129000000000001
2013-05-24,ZUARI,EQ,126.1,125.5,125.5,122.4,124.85,123.75,124.58,7366,91766515000.0,568,5561,0.755
2013-05-27,ZUARI,EQ,123.75,123.0,127.0,115.3,120.75,120.05,120.55,6603,79597540000.0,1357,5042,0.7636000000000001
2013-05-28,ZUARI,EQ,120.05,118.0,120.4,117.0,119.8,119.8,119.78,5718,68491144999.99999,250,5499,0.9617
2013-05-29,ZUARI,EQ,119.8,122.0,122.0,105.1,118.5,118.35,118.58,4003,47468480000.0,421,3011,0.7522
2013-05-30,ZUARI,EQ,118.35,116.0,116.0,108.55,108.55,114.15,112.75,18736,211256804999.99997,1161,15987,0.8533
2013-05-31,ZUARI,EQ,114.15,112.0,126.55,97.65,101.45,108.7,108.57,53979,586028940000.0,4919,40328,0.7471
2013-06-03,ZUARI,EQ,108.7,106.0,108.5,103.3,104.75,104.9,104.94,12739,133678885000.00002,3299,10441,0.8196
2013-06-04,ZUARI,EQ,104.9,105.0,108.0,100.05,100.25,100.75,103.5,5062,52394065000.0,1027,3989,0.788
2013-06-05,ZUARI,EQ,100.75,102.0,106.7,97.05,101.0,102.65,100.53,243346,2446441865000.0,3393,227304,0.9340999999999999
2013-06-06,ZUARI,EQ,102.65,103.0,110.5,100.25,105.3,105.55,107.69,75618,814349675000.0,5077,30719,0.4062
