Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,ZUARIAGRO,EQ,359.5,360.0,360.0,360.0,,360.0,360.0,50,1800000000.0,,,
1996-01-02,ZUARIAGRO,EQ,360.0,350.0,350.0,350.0,,350.0,350.0,50,1750000000.0,,,
1996-01-04,ZUARIAGRO,EQ,350.0,365.0,365.0,365.0,,365.0,365.0,50,1825000000.0,,,
1996-01-05,ZUARIAGRO,EQ,365.0,372.0,374.0,372.0,,372.7,372.5,200,7450000000.0,,,
1996-01-09,ZUARIAGRO,EQ,372.7,375.0,375.0,375.0,,375.0,375.0,100,3750000000.0,,,
1996-01-10,ZUARIAGRO,EQ,375.0,370.0,370.0,370.0,,370.0,370.0,200,7400000000.0,,,
1996-01-12,ZUARIAGRO,EQ,370.0,370.0,370.0,370.0,,370.0,370.0,50,1850000000.0,,,
1996-01-17,ZUARIAGRO,EQ,370.0,364.0,365.0,364.0,,365.0,364.5,100,3645000000.0,,,
1996-01-23,ZUARIAGRO,EQ,365.0,335.0,335.0,335.0,,335.0,335.0,100,3350000000.0,,,
1996-01-24,ZUARIAGRO,EQ,335.0,338.05,344.0,338.05,,344.0,340.68,150,5110250000.0,,,
1996-01-25,ZUARIAGRO,EQ,344.0,344.0,350.0,344.0,,350.0,346.8,250,8670000000.0,,,
1996-01-30,ZUARIAGRO,EQ,350.0,365.0,365.0,354.0,,363.0,359.17,300,10775000000.0,,,
1996-02-01,ZUARIAGRO,EQ,363.0,365.0,365.0,365.0,,365.0,365.0,100,3650000000.0,,,
1996-02-02,ZUARIAGRO,EQ,365.0,371.0,371.0,370.0,,370.0,370.67,150,5560000000.0,,,
1996-02-06,ZUARIAGRO,EQ,370.0,370.0,370.0,360.0,,360.0,365.0,100,3650000000.0,,,
1996-02-12,ZUARIAGRO,EQ,360.0,390.0,395.0,390.0,,395.0,391.67,150,5875000000.0,,,
1996-02-14,ZUARIAGRO,EQ,395.0,408.0,425.0,408.0,,421.0,415.77,650,27025250000.0,,,
1996-02-15,ZUARIAGRO,EQ,421.0,410.0,420.0,410.0,,415.0,416.28,700,29139750000.0,,,
1996-02-16,ZUARIAGRO,EQ,415.0,415.0,390.0,380.0,,380.0,385.0,100,3850000000.0,,,
1996-02-20,ZUARIAGRO,EQ,380.0,400.0,400.0,388.0,,388.0,395.14,350,13830000000.0,,,
1996-02-26,ZUARIAGRO,EQ,388.0,405.0,410.0,400.0,,410.0,406.25,600,24375000000.0,,,
1996-02-27,ZUARIAGRO,EQ,410.0,410.0,409.95,400.0,,409.95,408.25,1350,55114000000.0,,,
1996-02-28,ZUARIAGRO,EQ,409.95,410.05,410.05,410.05,,410.05,410.05,150,6150750000.0,,,
1996-03-01,ZUARIAGRO,EQ,410.05,410.05,410.1,410.0,,410.05,410.04,600,24602500000.0,,,
1996-03-04,ZUARIAGRO,EQ,410.05,410.05,408.05,408.05,,408.05,408.05,100,4080500000.0,,,
1996-03-06,ZUARIAGRO,EQ,408.05,407.0,407.0,407.0,,407.0,407.0,50,2035000000.0,,,
1996-03-12,ZUARIAGRO,EQ,407.0,386.0,387.0,386.0,,387.0,386.67,150,5800000000.0,,,
1996-03-13,ZUARIAGRO,EQ,387.0,399.5,399.5,399.5,,399.5,399.5,50,1997500000.0,,,
1996-03-14,ZUARIAGRO,EQ,399.5,404.0,413.0,404.0,,407.7,405.3,500,20265000000.0,,,
1996-03-18,ZUARIAGRO,EQ,407.7,407.7,395.0,394.75,,395.0,394.92,150,5923750000.0,,,
1996-03-19,ZUARIAGRO,EQ,395.0,395.0,390.0,380.0,,385.0,387.0,250,9675000000.0,,,
1996-03-21,ZUARIAGRO,EQ,385.0,385.0,385.0,385.0,,385.0,385.0,50,1925000000.0,,,
1996-03-22,ZUARIAGRO,EQ,385.0,380.0,380.0,380.0,,380.0,380.0,50,1900000000.0,,,
1996-03-25,ZUARIAGRO,EQ,380.0,380.0,380.0,380.0,,380.0,380.0,100,3800000000.0,,,
1996-03-28,ZUARIAGRO,EQ,380.0,385.0,385.0,385.0,,385.0,385.0,100,3850000000.0,,,
1996-03-29,ZUARIAGRO,EQ,385.0,385.0,385.0,385.0,,385.0,385.0,50,1925000000.0,,,
1996-04-01,ZUARIAGRO,EQ,385.0,385.0,389.0,389.0,,389.0,389.0,50,1945000000.0,,,
1996-04-02,ZUARIAGRO,EQ,389.0,389.0,390.75,390.0,,390.75,390.38,200,7807500000.0,,,
1996-04-09,ZUARIAGRO,EQ,390.75,390.75,390.0,390.0,,390.0,390.0,50,1950000000.0,,,
1996-04-12,ZUARIAGRO,EQ,390.0,380.0,380.0,376.0,,376.0,378.0,200,7560000000.0,,,
1996-04-16,ZUARIAGRO,EQ,376.0,390.0,394.0,390.0,,394.0,392.0,100,3920000000.0,,,
1996-04-18,ZUARIAGRO,EQ,394.0,410.0,410.0,403.0,,403.0,404.75,200,8095000000.0,,,
1996-04-19,ZUARIAGRO,EQ,403.0,403.0,402.0,400.0,,400.0,400.67,300,12020000000.0,,,
1996-04-22,ZUARIAGRO,EQ,400.0,400.0,403.0,396.0,,403.0,400.0,150,6000000000.0,,,
1996-04-23,ZUARIAGRO,EQ,403.0,403.0,402.9,390.0,,390.0,396.58,250,9914500000.0,,,
1996-04-24,ZUARIAGRO,EQ,390.0,390.0,410.0,403.95,,406.0,407.24,4700,191404750000.0,,,
1996-04-25,ZUARIAGRO,EQ,406.0,406.0,412.0,402.5,,408.0,407.63,400,16305000000.0,,,
1996-04-26,ZUARIAGRO,EQ,408.0,412.0,412.0,404.0,,404.0,407.64,350,14267500000.0,,,
1996-04-29,ZUARIAGRO,EQ,404.0,404.0,408.0,403.5,,408.0,407.1,250,10177500000.0,,,
1996-04-30,ZUARIAGRO,EQ,408.0,406.5,406.5,400.0,,400.0,402.88,200,8057500000.0,,,
1996-05-01,ZUARIAGRO,EQ,400.0,412.0,420.0,410.0,,410.0,415.91,10450,434630250000.0,,,
1996-05-02,ZUARIAGRO,EQ,410.0,410.0,425.0,415.05,,424.0,421.77,1500,63265000000.0,,,
1996-05-03,ZUARIAGRO,EQ,424.0,424.0,425.0,412.0,,424.95,423.48,1050,44465000000.0,,,
1996-05-06,ZUARIAGRO,EQ,424.95,416.05,425.0,416.05,,418.0,419.57,1600,67131750000.0,,,
1996-05-07,ZUARIAGRO,EQ,418.0,418.0,413.0,380.0,,403.7,407.56,950,38718000000.0,,,
1996-05-08,ZUARIAGRO,EQ,403.7,403.7,425.0,415.0,,422.0,420.1,1000,42010250000.0,,,
1996-05-09,ZUARIAGRO,EQ,422.0,425.0,450.0,420.0,,428.35,430.67,2300,99055000000.0,,,
1996-05-10,ZUARIAGRO,EQ,428.35,435.0,450.0,415.0,,425.35,436.09,2800,122104250000.0,,,
