Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-06,AARON,EQ,27.5,33.0,33.0,30.3,32.95,32.7,32.21,58838,189512590000.0,532,34704,0.5898
2020-11-09,AARON,EQ,32.7,33.7,33.7,31.5,32.85,32.3,32.49,18445,59922680000.00001,237,11452,0.6209
2020-11-10,AARON,EQ,32.3,33.45,33.45,30.25,31.3,31.75,31.95,3622,11574060000.0,69,1604,0.4428
2020-11-11,AARON,EQ,31.75,31.25,32.35,31.25,31.25,31.35,31.44,3211,10096300000.0,48,2379,0.7409
2020-11-12,AARON,EQ,31.35,31.35,32.15,28.0,30.75,30.5,29.95,12063,36130405000.0,130,7844,0.6503
2020-11-13,AARON,EQ,30.5,30.5,32.15,30.25,32.1,32.1,31.76,5043,16015765000.0,59,3735,0.7406
2020-11-14,AARON,EQ,32.1,32.1,32.9,31.0,31.3,31.9,32.21,193,621680000.0,9,164,0.8497
2020-11-17,AARON,EQ,31.9,31.9,32.25,31.35,32.25,31.9,31.92,4650,14842345000.000002,31,4500,0.9677
2020-11-18,AARON,EQ,31.9,30.05,33.4,28.1,32.5,32.25,32.2,2091,6732389999.999999,37,1779,0.8508
2020-11-19,AARON,EQ,32.25,32.5,38.7,30.1,38.7,38.7,37.35,33724,125961180000.0,263,21580,0.6399
2020-11-20,AARON,EQ,38.7,45.45,46.4,45.0,46.4,46.4,45.99,38480,176981380000.0,162,21343,0.5547
2020-11-23,AARON,EQ,46.4,51.0,51.0,47.35,51.0,51.0,50.55,37268,188390665000.0,407,22296,0.5982999999999999
2020-11-24,AARON,EQ,51.0,56.1,56.1,54.15,56.1,56.1,55.96,84409,472326450000.0,709,58896,0.6977
2020-11-25,AARON,EQ,56.1,61.45,61.7,61.4,61.7,61.7,61.66,38559,237764520000.00003,279,32959,0.8548
2020-11-26,AARON,EQ,61.7,64.75,64.75,64.75,64.75,64.75,64.75,20249,131112275000.0,63,20248,1.0
2020-11-27,AARON,EQ,64.75,67.95,67.95,61.55,61.55,61.55,65.21,89970,586653335000.0,732,52830,0.5872
2020-12-01,AARON,EQ,61.55,58.5,58.5,58.5,58.5,58.5,58.5,7297,42687450000.0,123,7296,0.9999
2020-12-02,AARON,EQ,58.5,55.6,55.6,55.6,55.6,55.6,55.6,3544,19704640000.0,60,3544,1.0
2020-12-03,AARON,EQ,55.6,52.85,58.35,52.85,57.5,57.0,54.72,66462,363704535000.0,651,49283,0.7415
2020-12-04,AARON,EQ,57.0,57.5,57.5,54.15,54.15,54.15,54.75,13353,73109635000.0,228,10479,0.7848
2020-12-07,AARON,EQ,54.15,53.0,56.0,51.45,51.45,51.8,52.21,28886,150810350000.0,298,19823,0.6862
2020-12-08,AARON,EQ,51.8,49.25,51.95,49.25,49.25,49.55,50.34,34863,175512345000.0,341,18638,0.5346000000000001
2020-12-09,AARON,EQ,49.55,49.0,51.0,47.1,49.6,49.7,48.8,8768,42789125000.0,180,5820,0.6638
2020-12-10,AARON,EQ,49.7,49.7,51.0,48.05,50.2,49.85,49.44,5390,26647925000.0,128,3186,0.5911
2020-12-11,AARON,EQ,49.85,49.85,50.0,47.45,50.0,49.75,49.56,4684,23212785000.0,110,3304,0.7054
2020-12-14,AARON,EQ,49.75,51.0,52.2,47.45,51.0,51.0,51.04,12218,62362130000.00001,143,9981,0.8169
2020-12-15,AARON,EQ,51.0,53.55,53.55,48.45,50.05,50.35,49.76,14731,73301860000.0,243,9725,0.6602
2020-12-16,AARON,EQ,50.35,50.35,52.85,49.0,50.35,50.7,50.78,23191,117768645000.0,154,20239,0.8727
2020-12-17,AARON,EQ,50.7,50.7,53.2,49.4,52.75,51.8,52.33,6778,35468970000.0,101,5724,0.8445
2020-12-18,AARON,EQ,51.8,52.75,52.75,50.05,51.1,51.15,50.88,4971,25290660000.0,85,3847,0.7739
2020-12-21,AARON,EQ,51.15,49.6,51.15,49.1,51.1,50.15,50.01,4298,21492745000.0,105,3456,0.8041
2020-12-22,AARON,EQ,50.15,48.35,49.85,47.65,49.75,48.95,48.26,19520,94196165000.0,95,11418,0.5849000000000001
2020-12-23,AARON,EQ,48.95,48.0,50.8,48.0,49.9,49.7,48.94,6135,30025434999.999996,76,3523,0.5742
2020-12-24,AARON,EQ,49.7,50.0,51.4,48.0,48.5,49.2,49.49,12766,63175010000.0,70,6918,0.5418999999999999
2020-12-28,AARON,EQ,49.2,49.8,51.65,49.75,51.05,51.55,51.44,12232,62919550000.0,79,12000,0.981
2020-12-29,AARON,EQ,51.55,52.6,53.5,49.6,53.0,53.05,52.74,7547,39800120000.0,60,7225,0.9573
2020-12-30,AARON,EQ,53.05,53.05,53.05,50.8,51.95,52.0,51.4,2054,10558340000.0,33,897,0.43670000000000003
2020-12-31,AARON,EQ,52.0,52.75,52.75,50.05,50.4,50.6,51.04,7291,37211770000.0,70,5028,0.6896
2021-01-01,AARON,EQ,50.6,52.9,52.9,50.4,52.8,51.85,52.56,10752,56515225000.0,70,8157,0.7586
2021-01-04,AARON,EQ,51.85,50.45,54.4,50.45,54.0,54.1,53.72,10634,57129235000.0,97,8642,0.8127
2021-01-05,AARON,EQ,54.1,55.9,55.9,51.65,53.95,53.4,53.82,3134,16868135000.0,46,2356,0.7518000000000001
2021-01-06,AARON,EQ,53.4,54.95,54.95,52.8,53.95,53.65,53.6,8400,45021200000.0,45,6334,0.7540000000000001
2021-01-07,AARON,EQ,53.65,53.95,53.95,52.6,53.4,53.4,53.35,991,5286505000.0,27,718,0.7245
2021-01-08,AARON,EQ,53.4,53.4,54.1,52.2,54.1,54.0,53.85,5568,29985805000.0,59,3837,0.6890999999999999
2021-01-11,AARON,EQ,54.0,56.7,56.7,53.05,53.5,53.7,54.35,3531,19192250000.0,68,1933,0.5474
2021-01-12,AARON,EQ,53.7,53.7,56.35,51.1,56.35,55.1,53.96,10386,56039375000.0,131,6564,0.632
2021-01-13,AARON,EQ,55.1,52.7,55.9,52.7,52.8,53.05,53.73,3590,19288835000.0,63,1427,0.3975
2021-01-14,AARON,EQ,53.05,52.85,53.8,50.4,50.5,50.6,51.1,9017,46077105000.0,157,5015,0.5562
2021-01-15,AARON,EQ,50.6,50.6,51.55,50.5,51.5,51.4,51.13,755,3860275000.0,33,435,0.5761999999999999
2021-01-18,AARON,EQ,51.4,53.5,53.5,50.1,51.5,51.4,51.31,2152,11042175000.0,67,1445,0.6715000000000001
2021-01-19,AARON,EQ,51.4,51.4,51.8,50.1,51.0,51.0,50.83,634,3222765000.0,18,320,0.5047
2021-01-20,AARON,EQ,51.0,49.05,53.45,49.05,51.45,51.0,50.92,564,2872005000.0,42,306,0.5426
2021-01-21,AARON,EQ,51.0,51.45,51.45,49.0,50.0,49.55,50.15,910,4563290000.0,38,569,0.6253000000000001
2021-01-22,AARON,EQ,49.55,49.55,52.0,47.65,48.25,48.25,50.21,5819,29217000000.0,113,3376,0.5802
2021-01-25,AARON,EQ,48.25,48.25,50.65,46.5,49.5,49.65,49.0,4886,23941685000.0,109,2405,0.4922
2021-01-27,AARON,EQ,49.65,50.0,50.0,47.2,47.2,47.2,47.86,1625,7777605000.0,50,1325,0.8154000000000001
2021-01-28,AARON,EQ,47.2,45.55,48.85,45.05,47.1,47.2,47.07,894,4207875000.0,46,471,0.5268
2021-01-29,AARON,EQ,47.2,49.3,49.55,45.05,49.55,49.1,48.07,7111,34185784999.999996,121,2955,0.4156
2021-02-01,AARON,EQ,49.1,50.1,50.55,46.85,47.0,47.45,48.05,10516,50527155000.0,165,7374,0.7012
2021-02-02,AARON,EQ,47.45,49.8,49.8,47.1,49.55,49.35,47.93,14712,70519480000.0,123,9994,0.6793000000000001
2021-02-03,AARON,EQ,49.35,47.3,49.5,46.9,48.35,48.0,47.98,13621,65359555000.00001,162,8719,0.6401000000000001
2021-02-04,AARON,EQ,48.0,49.55,49.85,47.65,47.9,48.1,48.85,3768,18408240000.0,85,1811,0.4806
2021-02-05,AARON,EQ,48.1,50.2,50.2,46.55,47.8,48.15,48.26,2913,14058110000.0,62,1888,0.6481
2021-02-08,AARON,EQ,48.15,49.95,49.95,48.35,49.0,49.2,49.29,1942,9572915000.0,55,1437,0.74
2021-02-09,AARON,EQ,49.2,51.9,52.0,49.8,49.8,49.8,50.6,7251,36693395000.0,93,6233,0.8595999999999999
2021-02-10,AARON,EQ,49.8,49.8,54.75,49.8,53.0,52.85,53.4,9284,49579980000.0,104,6744,0.7264
2021-02-11,AARON,EQ,52.85,52.85,58.1,51.65,54.2,55.75,55.71,24845,138406060000.0,284,14718,0.5924
2021-02-12,AARON,EQ,55.75,55.9,61.1,53.95,58.6,58.1,58.15,23592,137184575000.0,248,15253,0.6465000000000001
2021-02-15,AARON,EQ,58.1,59.3,59.3,53.35,53.35,53.8,55.24,19528,107868480000.0,327,10282,0.5265
2021-02-16,AARON,EQ,53.8,56.9,59.15,52.15,59.1,58.1,57.83,34240,197998560000.0,432,20388,0.5954
2021-02-17,AARON,EQ,58.1,59.1,60.0,55.15,56.3,57.1,58.07,6012,34913805000.0,188,2621,0.436
2021-02-18,AARON,EQ,57.1,58.25,62.8,57.1,61.8,61.05,61.26,8785,53820415000.0,180,5936,0.6757
2021-02-19,AARON,EQ,61.05,62.3,63.9,58.1,60.05,59.6,62.06,5302,32906134999.999996,144,3292,0.6209
2021-02-22,AARON,EQ,59.6,60.0,62.0,56.75,61.7,61.3,60.13,6256,37614900000.0,133,4349,0.6951999999999999
2021-02-23,AARON,EQ,61.3,61.5,63.55,59.45,60.0,60.15,61.78,4887,30191150000.0,105,3060,0.6262
2021-02-24,AARON,EQ,60.15,58.95,63.3,58.1,61.2,61.2,61.61,1498,9229855000.0,46,943,0.6295000000000001
2021-02-25,AARON,EQ,61.2,61.25,62.45,60.0,60.25,61.2,61.03,1824,11131955000.0,69,1219,0.6683
2021-02-26,AARON,EQ,61.2,61.2,62.6,58.0,61.0,60.6,60.68,2828,17160650000.0,80,2017,0.7132
2021-03-01,AARON,EQ,60.6,62.0,63.0,56.6,56.6,58.7,60.76,8244,50093780000.0,214,2071,0.25120000000000003
2021-03-02,AARON,EQ,58.7,59.5,62.0,58.25,58.9,58.95,59.5,2259,13442079999.999998,95,1033,0.4573
2021-03-03,AARON,EQ,58.95,57.15,62.6,55.25,58.65,58.65,58.74,8096,47552015000.0,179,4934,0.6093999999999999
2021-03-04,AARON,EQ,58.65,61.95,61.95,57.5,58.5,59.25,59.46,7232,43001415000.0,141,4317,0.5969
2021-03-05,AARON,EQ,59.25,58.45,60.8,57.55,57.55,58.35,58.79,2173,12775370000.0,70,1562,0.7188
2021-03-08,AARON,EQ,58.35,62.05,62.05,57.7,60.65,58.9,59.47,1888,11228635000.0,83,775,0.4105
2021-03-09,AARON,EQ,58.9,58.9,64.75,58.3,60.0,63.3,62.16,7751,48178860000.0,140,6255,0.807
2021-03-10,AARON,EQ,63.3,66.8,66.95,62.35,62.35,63.05,64.46,5360,34549320000.0,147,4187,0.7812000000000001
2021-03-12,AARON,EQ,63.05,62.2,63.35,62.0,62.0,63.0,62.83,2305,14481529999.999998,73,1858,0.8061
2021-03-15,AARON,EQ,63.0,63.0,63.0,59.0,60.0,60.55,61.06,1551,9469925000.0,63,1126,0.726
2021-03-16,AARON,EQ,60.55,59.05,64.0,59.05,64.0,62.15,61.3,1565,9593195000.0,80,1116,0.7131000000000001
2021-03-17,AARON,EQ,62.15,63.9,64.0,60.45,62.95,63.6,63.47,3186,20223095000.0,44,2947,0.925
2021-03-18,AARON,EQ,63.6,63.6,63.9,58.5,58.5,59.15,60.62,1850,11215315000.0,104,1145,0.6189
2021-03-19,AARON,EQ,59.15,60.9,60.9,57.35,59.7,59.3,58.94,2421,14268390000.0,80,1892,0.7815000000000001
2021-03-22,AARON,EQ,59.3,59.7,60.25,57.5,59.6,58.35,58.31,2020,11779130000.0,65,1618,0.8009999999999999
2021-03-23,AARON,EQ,58.35,58.35,60.0,56.0,56.0,56.2,56.78,3640,20666835000.0,130,2404,0.6604000000000001
2021-03-24,AARON,EQ,56.2,57.5,58.0,56.0,57.9,57.8,57.48,2800,16093304999.999998,52,2052,0.7329000000000001
2021-03-25,AARON,EQ,57.8,57.9,57.9,56.0,56.0,56.1,56.64,884,5006665000.0,40,479,0.5418999999999999
2021-03-26,AARON,EQ,56.1,57.7,57.7,54.55,54.7,55.35,55.34,3009,16652635000.0,44,2700,0.8973000000000001
2021-03-30,AARON,EQ,55.35,55.7,57.6,54.1,56.45,55.6,55.59,2312,12852525000.0,30,2179,0.9425
2021-03-31,AARON,EQ,55.6,55.6,57.7,54.55,57.5,57.2,56.45,1575,8890315000.0,36,1422,0.9029
2021-04-01,AARON,EQ,57.2,57.5,58.45,55.6,58.2,57.8,57.42,1166,6695014999.999999,50,775,0.6647
2021-04-05,AARON,EQ,57.8,60.2,60.2,56.15,58.0,58.4,58.16,1006,5850825000.0,55,576,0.5726
2021-04-06,AARON,EQ,58.4,58.4,58.4,54.1,58.0,57.6,56.74,3359,19058320000.0,87,2295,0.6831999999999999
2021-04-07,AARON,EQ,57.6,57.6,57.6,55.9,57.4,56.9,56.77,324,1839415000.0000002,32,180,0.5556
2021-04-08,AARON,EQ,56.9,56.95,57.5,56.1,56.3,56.3,56.75,483,2740910000.0,26,288,0.5963
2021-04-09,AARON,EQ,56.3,54.05,56.5,54.05,56.5,56.5,56.17,355,1994065000.0000002,24,211,0.5944
2021-04-12,AARON,EQ,56.5,57.65,57.65,54.25,56.0,54.95,55.27,1267,7002464999.999999,52,1023,0.8074
2021-04-13,AARON,EQ,54.95,54.3,56.4,54.05,54.05,54.85,54.84,921,5050835000.0,34,447,0.4853
2021-04-15,AARON,EQ,54.85,53.25,57.1,53.25,56.45,56.3,56.53,229,1294570000.0,29,149,0.6507
2021-04-16,AARON,EQ,56.3,55.25,56.95,54.6,56.45,55.6,55.63,517,2876130000.0,31,344,0.6654000000000001
2021-04-19,AARON,EQ,55.6,55.6,57.9,54.6,56.8,55.5,56.05,709,3974169999.9999995,53,308,0.4344
2021-04-20,AARON,EQ,55.5,56.75,56.8,53.95,54.0,54.0,54.39,1780,9681145000.0,68,1136,0.6382
2021-04-22,AARON,EQ,54.0,56.25,60.0,45.05,51.5,51.5,51.9,15418,80021465000.0,462,6422,0.4165
2021-04-23,AARON,EQ,51.5,51.55,55.75,51.0,51.5,53.3,53.51,3689,19741095000.0,108,1444,0.3914
2021-04-26,AARON,EQ,53.3,54.85,54.85,50.3,53.5,53.5,52.1,983,5121390000.0,55,498,0.5065999999999999
2021-04-27,AARON,EQ,53.5,53.95,54.85,51.45,53.9,53.7,53.61,3688,19771825000.0,112,2383,0.6461
2021-04-28,AARON,EQ,53.7,54.0,54.0,51.1,53.45,52.8,52.59,3890,20456350000.0,135,1367,0.3514
2021-04-29,AARON,EQ,52.8,52.8,54.5,51.1,51.4,51.7,52.72,4329,22823555000.0,123,848,0.1959
2021-04-30,AARON,EQ,51.7,53.75,53.75,51.35,51.35,51.45,51.83,671,3477935000.0,59,322,0.47990000000000005
2021-05-03,AARON,EQ,51.45,54.45,54.45,51.7,53.2,52.95,52.82,1255,6629535000.000001,76,739,0.5888
2021-05-04,AARON,EQ,52.95,54.0,55.45,51.55,53.25,52.95,54.15,6868,37193265000.0,152,4349,0.6332
2021-05-05,AARON,EQ,52.95,54.05,54.45,52.05,52.05,52.1,52.73,415,2188450000.0,49,242,0.5831000000000001
2021-05-06,AARON,EQ,52.1,54.0,54.0,51.4,51.85,52.9,52.82,779,4114935000.0,48,534,0.6855
2021-05-07,AARON,EQ,52.9,53.8,55.45,52.1,53.05,54.65,54.02,5458,29481730000.0,106,3288,0.6024
2021-05-10,AARON,EQ,54.65,54.65,58.45,53.3,56.55,57.0,56.1,6605,37056715000.0,168,5191,0.7859
2021-05-11,AARON,EQ,57.0,57.0,57.0,54.3,56.1,56.5,56.28,3237,18216805000.0,94,1072,0.3312
2021-05-12,AARON,EQ,56.5,57.65,67.8,56.1,67.8,67.8,66.45,48099,319621790000.0,431,32722,0.6803
2021-05-14,AARON,EQ,67.8,74.95,81.35,74.95,81.35,81.35,79.5,133529,1061525180000.0001,1530,42847,0.3209
2021-05-17,AARON,EQ,81.35,89.45,89.45,75.65,89.45,88.1,87.04,194436,1692358500000.0,3353,59674,0.3069
2021-05-18,AARON,EQ,88.1,91.5,96.9,91.5,96.9,96.9,95.78,69823,668792890000.0,1175,31122,0.4457
2021-05-19,AARON,EQ,96.9,101.0,106.55,101.0,106.55,106.55,105.21,86723,912432730000.0001,1528,39185,0.4518
