Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,RAMADHOTEL,EQ,32.5,32.0,32.0,32.0,,32.0,32.0,500,1600000000.0,,,
1996-01-04,RAMADHOTEL,EQ,32.0,32.05,32.05,32.0,,32.0,32.03,200,640500000.0,,,
1996-01-05,RAMADHOTEL,EQ,32.0,31.05,31.05,31.0,,31.0,31.02,500,1551000000.0,,,
1996-01-08,RAMADHOTEL,EQ,31.0,30.95,31.0,30.5,,30.5,30.82,300,924500000.0,,,
1996-01-09,RAMADHOTEL,EQ,30.5,30.9,30.9,30.0,,30.0,30.3,300,909000000.0,,,
1996-01-10,RAMADHOTEL,EQ,30.0,31.5,31.5,31.5,,31.5,31.5,200,630000000.0,,,
1996-01-11,RAMADHOTEL,EQ,31.5,31.55,31.55,30.1,,30.1,30.96,900,2786500000.0,,,
1996-01-12,RAMADHOTEL,EQ,30.1,30.5,30.5,30.5,,30.5,30.5,200,610000000.0,,,
1996-01-15,RAMADHOTEL,EQ,30.5,31.5,31.5,30.05,,30.05,31.02,300,930500000.0,,,
1996-01-16,RAMADHOTEL,EQ,30.05,31.85,32.0,31.0,,31.05,31.32,900,2819000000.0,,,
1996-01-17,RAMADHOTEL,EQ,31.05,30.35,31.0,29.0,,30.0,30.03,1400,4203500000.0,,,
1996-01-18,RAMADHOTEL,EQ,30.0,31.25,32.95,31.25,,32.0,32.12,1100,3533000000.0,,,
1996-01-19,RAMADHOTEL,EQ,32.0,31.0,31.0,30.3,,30.3,30.65,200,613000000.0,,,
1996-01-22,RAMADHOTEL,EQ,30.3,31.25,31.25,30.0,,30.0,30.63,200,612500000.0,,,
1996-01-23,RAMADHOTEL,EQ,30.0,30.0,30.0,28.55,,30.0,29.71,700,2079500000.0,,,
1996-01-24,RAMADHOTEL,EQ,30.0,30.0,30.0,30.0,,30.0,30.0,100,300000000.0,,,
1996-01-25,RAMADHOTEL,EQ,30.0,30.0,29.0,29.0,,29.0,29.0,200,580000000.0,,,
1996-01-29,RAMADHOTEL,EQ,29.0,26.25,28.05,26.25,,28.0,27.59,400,1103500000.0,,,
1996-01-30,RAMADHOTEL,EQ,28.0,28.0,29.75,28.0,,29.75,28.88,200,577500000.0,,,
1996-01-31,RAMADHOTEL,EQ,29.75,29.75,30.5,29.55,,29.55,29.94,1700,5089500000.0,,,
1996-02-01,RAMADHOTEL,EQ,29.55,29.55,30.0,29.5,,30.0,29.81,1100,3279500000.0,,,
1996-02-02,RAMADHOTEL,EQ,30.0,30.0,31.0,30.0,,30.5,30.52,2200,6715000000.0,,,
1996-02-05,RAMADHOTEL,EQ,30.5,30.5,31.8,30.5,,31.8,30.9,1200,3708000000.0,,,
1996-02-06,RAMADHOTEL,EQ,31.8,32.0,35.0,32.0,,35.0,33.34,2400,8001000000.0,,,
1996-02-07,RAMADHOTEL,EQ,35.0,35.0,35.5,35.0,,35.0,35.33,1500,5300000000.0,,,
1996-02-08,RAMADHOTEL,EQ,35.0,35.0,36.5,35.0,,36.5,35.29,700,2470000000.0,,,
1996-02-09,RAMADHOTEL,EQ,36.5,36.5,38.0,36.5,,37.0,36.89,1900,7009000000.0,,,
1996-02-12,RAMADHOTEL,EQ,37.0,37.0,40.4,38.0,,40.0,39.02,2000,7804000000.0,,,
1996-02-13,RAMADHOTEL,EQ,40.0,36.25,40.85,36.25,,38.5,39.28,2300,9034000000.0,,,
1996-02-14,RAMADHOTEL,EQ,38.5,38.5,41.2,39.5,,40.6,40.41,2600,10506000000.0,,,
1996-02-15,RAMADHOTEL,EQ,40.6,40.0,40.85,39.5,,40.0,39.98,900,3598500000.0,,,
1996-02-16,RAMADHOTEL,EQ,40.0,40.85,41.0,39.05,,39.85,40.28,900,3625500000.0,,,
1996-02-19,RAMADHOTEL,EQ,39.85,39.0,39.85,37.55,,38.0,38.31,5100,19540500000.0,,,
1996-02-20,RAMADHOTEL,EQ,38.0,38.0,37.0,36.0,,36.0,36.75,400,1470000000.0,,,
1996-02-22,RAMADHOTEL,EQ,36.0,36.0,36.0,36.0,,36.0,36.0,100,360000000.0,,,
1996-02-23,RAMADHOTEL,EQ,36.0,35.05,36.1,35.05,,36.05,35.88,700,2511500000.0,,,
1996-02-26,RAMADHOTEL,EQ,36.05,37.0,37.0,36.0,,36.55,36.44,800,2915500000.0,,,
1996-02-27,RAMADHOTEL,EQ,36.55,36.0,37.0,36.0,,36.0,36.2,1100,3982500000.0,,,
1996-02-28,RAMADHOTEL,EQ,36.0,36.0,36.75,36.0,,36.75,36.5,300,1095000000.0,,,
1996-02-29,RAMADHOTEL,EQ,36.75,36.75,36.25,34.0,,35.0,35.4,700,2478000000.0,,,
1996-03-01,RAMADHOTEL,EQ,35.0,33.0,33.0,33.0,,33.0,33.0,100,330000000.0,,,
1996-03-06,RAMADHOTEL,EQ,33.0,33.5,33.5,33.5,,33.5,33.5,100,335000000.0,,,
1996-03-07,RAMADHOTEL,EQ,33.5,34.75,34.9,34.5,,34.9,34.74,1200,4169000000.0,,,
1996-03-08,RAMADHOTEL,EQ,34.9,34.25,34.25,33.95,,33.95,34.18,1100,3759500000.0,,,
1996-03-11,RAMADHOTEL,EQ,33.95,33.5,33.5,32.05,,32.05,32.45,700,2271500000.0,,,
1996-03-12,RAMADHOTEL,EQ,32.05,32.0,32.0,32.0,,32.0,32.0,1700,5440000000.0,,,
1996-03-14,RAMADHOTEL,EQ,32.0,32.0,32.0,32.0,,32.0,32.0,200,640000000.0,,,
1996-03-15,RAMADHOTEL,EQ,32.0,30.75,30.75,30.75,,30.75,30.75,100,307500000.0,,,
1996-03-18,RAMADHOTEL,EQ,30.75,30.75,31.0,31.0,,31.0,31.0,200,620000000.0,,,
1996-03-19,RAMADHOTEL,EQ,31.0,30.5,30.5,30.5,,30.5,30.5,100,305000000.0,,,
1996-03-21,RAMADHOTEL,EQ,30.5,30.5,30.5,30.0,,30.5,30.25,200,605000000.0,,,
1996-03-22,RAMADHOTEL,EQ,30.5,30.5,30.5,30.5,,30.5,30.5,100,305000000.0,,,
1996-03-26,RAMADHOTEL,EQ,30.5,31.5,31.5,30.5,,31.5,31.17,600,1870000000.0,,,
1996-03-27,RAMADHOTEL,EQ,31.5,32.5,34.5,32.5,,33.3,33.57,1800,6042500000.0,,,
1996-03-28,RAMADHOTEL,EQ,33.3,33.3,36.75,35.0,,36.65,36.6,4500,16471000000.0,,,
1996-03-29,RAMADHOTEL,EQ,36.65,38.0,38.0,36.05,,36.55,37.03,4700,17403500000.0,,,
1996-04-01,RAMADHOTEL,EQ,36.55,37.95,37.95,35.95,,37.0,36.2,2000,7239500000.0,,,
1996-04-02,RAMADHOTEL,EQ,37.0,35.0,36.75,35.0,,35.25,35.58,3500,12451500000.0,,,
1996-04-03,RAMADHOTEL,EQ,35.25,35.25,35.95,34.75,,35.0,35.13,3200,11241000000.0,,,
1996-04-04,RAMADHOTEL,EQ,35.0,35.0,35.0,34.5,,34.95,34.74,400,1389500000.0,,,
1996-04-08,RAMADHOTEL,EQ,34.95,34.95,34.65,33.3,,34.0,33.77,1600,5403500000.0,,,
1996-04-09,RAMADHOTEL,EQ,34.0,34.5,34.5,32.6,,33.0,33.54,1000,3353500000.0,,,
1996-04-10,RAMADHOTEL,EQ,33.0,33.5,33.95,33.5,,33.5,33.56,800,2684500000.0,,,
1996-04-11,RAMADHOTEL,EQ,33.5,34.9,34.9,34.75,,34.75,34.83,200,696500000.0,,,
1996-04-12,RAMADHOTEL,EQ,34.75,32.0,33.0,32.0,,33.0,32.84,700,2299000000.0,,,
1996-04-15,RAMADHOTEL,EQ,33.0,33.0,34.8,32.05,,33.0,33.14,600,1988500000.0,,,
1996-04-16,RAMADHOTEL,EQ,33.0,33.0,33.0,30.1,,32.05,31.89,1400,4464000000.0,,,
1996-04-17,RAMADHOTEL,EQ,32.05,34.0,34.95,33.75,,34.25,34.14,1200,4097000000.0,,,
1996-04-18,RAMADHOTEL,EQ,34.25,31.0,34.95,31.0,,34.95,34.39,700,2407000000.0,,,
