Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,TATATELECM,EQ,86.0,85.05,85.05,85.05,,85.05,85.05,100,850500000.0,,,
1996-01-02,TATATELECM,EQ,85.05,86.75,86.95,86.75,,86.95,86.85,200,1737000000.0,,,
1996-01-03,TATATELECM,EQ,86.95,86.5,86.5,86.5,,86.5,86.5,100,865000000.0,,,
1996-01-08,TATATELECM,EQ,86.5,86.7,86.7,86.0,,86.0,86.35,200,1727000000.0,,,
1996-01-09,TATATELECM,EQ,86.0,84.0,85.0,83.5,,85.0,84.0,500,4200000000.0,,,
1996-01-10,TATATELECM,EQ,85.0,85.0,85.0,84.55,,84.55,84.7,300,2541000000.0,,,
1996-01-11,TATATELECM,EQ,84.55,85.0,85.0,84.25,,84.25,84.63,200,1692500000.0,,,
1996-01-12,TATATELECM,EQ,84.25,84.25,85.0,84.65,,84.8,84.77,300,2543000000.0,,,
1996-01-16,TATATELECM,EQ,84.8,84.0,85.0,84.0,,84.6,84.2,1300,10946000000.0,,,
1996-01-17,TATATELECM,EQ,84.6,84.3,84.65,84.3,,84.65,84.58,1400,11840500000.0,,,
1996-01-18,TATATELECM,EQ,84.65,84.65,84.65,84.6,,84.6,84.63,200,1692500000.0,,,
1996-01-19,TATATELECM,EQ,84.6,84.6,85.0,84.5,,85.0,84.62,4700,39771000000.0,,,
1996-01-22,TATATELECM,EQ,85.0,85.0,85.0,85.0,,85.0,85.0,3600,30600000000.0,,,
1996-01-23,TATATELECM,EQ,85.0,85.0,92.0,84.9,,92.0,85.82,900,7724000000.0,,,
1996-01-24,TATATELECM,EQ,92.0,92.0,84.05,84.0,,84.05,84.01,600,5040500000.0,,,
1996-01-25,TATATELECM,EQ,84.05,84.0,84.5,84.0,,84.5,84.25,300,2527500000.0,,,
1996-01-29,TATATELECM,EQ,84.5,84.5,83.5,83.0,,83.5,83.33,300,2500000000.0,,,
1996-01-30,TATATELECM,EQ,83.5,83.5,83.5,83.5,,83.5,83.5,200,1670000000.0,,,
1996-01-31,TATATELECM,EQ,83.5,83.5,84.5,84.05,,84.05,84.32,500,4216000000.0,,,
1996-02-01,TATATELECM,EQ,84.05,90.0,90.0,88.0,,88.0,89.0,200,1780000000.0,,,
1996-02-02,TATATELECM,EQ,88.0,84.0,84.0,84.0,,84.0,84.0,100,840000000.0,,,
1996-02-05,TATATELECM,EQ,84.0,84.0,87.0,84.0,,87.0,85.5,300,2565000000.0,,,
1996-02-06,TATATELECM,EQ,87.0,87.5,87.5,84.15,,86.0,85.05,1500,12758000000.0,,,
1996-02-07,TATATELECM,EQ,86.0,84.75,84.75,84.75,,84.75,84.75,100,847500000.0,,,
1996-02-08,TATATELECM,EQ,84.75,84.6,85.25,84.6,,85.25,84.84,700,5939000000.0,,,
1996-02-09,TATATELECM,EQ,85.25,85.0,85.5,85.0,,85.5,85.13,400,3405000000.0,,,
1996-02-12,TATATELECM,EQ,85.5,85.0,87.0,85.0,,86.9,86.58,1300,11255000000.0,,,
1996-02-13,TATATELECM,EQ,86.9,86.95,88.0,86.5,,88.0,86.59,2200,19049500000.0,,,
1996-02-14,TATATELECM,EQ,88.0,87.0,87.0,87.0,,87.0,87.0,500,4350000000.0,,,
1996-02-15,TATATELECM,EQ,87.0,87.5,89.0,87.5,,89.0,87.7,1000,8770000000.0,,,
1996-02-16,TATATELECM,EQ,89.0,89.0,89.0,87.5,,87.5,88.5,300,2655000000.0,,,
1996-02-19,TATATELECM,EQ,87.5,85.1,86.95,85.1,,86.95,86.01,400,3440500000.0,,,
1996-02-20,TATATELECM,EQ,86.95,86.75,89.0,86.75,,89.0,87.83,2300,20202000000.0,,,
1996-02-22,TATATELECM,EQ,89.0,90.0,90.0,88.0,,88.1,89.01,1000,8901000000.0,,,
1996-02-23,TATATELECM,EQ,88.1,87.0,87.5,87.0,,87.5,87.17,300,2615000000.0,,,
1996-02-26,TATATELECM,EQ,87.5,88.0,88.0,87.0,,88.0,87.86,1400,12300000000.0,,,
1996-02-27,TATATELECM,EQ,88.0,87.0,88.0,87.0,,88.0,87.83,600,5270000000.0,,,
1996-02-29,TATATELECM,EQ,88.0,88.0,89.0,87.0,,88.0,87.8,500,4390000000.0,,,
1996-03-01,TATATELECM,EQ,88.0,87.0,87.0,84.0,,84.0,85.14,900,7662500000.0,,,
1996-03-04,TATATELECM,EQ,84.0,84.0,86.25,86.25,,86.25,86.25,500,4312500000.0,,,
1996-03-07,TATATELECM,EQ,86.25,88.0,88.0,88.0,,88.0,88.0,100,880000000.0,,,
1996-03-08,TATATELECM,EQ,88.0,88.0,84.0,84.0,,84.0,84.0,100,840000000.0,,,
1996-03-11,TATATELECM,EQ,84.0,76.5,77.05,76.5,,77.0,76.76,400,3070500000.0,,,
1996-03-12,TATATELECM,EQ,77.0,75.0,76.0,75.0,,76.0,75.5,200,1510000000.0,,,
1996-03-13,TATATELECM,EQ,76.0,80.0,80.0,77.0,,77.0,78.5,200,1570000000.0,,,
1996-03-14,TATATELECM,EQ,77.0,77.5,77.5,77.5,,77.5,77.5,100,775000000.0,,,
1996-03-15,TATATELECM,EQ,77.5,77.5,78.1,77.5,,78.1,77.8,200,1556000000.0,,,
1996-03-18,TATATELECM,EQ,78.1,78.25,78.25,78.25,,78.25,78.25,300,2347500000.0,,,
1996-03-19,TATATELECM,EQ,78.25,78.05,78.05,78.0,,78.0,78.03,300,2341000000.0,,,
1996-03-21,TATATELECM,EQ,78.0,78.0,80.0,78.0,,80.0,78.98,500,3949000000.0,,,
1996-03-22,TATATELECM,EQ,80.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-03-25,TATATELECM,EQ,80.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-03-26,TATATELECM,EQ,80.0,81.0,81.0,81.0,,81.0,81.0,100,810000000.0,,,
1996-03-27,TATATELECM,EQ,81.0,76.5,76.5,76.5,,76.5,76.5,100,765000000.0,,,
1996-03-28,TATATELECM,EQ,76.5,78.0,78.0,78.0,,78.0,78.0,300,2340000000.0,,,
1996-03-29,TATATELECM,EQ,78.0,78.5,78.5,77.5,,77.5,78.06,700,5464500000.0,,,
1996-04-02,TATATELECM,EQ,77.5,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-04-03,TATATELECM,EQ,75.0,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1996-04-04,TATATELECM,EQ,78.0,78.0,78.0,77.0,,77.0,77.5,200,1550000000.0,,,
1996-04-08,TATATELECM,EQ,77.0,77.0,79.95,79.95,,79.95,79.95,200,1599000000.0,,,
1996-04-09,TATATELECM,EQ,79.95,78.5,78.5,78.5,,78.5,78.5,600,4710000000.0,,,
1996-04-10,TATATELECM,EQ,78.5,80.0,80.0,78.0,,78.0,78.89,900,7100500000.0,,,
1996-04-11,TATATELECM,EQ,78.0,78.0,78.0,75.05,,75.05,75.79,400,3031500000.0,,,
1996-04-12,TATATELECM,EQ,75.05,75.05,76.0,76.0,,76.0,76.0,100,760000000.0,,,
1996-04-15,TATATELECM,EQ,76.0,76.0,76.0,76.0,,76.0,76.0,100,760000000.0,,,
1996-04-16,TATATELECM,EQ,76.0,76.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-04-17,TATATELECM,EQ,75.0,76.0,78.0,76.0,,78.0,76.45,500,3822500000.0,,,
1996-04-18,TATATELECM,EQ,78.0,78.0,78.0,76.5,,76.5,77.5,500,3875000000.0,,,
1996-04-19,TATATELECM,EQ,76.5,76.5,78.0,77.9,,77.9,77.93,300,2338000000.0,,,
1996-04-22,TATATELECM,EQ,77.9,73.0,77.0,73.0,,77.0,74.25,400,2970000000.0,,,
1996-04-23,TATATELECM,EQ,77.0,75.0,75.0,73.0,,73.25,74.3,500,3715000000.0,,,
1996-04-25,TATATELECM,EQ,73.25,75.1,75.1,75.1,,75.1,75.1,100,751000000.0,,,
1996-04-26,TATATELECM,EQ,75.1,75.05,76.5,75.05,,76.0,75.71,400,3028500000.0,,,
1996-04-29,TATATELECM,EQ,76.0,74.6,74.6,74.6,,74.6,74.6,100,746000000.0,,,
1996-04-30,TATATELECM,EQ,74.6,72.0,74.0,72.0,,72.25,72.75,300,2182500000.0,,,
1996-05-01,TATATELECM,EQ,72.25,72.3,74.75,72.3,,74.75,73.53,200,1470500000.0,,,
1996-05-02,TATATELECM,EQ,74.75,75.0,75.0,75.0,,75.0,75.0,200,1500000000.0,,,
1996-05-03,TATATELECM,EQ,75.0,75.5,75.5,75.25,,75.5,75.46,600,4527500000.0,,,
1996-05-06,TATATELECM,EQ,75.5,75.5,76.5,76.5,,76.5,76.5,100,765000000.0,,,
1996-05-08,TATATELECM,EQ,76.5,76.5,80.0,76.0,,80.0,78.0,200,1560000000.0,,,
1996-05-09,TATATELECM,EQ,80.0,75.5,75.5,75.5,,75.5,75.5,200,1510000000.0,,,
1996-05-10,TATATELECM,EQ,75.5,75.5,75.0,70.55,,70.55,71.73,900,6455500000.0,,,
1996-05-13,TATATELECM,EQ,70.55,70.55,72.0,69.75,,71.0,70.92,300,2127500000.0,,,
1996-05-14,TATATELECM,EQ,71.0,71.0,75.0,71.0,,72.5,72.39,700,5067000000.0,,,
1996-05-15,TATATELECM,EQ,72.5,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1996-05-16,TATATELECM,EQ,78.0,77.0,77.0,77.0,,77.0,77.0,100,770000000.0,,,
1996-05-17,TATATELECM,EQ,77.0,74.0,74.0,71.05,,71.05,72.55,600,4353000000.0,,,
1996-05-21,TATATELECM,EQ,71.05,71.05,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-05-23,TATATELECM,EQ,70.0,74.0,75.0,73.75,,75.0,74.63,800,5970500000.0,,,
1996-05-24,TATATELECM,EQ,75.0,75.0,74.0,72.25,,74.0,73.08,300,2192500000.0,,,
1996-05-27,TATATELECM,EQ,74.0,70.0,73.45,70.0,,71.75,71.73,300,2152000000.0,,,
1996-05-28,TATATELECM,EQ,71.75,71.75,74.75,70.25,,73.6,72.5,600,4350000000.0,,,
1996-05-29,TATATELECM,EQ,73.6,73.6,74.0,73.5,,73.5,73.75,200,1475000000.0,,,
