Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,PDUMJEPULP,EQ,145.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-01-02,PDUMJEPULP,EQ,144.0,140.0,141.25,138.0,,138.0,139.91,400,5596250000.0,,,
1996-01-03,PDUMJEPULP,EQ,138.0,142.0,142.0,142.0,,142.0,142.0,50,710000000.0,,,
1996-01-04,PDUMJEPULP,EQ,142.0,139.0,141.0,139.0,,141.0,140.67,300,4220000000.0,,,
1996-01-05,PDUMJEPULP,EQ,141.0,141.0,139.0,130.05,,130.05,134.76,200,2695250000.0,,,
1996-01-08,PDUMJEPULP,EQ,130.05,133.0,133.0,132.0,,132.0,132.33,150,1985000000.0,,,
1996-01-09,PDUMJEPULP,EQ,132.0,133.0,133.0,125.0,,125.0,130.67,300,3920000000.0,,,
1996-01-10,PDUMJEPULP,EQ,125.0,130.5,130.5,130.0,,130.25,130.25,100,1302500000.0,,,
1996-01-11,PDUMJEPULP,EQ,130.25,130.0,130.0,130.0,,130.0,130.0,50,650000000.0,,,
1996-01-12,PDUMJEPULP,EQ,130.0,132.0,132.0,130.0,,131.9,131.23,200,2624500000.0,,,
1996-01-16,PDUMJEPULP,EQ,131.9,125.05,125.05,120.55,,120.55,123.74,350,4331000000.0,,,
1996-01-17,PDUMJEPULP,EQ,120.55,120.0,120.0,120.0,,120.0,120.0,100,1200000000.0,,,
1996-01-18,PDUMJEPULP,EQ,120.0,116.0,116.05,116.0,,116.05,116.01,200,2320250000.0,,,
1996-01-22,PDUMJEPULP,EQ,116.05,107.1,107.1,107.0,,107.05,107.03,150,1605500000.0,,,
1996-01-23,PDUMJEPULP,EQ,107.05,105.0,105.5,105.0,,105.0,105.25,200,2105000000.0,,,
1996-01-25,PDUMJEPULP,EQ,105.0,97.5,98.0,97.5,,98.0,97.83,150,1467500000.0,,,
1996-01-29,PDUMJEPULP,EQ,98.0,95.0,95.0,95.0,,95.0,95.0,50,475000000.0,,,
1996-01-30,PDUMJEPULP,EQ,95.0,95.0,96.0,92.5,,93.75,94.87,600,5692250000.0,,,
1996-01-31,PDUMJEPULP,EQ,93.75,101.0,101.0,101.0,,101.0,101.0,50,505000000.0,,,
1996-02-01,PDUMJEPULP,EQ,101.0,101.0,103.5,103.5,,103.5,103.5,50,517500000.0,,,
1996-02-05,PDUMJEPULP,EQ,103.5,105.0,105.0,105.0,,105.0,105.0,100,1050000000.0,,,
1996-02-06,PDUMJEPULP,EQ,105.0,101.0,110.0,101.0,,107.5,106.0,350,3710000000.0,,,
1996-02-07,PDUMJEPULP,EQ,107.5,108.95,109.0,105.0,,109.0,107.87,800,8629500000.0,,,
1996-02-08,PDUMJEPULP,EQ,109.0,106.0,106.0,104.5,,105.0,105.28,250,2632000000.0,,,
1996-02-12,PDUMJEPULP,EQ,105.0,110.5,112.0,110.0,,110.0,110.33,600,6620000000.0,,,
1996-02-13,PDUMJEPULP,EQ,110.0,110.0,111.0,108.0,,109.5,109.52,1150,12595000000.0,,,
1996-02-14,PDUMJEPULP,EQ,109.5,114.0,119.0,110.0,,110.0,113.53,400,4541250000.0,,,
1996-02-15,PDUMJEPULP,EQ,110.0,116.0,116.95,116.0,,116.0,116.24,400,4649500000.0,,,
1996-02-16,PDUMJEPULP,EQ,116.0,116.0,115.0,108.0,,110.0,110.23,650,7165000000.0,,,
1996-02-19,PDUMJEPULP,EQ,110.0,113.0,113.0,113.0,,113.0,113.0,100,1130000000.0,,,
1996-02-20,PDUMJEPULP,EQ,113.0,113.0,118.0,113.0,,118.0,117.38,650,7630000000.0,,,
1996-02-22,PDUMJEPULP,EQ,118.0,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-02-23,PDUMJEPULP,EQ,125.0,130.0,131.0,130.0,,130.0,130.5,350,4567500000.0,,,
1996-02-27,PDUMJEPULP,EQ,130.0,130.0,124.95,122.0,,122.0,122.98,150,1844750000.0,,,
1996-02-28,PDUMJEPULP,EQ,122.0,115.5,115.5,115.5,,115.5,115.5,100,1155000000.0,,,
1996-02-29,PDUMJEPULP,EQ,115.5,115.5,114.0,105.0,,114.0,110.35,300,3310500000.0,,,
1996-03-01,PDUMJEPULP,EQ,114.0,114.0,109.9,105.1,,109.9,106.78,200,2135500000.0,,,
1996-03-04,PDUMJEPULP,EQ,109.9,109.9,104.0,100.5,,101.75,103.41,800,8273000000.0,,,
1996-03-06,PDUMJEPULP,EQ,101.75,105.05,105.05,105.05,,105.05,105.05,50,525250000.0,,,
1996-03-07,PDUMJEPULP,EQ,105.05,106.0,106.5,106.0,,106.0,106.14,350,3715000000.0,,,
1996-03-08,PDUMJEPULP,EQ,106.0,107.0,107.0,105.0,,105.0,106.0,100,1060000000.0,,,
1996-03-11,PDUMJEPULP,EQ,105.0,99.5,99.5,99.5,,99.5,99.5,100,995000000.0,,,
1996-03-12,PDUMJEPULP,EQ,99.5,108.0,108.0,105.0,,107.5,106.83,150,1602500000.0,,,
