Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-07-12,APARINDS,EQ,50.9,51.4,51.4,47.2,47.2,47.2,49.93,3,14980000.000000002,,0,0.0
2004-07-13,APARINDS,EQ,47.2,44.15,47.0,44.15,46.5,46.5,46.48,1512,7027980000.0,,1512,1.0
2004-07-14,APARINDS,EQ,46.5,47.0,48.8,47.0,48.0,48.0,47.03,9648,45372875000.0,,9516,0.9863
2004-07-15,APARINDS,EQ,48.0,46.25,49.75,46.25,49.0,49.1,47.94,5490,26320680000.0,,4594,0.8368000000000001
2004-07-19,APARINDS,EQ,49.1,51.4,52.0,50.75,50.75,50.75,51.2,1100,5631750000.0,,1000,0.9091
2004-07-20,APARINDS,EQ,50.75,51.1,54.7,51.1,54.0,53.95,53.24,16315,86853535000.0,,12862,0.7884000000000001
2004-07-21,APARINDS,EQ,53.95,55.0,56.3,52.85,53.8,53.8,54.04,13611,73555060000.0,,12037,0.8844
2004-07-22,APARINDS,EQ,53.8,55.0,57.9,53.2,55.9,55.75,56.28,20981,118088645000.0,,16008,0.763
2004-07-23,APARINDS,EQ,55.75,55.9,58.0,54.25,55.15,55.4,56.42,34031,192019715000.0,,26271,0.772
2004-07-26,APARINDS,EQ,55.4,54.5,55.5,54.15,54.2,54.3,54.83,6052,33180645000.0,,5126,0.8470000000000001
2004-07-27,APARINDS,EQ,54.3,52.65,54.0,52.05,52.1,52.25,53.07,5537,29383880000.0,,4936,0.8915000000000001
2004-07-28,APARINDS,EQ,52.25,52.1,53.3,52.1,53.3,52.4,52.52,788,4138719999.9999995,,748,0.9492
2004-07-29,APARINDS,EQ,52.4,52.35,54.05,51.75,54.05,53.4,52.88,2760,14594615000.0,,2460,0.8913
2004-07-30,APARINDS,EQ,53.4,54.7,56.7,54.7,55.05,56.25,55.79,13194,73613870000.0,,12651,0.9588
2004-08-02,APARINDS,EQ,56.25,57.5,57.5,54.25,55.0,55.0,55.23,4924,27195890000.000004,,4055,0.8235
2004-08-03,APARINDS,EQ,55.0,56.0,57.4,55.0,56.75,56.1,56.18,7676,43120020000.0,,5450,0.71
2004-08-04,APARINDS,EQ,56.1,56.25,57.0,55.15,55.15,55.2,56.3,1684,9480180000.0,,1662,0.9869
2004-08-05,APARINDS,EQ,55.2,55.2,57.0,55.2,56.95,56.95,56.03,12618,70695055000.0,,10713,0.8490000000000001
2004-08-06,APARINDS,EQ,56.95,56.0,56.6,55.5,56.4,56.4,56.04,3300,18492700000.0,,2744,0.8315000000000001
2004-08-09,APARINDS,EQ,56.4,56.0,57.5,56.0,57.0,57.0,56.24,11707,65834560000.0,,11103,0.9484
