Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-05-29,COREBIO,EQ,0.0,36.0,36.0,36.0,,36.0,36.0,100,360000000.0,,,
1996-06-05,COREBIO,EQ,36.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-06-06,COREBIO,EQ,37.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-06-17,COREBIO,EQ,38.0,40.0,40.0,40.0,,40.0,40.0,350,1400000000.0,,,
1996-06-18,COREBIO,EQ,40.0,42.0,43.0,40.0,,43.0,41.86,550,2302500000.0,,,
1996-06-19,COREBIO,EQ,43.0,39.0,39.0,38.5,,38.5,38.75,400,1550000000.0,,,
1996-06-20,COREBIO,EQ,38.5,37.5,37.5,37.5,,37.5,37.5,100,375000000.0,,,
1996-06-21,COREBIO,EQ,37.5,35.0,35.0,35.0,,35.0,35.0,250,875000000.0,,,
1996-06-24,COREBIO,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,200,700000000.0,,,
1996-07-03,COREBIO,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,50,175000000.0,,,
1996-07-05,COREBIO,EQ,35.0,34.0,34.0,34.0,,34.0,34.0,1000,3400000000.0,,,
1996-07-08,COREBIO,EQ,38.0,31.0,34.5,31.0,,33.0,33.34,3000,10002750000.0,,,
1996-07-09,COREBIO,EQ,33.0,33.0,35.0,33.0,,35.0,33.39,1250,4174000000.0,,,
1996-07-10,COREBIO,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,1000,3500000000.0,,,
1996-07-11,COREBIO,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,1850,6475000000.0,,,
1996-07-12,COREBIO,EQ,35.0,35.0,35.0,33.0,,33.0,33.64,1400,4710000000.0,,,
1996-07-15,COREBIO,EQ,33.0,33.0,35.0,33.0,,35.0,34.25,2000,6849750000.0,,,
1996-07-16,COREBIO,EQ,35.0,33.5,34.5,33.5,,34.3,34.2,1000,3420000000.0,,,
1996-07-17,COREBIO,EQ,34.3,34.5,34.9,33.25,,33.8,34.16,1000,3416250000.0,,,
1996-07-18,COREBIO,EQ,33.8,32.0,32.5,32.0,,32.5,32.14,350,1125000000.0,,,
1996-07-19,COREBIO,EQ,32.5,29.5,32.0,29.5,,32.0,31.71,850,2695000000.0,,,
1996-07-22,COREBIO,EQ,32.0,30.75,31.0,30.75,,31.0,30.79,700,2155000000.0,,,
1996-07-23,COREBIO,EQ,31.0,30.0,30.0,30.0,,30.0,30.0,650,1950000000.0,,,
1996-07-24,COREBIO,EQ,30.0,30.0,32.0,29.0,,32.0,30.8,1500,4620000000.0,,,
1996-07-25,COREBIO,EQ,32.0,30.0,31.0,29.0,,30.55,30.45,4000,12178500000.0,,,
1996-07-26,COREBIO,EQ,30.55,30.0,30.5,30.0,,30.0,30.05,1000,3005000000.0,,,
1996-07-29,COREBIO,EQ,30.0,29.9,29.95,29.9,,29.95,29.93,400,1197000000.0,,,
