Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,BANCOPROD,EQ,100.0,100.0,97.0,97.0,,97.0,97.0,100,970000000.0,,,
1996-01-02,BANCOPROD,EQ,97.0,97.0,97.0,97.0,,97.0,97.0,100,970000000.0,,,
1996-01-03,BANCOPROD,EQ,97.0,97.0,101.0,101.0,,101.0,101.0,200,2020000000.0,,,
1996-01-04,BANCOPROD,EQ,101.0,101.0,98.0,98.0,,98.0,98.0,200,1960000000.0,,,
1996-01-05,BANCOPROD,EQ,98.0,98.0,95.25,95.25,,95.25,95.25,100,952500000.0,,,
1996-01-09,BANCOPROD,EQ,95.25,95.25,92.05,92.05,,92.05,92.05,100,920500000.0,,,
1996-01-10,BANCOPROD,EQ,92.05,92.05,91.0,88.0,,91.0,90.0,300,2700000000.0,,,
1996-01-12,BANCOPROD,EQ,91.0,91.0,95.0,95.0,,95.0,95.0,200,1900000000.0,,,
1996-01-19,BANCOPROD,EQ,95.0,95.0,85.5,85.5,,85.5,85.5,200,1710000000.0,,,
1996-01-24,BANCOPROD,EQ,85.5,85.5,82.0,82.0,,82.0,82.0,100,820000000.0,,,
1996-01-25,BANCOPROD,EQ,82.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-01-30,BANCOPROD,EQ,80.0,80.0,81.1,81.0,,81.0,81.05,200,1621000000.0,,,
1996-01-31,BANCOPROD,EQ,81.0,81.0,81.0,81.0,,81.0,81.0,200,1620000000.0,,,
1996-02-02,BANCOPROD,EQ,81.0,85.0,89.0,85.0,,89.0,86.33,300,2590000000.0,,,
1996-02-05,BANCOPROD,EQ,89.0,97.0,97.5,97.0,,97.5,97.25,400,3890000000.0,,,
1996-02-07,BANCOPROD,EQ,97.5,97.5,91.0,90.5,,90.5,90.75,200,1815000000.0,,,
1996-02-08,BANCOPROD,EQ,90.5,90.5,94.5,94.5,,94.5,94.5,100,945000000.0,,,
1996-02-09,BANCOPROD,EQ,94.5,94.5,95.0,95.0,,95.0,95.0,100,950000000.0,,,
1996-02-12,BANCOPROD,EQ,95.0,99.0,100.0,99.0,,100.0,99.75,400,3990000000.0,,,
1996-02-14,BANCOPROD,EQ,100.0,104.75,105.0,104.75,,105.0,104.83,300,3145000000.0,,,
1996-02-15,BANCOPROD,EQ,105.0,105.0,115.0,110.0,,115.0,112.75,1600,18040000000.0,,,
1996-02-16,BANCOPROD,EQ,115.0,108.0,109.0,108.0,,109.0,108.33,300,3250000000.0,,,
