Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-02-20,BANG,EQ,207.0,250.0,269.9,168.55,172.2,174.1,196.08,13884715,272255820005000.03,,948069,0.0683
2008-02-21,BANG,EQ,174.1,176.75,178.4,163.6,165.25,166.25,169.91,4084290,69395935779999.99,,214437,0.0525
2008-02-22,BANG,EQ,166.25,162.0,164.0,153.1,158.4,156.35,158.98,1554432,24711615065000.0,,143545,0.09230000000000001
2008-02-25,BANG,EQ,156.35,162.0,162.0,153.25,154.0,156.0,156.9,617673,9691115965000.0,,99319,0.1608
2008-02-26,BANG,EQ,156.0,156.0,157.5,148.55,150.5,149.95,152.85,629936,9628539865000.0,,98621,0.15660000000000002
2008-02-27,BANG,EQ,149.95,152.0,161.85,151.0,152.0,152.2,156.49,1034114,16183049980000.002,,130265,0.126
2008-02-28,BANG,EQ,152.2,152.55,157.0,150.1,151.5,151.7,153.13,395548,6057062420000.0,,51200,0.1294
2008-02-29,BANG,EQ,151.7,151.1,154.8,148.0,153.7,153.45,151.97,328258,4988545660000.0,,83185,0.2534
2008-03-03,BANG,EQ,153.45,152.0,152.0,135.1,135.25,137.4,143.71,119510,1717507320000.0,,33248,0.2782
2008-03-04,BANG,EQ,137.4,139.0,139.95,122.0,123.05,123.25,127.64,234053,2987484120000.0,,27827,0.1189
2008-03-05,BANG,EQ,123.25,121.5,126.0,111.7,113.8,113.7,116.96,293673,3434732270000.0005,,85065,0.2897
2008-03-07,BANG,EQ,113.7,105.0,114.9,97.0,114.0,110.3,104.23,366279,3817761329999.9995,,71713,0.19579999999999997
2008-03-10,BANG,EQ,110.3,102.95,107.6,100.0,102.8,103.9,104.4,131642,1374308985000.0,,26280,0.1996
2008-03-11,BANG,EQ,103.9,106.0,109.9,100.05,103.9,104.3,106.16,161604,1715631810000.0002,,23970,0.14830000000000002
2008-03-12,BANG,EQ,104.3,107.95,107.95,104.6,106.0,105.95,106.17,90308,958815944999.9999,,24959,0.27640000000000003
2008-03-13,BANG,EQ,105.95,101.5,104.95,94.0,98.0,96.35,99.25,79946,793455370000.0,,23867,0.29850000000000004
2008-03-14,BANG,EQ,96.35,99.2,106.75,92.0,106.0,105.2,101.47,540402,5483416110000.0,,306009,0.5663
2008-03-17,BANG,EQ,105.2,100.05,101.9,95.8,98.3,97.85,98.76,89168,880654319999.9999,,14022,0.1573
2008-03-18,BANG,EQ,97.85,99.0,105.25,98.0,102.5,101.0,101.9,104819,1068141000000.0,,32901,0.3139
2008-03-19,BANG,EQ,101.0,104.9,110.8,102.2,109.15,108.2,107.02,191722,2051789805000.0,,86524,0.45130000000000003
2008-03-24,BANG,EQ,108.2,105.0,110.5,101.1,106.0,108.55,106.6,82833,883023925000.0,,34055,0.4111
2008-03-25,BANG,EQ,108.55,108.0,121.4,106.25,118.0,119.65,116.31,192719,2241507415000.0,,28512,0.1479
2008-03-26,BANG,EQ,119.65,120.1,123.95,114.25,122.9,123.0,120.58,367011,4425466370000.0,,295792,0.8059000000000001
2008-03-27,BANG,EQ,123.0,117.75,123.95,117.75,123.0,122.55,122.78,281267,3453413650000.0,,232625,0.8271
2008-03-28,BANG,EQ,122.55,122.85,131.0,120.8,123.15,125.6,126.3,68558,865853600000.0,,17083,0.24920000000000003
2008-03-31,BANG,EQ,125.6,121.1,124.6,120.2,120.5,122.6,122.76,82466,1012360344999.9999,,69803,0.8464
2008-04-01,BANG,EQ,122.6,126.0,127.7,120.2,126.95,125.15,123.54,25976,320917955000.0,,12549,0.48310000000000003
2008-04-02,BANG,EQ,125.15,127.1,150.2,123.5,137.0,138.9,142.02,453283,6437717015000.0,,63382,0.1398
2008-04-03,BANG,EQ,138.9,138.95,142.8,131.35,133.0,132.3,135.52,170353,2308702450000.0,,76341,0.44810000000000005
2008-04-04,BANG,EQ,132.3,131.05,140.8,128.65,130.1,131.15,135.08,180848,2442884610000.0,,96868,0.5356000000000001
2008-04-07,BANG,EQ,131.15,130.05,157.4,130.0,150.6,149.85,151.21,895008,13533135485000.0,,111999,0.1251
2008-04-08,BANG,EQ,149.85,154.0,154.4,140.0,153.1,152.65,149.96,434100,6509774520000.0,,65743,0.1514
2008-04-09,BANG,EQ,152.65,152.0,171.8,149.2,162.0,163.3,163.26,777744,12697313295000.0,,66515,0.0855
2008-04-10,BANG,EQ,163.3,161.0,163.0,150.8,151.0,151.75,157.96,308646,4875298855000.0,,82905,0.2686
2008-04-11,BANG,EQ,151.75,154.0,166.95,152.3,166.95,164.8,161.09,465214,7494005030000.0,,81861,0.17600000000000002
2008-04-15,BANG,EQ,164.8,166.1,172.8,162.4,164.2,166.45,167.62,152960,2563936690000.0,,50486,0.3301
2008-04-16,BANG,EQ,166.45,165.7,180.7,163.2,175.4,175.2,174.89,466950,8166564875000.0,,116115,0.2487
2008-04-17,BANG,EQ,175.2,179.85,184.8,173.6,176.0,175.95,180.21,140063,2524034485000.0,,26449,0.1888
2008-04-21,BANG,EQ,175.95,178.0,193.0,176.05,189.95,191.9,188.61,342371,6457541870000.0,,148921,0.435
2008-04-22,BANG,EQ,191.9,190.35,196.0,184.55,190.0,193.3,191.93,184181,3535023165000.0,,75504,0.40990000000000004
2008-04-23,BANG,EQ,193.3,192.0,202.2,186.75,197.3,199.5,196.3,197084,3868761925000.0,,41309,0.2096
2008-04-24,BANG,EQ,199.5,200.0,204.5,195.05,195.35,198.25,200.3,94490,1892670075000.0,,22281,0.23579999999999998
2008-04-25,BANG,EQ,198.25,199.05,201.5,191.0,192.55,195.95,195.72,62201,1217389225000.0,,9106,0.1464
2008-04-28,BANG,EQ,195.95,192.6,205.75,191.7,204.9,205.0,200.75,183705,3687842935000.0,,59896,0.326
2008-04-29,BANG,EQ,205.0,203.0,215.25,201.5,215.0,213.45,211.97,246745,5230160705000.0,,84153,0.3411
2008-04-30,BANG,EQ,213.45,214.0,222.0,209.0,210.0,214.3,216.57,198988,4309476154999.9995,,121539,0.6108
2008-05-02,BANG,EQ,214.3,210.0,223.0,210.0,219.95,218.95,215.98,110456,2385622830000.0,,60549,0.5482
2008-05-05,BANG,EQ,218.95,220.0,229.5,218.6,224.0,227.85,225.85,205681,4645357855000.0,,79170,0.3849
2008-05-06,BANG,EQ,227.85,225.0,236.0,221.0,226.0,227.6,229.15,128752,2950290110000.0,,48305,0.37520000000000003
2008-05-07,BANG,EQ,227.6,228.0,232.5,225.1,226.55,229.05,229.8,122883,2823889370000.0,,66670,0.5425
2008-05-08,BANG,EQ,229.05,228.0,230.0,221.6,221.6,226.4,226.99,39020,885730580000.0001,,15106,0.3871
2008-05-09,BANG,EQ,226.4,224.0,227.2,216.15,223.5,221.9,223.66,49042,1096895935000.0,,13349,0.2722
2008-05-12,BANG,EQ,221.9,220.25,224.9,211.9,217.0,219.3,219.54,36449,800214805000.0,,7199,0.1975
2008-05-13,BANG,EQ,219.3,223.0,230.0,219.05,221.0,220.85,223.22,24368,543938895000.0,,8752,0.3592
2008-05-14,BANG,EQ,220.85,222.0,227.0,215.0,217.75,219.75,224.33,56392,1265024140000.0,,37771,0.6698000000000001
2008-05-15,BANG,EQ,219.75,222.0,230.75,221.15,230.75,230.5,229.06,121790,2789736200000.0,,31359,0.2575
2008-05-16,BANG,EQ,230.5,233.5,241.8,230.0,240.0,239.95,238.58,78617,1875635770000.0,,23106,0.2939
2008-05-20,BANG,EQ,239.95,237.5,247.5,237.5,243.45,242.05,243.09,90646,2203545000000.0,,33574,0.3704
2008-05-21,BANG,EQ,242.05,241.9,252.0,240.1,249.5,248.95,248.75,80485,2002059895000.0,,20831,0.2588
2008-05-22,BANG,EQ,248.95,248.5,256.5,246.0,250.0,251.85,252.82,117925,2981364660000.0,,57793,0.4901
2008-05-23,BANG,EQ,251.85,252.9,259.5,249.05,252.0,252.25,255.53,40291,1029541825000.0,,11976,0.2972
2008-05-26,BANG,EQ,252.25,251.75,252.5,239.65,239.65,240.35,245.61,31530,774415545000.0,,11456,0.3633
2008-05-27,BANG,EQ,240.35,244.8,252.4,243.0,252.4,252.4,249.79,21330,532812345000.0,,10981,0.5147999999999999
2008-05-28,BANG,EQ,252.4,259.95,265.05,259.1,265.05,264.75,263.19,64784,1705020095000.0,,25009,0.386
2008-05-29,BANG,EQ,264.75,270.0,273.5,261.0,261.0,262.9,268.09,43598,1168821375000.0,,15126,0.3469
2008-05-30,BANG,EQ,262.9,264.0,268.9,252.55,255.15,255.45,262.63,20159,529426125000.0,,6397,0.3173
2008-06-02,BANG,EQ,255.45,254.0,259.0,242.75,245.0,243.85,249.0,18449,459386309999.99994,,4614,0.25010000000000004
2008-06-03,BANG,EQ,243.85,242.7,249.4,237.0,245.0,245.2,244.18,26423,645187075000.0,,6636,0.2511
2008-06-04,BANG,EQ,245.2,246.95,254.9,239.95,242.0,244.15,245.7,24139,593101210000.0,,4254,0.17620000000000002
2008-06-05,BANG,EQ,244.15,247.8,247.8,241.1,241.15,242.8,243.34,6487,157857270000.0,,1781,0.2745
2008-06-06,BANG,EQ,242.8,251.8,251.9,239.0,245.0,244.8,245.47,14932,366533570000.0,,5053,0.33840000000000003
2008-06-09,BANG,EQ,244.8,235.0,247.0,235.0,247.0,244.9,241.2,13428,323886545000.0,,6276,0.46740000000000004
2008-06-10,BANG,EQ,244.9,243.5,256.0,242.3,254.9,254.5,253.36,88518,2242721450000.0,,71668,0.8096
2008-06-11,BANG,EQ,254.5,252.0,267.25,252.0,267.25,267.0,263.43,126509,3332639285000.0,,85723,0.6776000000000001
2008-06-12,BANG,EQ,267.0,261.65,275.9,261.05,267.2,269.35,270.7,53535,1449203830000.0,,32710,0.611
2008-06-13,BANG,EQ,269.35,269.5,282.85,268.0,282.7,282.7,277.51,145874,4048104465000.0,,58904,0.40380000000000005
2008-06-16,BANG,EQ,282.7,288.45,294.85,286.05,293.0,292.05,291.51,86292,2515506215000.0,,67240,0.7792
2008-06-17,BANG,EQ,292.05,289.0,306.65,280.0,298.45,302.25,302.09,62400,1885066114999.9998,,25597,0.41020000000000006
2008-06-18,BANG,EQ,302.25,300.3,302.0,287.2,291.0,293.8,294.34,88321,2599599855000.0,,29737,0.3367
2008-06-19,BANG,EQ,293.8,293.0,294.0,281.1,282.9,283.15,287.78,64872,1866902889999.9998,,54021,0.8327
2008-06-20,BANG,EQ,283.15,285.65,297.0,269.0,297.0,294.55,281.08,131455,3694895365000.0,,87504,0.6657
2008-06-23,BANG,EQ,294.55,288.65,302.0,285.05,290.0,293.3,293.07,43874,1285804750000.0,,5182,0.11810000000000001
2008-06-24,BANG,EQ,293.3,293.0,295.8,278.65,280.0,282.3,284.55,35889,1021224385000.0,,14208,0.39590000000000003
2008-06-25,BANG,EQ,282.3,276.0,281.9,272.0,277.65,275.2,276.6,13766,380770675000.0,,5271,0.3829
2008-06-26,BANG,EQ,275.2,283.95,283.95,261.5,262.0,263.7,271.41,12089,328113345000.0,,6050,0.5005
2008-08-22,BANG,EQ,239.2,245.0,247.9,231.0,245.0,241.55,240.61,1373,33035555000.0,,521,0.37950000000000006
2008-08-25,BANG,EQ,241.55,235.0,253.0,235.0,238.0,239.3,241.24,946,22820895000.0,,755,0.7981
2008-08-26,BANG,EQ,239.3,232.0,240.0,231.5,238.5,235.65,235.56,21911,516126745000.0,,21596,0.9856
2008-08-27,BANG,EQ,235.65,240.0,244.0,231.1,237.0,234.35,240.0,2297,55128065000.0,,2043,0.8894
2008-08-28,BANG,EQ,234.35,239.0,241.0,228.0,230.0,229.2,234.0,7111,166394480000.0,,6343,0.892
2008-08-29,BANG,EQ,229.2,239.95,239.95,224.05,224.05,225.5,228.93,2775,63526840000.0,,2578,0.929
2008-09-01,BANG,EQ,225.5,229.0,235.0,223.15,229.0,228.1,227.41,1459,33179540000.000004,,1304,0.8937999999999999
2008-09-02,BANG,EQ,228.1,236.0,236.0,220.0,228.0,227.1,228.24,19903,454262945000.0,,8576,0.43090000000000006
2008-09-04,BANG,EQ,227.1,228.0,233.95,227.9,232.0,229.8,229.23,6446,147763665000.0,,6148,0.9538
2008-09-05,BANG,EQ,229.8,230.0,235.0,225.0,230.25,234.55,232.32,1361,31618775000.0,,1291,0.9486
2008-09-08,BANG,EQ,234.55,235.0,244.25,212.25,239.0,237.45,236.87,11892,281687320000.0,,11321,0.9520000000000001
2008-09-09,BANG,EQ,237.45,237.45,247.95,225.6,242.0,238.9,236.67,8351,197646075000.0,,7278,0.8715
2008-09-10,BANG,EQ,238.9,223.05,239.6,223.05,239.6,237.45,236.15,310,7320530000.0,,152,0.4903
2008-09-11,BANG,EQ,237.45,237.0,246.85,228.0,239.0,239.9,239.71,11980,287178000000.0,,11510,0.9608
2008-09-12,BANG,EQ,239.9,248.0,248.0,235.0,244.0,243.85,242.21,1137,27539745000.0,,1000,0.8795000000000001
2008-09-15,BANG,EQ,243.85,235.0,256.0,221.15,255.0,246.0,242.81,2941,71410860000.0,,2016,0.6855
2008-09-16,BANG,EQ,246.0,249.85,250.0,233.35,245.0,245.4,245.68,2308,56704055000.00001,,1496,0.6482
2008-09-17,BANG,EQ,245.4,259.5,259.5,240.0,246.0,247.5,243.37,2042,49696995000.0,,1215,0.595
2008-09-18,BANG,EQ,247.5,250.0,258.0,225.0,249.0,247.35,242.67,4813,116794770000.0,,3593,0.7465
2008-09-19,BANG,EQ,247.35,250.0,272.1,242.0,272.1,272.1,262.62,6080,159674395000.0,,3706,0.6095
2008-09-22,BANG,EQ,272.1,288.0,297.0,275.0,292.1,294.5,291.24,21553,627715015000.0,,8149,0.37810000000000005
2008-09-23,BANG,EQ,294.5,266.0,308.8,266.0,287.0,293.75,294.13,15022,441837530000.0,,5722,0.3809
2008-09-24,BANG,EQ,293.75,292.25,297.0,285.15,290.0,291.05,291.24,3010,87662235000.0,,1946,0.6465000000000001
2008-09-25,BANG,EQ,291.05,293.0,293.0,282.0,285.0,285.45,286.82,536,15373575000.0,,290,0.541
2008-09-26,BANG,EQ,285.45,283.0,287.5,268.1,285.0,282.7,279.1,32410,904564935000.0,,29443,0.9085
2008-09-29,BANG,EQ,282.7,285.0,290.0,260.3,285.0,286.55,284.32,4177,118761050000.0,,2230,0.5339
2008-09-30,BANG,EQ,286.55,280.0,285.0,259.0,260.0,267.95,274.37,1626,44612135000.0,,1095,0.6734
2008-10-01,BANG,EQ,267.95,280.0,280.0,245.85,268.5,264.65,263.78,53144,1401841165000.0,,48719,0.9167000000000001
2008-10-03,BANG,EQ,264.65,260.0,276.0,257.15,274.95,271.3,268.92,1071,28801415000.000004,,668,0.6237
2008-12-01,BANG,EQ,210.3,199.8,199.8,199.8,199.8,199.8,199.8,20000,399600000000.0,,20000,1.0
2008-12-02,BANG,EQ,199.8,192.0,204.0,190.0,190.0,190.0,193.78,39,755750000.0,,29,0.7436
2008-12-03,BANG,EQ,190.0,185.0,187.0,181.0,181.0,181.0,184.42,19,350400000.0,,15,0.7895000000000001
2008-12-04,BANG,EQ,181.0,173.0,173.0,172.0,173.0,173.0,172.87,10,172865000.0,,10,1.0
2008-12-05,BANG,EQ,173.0,165.1,170.0,165.0,165.0,165.0,167.61,223,3737665000.0,,213,0.9551999999999999
2008-12-08,BANG,EQ,165.0,156.8,171.0,156.8,156.8,160.1,162.18,789,12796325000.0,,513,0.6502
2008-12-10,BANG,EQ,160.1,168.0,168.0,157.0,157.0,167.45,167.45,50120,839282650000.0,,40102,0.8001
2008-12-11,BANG,EQ,167.45,159.1,167.0,159.1,160.0,160.1,159.83,1582,25285080000.0,,909,0.5746
2008-12-12,BANG,EQ,160.1,168.15,168.15,153.0,167.0,160.55,162.82,3198,52071130000.0,,3028,0.9468000000000001
2008-12-15,BANG,EQ,160.55,167.0,167.0,152.55,154.0,160.95,156.48,719,11251120000.0,,324,0.45060000000000006
