Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-29,BANKA,EQ,33.1,34.75,34.75,34.75,34.75,34.75,34.75,37,128575000.0,7,36,0.973
2020-10-30,BANKA,EQ,34.75,36.45,36.45,36.0,36.45,36.45,36.28,8001,29028645000.0,43,8000,0.9999
2020-11-02,BANKA,EQ,36.45,38.25,38.25,38.25,38.25,38.25,38.25,6000,22950000000.0,9,6000,1.0
2020-11-03,BANKA,EQ,38.25,40.15,40.15,40.15,40.15,40.15,40.15,3001,12049015000.0,8,3000,0.9997
2020-11-04,BANKA,EQ,40.15,42.15,42.15,38.15,42.15,41.9,40.52,22569,91444805000.0,247,14732,0.6528
2020-11-05,BANKA,EQ,41.9,43.95,43.95,40.0,40.3,41.2,42.27,34700,146669590000.0,297,23114,0.6661
2020-11-06,BANKA,EQ,41.2,42.8,42.8,40.05,40.55,40.45,41.12,2249,9247240000.0,56,1885,0.8382
2020-11-09,BANKA,EQ,40.45,39.7,42.0,38.5,38.65,39.0,40.39,7658,30927009999.999996,70,5496,0.7177
2020-11-10,BANKA,EQ,39.0,40.0,40.0,37.1,38.6,38.6,38.67,1665,6439240000.0,30,1617,0.9712000000000001
2020-11-11,BANKA,EQ,38.6,37.5,39.95,37.5,39.5,39.5,39.49,810,3198730000.0,21,582,0.7184999999999999
2020-11-12,BANKA,EQ,39.5,39.5,40.95,37.65,38.15,38.15,39.89,2754,10986910000.0,21,2696,0.9789
2020-11-13,BANKA,EQ,38.15,39.7,40.0,37.0,39.95,40.0,39.84,4278,17044765000.0,34,3915,0.9151
2020-11-14,BANKA,EQ,40.0,41.0,42.0,40.95,40.95,40.95,41.56,1965,8165775000.0,20,1963,0.9990000000000001
2020-11-17,BANKA,EQ,40.95,42.0,42.0,40.9,41.0,41.1,41.48,7669,31808730000.0,44,7537,0.9828
2020-11-18,BANKA,EQ,41.1,42.45,42.45,39.1,39.3,39.35,40.73,5221,21263485000.0,49,3888,0.7447
2020-11-19,BANKA,EQ,39.35,38.0,41.0,37.65,38.95,38.8,39.82,30429,121155939999.99998,85,26691,0.8772
2020-11-20,BANKA,EQ,38.8,37.5,40.5,37.5,40.5,40.45,39.98,6572,26277280000.0,43,6073,0.9241
2020-11-23,BANKA,EQ,40.45,40.45,42.4,39.3,39.5,39.5,40.49,4062,16448750000.0,57,3227,0.7944
2020-11-24,BANKA,EQ,39.5,39.1,40.85,39.0,39.55,40.75,40.39,3874,15645879999.999998,48,3683,0.9507
2020-11-25,BANKA,EQ,40.75,40.85,40.85,39.1,39.1,39.1,39.89,5378,21453120000.0,33,4830,0.8981
2020-11-26,BANKA,EQ,39.1,40.95,40.95,39.15,40.0,39.95,40.01,7015,28066384999.999996,55,6462,0.9212
2020-11-27,BANKA,EQ,39.95,41.15,41.85,39.2,41.0,41.0,41.11,12439,51135080000.0,76,10649,0.8561
2020-12-01,BANKA,EQ,41.0,42.1,42.25,41.0,41.65,41.9,42.12,8937,37642715000.0,71,8637,0.9664
2020-12-02,BANKA,EQ,41.9,41.9,42.9,41.55,42.8,42.8,42.37,1491,6317910000.0,37,1468,0.9845999999999999
2020-12-03,BANKA,EQ,42.8,43.7,43.8,41.0,41.0,43.3,42.27,16230,68605665000.0,118,8080,0.4978
2020-12-04,BANKA,EQ,43.3,43.95,44.2,41.8,42.35,43.2,43.13,9820,42350370000.0,141,5981,0.6091
2020-12-07,BANKA,EQ,43.2,43.0,43.8,40.25,43.4,42.95,42.81,4113,17608030000.0,77,1920,0.4668
2020-12-08,BANKA,EQ,42.95,43.9,44.65,43.0,44.65,44.2,44.16,17568,77574180000.0,102,16045,0.9133
2020-12-09,BANKA,EQ,44.2,44.95,45.95,43.25,45.1,44.8,44.87,4604,20655945000.0,112,3067,0.6662
2020-12-10,BANKA,EQ,44.8,42.0,45.75,41.45,43.95,43.95,43.12,8478,36555740000.0,159,3893,0.45920000000000005
2020-12-11,BANKA,EQ,43.95,45.3,45.5,42.8,45.45,44.7,44.93,6055,27203159999.999996,113,4719,0.7794
2020-12-14,BANKA,EQ,44.7,45.45,49.15,43.6,49.15,49.15,48.72,97081,472932309999.99994,242,94160,0.9699
2020-12-15,BANKA,EQ,49.15,50.15,54.05,50.15,54.05,54.05,53.89,77531,417777010000.0,123,76875,0.9915
