Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-05-31,BHAGYANGR,EQ,24.25,26.0,28.0,25.6,26.5,25.85,26.46,14813,39202330000.0,123,12590,0.8499
2017-06-01,BHAGYANGR,EQ,25.85,27.35,27.8,25.45,25.85,25.85,26.45,5279,13963940000.0,35,3336,0.6319
2017-06-02,BHAGYANGR,EQ,25.85,26.85,26.85,23.05,24.9,24.05,25.02,6686,16727025000.0,57,5018,0.7505
2017-06-05,BHAGYANGR,EQ,24.05,28.0,28.0,23.15,24.1,24.4,24.7,6685,16512675000.0,47,4110,0.6148
2017-06-06,BHAGYANGR,EQ,24.4,25.35,25.7,23.6,25.7,25.15,24.57,831,2041940000.0000002,19,665,0.8002
2017-06-07,BHAGYANGR,EQ,25.15,23.55,25.3,23.55,24.25,24.55,24.33,2715,6605230000.0,29,1490,0.5488000000000001
2017-06-08,BHAGYANGR,EQ,24.55,24.5,24.85,21.65,23.25,23.55,23.8,4635,11033605000.0,43,2860,0.617
2017-06-09,BHAGYANGR,EQ,23.55,25.7,26.0,23.85,24.0,23.95,24.77,7383,18284040000.0,37,2381,0.3225
2017-06-12,BHAGYANGR,EQ,23.95,25.25,27.75,23.6,26.5,26.45,26.69,81176,216683560000.0,404,27693,0.3411
2017-06-13,BHAGYANGR,EQ,26.45,26.0,26.4,22.75,25.95,25.75,25.49,30101,76740965000.0,272,12722,0.4226
2017-06-14,BHAGYANGR,EQ,25.75,25.5,25.8,24.5,24.7,24.7,24.81,2156,5349395000.0,26,1234,0.5724
2017-06-15,BHAGYANGR,EQ,24.7,26.4,26.4,22.9,24.1,24.4,24.72,6878,16999840000.0,89,3056,0.44430000000000003
2017-06-16,BHAGYANGR,EQ,24.4,25.1,26.0,23.5,24.75,24.1,24.19,3507,8484430000.0,78,1905,0.5432
2017-06-19,BHAGYANGR,EQ,24.1,24.0,24.9,23.75,23.75,24.35,24.17,4181,10105895000.0,38,3173,0.7589
2017-06-20,BHAGYANGR,EQ,24.35,24.0,25.2,22.55,25.15,25.05,24.2,7522,18206370000.0,70,4025,0.5351
2017-06-21,BHAGYANGR,EQ,25.05,25.75,26.4,24.1,26.0,25.8,25.88,50770,131368845000.0,275,22756,0.4482
2017-06-22,BHAGYANGR,EQ,25.8,26.0,27.15,25.5,26.25,26.0,26.08,7933,20688685000.0,80,6283,0.792
2017-06-23,BHAGYANGR,EQ,26.0,26.0,26.0,24.3,24.3,24.8,25.3,3802,9619195000.0,76,2140,0.5629
2017-06-27,BHAGYANGR,EQ,24.8,24.75,25.6,22.7,24.85,24.9,24.16,12966,31329065000.000004,134,7876,0.6074
2017-06-28,BHAGYANGR,EQ,24.9,24.5,27.65,23.75,25.4,25.55,26.44,137313,362987750000.0,648,77760,0.5663
2017-06-29,BHAGYANGR,EQ,25.55,25.4,26.25,24.7,24.75,25.0,25.18,11460,28860620000.0,78,10209,0.8908
2017-06-30,BHAGYANGR,EQ,25.0,24.5,25.5,23.55,24.55,24.75,24.21,31032,75123755000.0,168,20483,0.6601
2017-07-03,BHAGYANGR,EQ,24.75,24.75,25.8,24.5,25.1,25.05,24.99,8558,21388505000.0,49,5480,0.6403
2017-07-04,BHAGYANGR,EQ,25.05,24.5,25.0,24.3,24.5,24.55,24.61,11729,28866680000.0,54,8351,0.7120000000000001
2017-07-05,BHAGYANGR,EQ,24.55,24.5,25.15,23.05,25.15,24.95,24.38,6191,15090854999.999998,64,3372,0.5447
2017-07-06,BHAGYANGR,EQ,24.95,25.15,25.65,24.0,24.65,24.65,24.54,4688,11506590000.0,50,3459,0.7378
