Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-04,BHARATGEAR,EQ,48.2,48.2,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-01-09,BHARATGEAR,EQ,45.0,45.0,43.0,41.0,,43.0,42.71,350,1495000000.0,,,
1996-01-11,BHARATGEAR,EQ,43.0,43.0,41.0,41.0,,41.0,41.0,100,410000000.0,,,
1996-01-15,BHARATGEAR,EQ,41.0,41.0,42.0,42.0,,42.0,42.0,100,420000000.0,,,
1996-01-18,BHARATGEAR,EQ,42.0,42.0,44.0,42.5,,42.5,43.0,150,645000000.0,,,
1996-01-23,BHARATGEAR,EQ,42.5,42.5,44.25,42.0,,42.0,43.46,1600,6953000000.0,,,
1996-01-24,BHARATGEAR,EQ,42.0,42.0,42.0,41.0,,42.0,41.71,700,2919750000.0,,,
1996-01-30,BHARATGEAR,EQ,42.0,42.0,38.0,38.0,,38.0,38.0,300,1140000000.0,,,
1996-01-31,BHARATGEAR,EQ,38.0,38.0,40.5,40.5,,40.5,40.5,100,405000000.0,,,
1996-02-06,BHARATGEAR,EQ,40.5,40.5,42.5,42.5,,42.5,42.5,50,212500000.0,,,
1996-02-19,BHARATGEAR,EQ,42.5,42.5,47.0,47.0,,47.0,47.0,50,235000000.0,,,
1996-02-20,BHARATGEAR,EQ,47.0,47.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-02-23,BHARATGEAR,EQ,45.0,45.0,48.75,48.5,,48.65,48.63,100,486250000.0,,,
1996-02-26,BHARATGEAR,EQ,48.65,51.0,51.0,51.0,,51.0,51.0,200,1020000000.0,,,
1996-02-27,BHARATGEAR,EQ,51.0,51.0,48.0,48.0,,48.0,48.0,200,960000000.0,,,
1996-02-29,BHARATGEAR,EQ,48.0,48.0,47.0,47.0,,47.0,47.0,300,1410000000.0,,,
1996-03-01,BHARATGEAR,EQ,47.0,47.0,47.5,45.0,,45.0,46.67,150,700000000.0,,,
1996-03-06,BHARATGEAR,EQ,45.0,45.0,43.0,43.0,,43.0,43.0,100,430000000.0,,,
1996-03-13,BHARATGEAR,EQ,43.0,43.0,41.05,41.05,,41.05,41.05,1000,4105000000.0,,,
1996-03-14,BHARATGEAR,EQ,41.05,41.05,41.5,41.5,,41.5,41.5,50,207500000.0,,,
1996-03-18,BHARATGEAR,EQ,41.5,41.5,42.0,42.0,,42.0,42.0,100,420000000.0,,,
1996-03-19,BHARATGEAR,EQ,42.0,42.0,40.05,40.05,,40.05,40.05,200,801000000.0,,,
1996-03-21,BHARATGEAR,EQ,40.05,40.05,42.5,40.0,,42.5,41.25,200,825000000.0,,,
1996-03-22,BHARATGEAR,EQ,42.5,42.5,41.25,41.25,,41.25,41.25,100,412500000.0,,,
1996-03-28,BHARATGEAR,EQ,41.25,41.25,40.5,40.5,,40.5,40.5,100,405000000.0,,,
1996-04-03,BHARATGEAR,EQ,40.5,40.5,42.5,42.5,,42.5,42.5,200,850000000.0,,,
1996-04-04,BHARATGEAR,EQ,42.5,42.5,44.0,41.5,,44.0,42.86,700,3000000000.0,,,
1996-04-08,BHARATGEAR,EQ,44.0,44.0,45.0,44.25,,44.25,44.67,300,1340000000.0,,,
1996-04-09,BHARATGEAR,EQ,44.25,44.25,46.0,43.5,,44.5,44.86,1100,4935000000.0,,,
1996-04-10,BHARATGEAR,EQ,44.5,44.5,48.0,45.95,,48.0,46.7,1000,4669500000.0,,,
1996-04-15,BHARATGEAR,EQ,48.0,48.0,48.0,48.0,,48.0,48.0,500,2400000000.0,,,
1996-04-16,BHARATGEAR,EQ,48.0,47.95,47.95,47.95,,47.95,47.95,500,2397500000.0,,,
1996-04-17,BHARATGEAR,EQ,47.95,47.95,47.95,47.95,,47.95,47.95,600,2877000000.0,,,
1996-04-18,BHARATGEAR,EQ,47.95,47.95,50.0,48.5,,49.9,49.44,750,3708000000.0,,,
1996-04-19,BHARATGEAR,EQ,49.9,49.9,51.0,50.95,,51.0,50.97,750,3822500000.0,,,
1996-04-22,BHARATGEAR,EQ,51.0,51.0,48.0,47.25,,48.0,47.63,200,952500000.0,,,
1996-04-23,BHARATGEAR,EQ,48.0,48.0,48.0,43.2,,43.2,45.49,1350,6141000000.0,,,
1996-04-24,BHARATGEAR,EQ,43.2,45.5,45.5,45.0,,45.05,45.07,1700,7662500000.0,,,
1996-04-25,BHARATGEAR,EQ,45.05,45.25,45.95,45.0,,45.05,45.39,1400,6354500000.0,,,
1996-04-26,BHARATGEAR,EQ,45.05,43.3,43.3,43.3,,43.3,43.3,150,649500000.0,,,
1996-04-29,BHARATGEAR,EQ,43.3,43.3,44.05,44.05,,44.05,44.05,100,440500000.0,,,
1996-04-30,BHARATGEAR,EQ,44.05,44.05,45.0,44.55,,44.55,44.78,200,895500000.0,,,
1996-05-03,BHARATGEAR,EQ,44.55,44.55,46.85,45.0,,45.3,45.87,1050,4816500000.0,,,
1996-05-06,BHARATGEAR,EQ,45.3,45.3,43.15,43.15,,43.15,43.15,50,215750000.0,,,
1996-05-07,BHARATGEAR,EQ,43.15,43.15,45.1,45.0,,45.0,45.03,700,3152000000.0,,,
1996-05-08,BHARATGEAR,EQ,45.0,45.0,46.5,45.5,,45.5,45.63,1200,5475000000.0,,,
1996-05-09,BHARATGEAR,EQ,45.5,45.5,46.0,46.0,,46.0,46.0,100,460000000.0,,,
1996-05-13,BHARATGEAR,EQ,46.0,46.0,48.9,48.9,,48.9,48.9,50,244500000.0,,,
1996-05-14,BHARATGEAR,EQ,48.9,48.9,44.0,43.8,,43.8,43.84,950,4165000000.0,,,
1996-05-15,BHARATGEAR,EQ,43.8,43.8,45.5,45.0,,45.5,45.33,300,1360000000.0,,,
1996-05-16,BHARATGEAR,EQ,45.5,45.5,46.5,45.4,,45.45,46.24,800,3699000000.0,,,
1996-05-17,BHARATGEAR,EQ,45.45,45.45,45.5,44.6,,44.6,45.15,400,1806000000.0,,,
1996-05-20,BHARATGEAR,EQ,44.6,44.6,44.0,44.0,,44.0,44.0,1000,4400000000.0,,,
1996-05-21,BHARATGEAR,EQ,44.0,44.0,43.5,42.5,,43.5,43.36,350,1517500000.0,,,
1996-05-22,BHARATGEAR,EQ,43.5,43.5,43.6,43.0,,43.0,43.45,600,2607000000.0,,,
1996-05-24,BHARATGEAR,EQ,43.0,43.0,41.8,41.0,,41.8,41.4,200,828000000.0,,,
1996-05-29,BHARATGEAR,EQ,41.8,41.8,45.0,45.0,,45.0,45.0,250,1125000000.0,,,
1996-05-30,BHARATGEAR,EQ,45.0,45.0,45.0,45.0,,45.0,45.0,200,900000000.0,,,
1996-05-31,BHARATGEAR,EQ,45.0,45.0,46.0,42.25,,45.6,44.42,600,2665000000.0,,,
1996-06-03,BHARATGEAR,EQ,45.6,45.6,47.0,47.0,,47.0,47.0,200,940000000.0,,,
1996-06-04,BHARATGEAR,EQ,47.0,47.0,48.5,45.25,,48.0,47.77,1750,8359750000.0,,,
1996-06-05,BHARATGEAR,EQ,48.0,46.8,47.05,46.8,,47.05,46.95,250,1173750000.0,,,
1996-06-07,BHARATGEAR,EQ,47.05,47.5,47.5,47.5,,47.5,47.5,300,1425000000.0,,,
1996-06-10,BHARATGEAR,EQ,47.5,47.6,48.0,47.6,,48.0,47.8,200,956000000.0,,,
1996-06-11,BHARATGEAR,EQ,48.0,47.0,52.8,47.0,,52.0,50.75,2200,11164500000.0,,,
1996-06-12,BHARATGEAR,EQ,52.0,51.95,52.25,51.25,,52.25,51.85,1600,8295500000.0,,,
1996-06-13,BHARATGEAR,EQ,52.25,54.0,55.1,53.25,,55.0,54.29,1350,7329500000.0,,,
1996-06-14,BHARATGEAR,EQ,55.0,57.5,58.0,57.0,,58.0,57.78,1800,10400000000.0,,,
1996-06-17,BHARATGEAR,EQ,58.0,59.0,59.0,58.0,,59.0,58.79,700,4115000000.0,,,
1996-06-19,BHARATGEAR,EQ,59.0,54.0,55.5,53.0,,55.5,53.77,1600,8602500000.0,,,
1996-06-21,BHARATGEAR,EQ,55.5,53.9,54.95,53.9,,54.5,54.52,1300,7088000000.0,,,
1996-06-24,BHARATGEAR,EQ,54.5,55.0,55.0,53.0,,54.9,54.48,350,1906750000.0,,,
1996-06-25,BHARATGEAR,EQ,54.9,53.0,55.0,53.0,,54.45,54.47,3300,17974250000.0,,,
1996-06-26,BHARATGEAR,EQ,54.45,57.0,57.0,55.3,,55.4,56.08,3250,18227500000.0,,,
1996-06-27,BHARATGEAR,EQ,55.4,55.0,55.0,54.5,,54.5,54.79,6000,32875000000.0,,,
1996-06-28,BHARATGEAR,EQ,54.5,56.45,56.45,56.45,,56.45,56.45,100,564500000.0,,,
1996-07-01,BHARATGEAR,EQ,56.45,56.0,56.0,53.75,,54.0,55.32,1550,8574250000.0,,,
1996-07-02,BHARATGEAR,EQ,54.0,55.0,55.0,48.9,,49.55,50.96,9650,49177500000.0,,,
1996-07-03,BHARATGEAR,EQ,49.55,48.75,48.75,48.0,,48.0,48.16,2400,11557500000.0,,,
1996-07-04,BHARATGEAR,EQ,48.0,48.5,48.5,45.05,,47.0,47.33,2000,9466000000.0,,,
1996-07-05,BHARATGEAR,EQ,47.0,47.0,47.7,46.0,,46.0,46.8,550,2574000000.0,,,
1996-07-08,BHARATGEAR,EQ,0.0,46.0,46.0,45.5,,45.5,45.75,400,1830000000.0,,,
1996-07-09,BHARATGEAR,EQ,45.5,46.0,48.5,45.0,,46.75,46.99,5600,26314000000.0,,,
1996-07-10,BHARATGEAR,EQ,46.75,46.0,46.0,46.0,,46.0,46.0,50,230000000.0,,,
1996-07-11,BHARATGEAR,EQ,46.0,47.25,47.75,46.5,,46.5,46.52,17300,80472500000.0,,,
1996-07-12,BHARATGEAR,EQ,46.5,46.55,46.55,45.0,,45.0,46.14,400,1845500000.0,,,
1996-07-15,BHARATGEAR,EQ,45.0,45.5,45.5,43.0,,43.25,44.31,5700,25254000000.0,,,
1996-07-16,BHARATGEAR,EQ,43.25,40.0,45.05,40.0,,44.85,44.56,12050,53698250000.0,,,
1996-07-17,BHARATGEAR,EQ,44.85,44.65,47.5,42.15,,47.2,45.62,2600,11861000000.0,,,
1996-07-18,BHARATGEAR,EQ,47.2,46.5,47.0,46.05,,46.15,46.7,3700,17280500000.0,,,
1996-07-19,BHARATGEAR,EQ,46.15,45.05,46.5,45.05,,46.5,45.63,500,2281500000.0,,,
1996-07-22,BHARATGEAR,EQ,46.5,46.5,47.35,46.5,,47.35,46.97,1900,8924000000.0,,,
1996-07-23,BHARATGEAR,EQ,47.35,47.0,47.0,46.0,,46.0,46.23,4200,19417500000.0,,,
1996-07-24,BHARATGEAR,EQ,46.0,45.5,47.0,45.5,,46.5,46.83,1300,6087500000.0,,,
1996-07-25,BHARATGEAR,EQ,46.5,47.0,47.0,47.0,,47.0,47.0,300,1410000000.0,,,
1996-07-26,BHARATGEAR,EQ,47.0,47.35,47.35,47.3,,47.3,47.31,500,2365500000.0,,,
1996-07-29,BHARATGEAR,EQ,47.3,48.2,48.2,46.75,,46.75,47.79,2900,13860000000.0,,,
1996-07-30,BHARATGEAR,EQ,46.75,45.0,46.95,44.5,,46.65,45.08,1650,7438500000.0,,,
1996-07-31,BHARATGEAR,EQ,46.65,45.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-08-01,BHARATGEAR,EQ,45.0,45.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-08-02,BHARATGEAR,EQ,45.0,45.75,45.75,45.75,,45.75,45.75,100,457500000.0,,,
1996-08-05,BHARATGEAR,EQ,45.75,47.9,47.9,45.5,,45.5,47.16,650,3065500000.0,,,
1996-08-06,BHARATGEAR,EQ,45.5,43.9,46.0,43.9,,45.05,44.41,850,3775000000.0,,,
1996-08-07,BHARATGEAR,EQ,45.05,45.5,45.65,45.45,,45.45,45.55,700,3188250000.0,,,
1996-08-08,BHARATGEAR,EQ,45.45,46.5,46.8,45.5,,46.8,46.62,900,4196000000.0,,,
1996-08-13,BHARATGEAR,EQ,46.8,46.5,47.0,45.0,,45.0,45.59,1450,6610500000.0,,,
1996-08-14,BHARATGEAR,EQ,45.0,45.1,45.1,44.0,,44.7,44.86,1650,7402500000.0,,,
1996-08-16,BHARATGEAR,EQ,44.7,43.0,45.5,43.0,,45.5,44.83,1650,7397500000.0,,,
1996-08-19,BHARATGEAR,EQ,45.5,45.0,45.0,44.15,,44.15,44.53,1750,7793000000.0,,,
1996-08-20,BHARATGEAR,EQ,44.15,44.0,45.0,40.25,,41.25,42.81,3100,13270500000.0,,,
1996-08-22,BHARATGEAR,EQ,41.25,41.0,41.0,40.95,,40.95,40.98,300,1229500000.0,,,
1996-08-23,BHARATGEAR,EQ,40.95,40.05,40.05,36.75,,36.85,38.21,1900,7259000000.0,,,
1996-08-26,BHARATGEAR,EQ,36.85,37.55,37.55,37.55,,37.55,37.55,100,375500000.0,,,
1996-08-27,BHARATGEAR,EQ,37.55,37.1,38.5,37.1,,38.5,37.38,500,1869000000.0,,,
1996-08-29,BHARATGEAR,EQ,38.5,37.5,37.5,37.5,,37.5,37.5,100,375000000.0,,,
1996-08-30,BHARATGEAR,EQ,37.5,38.5,38.5,37.5,,38.05,38.06,2500,9514500000.0,,,
1996-09-02,BHARATGEAR,EQ,38.05,37.55,37.55,37.1,,37.1,37.44,600,2246500000.0,,,
1996-09-03,BHARATGEAR,EQ,37.1,38.8,39.0,37.5,,37.5,37.93,1700,6447500000.0,,,
