Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-06-28,CALSOFT,EQ,132.3,150.0,160.0,150.0,159.5,159.5,156.13,800,12490000000.0,,,
2000-06-29,CALSOFT,EQ,159.5,160.0,172.3,160.0,170.0,171.9,171.32,3400,58248500000.0,,,
2000-06-30,CALSOFT,EQ,171.9,170.0,171.95,158.25,169.0,163.55,164.02,3500,57408500000.0,,,
2000-07-03,CALSOFT,EQ,163.55,169.0,170.0,151.1,162.0,157.3,157.74,2200,34702500000.0,,,
2000-07-04,CALSOFT,EQ,157.3,151.5,159.0,149.1,157.9,155.65,154.52,2100,32449000000.0,,,
2000-07-05,CALSOFT,EQ,155.65,157.0,157.0,145.0,146.0,145.65,150.95,1400,21132500000.0,,,
2000-07-06,CALSOFT,EQ,145.65,153.7,153.7,144.0,145.0,147.5,147.59,2900,42801500000.0,,,
2000-07-07,CALSOFT,EQ,147.5,149.5,155.0,149.0,152.5,152.5,152.03,2200,33446500000.0,,,
2000-07-10,CALSOFT,EQ,152.5,145.5,150.4,140.6,150.4,150.15,144.74,2200,31843500000.0,,,
2000-07-11,CALSOFT,EQ,150.15,141.3,147.75,141.25,141.25,144.25,143.55,2200,31582000000.0,,,
2000-07-12,CALSOFT,EQ,144.25,144.9,144.9,141.0,144.0,144.0,143.45,400,5738000000.0,,,
2000-07-13,CALSOFT,EQ,144.0,145.0,147.9,142.0,142.0,142.0,144.37,800,11549500000.0,,,
2000-07-14,CALSOFT,EQ,142.0,146.0,146.0,140.5,140.5,140.5,142.74,500,7137000000.0,,,
2000-07-17,CALSOFT,EQ,140.5,141.0,141.0,130.0,130.0,130.0,134.01,400,5360500000.0,,,
2000-07-18,CALSOFT,EQ,130.0,121.65,125.0,119.6,124.95,124.95,121.6,1100,13375500000.0,,,
2000-07-19,CALSOFT,EQ,124.95,115.6,130.0,115.6,130.0,130.0,117.51,1500,17626000000.0,,,
2000-07-20,CALSOFT,EQ,130.0,130.0,136.5,121.0,125.0,125.0,127.23,700,8906000000.0,,,
2000-07-21,CALSOFT,EQ,125.0,125.0,129.5,121.0,127.0,124.5,124.75,1200,14969500000.0,,,
2000-07-24,CALSOFT,EQ,124.5,120.0,120.0,115.0,115.0,115.0,116.14,700,8130000000.0,,,
2000-07-25,CALSOFT,EQ,115.0,107.0,111.5,105.8,111.0,107.4,108.1,1100,11891500000.0,,,
2000-07-26,CALSOFT,EQ,107.4,115.0,116.0,115.0,116.0,116.0,115.95,2100,24350000000.0,,,
2000-07-27,CALSOFT,EQ,116.0,119.5,119.5,108.1,118.0,115.45,112.91,7600,85808000000.0,,,
2000-07-28,CALSOFT,EQ,115.45,113.0,115.5,111.0,112.0,112.85,112.71,1700,19160000000.0,,,
