Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-05,CREATIVE,EQ,64.5,67.5,67.7,66.2,67.7,67.7,67.58,4163,28133509999.999996,27,3793,0.9111
2019-08-06,CREATIVE,EQ,67.7,68.0,71.05,68.0,69.35,70.95,70.52,1526,10761160000.0,29,1400,0.9174
2019-08-07,CREATIVE,EQ,70.95,74.4,74.45,70.0,70.0,70.0,71.58,2722,19484155000.0,18,2535,0.9313
2019-08-08,CREATIVE,EQ,70.0,69.0,73.5,69.0,72.1,71.85,70.1,2991,20967345000.0,13,2840,0.9495
2019-08-09,CREATIVE,EQ,71.85,75.0,75.4,70.6,70.6,70.95,72.16,8577,61891055000.00001,67,5607,0.6537000000000001
2019-08-13,CREATIVE,EQ,70.95,73.5,74.35,71.0,71.1,71.65,72.97,3780,27583940000.000004,25,3062,0.8101
2019-08-14,CREATIVE,EQ,71.65,71.1,75.2,69.55,73.0,73.0,70.4,10088,71022035000.0,42,9971,0.9884000000000001
2019-08-16,CREATIVE,EQ,73.0,73.05,76.5,72.05,72.1,72.1,73.83,1653,12203370000.0,8,1651,0.9988
2019-08-19,CREATIVE,EQ,72.1,75.65,75.65,71.0,71.7,71.7,72.89,720,5247925000.0,14,533,0.7403000000000001
2019-08-20,CREATIVE,EQ,71.7,73.5,73.5,72.0,72.0,72.0,73.5,2303,16926600000.0,6,2303,1.0
2019-08-21,CREATIVE,EQ,72.0,72.0,75.0,72.0,74.95,74.95,72.59,858,6228150000.0,6,548,0.6386999999999999
2019-08-22,CREATIVE,EQ,74.95,74.0,75.5,72.75,72.75,72.95,73.08,7131,52116825000.0,38,745,0.1045
2019-08-23,CREATIVE,EQ,72.95,73.0,73.0,71.75,71.75,71.75,71.87,9613,69085545000.0,9,9603,0.9990000000000001
2019-08-26,CREATIVE,EQ,71.75,74.75,74.75,71.75,72.1,72.1,72.45,13222,95796995000.0,17,9600,0.7261
2019-08-28,CREATIVE,EQ,72.1,72.55,74.9,72.0,72.0,72.15,73.83,3729,27529795000.0,13,3219,0.8632
2019-08-29,CREATIVE,EQ,72.15,75.65,75.65,72.2,72.3,72.3,72.4,5006,36243685000.0,7,2503,0.5
2019-08-30,CREATIVE,EQ,72.3,72.1,75.4,72.0,72.0,72.0,74.03,3716,27511005000.0,13,2610,0.7023999999999999
2019-09-03,CREATIVE,EQ,72.0,74.9,75.0,74.9,75.0,75.0,74.95,2,14990000.0,2,1,0.5
2019-09-04,CREATIVE,EQ,75.0,75.05,75.05,74.0,74.0,74.0,74.29,70,520050000.0,3,70,1.0
2019-09-05,CREATIVE,EQ,74.0,74.0,77.45,71.0,71.0,71.15,74.63,5917,44159660000.0,11,5700,0.9633
2019-09-06,CREATIVE,EQ,71.15,71.0,73.95,69.0,69.0,72.5,72.36,5512,39882120000.0,13,2800,0.508
2019-09-09,CREATIVE,EQ,72.5,72.0,72.75,70.0,70.05,70.05,71.26,5620,40049050000.0,12,4050,0.7206
