Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-04,DAMODARIND,EQ,73.8,75.9,75.9,68.0,73.0,73.0,74.22,1839,13648335000.0,25,1810,0.9842000000000001
2016-07-05,DAMODARIND,EQ,73.0,74.4,74.4,70.0,73.95,73.95,73.39,1054,7735670000.0,15,901,0.8548
2016-07-07,DAMODARIND,EQ,73.95,73.95,73.95,73.8,73.8,73.8,73.82,234,1727430000.0,3,234,1.0
2016-07-08,DAMODARIND,EQ,73.8,73.8,75.85,73.7,75.85,74.95,74.86,3291,24637470000.0,18,3291,1.0
2016-07-11,DAMODARIND,EQ,74.95,77.5,80.0,76.1,76.1,77.45,78.29,9711,76026495000.0,57,6486,0.6679
2016-07-12,DAMODARIND,EQ,77.45,80.45,81.9,78.5,79.95,79.05,80.43,7051,56713710000.0,64,5805,0.8233
2016-07-13,DAMODARIND,EQ,79.05,80.0,80.0,74.55,76.1,76.1,76.64,1110,8506770000.0,18,980,0.8829000000000001
2016-07-14,DAMODARIND,EQ,76.1,76.1,77.9,74.0,74.0,74.65,75.18,4528,34042570000.0,27,3431,0.7576999999999999
2016-07-15,DAMODARIND,EQ,74.65,77.0,80.0,75.35,79.0,78.25,78.97,12915,101986810000.0,62,10770,0.8339
2016-07-18,DAMODARIND,EQ,78.25,79.0,82.95,78.25,80.0,80.2,80.87,3204,25910550000.0,40,2019,0.6301
2016-07-19,DAMODARIND,EQ,80.2,79.2,84.85,79.2,83.0,82.2,83.72,7900,66138050000.0,27,6525,0.8259000000000001
2016-07-20,DAMODARIND,EQ,82.2,79.3,80.0,79.3,80.0,80.0,79.65,68,541620000.0,2,34,0.5
2016-07-21,DAMODARIND,EQ,80.0,83.4,83.4,83.35,83.4,83.35,83.4,150,1250975000.0,4,150,1.0
2016-07-22,DAMODARIND,EQ,83.35,80.0,85.0,80.0,82.0,82.3,82.48,5124,42261190000.0,18,4956,0.9672000000000001
2016-07-25,DAMODARIND,EQ,82.3,85.0,86.5,80.4,83.9,83.9,84.36,5089,42929450000.0,45,4275,0.84
2016-07-26,DAMODARIND,EQ,83.9,83.4,93.9,76.3,89.5,89.6,88.48,53179,470539765000.00006,666,29014,0.5456000000000001
2016-07-27,DAMODARIND,EQ,89.6,93.0,95.0,88.25,88.25,90.15,91.29,20317,185468680000.0,275,11106,0.5466
2016-07-28,DAMODARIND,EQ,90.15,93.0,93.0,88.05,89.5,89.65,90.86,12902,117221535000.00002,125,8963,0.6947
2016-07-29,DAMODARIND,EQ,89.65,87.0,94.0,86.5,90.0,90.5,91.32,15441,141007130000.0,141,8785,0.5689000000000001
2016-08-01,DAMODARIND,EQ,90.5,89.0,94.95,88.1,91.0,90.8,92.32,8629,79666040000.0,134,6085,0.7051999999999999
2016-08-02,DAMODARIND,EQ,90.8,91.15,91.2,88.0,89.05,89.95,89.74,2633,23628240000.0,52,1401,0.5321
2016-08-03,DAMODARIND,EQ,89.95,90.95,90.95,82.0,85.15,85.9,86.34,3742,32307100000.0,96,1397,0.37329999999999997
2016-08-04,DAMODARIND,EQ,85.9,85.3,87.0,83.1,83.2,83.45,84.08,1340,11266250000.0,19,1300,0.9701000000000001
2016-08-05,DAMODARIND,EQ,83.45,86.8,86.8,83.1,84.9,84.75,84.74,1256,10643910000.0,18,1000,0.7962
2016-08-08,DAMODARIND,EQ,84.75,83.0,83.5,75.5,78.8,79.15,78.85,11867,93572560000.0,160,6385,0.538
