Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,GPELECT,EQ,48.0,46.0,46.0,46.0,,46.0,46.0,50,230000000.0,,,
1996-01-03,GPELECT,EQ,46.0,46.5,46.5,42.0,,42.0,45.0,150,675000000.0,,,
1996-01-16,GPELECT,EQ,42.0,40.0,40.0,38.0,,38.0,39.5,600,2370000000.0,,,
1996-02-05,GPELECT,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,50,190000000.0,,,
1996-02-06,GPELECT,EQ,38.0,42.0,42.0,42.0,,42.0,42.0,100,420000000.0,,,
1996-02-13,GPELECT,EQ,42.0,42.0,42.0,41.0,,41.0,41.63,800,3330000000.0,,,
1996-02-22,GPELECT,EQ,41.0,44.0,44.0,44.0,,44.0,44.0,50,220000000.0,,,
1996-02-27,GPELECT,EQ,44.0,42.5,42.5,42.1,,42.1,42.37,150,635500000.0,,,
1996-03-04,GPELECT,EQ,42.1,42.1,41.8,41.8,,41.8,41.8,50,209000000.0,,,
1996-03-11,GPELECT,EQ,41.8,44.0,44.0,44.0,,44.0,44.0,50,220000000.0,,,
1996-03-12,GPELECT,EQ,44.0,44.0,42.25,42.0,,42.25,42.09,600,2525250000.0,,,
1996-03-13,GPELECT,EQ,42.25,42.25,42.0,42.0,,42.0,42.0,150,630000000.0,,,
1996-03-14,GPELECT,EQ,42.0,42.0,43.0,42.0,,43.0,42.75,200,855000000.0,,,
1996-03-15,GPELECT,EQ,43.0,43.0,43.0,43.0,,43.0,43.0,100,430000000.0,,,
1996-03-19,GPELECT,EQ,43.0,43.0,42.0,40.1,,40.1,40.91,350,1432000000.0,,,
1996-04-01,GPELECT,EQ,40.1,40.1,38.0,38.0,,38.0,38.0,150,570000000.0,,,
1996-04-10,GPELECT,EQ,38.0,38.0,39.0,39.0,,39.0,39.0,400,1560000000.0,,,
1996-04-11,GPELECT,EQ,39.0,39.0,42.9,39.0,,42.9,39.44,750,2957750000.0,,,
1996-04-12,GPELECT,EQ,42.9,40.5,40.5,40.0,,40.0,40.3,500,2015000000.0,,,
1996-04-15,GPELECT,EQ,40.0,44.0,44.0,38.0,,38.0,40.0,1150,4600000000.0,,,
1996-04-16,GPELECT,EQ,38.0,40.0,40.0,39.5,,39.95,39.94,1150,4593250000.0,,,
1996-04-17,GPELECT,EQ,39.95,42.0,42.0,40.0,,40.0,40.67,300,1220000000.0,,,
1996-04-18,GPELECT,EQ,40.0,38.5,40.0,38.5,,40.0,39.91,850,3392500000.0,,,
1996-04-19,GPELECT,EQ,40.0,40.0,40.0,39.5,,39.5,39.65,600,2378750000.0,,,
1996-04-23,GPELECT,EQ,39.5,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1996-04-24,GPELECT,EQ,39.0,39.5,39.5,39.5,,39.5,39.5,200,790000000.0,,,
1996-04-25,GPELECT,EQ,39.5,39.5,38.5,38.5,,38.5,38.5,150,577500000.0,,,
1996-04-26,GPELECT,EQ,38.5,39.0,39.0,39.0,,39.0,39.0,850,3315000000.0,,,
1996-05-02,GPELECT,EQ,39.0,39.0,39.0,39.0,,39.0,39.0,50,195000000.0,,,
1996-05-03,GPELECT,EQ,39.0,35.55,39.5,35.55,,39.5,38.59,650,2508250000.0,,,
1996-05-06,GPELECT,EQ,39.5,39.75,40.0,36.2,,38.0,37.46,1200,4495750000.0,,,
1996-05-07,GPELECT,EQ,38.0,38.0,37.4,37.0,,37.4,37.23,200,744500000.0,,,
1996-05-13,GPELECT,EQ,37.4,36.0,36.0,36.0,,36.0,36.0,200,720000000.0,,,
1996-05-15,GPELECT,EQ,36.0,36.0,37.5,37.5,,37.5,37.5,100,375000000.0,,,
1996-05-16,GPELECT,EQ,37.5,37.5,38.0,37.6,,37.6,37.87,150,568000000.0,,,
1996-05-21,GPELECT,EQ,37.6,34.0,35.0,34.0,,35.0,34.67,150,520000000.0,,,
1996-06-03,GPELECT,EQ,35.0,35.0,35.0,33.0,,33.0,33.25,800,2660000000.0,,,
1996-06-06,GPELECT,EQ,33.0,32.5,32.5,32.5,,32.5,32.5,100,325000000.0,,,
1996-06-11,GPELECT,EQ,32.5,32.5,32.5,32.5,,32.5,32.5,300,975000000.0,,,
1996-06-12,GPELECT,EQ,32.5,30.5,30.5,30.5,,30.5,30.5,100,305000000.0,,,
1996-06-18,GPELECT,EQ,30.5,33.05,33.05,33.05,,33.05,33.05,100,330500000.0,,,
1996-06-19,GPELECT,EQ,33.05,34.0,34.0,34.0,,34.0,34.0,800,2720000000.0,,,
1996-06-20,GPELECT,EQ,34.0,32.5,32.5,32.5,,32.5,32.5,200,650000000.0,,,
1996-06-25,GPELECT,EQ,32.5,35.0,35.0,35.0,,35.0,35.0,500,1750000000.0,,,
1996-06-26,GPELECT,EQ,35.0,34.0,34.0,34.0,,34.0,34.0,400,1360000000.0,,,
1996-07-02,GPELECT,EQ,34.0,34.0,34.0,34.0,,34.0,34.0,100,340000000.0,,,
1996-07-09,GPELECT,EQ,34.0,32.25,32.25,32.25,,32.25,32.25,200,645000000.0,,,
1996-07-11,GPELECT,EQ,32.25,32.25,32.25,32.25,,32.25,32.25,500,1612500000.0,,,
