Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,DEWANHOUS,EQ,15.05,15.25,15.25,15.25,,15.25,15.25,1000,1525000000.0,,,
1996-01-02,DEWANHOUS,EQ,15.25,15.3,15.3,15.05,,15.1,15.12,1400,2117000000.0,,,
1996-01-03,DEWANHOUS,EQ,15.1,15.5,15.5,15.5,,15.5,15.5,100,155000000.0,,,
1996-01-04,DEWANHOUS,EQ,15.5,14.9,15.0,14.9,,15.0,14.97,600,898000000.0,,,
1996-01-05,DEWANHOUS,EQ,15.0,15.05,15.5,15.05,,15.5,15.35,300,460500000.0,,,
1996-01-08,DEWANHOUS,EQ,15.5,15.3,15.3,15.0,,15.0,15.04,2900,4363000000.0,,,
1996-01-09,DEWANHOUS,EQ,15.0,14.3,14.3,14.3,,14.3,14.3,50,71500000.0,,,
1996-01-10,DEWANHOUS,EQ,14.3,15.0,15.0,15.0,,15.0,15.0,1100,1650000000.0,,,
1996-01-11,DEWANHOUS,EQ,15.0,15.0,15.0,15.0,,15.0,15.0,300,450000000.0,,,
1996-01-12,DEWANHOUS,EQ,15.0,15.0,15.0,15.0,,15.0,15.0,100,150000000.0,,,
1996-01-15,DEWANHOUS,EQ,15.0,15.0,15.0,15.0,,15.0,15.0,200,300000000.0,,,
1996-01-16,DEWANHOUS,EQ,15.0,15.0,15.0,15.0,,15.0,15.0,1200,1800000000.0,,,
1996-01-17,DEWANHOUS,EQ,15.0,15.0,15.0,15.0,,15.0,15.0,400,600000000.0,,,
1996-01-18,DEWANHOUS,EQ,15.0,14.5,15.0,14.5,,15.0,14.75,200,295000000.0,,,
1996-01-22,DEWANHOUS,EQ,15.0,14.95,14.95,14.95,,14.95,14.95,200,299000000.0,,,
1996-01-23,DEWANHOUS,EQ,14.95,15.0,15.0,14.8,,14.8,14.83,900,1334750000.0,,,
1996-01-24,DEWANHOUS,EQ,14.8,15.0,15.0,14.75,,14.9,14.88,200,297500000.0,,,
1996-01-25,DEWANHOUS,EQ,14.9,14.5,14.5,14.0,,14.0,14.29,850,1215000000.0,,,
1996-01-30,DEWANHOUS,EQ,14.0,13.0,13.0,13.0,,13.0,13.0,800,1040000000.0,,,
1996-01-31,DEWANHOUS,EQ,13.0,13.5,13.5,13.1,,13.1,13.3,400,532000000.0,,,
1996-02-01,DEWANHOUS,EQ,13.1,14.45,14.45,14.45,,14.45,14.45,200,289000000.0,,,
1996-02-02,DEWANHOUS,EQ,14.45,14.5,14.5,14.5,,14.5,14.5,500,725000000.0,,,
1996-02-05,DEWANHOUS,EQ,14.5,15.0,15.0,14.95,,14.95,14.98,200,299500000.0,,,
1996-02-06,DEWANHOUS,EQ,14.95,14.75,14.85,14.75,,14.85,14.76,700,1033500000.0,,,
1996-02-07,DEWANHOUS,EQ,14.85,15.0,15.0,15.0,,15.0,15.0,250,375000000.0,,,
1996-02-08,DEWANHOUS,EQ,15.0,15.0,15.0,14.85,,14.9,14.91,700,1043500000.0,,,
1996-02-09,DEWANHOUS,EQ,14.9,14.5,15.9,14.5,,15.9,15.42,900,1388000000.0,,,
1996-02-12,DEWANHOUS,EQ,15.9,15.6,15.6,14.5,,14.5,15.44,1300,2007000000.0,,,
1996-02-13,DEWANHOUS,EQ,14.5,15.0,15.0,14.7,,15.0,14.79,850,1257500000.0,,,
1996-02-14,DEWANHOUS,EQ,15.0,15.4,15.4,15.4,,15.4,15.4,650,1001000000.0,,,
1996-02-15,DEWANHOUS,EQ,15.4,15.5,16.0,15.5,,16.0,15.75,400,630000000.0,,,
1996-02-16,DEWANHOUS,EQ,16.0,15.5,15.7,15.5,,15.55,15.59,1200,1871000000.0,,,
1996-02-19,DEWANHOUS,EQ,15.55,15.5,16.0,15.4,,16.0,15.63,300,469000000.0,,,
1996-02-20,DEWANHOUS,EQ,16.0,16.0,15.5,15.2,,15.2,15.3,450,688500000.0,,,
1996-02-22,DEWANHOUS,EQ,15.2,15.5,15.5,15.5,,15.5,15.5,500,775000000.0,,,
1996-02-23,DEWANHOUS,EQ,15.5,15.3,15.3,15.3,,15.3,15.3,400,612000000.0,,,
1996-02-26,DEWANHOUS,EQ,15.3,15.0,16.0,15.0,,15.5,15.6,250,390000000.0,,,
1996-02-28,DEWANHOUS,EQ,15.5,15.1,15.1,15.1,,15.1,15.1,1300,1963000000.0,,,
1996-03-01,DEWANHOUS,EQ,15.1,14.75,14.75,14.75,,14.75,14.75,100,147500000.0,,,
1996-03-04,DEWANHOUS,EQ,14.75,15.0,15.1,14.0,,14.0,15.0,50250,75355500000.0,,,
