Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-09-11,ELECTHERM,EQ,75.2,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1996-09-16,ELECTHERM,EQ,78.0,73.0,73.0,73.0,,73.0,73.0,200,1460000000.0,,,
1996-09-20,ELECTHERM,EQ,73.0,71.0,71.0,71.0,,71.0,71.0,100,710000000.0,,,
1996-10-15,ELECTHERM,EQ,71.0,65.5,65.5,65.5,,65.5,65.5,500,3275000000.0,,,
1996-10-31,ELECTHERM,EQ,65.5,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-11-01,ELECTHERM,EQ,60.0,66.0,66.0,66.0,,66.0,66.0,100,660000000.0,,,
1996-11-18,ELECTHERM,EQ,66.0,60.25,60.25,60.25,,60.25,60.25,100,602500000.0,,,
1996-11-21,ELECTHERM,EQ,60.25,56.5,56.5,56.5,,56.5,56.5,100,565000000.0,,,
1996-11-22,ELECTHERM,EQ,56.5,60.55,60.55,60.5,,60.55,60.53,200,1210500000.0,,,
1996-11-28,ELECTHERM,EQ,60.55,66.5,66.5,66.5,,66.5,66.5,100,665000000.0,,,
1996-12-03,ELECTHERM,EQ,66.5,63.6,63.6,63.6,,63.6,63.6,100,636000000.0,,,
1996-12-20,ELECTHERM,EQ,63.6,66.9,66.9,66.9,,66.9,66.9,100,669000000.0,,,
1996-12-23,ELECTHERM,EQ,66.9,69.9,69.9,69.9,,69.9,69.9,200,1398000000.0,,,
1997-01-06,ELECTHERM,EQ,69.9,71.9,71.9,71.9,,71.9,71.9,100,719000000.0,,,
1997-01-15,ELECTHERM,EQ,71.9,64.75,64.75,64.75,,64.75,64.75,100,647500000.0,,,
1997-01-17,ELECTHERM,EQ,64.75,58.35,58.35,58.35,,58.35,58.35,100,583500000.0,,,
1997-02-10,ELECTHERM,EQ,58.35,61.5,61.5,61.5,,61.5,61.5,200,1230000000.0,,,
1997-02-17,ELECTHERM,EQ,61.5,60.0,60.0,60.0,,60.0,60.0,200,1200000000.0,,,
1997-03-31,ELECTHERM,EQ,60.0,65.1,65.1,65.1,,65.1,65.1,500,3255000000.0,,,
1997-04-01,ELECTHERM,EQ,65.1,59.0,61.4,59.0,,61.4,60.2,1000,6020000000.0,,,
1997-07-04,ELECTHERM,EQ,61.4,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
2007-08-20,ELECTHERM,EQ,60.0,544.9,544.9,466.0,498.0,484.0,481.25,105443,5074478745000.0,,10465,0.0992
2007-08-21,ELECTHERM,EQ,484.0,483.0,489.95,465.0,470.0,468.3,475.36,4401,209203915000.0,,1251,0.2843
2007-08-22,ELECTHERM,EQ,468.3,482.0,487.0,445.0,475.0,472.45,466.87,586,27358409999.999996,,350,0.5972999999999999
2007-08-23,ELECTHERM,EQ,472.45,487.9,487.9,450.1,454.95,452.15,474.28,1196,56724485000.0,,960,0.8027
2007-08-24,ELECTHERM,EQ,452.15,475.0,498.0,467.0,474.9,474.75,473.23,5296,250624385000.0,,3218,0.6076
2007-08-27,ELECTHERM,EQ,474.75,484.0,499.0,484.0,499.0,490.7,489.81,2414,118240170000.0,,1370,0.5675
2007-08-28,ELECTHERM,EQ,490.7,497.0,503.95,485.0,485.0,488.25,491.73,1105,54336625000.0,,473,0.42810000000000004
2007-08-29,ELECTHERM,EQ,488.25,489.85,495.0,483.0,493.0,487.4,488.42,905,44202450000.0,,757,0.8365
2007-08-30,ELECTHERM,EQ,487.4,493.0,527.0,489.0,497.1,501.65,506.83,6542,331567550000.0,,3905,0.5969
2007-08-31,ELECTHERM,EQ,501.65,520.0,535.0,508.1,516.0,513.55,521.97,6002,313286600000.0,,4609,0.7679
2007-09-03,ELECTHERM,EQ,513.55,533.0,533.0,500.0,503.0,503.3,510.21,3142,160306955000.0,,2162,0.6881
2007-09-04,ELECTHERM,EQ,503.3,432.05,513.0,432.05,510.0,506.35,507.83,3921,199118185000.0,,3682,0.9390000000000001
2007-09-05,ELECTHERM,EQ,506.35,521.0,521.0,495.0,495.0,495.0,499.38,4034,201450390000.0,,3546,0.8790000000000001
2007-09-06,ELECTHERM,EQ,495.0,503.0,518.5,500.0,518.5,515.55,512.06,2101,107584150000.0,,1802,0.8577
2007-09-07,ELECTHERM,EQ,515.55,538.0,538.0,506.0,514.0,506.5,512.67,1235,63314919999.99999,,1174,0.9506
2007-09-10,ELECTHERM,EQ,506.5,503.0,520.0,503.0,520.0,517.55,513.16,1829,93857735000.0,,1475,0.8065000000000001
2007-09-11,ELECTHERM,EQ,517.55,524.0,528.0,507.0,511.5,508.2,513.21,1571,80626020000.0,,1185,0.7543000000000001
2007-09-12,ELECTHERM,EQ,508.2,515.0,524.95,510.0,518.95,516.65,517.8,2116,109567370000.0,,1599,0.7556999999999999
2007-09-13,ELECTHERM,EQ,516.65,510.0,519.0,501.55,505.0,505.0,508.35,4321,219656350000.0,,3946,0.9131999999999999
2007-09-14,ELECTHERM,EQ,505.0,450.0,505.0,450.0,499.0,500.5,502.8,3557,178847215000.0,,3239,0.9106000000000001
2007-09-17,ELECTHERM,EQ,500.5,508.0,508.0,496.0,501.0,500.0,501.74,973,48819660000.0,,973,1.0
2007-09-18,ELECTHERM,EQ,500.0,505.0,505.0,496.05,505.0,501.4,500.08,1225,61259669999.99999,,1054,0.8604
2007-09-19,ELECTHERM,EQ,501.4,513.0,513.0,495.0,498.05,500.8,502.22,3372,169348570000.0,,2741,0.8129000000000001
2007-09-20,ELECTHERM,EQ,500.8,505.0,517.95,498.1,507.0,505.3,505.29,8435,426208165000.00006,,7320,0.8678
2007-09-21,ELECTHERM,EQ,505.3,510.0,510.0,490.0,506.0,498.7,502.6,4266,214410079999.99997,,2861,0.6707
2007-09-24,ELECTHERM,EQ,498.7,506.0,506.0,495.0,502.95,503.3,499.95,1235,61744425000.0,,1096,0.8874
2007-09-25,ELECTHERM,EQ,503.3,503.0,505.0,492.0,504.0,504.2,500.01,1096,54800815000.0,,958,0.8741
2007-09-26,ELECTHERM,EQ,504.2,500.0,505.0,470.0,478.0,474.1,486.75,11485,559031290000.0,,9402,0.8186
2007-09-27,ELECTHERM,EQ,474.1,513.0,513.0,475.1,489.0,491.15,497.87,5861,291799010000.0,,2195,0.37450000000000006
2007-09-28,ELECTHERM,EQ,491.15,508.0,508.0,487.0,488.35,489.7,495.8,1973,97820360000.0,,1611,0.8165000000000001
2007-10-01,ELECTHERM,EQ,489.7,493.0,499.0,490.25,494.0,494.1,495.63,3178,157512790000.0,,3006,0.9459000000000001
2007-10-03,ELECTHERM,EQ,494.1,495.0,498.85,479.0,486.0,481.85,490.49,3077,150923720000.0,,2930,0.9522
2007-10-04,ELECTHERM,EQ,481.85,477.1,490.0,477.0,482.0,484.25,483.7,1655,80052715000.0,,1245,0.7523000000000001
2007-10-05,ELECTHERM,EQ,484.25,480.0,488.95,451.0,485.0,482.75,481.08,3152,151637370000.0,,2783,0.8829000000000001
2007-10-08,ELECTHERM,EQ,482.75,488.5,490.0,465.0,469.95,466.1,474.94,2844,135073030000.0,,2514,0.8840000000000001
2007-10-09,ELECTHERM,EQ,466.1,469.95,492.0,466.5,490.0,489.95,487.51,5130,250095020000.00003,,4692,0.9146
2007-10-10,ELECTHERM,EQ,489.95,490.0,491.0,480.0,485.1,486.55,488.99,3793,185473085000.0,,3552,0.9365000000000001
2007-10-11,ELECTHERM,EQ,486.55,485.1,527.0,470.6,511.0,512.75,507.23,9076,460359115000.00006,,4161,0.4585
2007-10-12,ELECTHERM,EQ,512.75,525.0,569.0,518.0,550.0,554.05,544.65,19566,1065662410000.0,,13785,0.7045
2007-10-15,ELECTHERM,EQ,554.05,559.9,599.75,559.9,593.0,590.85,586.15,24207,1418882890000.0,,15621,0.6453
2007-10-16,ELECTHERM,EQ,590.85,600.0,610.0,570.0,583.9,577.75,583.78,7290,425572670000.0,,5212,0.715
2007-10-17,ELECTHERM,EQ,577.75,530.0,575.0,530.0,550.0,552.15,554.94,2838,157491210000.0,,2666,0.9394
2007-10-18,ELECTHERM,EQ,552.15,555.0,585.0,555.0,560.0,563.35,573.28,5229,299768715000.0,,4656,0.8904000000000001
2007-10-19,ELECTHERM,EQ,563.35,524.0,565.0,515.0,545.0,539.75,536.79,7374,395825450000.0,,4860,0.6591
2007-10-22,ELECTHERM,EQ,539.75,531.0,575.0,531.0,574.5,568.35,562.35,5115,287642840000.0,,4007,0.7834000000000001
2007-10-23,ELECTHERM,EQ,568.35,575.0,615.0,575.0,594.0,592.65,592.47,9597,568590645000.0,,5993,0.6245
2007-10-24,ELECTHERM,EQ,592.65,604.0,606.0,575.5,591.25,600.2,593.23,5025,298099550000.0,,2251,0.44799999999999995
